pair_id,ESP,SHIWILU,source,source_pair_id,duplicate_group
U02824,"A la ballena la mató Marcel,","Lanla’ i’na di’tulli Marceller,",pdf_textos,P00573,a la ballena la mató|lanla’ i’na di’tulli
U04464,"A la ballena la mató Marcel,","LANLA’ I’NA DI’TULLI MARCELLER,",vs_textos_narrativos,P00026,a la ballena la mató|lanla’ i’na di’tulli
U04504,ABUELA,AMI,cotidianas,P00031,abuela|ami
U04723,abuela,ami,extra,P00193,abuela|ami
U04503,ABUELO,PAPINKU,cotidianas,P00030,abuelo|papinku
U04773,abuelo,papinku,extra,P00243,abuelo|papinku
U02822,Ahora a la que antes llamaban “Ballena Poza” la llaman “Campana Poza”.,Ipa’la “Lanla’ Pitun” itullina’ napi’ ipa’li’na “Kanpana’ Pitun” itullina’.,pdf_textos,P00571,ahora a la que antes|ipa’la “lanla’ pitun
U04462,Ahora a la que antes llamaban “Ballena Poza” la llaman “Campana Poza”.,IPA’LA “LANLA’ PITUN” ITULLINA’ NAPI’ IPA’LI’NA “KANPANA’ PITUN” ITULLINA’.,vs_textos_narrativos,P00024,ahora a la que antes|ipa’la “lanla’ pitun
U02829,Ahí dice (la ballena) salió a la playa y saliendo murió.,"Naneklima yunsu’lli dellutekkek, yunsu’n chimiñi.",pdf_textos,P00578,ahí dice (la ballena|naneklima yunsu’lli 
U04469,Ahí dice (la ballena) salió a la playa y saliendo murió.,"NANEKLIMA YUNSU’LLI DELLUTEKKEK, YUNSU’N CHIMIÑI.",vs_textos_narrativos,P00031,ahí dice (la ballena|naneklima yunsu’lli 
U02827,"Ahí entrando (dentro de la ballena, Marcel) le vio su corazón.",Nanek da’an lli’itulli dinlupinen.,pdf_textos,P00576,ahí entrando (dentro|nanek da’an lli’itul
U04467,"Ahí entrando (dentro de la ballena, Marcel) le vio su corazón.",NANEK DA’AN LLI’ITULLI DINLUPINEN.,vs_textos_narrativos,P00029,ahí entrando (dentro|nanek da’an lli’itul
U02830,Ahí se pudrió.,Nanek tawetchulli.,pdf_textos,P00579,ahí se pudrió.|nanek tawetchulli.
U04470,Ahí se pudrió.,NANEK TAWETCHULLI.,vs_textos_narrativos,P00032,ahí se pudrió.|nanek tawetchulli.
U02818,Allí dice vivía una ballena.,Nanek ima lanla’ ñilli.,pdf_textos,P00567,allí dice vivía una |nanek ima lanla’ ñil
U04458,Allí dice vivía una ballena.,NANEK IMA LANLA’ ÑILLI.,vs_textos_narrativos,P00020,allí dice vivía una |nanek ima lanla’ ñil
U02831,"De ahí, esta la “Ballena Poza” se redujo.",Naneklimaka asu’ nana Lanla’ Pitunta’ uwentunta’lli.,pdf_textos,P00580,"de ahí, esta la “bal|naneklimaka asu’ nan"
U04471,"De ahí, esta la “Ballena Poza” se redujo.",NANEKLIMAKA ASU’ NANA LANLA’ PITUNTA’ UWENTUNTA’LLI.,vs_textos_narrativos,P00033,"de ahí, esta la “bal|naneklimaka asu’ nan"
U02832,Dicen que antes era grande Ballena Poza.,A’llupima ñiwiñi napi’ Lanla’ Pitun.,pdf_textos,P00581,dicen que antes era |a’llupima ñiwiñi nap
U04472,Dicen que antes era grande Ballena Poza.,A’LLUPIMA ÑIWIÑI NAPI’ LANLA’ PITUN.,vs_textos_narrativos,P00034,dicen que antes era |a’llupima ñiwiñi nap
U02819,Dicen que Arákayu puso una ballena y salió (de la región).,Arakayu ima lanla’ akun yunsu’lli.,pdf_textos,P00568,dicen que arákayu pu|arakayu ima lanla’ a
U04459,Dicen que Arákayu puso una ballena y salió (de la región).,ARAKAYU IMA LANLA’ AKUN YUNSU’LLI.,vs_textos_narrativos,P00021,dicen que arákayu pu|arakayu ima lanla’ a
U02826,Dicen que cuando Marcel bajaba el río en un patecito la ballena se lo tragó.,Marcel ima pachishak nu’wantan lanla’ler lanpi’tulli.,pdf_textos,P00575,dicen que cuando mar|marcel ima pachishak
U04466,Dicen que cuando Marcel bajaba el río en un patecito la ballena se lo tragó.,MARCEL IMA PACHISHAK NU’WANTAN LANLA’LER LANPI’TULLI.,vs_textos_narrativos,P00028,dicen que cuando mar|marcel ima pachishak
U02823,Dicen que todas estas cosas Arákayu enojándose nos ha dejado al irse.,Nanadaper ima’ka Arakayu yun pa’lapinantullinerkudek.,pdf_textos,P00572,dicen que todas esta|nanadaper ima’ka ara
U04463,Dicen que todas estas cosas Arákayu enojándose nos ha dejado al irse.,NANADAPER IMA’KA ARAKAYU YUN PA’LAPINANTULLINERKUDEK.,vs_textos_narrativos,P00025,dicen que todas esta|nanadaper ima’ka ara
U02821,dijo Arákayu y puso la ballena.,tan ima Arakayu nana lanla’ aku’lli.,pdf_textos,P00570,dijo arákayu y puso |tan ima arakayu nana
U04461,dijo Arákayu y puso la ballena.,TAN IMA ARAKAYU NANA LANLA’ AKU’LLI.,vs_textos_narrativos,P00023,dijo arákayu y puso |tan ima arakayu nana
U02817,Los finados shiwilu a la que llamamos ahora “Campana Poza” antes la llamaban “Ballena Poza”.,Shiwiluku’lusa’ ipa’la ita’kawa’su’ “Kanpana’ Pitun” napi’ i’na itullina’ “Lanla’ Pitun”.,pdf_textos,P00566,los finados shiwilu |shiwiluku’lusa’ ipa’
U04457,Los finados shiwilu a la que llamamos ahora “Campana Poza” antes la llamaban “Ballena Poza”.,SHIWILUKU’LUSA’ IPA’LA ITA’KAWA’SU’ “KANPANA’ PITUN” NAPI’ I’NA ITULLINA’ “LANLA’ PITUN”.,vs_textos_narrativos,P00019,los finados shiwilu |shiwiluku’lusa’ ipa’
U04614,luna,duker,extra,P00084,luna|duker
U00245,Luna,DUKER,flashcards2,P00245,luna|duker
U04502,MAMÁ,AWA,cotidianas,P00029,mamá|awa
U04530,mamá,awa,extra,P00000,mamá|awa
U02825,él mató a la ballena.,di’tulli lanla’.,pdf_textos,P00574,él mató a la ballena|di’tulli lanla’.
U04465,él mató a la ballena.,DI’TULLI LANLA’.,vs_textos_narrativos,P00027,él mató a la ballena|di’tulli lanla’.
U02820,“Esto les va a devorar a todos los malos”,“Asu’ler pekdadek’etchu mukankinpu’lusa’”,pdf_textos,P00569,“esto les va a devor|“asu’ler pekdadek’et
U04460,“Esto les va a devorar a todos los malos”,“ASU’LER PEKDADEK’ETCHU MUKANKINPU’LUSA’”,vs_textos_narrativos,P00022,“esto les va a devor|“asu’ler pekdadek’et
U02828,“La mataré” dijo y le trozó el corazón.,“Di’tetchek” tan dinlupinen dektuintulli.,pdf_textos,P00577,“la mataré” dijo y l|“di’tetchek” tan din
U04468,“La mataré” dijo y le trozó el corazón.,“DI’TETCHEK” TAN DINLUPINEN DEKTUINTULLI.,vs_textos_narrativos,P00030,“la mataré” dijo y l|“di’tetchek” tan din
