anchor,positive,negative
¡qué fiasco!,¡enpu'ni dakuta'ipa'!,¡embu'ni mushipa'!
me niego.,luwanchi'nek,anu'lek
"lo que contaron he escuchado, que por causa del camino de moyobamba algunos se terminaron.","ta'ser lauktulek, asu' muyunpa inchilala malek, nu'unta' taketllina'.",ipa'leklanlek a'metchala nu'unta' chilenñusa' yullina' winenllusa' pa'a'ser nanalupa'.
puedo demostrarlo.,yennitulek a'lli'tak,yennitulek adanta'ak
¡déjale irse!,¡ta'ituler' pa'i!,¡weranker' uti'la!
preferiría morir.,chimin'ina'ka,luwantulek wichi'ak
¿quién ganó?,¿den'ina' kana'tulli?,¿den yunsu'lli?
no sonrías.,yayamerladata,yainyututama'
estuvo chevere.,ucha'paya ñapawiñi,pulunker' ñapawiñi
tom obedecerá.,tom latekte'chu,tom akusute'chu
nadie sabe.,ñiden ñinchichi'ñi,ñiden pek'klu'chi'ñi
¿es suficiente?,¿nanasa'cha iñer'?,¿pa'chi'ñin'cha?
lo compraré.,mape'chek,iyatulek
estoy enferma.,kaluwi'su' ñapalek,ukapisu' ñapalek
ahora sé.,ipa'la ñinchitulek,nanek pa'echek
tú prometiste.,kenma nu'techun tuwina,kenma wichi'wina'
estamos casados.,sadasu' ñapalek',mumusu' ñapallidek
¡estás enfermo!,!kaluwi'pala!,¡yawa'tentutama!
yo recuerdo.,kua lli'inutapalek,kua lamapu'lek
"otros, dice, hay dos lomas que parecen una boca abierta.",ali'limi'na katu'ta mutupi laweklatekkasu'pu'si'ma ñilli.,"nana malek imi'na, ala'sa' shaya' llillinen itullina' malallina,"
aléjate.,ñilupa'sha,neriker'
sigue caminando.,dek'kuntaper'pi'la,teka'per'i'la
pareces ocupado.,ma'nen'nu'tapa'masu'pu'su' lli'tula,yupa'masu'pu'su' lli'tula
estoy tosiendo.,chinku'palek,weranpi'nek
me gusta.,iyatulek,luyulek'
feliz pascua.,musu' paskua',¡musu' paskua'!
eso ayuda.,nana katu'patulli,nana katu'pa'techu
tom luchará.,tom idenmechu,tom akusute'chu
olvidémoslo.,pinaner'awa',nu'tulek'wa'
preparé cena.,kalutulek,kere'chek vinu'
eso ayudó.,nana katu'pa'tulli,nana katu'patulli
