pair_id,group_id,anchor,positive,negative,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U01776,G01575,estoy acostumbrado.,ñapalek da'iyasu',ñapalek sadasu',U00820,G00696,hard,0.6790591478347778,0.6266672611236572,0.052391886711120605,13
U02340,G02115,"primero se va a traer yuca de la chacra,","nanentu ker' manta'lek menmikda',","¡enpi'pui'pa' nana nu'su' ña'su',",U02810,G02585,hard,0.5548006892204285,0.5037499070167542,0.051050782203674316,21
U00891,G00763,se quemaron.,uker'llina',yunsu'ku',U00064,G00049,medium,0.7343708872795105,0.5801630020141602,0.15420788526535034,18
U00259,G00206,tom renunció.,tom yunsu'lli,tom a'shulli,U00916,G00786,hard,0.8392840623855591,0.768383264541626,0.0709007978439331,5
U03137,G02912,"así dice, cuando no podían ver bien en la noche, vamos a regresar, decía (sekputchek).","tusik ima ipa' tulli ipa' mulli'chinpu'a'ser enchuku' adanta'wa', tullima.",nanek ima' pa'lli' ipa'linchi ala'sa' taserpima tulli enchuku' pa'awa' mutupik.,U03149,G02924,hard,0.4989566206932068,0.43317365646362305,0.06578296422958374,2
U02276,G02051,más son las mujeres las que me acompañan.,a'pinta' ku'aperwawalusa' musu' eknanpipallun.,nawa'ler a'ka di'tetchuna' nana anaka'.,U02916,G02691,medium,0.6817958950996399,0.518040120601654,0.16375577449798584,4
U03131,G02906,"cuentan que apu'tek tenía plata, mientras que a sekputchek lo trajeron para que supervise a los trabajadores.","apu'tek ima kullikerwa'su', sekputchek imi'na saka'tulusa' luwekta'su' nanakin kelli.","katu'shunka' alei'teklun ekkilala ñisik ima, nana wa'anku'lusa' malallinalek lu'rnkasu' nawei'ma ipa' chimia'ser adankenñunta'llina'.",U03086,G02861,medium,0.6114729046821594,0.45601052045822144,0.155462384223938,5
U01098,G00957,soy doctor.,doktor nuka'ka,lulentutek' nuka'ka,U01097,G00956,medium,0.8853580951690674,0.7179995179176331,0.16735857725143433,2
U00856,G00732,entremos.,da'awa',weranwa',U00387,G00315,medium,0.7601301074028015,0.6054021120071411,0.1547279953956604,24
U01068,G00927,no sé.,ñinchichi'nek,ku'la ñinchitapi'nek,U01397,G01221,medium,0.7549072504043579,0.5902783870697021,0.16462886333465576,9
U00385,G00313,déjeme entrar.,ta'itula'u yada'lek,ta'itula'u ata'wantak,U01494,G01311,hard,0.743529200553894,0.6932988166809082,0.05023038387298584,7
