id,pair_id,group_id,source,target,source_lang,target_lang,split,has_audit_flags,origin_source
U00996__shw2spa,U00996,G00853,lu'uktutek'ken ñiker,sé confiado.,shw,spa,train,False,flashcards2
U00996__spa2shw,U00996,G00853,sé confiado.,lu'uktutek'ken ñiker,spa,shw,train,False,flashcards2
U02413__shw2spa,U02413,G02182,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",hablando más en castellano ya no hablan shiwilu.,shw,spa,train,True,pdf_textos
U02413__spa2shw,U02413,G02182,hablando más en castellano ya no hablan shiwilu.,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",spa,shw,train,True,pdf_textos
U04424__shw2spa,U04424,G04159,shiwilu la'la' napiklanek lulen'i'ñina';,pero a la lengua shiwilu desde antes no le curaron;,shw,spa,train,True,fidel_lomas
U04424__spa2shw,U04424,G04159,pero a la lengua shiwilu desde antes no le curaron;,shiwilu la'la' napiklanek lulen'i'ñina';,spa,shw,train,True,fidel_lomas
U00261__shw2spa,U00261,G00204,tom welliek'lli,tom lloró.,shw,spa,train,False,flashcards2
U00261__spa2shw,U00261,G00204,tom lloró.,tom welliek'lli,spa,shw,train,False,flashcards2
U01390__shw2spa,U01390,G01507,latekllien,te creo.,shw,spa,train,True,flashcards2
U01390__spa2shw,U01390,G01507,te creo.,latekllien,spa,shw,train,True,flashcards2
U01710__shw2spa,U01710,G01507,latekllien,te creí.,shw,spa,train,True,flashcards2
U01710__spa2shw,U01710,G01507,te creí.,latekllien,spa,shw,train,True,flashcards2
U02427__shw2spa,U02427,G02196,"du'anpamu erwatulek, erwa uncha'llina'.","sentada me la paso, tarde llegan.",shw,spa,train,True,pdf_textos
U02427__spa2shw,U02427,G02196,"sentada me la paso, tarde llegan.","du'anpamu erwatulek, erwa uncha'llina'.",spa,shw,train,True,pdf_textos
U04394__shw2spa,U04394,G04129,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,hace veinte años que salí de mi pueblo.,shw,spa,train,True,fidel_lomas
U04394__spa2shw,U04394,G04129,hace veinte años que salí de mi pueblo.,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,spa,shw,train,True,fidel_lomas
U02119__shw2spa,U02119,G01893,denipa' peklu'tulli,alguien llamó.,shw,spa,train,False,flashcards2
U02119__spa2shw,U02119,G01893,alguien llamó.,denipa' peklu'tulli,spa,shw,train,False,flashcards2
U02186__shw2spa,U02186,G01960,a'wer'llidek,los perdimos.,shw,spa,train,False,flashcards2
U02186__spa2shw,U02186,G01960,los perdimos.,a'wer'llidek,spa,shw,train,False,flashcards2
U01891__shw2spa,U01891,G01679,a'chiyek'echiden,te salvaremos.,shw,spa,train,False,flashcards2
U01891__spa2shw,U01891,G01679,te salvaremos.,a'chiyek'echiden,spa,shw,train,False,flashcards2
U04068__shw2spa,U04068,G03805,pistak pa'llina' ipa'linchi katu'daper.,"y, así, se fueron a la fiesta las dos.",shw,spa,train,True,fidel_lomas
U04068__spa2shw,U04068,G03805,"y, así, se fueron a la fiesta las dos.",pistak pa'llina' ipa'linchi katu'daper.,spa,shw,train,True,fidel_lomas
U02470__shw2spa,U02470,G02239,"ipa'lalek, ipa'la walek yunsi'ñi.","hasta hoy, hasta ahora no se levanta.",shw,spa,train,True,pdf_textos
U02470__spa2shw,U02470,G02239,"hasta hoy, hasta ahora no se levanta.","ipa'lalek, ipa'la walek yunsi'ñi.",spa,shw,train,True,pdf_textos
U02277__shw2spa,U02277,G02046,nu'amui'na kuanta' musu' nanpiapalek.,así yo también vivo bien.,shw,spa,train,True,pdf_textos
U02277__spa2shw,U02277,G02046,así yo también vivo bien.,nu'amui'na kuanta' musu' nanpiapalek.,spa,shw,train,True,pdf_textos
U00131__shw2spa,U00131,G00089,¿den'ina' kana'tulli?,¿quién ganó?,shw,spa,train,False,flashcards2
U00131__spa2shw,U00131,G00089,¿quién ganó?,¿den'ina' kana'tulli?,spa,shw,train,False,flashcards2
U03281__shw2spa,U03281,G03049,yalaulek' lun'a'sin,quiero escuchar cuando hablas.,shw,spa,train,False,flashcards_oraciones
U03281__spa2shw,U03281,G03049,quiero escuchar cuando hablas.,yalaulek' lun'a'sin,spa,shw,train,False,flashcards_oraciones
U03976__shw2spa,U03976,G03720,ala'shasa' wawinwanpalli ekkilalak.,el majaz tiene solo una cría anualmente.,shw,spa,train,True,fidel_lomas
U03976__spa2shw,U03976,G03720,el majaz tiene solo una cría anualmente.,ala'shasa' wawinwanpalli ekkilalak.,spa,shw,train,True,fidel_lomas
U00123__shw2spa,U00123,G00084,ñinchitapallidek,lo sabemos.,shw,spa,train,False,flashcards2
U00123__spa2shw,U00123,G00084,lo sabemos.,ñinchitapallidek,spa,shw,train,False,flashcards2
U03029__shw2spa,U03029,G02798,"da'ilek i'na, pi'tandulalusa' lli'anna', lli'ker, ma'pu'n ipa' asu' tandula ulu' ulu'tulli, nu'an pennu'lli.","sin embargo, ellos viendo a los astros (decían) miren por qué reverbean las estrellas, después se vuelan (las estrellas fugaces).",shw,spa,train,True,pdf_textos
