pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.7960387468338013,0.7960387468338013,True,1,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U02245,G02020,1,0.6650053858757019,0.6650053858757019,True,1,está envejeciendo.,taserpitapilalli,(grupo correcto),best
U02312,G02087,1,0.4876976013183594,0.4876976013183594,True,1,desde una ciudad grande ha venido.,kupin ñinanlukla weklli.,(grupo correcto),best
U01659,G01466,1,0.8646285533905029,0.8646285533905029,True,1,¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),best
U02615,G02390,1,0.7074891924858093,0.7074891924858093,True,1,"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U01957,G01747,1,0.7545304298400879,0.7545304298400879,True,1,¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),best
U02619,G02394,1,0.7987017631530762,0.7987017631530762,True,1,"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U01209,G01050,1,0.6333346962928772,0.6333346962928772,True,1,son buenos.,u'chimulusa' nuker'ka,(grupo correcto),best
U02432,G02207,1,0.7160298228263855,0.7160298228263855,True,1,"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U03200,G02975,1,0.4233261048793793,0.4233261048793793,True,1,"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),best
U01218,G01058,1,0.8671314120292664,0.8671314120292664,True,1,tom escuchó.,tom lauk'tulli,(grupo correcto),best
U02095,G01877,1,0.7908548712730408,0.7908548712730408,True,1,remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),best
U02858,G02633,1,0.5877645015716553,0.5877645015716553,True,1,"después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",(grupo correcto),best
U02269,G02044,1,0.7254689931869507,0.7254689931869507,True,1,mis hijos varones y también mis hijas mujeres me están sirviendo.,enmu'pinenwawalusa' nu'an ku'aperwawalusa' luwektapallinerku.,(grupo correcto),best
U00971,G00837,1,0.5962153673171997,0.5962153673171997,True,1,te desmayaste.,muisu' kankantula,(grupo correcto),best
U01451,G01269,1,0.7439699172973633,0.7439699172973633,True,1,soy guapa.,mulun nuka'ka,(grupo correcto),best
U02548,G02323,1,0.6402917504310608,0.6402917504310608,True,1,se detuvieron y miraron atrás.,waneranni'ma pi'shekllina'.,(grupo correcto),best
U00964,G00830,1,0.8601401448249817,0.8601401448249817,True,1,¿quién escapó?,¿den chi'yeklli?,(grupo correcto),best
U00301,G00240,1,0.7440131306648254,0.7440131306648254,True,1,¡es estupendo!,¡u'chimuinchi nuka'a!,(grupo correcto),best
