pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank,risk_flags
U01104,G00962,estoy divorciada.,apu'pi nuka'ka,insek'diperpiku' nuka'ka,estoy listo. (preparado),U00218,G00170,hard,0.694581925868988,0.6358727216720581,0.0587092041969299,40,very_close_margin|shared_shiwilu_tokens
U02521,G02296,"dicen que este monte lo van a quemar, pero no le creyeron.",asu' tanan ima di'setchetchuna' itudekllima ñima latekchiñina'.,"naneima a'lachiktulli aner yanu'tudektama' asu' yadi'tudektama', nawa' uk'i'ñina' ya'di'nna' tullima nana a'lachikta'su'.","él ha explicado: a ellos no los traten así, a ellos no los maten, ellos no han venido a matar dijo el intérprete.",U02975,G02750,medium,0.6861990690231323,0.5309807658195496,0.1552183032035827,3,shared_shiwilu_tokens
U02101,G01882,curémonos.,inlulen'awa',llia'terwa',nos quedamos.,U01588,G01399,hard,0.8074366450309753,0.7534715533256531,0.0539650917053222,3,very_close_margin
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,¿inapiken ñapala?,¿estás soltero?,U01649,G01458,hard,0.8425722122192383,0.7807895541191101,0.0617826581001281,3,shared_shiwilu_tokens
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,¿wa'danpindek ñapala?,¿estás loco?,U00716,G00601,medium,0.8425722122192383,0.6860806345939636,0.1564915776252746,13,shared_shiwilu_tokens
U01102,G00961,estoy confuso.,lachek'ki'nek,yen'nichi'nek,estoy ocupada.,U00314,G00251,hard,0.782792866230011,0.7285290360450745,0.0542638301849365,7,very_close_margin
U01103,G00961,estoy confundido.,lachek'ki'nek,yen'nichi'nek,estoy ocupada.,U00314,G00251,hard,0.7703898549079895,0.7148352861404419,0.0555545687675476,6,very_close_margin
U00760,G00639,está fingiendo comer.,intek weranpalli,intek apalli,está fingiendo.,U00759,G00638,hard,0.7891958355903625,0.7272424697875977,0.0619533658027648,3,shared_shiwilu_tokens
U02116,G01897,es brasileña.,brashika nuka'a,pipersu' nuka'a,es rojo.,U00229,G00179,medium,0.8186816573143005,0.6283385157585144,0.1903431415557861,2,shared_shiwilu_tokens
U00833,G00709,¿está ventoso?,¿nakusu' tanluwatulli?,¿lulentuteken'a'cha?,¿es médico?,U01781,G01580,hard,0.6437042951583862,0.5923077464103699,0.0513965487480163,14,very_close_margin
U00669,G00559,tomás esperó.,chuma wa'tentulli,chuma peklu'tulli,tomás llamó.,U00663,G00553,medium,0.8547830581665039,0.7012466192245483,0.1535364389419555,2,shared_shiwilu_tokens
U02483,G02258,hace mucho yo viví en varadero.,kua napi' simirkek nanpilek.,kui'na enpu'nipa' insekluten'a'kasu' nanpi'kasu'.,yo he sufrido mucho en mi vida.,U02482,G02257,hard,0.7194432616233826,0.662903368473053,0.0565398931503295,2,very_close_margin
U01065,G00924,me corté.,indei'tulek,a'aper'lek',fracasé.,U00175,G00133,hard,0.8181908130645752,0.7661049962043762,0.0520858168601989,2,very_close_margin
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,iyasu'lusa' nuker'ka,son ricas.,U01210,G01051,hard,0.8161827325820923,0.7093083262443542,0.106874406337738,4,shared_shiwilu_tokens
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,wiuksu'lusa' nuker'ka,son rápidos.,U01207,G01048,medium,0.8161827325820923,0.6607148051261902,0.1554679274559021,8,shared_shiwilu_tokens
U02624,G02399,"él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","ñi ma'wi'ñi, wilawi'ñi, ñi ñiñi'wi'ñi, wa'dantekwi'ñi, ñi ma'wi'ñi.","no tiene nada, no tiene hijos, no tiene perro, no tiene gallinas, no tiene nada.",U02622,G02397,hard,0.7546048760414124,0.6183971166610718,0.1362077593803405,2,shared_shiwilu_tokens
U02624,G02399,"él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","apu'tek i'mi'na ñinpu' ninchiluyuchi'ñi, ñi aperku'tekinpu'.","en cambio apu'tek no sabía aborrecer mucho, no era miserable.",U03134,G02909,medium,0.7546048760414124,0.5949992537498474,0.1596056222915649,3,shared_shiwilu_tokens
U00973,G00839,me lastimas.,a'kaluwi'lun,a'kaluwi'liu,me enferma.,U01475,G01293,hard,0.7483929991722107,0.6981706023216248,0.0502223968505859,2,very_close_margin
U00201,G00154,estoy herido.,chacha'lek ñapalek,tuna'su' ñapalek,estoy calmado.,U00190,G00145,hard,0.8422922492027283,0.7852015495300293,0.0570906996726989,12,very_close_margin|shared_shiwilu_tokens
U01772,G01572,me desnudo.,inanpilechek,yen'ner'lek',me incliné.,U00084,G00058,hard,0.6394162178039551,0.5883005857467651,0.0511156320571899,21,very_close_margin
U00561,G00466,me mudaré.,yunsue'chek,yute'chek,lo regañaré.,U01765,G01566,hard,0.819166362285614,0.7675549983978271,0.0516113638877868,6,very_close_margin
U00295,G00234,no preguntes.,yalek'tuta,yatuluner'ta,no cantes.,U00486,G00399,hard,0.7921790480613708,0.7380210161209106,0.0541580319404602,5,very_close_margin
U01059,G00918,estoy lesionado.,ñapalek da'peksu',pekuipi ñapalek,estoy limpio.,U00213,G00165,hard,0.7819271683692932,0.723917543888092,0.0580096244812011,34,very_close_margin|shared_shiwilu_tokens
U00660,G00550,tom miró.,tom lli'tulli,tom lli'inutapalli,tom recuerda.,U01553,G01365,hard,0.8969297409057617,0.762065052986145,0.1348646879196167,3,shared_shiwilu_tokens
U00660,G00550,tom miró.,tom lli'tulli,tom lauki'lli,tom bostezó.,U00672,G00562,medium,0.8969297409057617,0.7062512636184692,0.1906784772872924,4,shared_shiwilu_tokens
U02797,G02572,las viejas finadas y los viejos finados se sentaban y hablaban de ese arákayu.,"tasellunku'lusa' papinkuku'lusa' du'anna', nana arakayukin luñina'.",nana mukankinpu'lalusa'ler arakayu pideknen di'setchullina'.,porque los de mal corazón quemaron la casa de arákayu.,U02788,G02563,hard,0.8141074776649475,0.6816819906234741,0.1324254870414734,2,shared_shiwilu_tokens
U01640,G01450,estás delgado.,sha'mu'su' nuka'ma,saka'tusu' ñapala,estás cansado.,U01302,G01133,hard,0.7648985385894775,0.708576500415802,0.0563220381736755,12,very_close_margin
U00045,G00036,¿la verdad?,¿tekinchi?,¿tekinchi'cha?,¿es seguro?,U00578,G00481,hard,0.8526614308357239,0.7983574271202087,0.0543040037155151,3,very_close_margin
U01410,G01231,te mentí.,tumu'tullien,tumu'tulun,me mentiste.,U01913,G01705,hard,0.8646129965782166,0.8143350481987,0.0502779483795166,2,very_close_margin
