spanish,shiwilu
mamá,awa
fracaso,ananan
opaco,dawan'
dueño espiritual; madre,ashin
zorro,anaser'
tigre,amana'
(a) tiene; (b) ha tenido,anhili
yo,ku
cuatro,inkatu'
manteca,iyadek'
vamos,enyu
caimito,ek'pa
pelo,enchek
donde,enupa'
añañinga,ellek
fuego,pen
agua,dek
oreja; cuerno,wi'wek
boquichico,wankechek
fluyo el agua,teka'linidek
murciélago,liishek'
parijí,isha
murciélago,ishek'
sonidos,illin
oreja; cuerno,wi'wek
despertó,mampilin
garganta,kulupi
cangrejo,chinyi
dolor,iker'
Manteca,iyadek'
Cuatro,inkatu
Raíz,itek'
Achuni,itek'
bebe toma,u'ker'
así,unsu'
día,ukli
cenicidor,u'klin
páiche,unma'
jalar,uala
mono choro,sulu'
cotomono,lu'lu'
carne,chuchu
pihuicho,shu'pi
corazón,dinlupi
Nuevo,nalu
Chiricles,kupinshupi
Negro,kellulu
Mujer,ku'aper
diviesos; chupos,cha'cha'
tipo de pajarito malagüero,wa'cha'cha'
derecho,chek'
panza,mechek
voy a coger,mechek
boquichico,wankechek
cabello,enchek
voy a llevar,ekpekchek
ven a llevar,mencher
tímpano; caracolito,mincher
pecho,chi'tek'
cangrejo,chinchi
carachupa,chi'lek
carne,chuchu
pucacunga,chunser'
sucio,u'chu'
caracolito de tahuampa,chumpi
vamos,enchu
cortar,enchun
dolor de ojo,dapi
flor,danku
sal,damula
chonta,dawer
lagarto,tada
esposo,suda
quien,den
agua,dek
pelear,idenma
afilar,suden
corazón,dinlupi
leña,diwek
espuma,dampu
cobija,idimunan
su esposo,sadin
ha matado,dili
tripas,dulin
luna,duker
siéntate,dunker'
paña; cintura (?),dunan
ancho,du'wan
huevo,kadu'
buyurqui,adula
estrella,tandula
huevo,kadu'
dos,katu'a'
tres,kala
hígado,kankai
está viniendo,ukapinla'li
maíz,dek'kanan
tú,kenmu
yuca,ker'
sol,keki
humo,kellu
sangre que huele mal,ukeklli
tiene frío,umkelli
añsua (k. fish),kilen
adentro,kinekla
para papa,tatain
sol,keki
mujer,ku'aper
boa,kupiwin
pasó,nakulli
dinero,kuiker'
me hicieron abuela,amituinerku
pie,lantek
agua,dek
sol,keki
enseñó,a'lek
de ahí,nanekla
ahí,nanek'
vereda,pidek'sek'lla
yo,kwa
Juan,kwaini
esto es pesado,asu'kwe'li
y yo,kwina
pesado,kwer'li
pesado,kwer
hueco,lala
ojo,lada
diente,latek'
huele,laner
pie,lantek
idioma,la'la'
naranja,lalansu'
surí de aguaje,lenmasun
añsua,kilen
enseñó,a'lek
yo hablo,kwa lumbalek
cinco,ala'tek'lun
otro,ali'a
de ahí,nanekla
entonces,ipa'linli
tierra; suelo,lu'pa'
soga,lulinlintek'
arpienteete,luna'te'
conversador,tuntek'
garganta,kulupi
niño(s),wila
corazón,dinlupi
cinco,ala'tek'lun
uña de la menstruación,lek'lun
humo,kellu
añañinga,ellek
cunchi,ikellala
shamillito,samellu'
pescado,samer
varios pescados,samerlisa'
nombre antiguo de hombre,llachek'
afrecho,ketlla
vereda,setla
tipo de bagrecito; cunchi,ikellala
escopeta,illapa
he olido,llanellek
añañinga,ellek
Lima,llima'
limón,llimu'
río,lli'li
nombre,llinlin
cola,llindek'
apodo de Dolores,yullu
me vio,lli'linu
humo,kellu
shamillito,samellu'
motelo,madu
comprar,mapa'
cerdo,nana malli
qué es?,ma'nen
no,ma'shia
tigre,amana'
sajino,amandek'
suave,meru'
voy a coger; voy a levantar,useyek'
panza,mechek
panza,merchek'
barriga,merpi
maduro,merpi
pescado,samer
cuñado del hombre,mek'shi
chacra,memin
estoy lleno,merllek
hoja,lalune'
yarina,milek
collar,midu
pavo,mikarawa'
nido,mipek
abuela,ami
murió,chininiñin
chacra,memin
tímpano; caracolito,mincher
cabeza,mu'tu'
teta,mudin
gente,muda?
bueno,mukangan
copa de árbol,mulu'
así siendo,nu'amu
malo,mukanganibu'
torcacita,munchi
flaco,shamuntek'
nosotros,kanmu'wa'
él; ella,nana
antiguamente,napi'
palo,nala
nuevo,nalu
shushupe,nater
podrido (pescado),analu'
tigre,amana'
se despertó,nambilin
aliento,neri
nariz,nerek'
diferente,nerpi'la
adentro,kinekla
he olido,lanellek
evader,nanet'lli
así dice,nanim'na
dijeron,tullina'
no se puede apagar,inichiñitashu'unsu
soy,nuka'ka
ha hecho,nu'tulli
entonces,nu'pachin
animal sin cola,unu'lli
elefante,unu'kañi'
canoa,num
Narcisa,ñashi
lo que es; lo que ha estado,ña?su?
todo,iñer
entero,iñer'pi
donde vivo,ñer'
perro,ñini'wa
lengua,ñinek'la
se ha extraviado,pektuñin
donde no hay,ñinupek
de dónde?,i'ñupa?la
vasija para sacar agua,puiñu
palmera pulponota; tasha ponilla,pada
perforar,patala'
abuelo,papinku
bufeo; lombriz gruesa,sapana'
anda; vete,panter'
se ha ido,pa'lli
tierra,lu'pa'
Pampayacu,pampadek'
candela,pen
pato,penku
sóplale,pekuter'
lavar ropa,peksadun
agarrar,pillinter'
espalda,pi'tek'
casa,pidek'
corazón,dinlupi
tabaco,pinder
alúmbrale,pinter'
boa,kupiwan
hierba,pumu
pucahuicsa,pupun
charapa,puka'
lechuza,putek
pescar,pur'
hartos,wapu'
vamos a desgranar,'enchupua
está pescando,pur'apalli
vasija de barro para agua,puiñu
no tiene nada,ma'puñi
Francisco,ransisco
anda planta,terer'
pavo,mikarawa'
comida; comer,uran
venado,uru
suave,meru'
yuca,ker'
lleno,mur'
pescar,pur'
pescado,samer
no son hartos,wapu' daper' imbu'
Viejo,taserpi
Barriga,merpi
Maduro,mer'pi
bufeo,sapana'
catalán,sasa'
pescado,samer
viruela,sa'la'
guaba,sa'lek'
lago,sennan
gotera,set'lla
viejo,taserpi
vieja,tasellun
doncella,da'wanser
erizo,sisek'
delgado; finito,simek'
noche; oscuro,kasiser'
tubo grueso,a'llupisi
gallinazo,supu'
a pie del árbol,sunan
mono choro,sulu'
soga; pretina,sudutek'
machete (antiguo),sunki
esto,asu'
pichico,sha'kek'
mujer; hermana,shaya'
paujil,isha
mujer de edad; hermana mayor,sha'sha
empapado,pisha'
Amarillo,sha'pi'
mono fraile,sha'wan
chancho,kusher
joven alto,shi'pan
soga larga,shillin
cuñado del hombre,mek'shi
mandar,kamashir'
largo,shillin
sol cuando levanta,shinker
camarón,wanshen
padre,tata
lagarto,tada
mojarra,pek'ta
Viejo,taserpi
brazo; rama,tamba'
estrella,tandula
viento,tanlua
chinchi,tanker
palometa,terek'
plantar,tera'
piel,chipitek'
voy a decir,windechek' itek'chek'
dile,iter'
mi tío,tiuwak'
tu tía,tiapen
mi tía,tiawek'
que se vayan,pan'dina'
rodilla,tu'tu'pi
muslo,tula
palmera para cumba,tumek'
cabeza,mutu'
dos,katu'a'
bebé,wawaser'
párate,warenker'
hartos,wapu'
mijano,wadi'
carachama grande,walatek'
sonar,wa'la
viento,tanluwa
lejos,we'
viene,uk'apinya'lli
comida,uran
llorar,wellek
oír,lauk'
niño,wila
poner al niño en brazos,wi'pu
oreja; cuerno,wi'wek'
cerca,kawi
curhuinsi,wilek
Qué vamos a hacer?,yama'pu'lan
manteca,iyadek'
solearse el cuerpo,yenbilli
rabioso,yutek'
