pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank,risk_flags
U01828,G01624,escucha atentamente.,lau'ker' musu',lli'ker' uti'lakla,mira cuidadosamente.,U02157,G01937,hard,0.6579791903495789,0.6025146245956421,0.0554645657539367,4,very_close_margin
U00920,G00790,apágalo.,a'tashunker',ek'ker'cher',ábrela.,U01162,G01014,hard,0.7196466326713562,0.6607813835144043,0.0588652491569519,2,very_close_margin
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,¿inapi ñapala?,¿estás libre?,U00987,G00851,hard,0.7622284293174744,0.6405487656593323,0.121679663658142,2,shared_shiwilu_tokens
U02351,G02126,"mientras muelo voy asando también la yuca, cinco yucas enteras.",peksantapamu nana inkaluner ker'unta' a'ler'apalek alei'teklundan.,ala'sa' kupin uktaksa' iñer nana kaladaper uktakda' sekdunek.,en una sola olla grande se mezcla todo lo de esas tres ollas.,U02380,G02155,medium,0.6394869089126587,0.4799054265022278,0.1595814824104309,8,shared_shiwilu_tokens
U01053,G00913,¡qué pesado!,¡enpu'ni saka'dek'ipa'!,¡enpu'ni aperpipa'!,¡qué horrible!,U01054,G00914,hard,0.717624306678772,0.6645835638046265,0.0530407428741455,3,very_close_margin|shared_shiwilu_tokens
U01053,G00913,¡qué pesado!,¡enpu'ni saka'dek'ipa'!,¡enpu'ni mupenchipa'!,¡qué romántico!,U01055,G00915,medium,0.717624306678772,0.5640270113945007,0.1535972952842712,6,shared_shiwilu_tokens
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,kadu'lusa' nuker'ka,son huevos.,U01206,G01047,hard,0.7843204736709595,0.7180472016334534,0.0662732720375061,3,shared_shiwilu_tokens
U02624,G02399,"él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","nanekla ñi a'pinta' yapitetchi'ñina', ñi ananchi'ñina', ñi asu' pankuellinchi'ñina'.","de ahí ya no quisieron hilar, ya no desmotaban el algodón, ya no hacían ovillo.",U02987,G02762,medium,0.7285159230232239,0.5042540431022644,0.2242618799209594,2,shared_shiwilu_tokens
U00201,G00154,estoy herido.,chacha'lek ñapalek,mudinui'su' ñapalek,estoy débil.,U00216,G00168,hard,0.7976048588752747,0.7305319309234619,0.0670729279518127,11,shared_shiwilu_tokens
U00201,G00154,estoy herido.,chacha'lek ñapalek,sha'mu'su' ñapalek,estoy flacucho.,U00565,G00469,medium,0.7976048588752747,0.644392192363739,0.1532126665115356,16,shared_shiwilu_tokens
U01772,G01572,me desnudo.,inanpilechek,a'aper'lek',fracasé.,U00175,G00133,hard,0.5408846735954285,0.485229879617691,0.0556547939777374,8,very_close_margin
U01299,G01130,eres inteligente.,iñer' ñinchitapala',iñer' ñinchitulusa' nuker'ka,son inteligentes.,U01300,G01131,medium,0.7716723680496216,0.6177167296409607,0.1539556384086609,6,shared_shiwilu_tokens
U01059,G00918,estoy lesionado.,ñapalek da'peksu',ñapalek pilli'pi,estoy atrapado.,U00829,G00705,hard,0.7808772325515747,0.7284349203109741,0.0524423122406005,11,very_close_margin|shared_shiwilu_tokens
U01059,G00918,estoy lesionado.,ñapalek da'peksu',kadulunsu' ñapalek,estoy embarazada.,U01111,G00968,medium,0.7808772325515747,0.6237666010856628,0.1571106314659118,22,shared_shiwilu_tokens
U00660,G00550,tom miró.,tom lli'tulli,tom lli'inutulli,tom recordó.,U01875,G01669,hard,0.8770464658737183,0.7581346035003662,0.118911862373352,2,shared_shiwilu_tokens
U02797,G02572,las viejas finadas y los viejos finados se sentaban y hablaban de ese arákayu.,"tasellunku'lusa' papinkuku'lusa' du'anna', nana arakayukin luñina'.",nana mukankinpu'lalusa'ler arakayu pideknen di'setchullina'.,porque los de mal corazón quemaron la casa de arákayu.,U02788,G02563,medium,0.7936287522315979,0.5259374976158142,0.2676912546157837,2,shared_shiwilu_tokens
U01640,G01450,estás delgado.,sha'mu'su' nuka'ma,a'lliupiken nuka'ma,sos grande.,U00966,G00832,hard,0.7571616172790527,0.6726844906806946,0.0844771265983581,2,shared_shiwilu_tokens
U02693,G02468,gritó arákayu.,lukatullima arakayu.,"yulli, willeklli, wa'inutulli arakayu.","se rabió, lloró, tuvo mucha pena arákayu.",U02694,G02469,hard,0.7745025753974915,0.6436097621917725,0.130892813205719,2,shared_shiwilu_tokens
U00780,G00657,tengo vino.,vinu' a'ñapalek,a'ñapallidek vinu',tenemos vino.,U01238,G01077,medium,0.8887825012207031,0.6544201970100403,0.2343623042106628,2,shared_shiwilu_tokens
U02688,G02463,"cuando pasó el carnaval regresó,","mitan nakusik ima adanta'n,","inpikanpiler'an ima unma' uklli,","dicen que revolcándose vino el paiche,",U02642,G02417,hard,0.7373311519622803,0.6797505021095276,0.0575806498527526,4,very_close_margin|shared_shiwilu_tokens
U03134,G02909,"en cambio apu'tek no sabía aborrecer mucho, no era miserable.","apu'tek i'mi'na ñinpu' ninchiluyuchi'ñi, ñi aperku'tekinpu'.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","él no cría gallinas, no cría huanganas, nada de esos animales.",U02624,G02399,medium,0.706605851650238,0.4645974040031433,0.2420084476470947,2,shared_shiwilu_tokens
U01586,G01397,somos egoístas.,kenmu'sak lli'i'nupalekwa',a'lek'tutek'lusa' nuka'kawa',somos profesores.,U02158,G01938,hard,0.651454508304596,0.6006425619125366,0.0508119463920593,6,very_close_margin
U03120,G02895,de esta manera ahora están olvidando la lengua shiwilu.,ipa'la nu'anna' ipa' shiwilu la'la' pinaner'apilallina'.,ipa'la asu' senñula' itullun ¡lunker shiwilu la'la'!,ahora esta señora me pidió ¡habla la lengua shiwilu!,U02504,G02279,medium,0.8201741576194763,0.6618368029594421,0.1583373546600341,3,shared_shiwilu_tokens
U03064,G02839,"nosotros somos bastantes, ellos son doscitos nomas.","kenmu'wa' wapu'mu'wa', ma'ki'na asu' katu'shadapersa'.","kenmu'wa' mutupi muda', kenmu'wa' ñi asu'lupa'dei'npu'.","nosotros somos gente de cerro, nosotros no somos de aquí.",U03150,G02925,medium,0.840511679649353,0.6765958666801453,0.1639158129692077,2,shared_shiwilu_tokens
U00646,G00539,esto funciona.,asu' saka'tapalli,asu' saka'techu',este funciona.,U01872,G01666,medium,0.8565344214439392,0.6952834129333496,0.1612510085105896,4,shared_shiwilu_tokens
U00647,G00539,esto trabaja.,asu' saka'tapalli,asu' saka'techu',este funciona.,U01872,G01666,medium,0.8608712553977966,0.7094545364379883,0.1514167189598083,4,shared_shiwilu_tokens
U02561,G02336,"atemorizados, cuando contaban nosotros (los jóvenes) los hemos oído a los viejos ya finados sentados en la calle,","tek kuanna', ta'ser kuda lauktullidek papinkuku'lusa' du'anna' adipik kallilalak,",ta'ser kuanta' taserpiku'lusa' laukdeklek du'amu weilan.,"cuando contaban yo también a los viejos ya finados les he escuchado, sentado desde cierta distancia.",U02789,G02564,medium,0.7641885280609131,0.5967463254928589,0.1674422025680542,2,shared_shiwilu_tokens
U00675,G00565,tom morirá.,tom chiminchu,tom idenmechu,tom luchará.,U01877,G01671,medium,0.8925004601478577,0.6777917146682739,0.2147087454795837,2,shared_shiwilu_tokens
U01037,G00898,"espera, tom.",wa'tenker' tom,wa'tenker',un momento.,U00248,G02022,medium,0.891211986541748,0.623449444770813,0.267762541770935,2,shared_shiwilu_tokens
