ESP,SHIWILU
ve,paker'
vete,paker'
vaya,paker'
hola,ma'pu'sin
corre,tekker'
quién,den
fuego,pen
incendio,ukeñan
ayuda,katu'pa'
socorro auxilio,katu'pa' katu'pa'
auxilio,katu'pa'
salta,indekker'
para,ta'ituler'
espera,wa'ten'ker'
esperen,wa'ten'ku'
he ganado,kana'tulek
oh no,shaw
oh no,asha
sonríe,yamer
sonrían,yamerku'
al ataque,paku' llipu'tudek'kunku'
levanta,usanker'
levanta,yunsanker'
tengo,a'ñapalek
entendiste,lachek'la
él corrió,nana tekaklli
métete adentro,da'ker' kinekla
abrázame,wiperi'u
me caí,anu'lek
salí,yunsu'lek
mentí,tumu'lek
perdí,wer'lliek
perdí,a'wer'lliek
renuncié,ta'itula'lek
estoy trabajando,saka'tapalek
tengo diecinueve,a'ñapalek shunka'iskun
estoy levantado,yunsansu' ñapalek
escucha,lau'ter
escuché,lau'tulek
escuchen,lau'tuku'
escucharon,lau'tullina'
estoy escuchando,lau'tapalek
estoy abriendo mi boca,lauk'apalek
imposible,saka'dek
en serio,tekinchi
la verdad,tekinchi
gracias,yuspeinet'echun
pruébalo,lata'ker
pruébalo,tekle'rier'
lo procuramos,tekle'rier'chidek
ganamos,kana'llidek
estate tranquilo,musu' ñapaker'
sean gentiles,mukankan ñiker'
sé agradable,mukankan ñiker'
llámame,peklu'u
llámanos,peklu'udek
entre,da'kerker'
pase,da'kerker'
entren,daker'ku'
suéltalo,apu'ker'
bájate,nu'wanker'
sal,yunsuer'
sal,damula
salgan,yunsu'ku'
largo,paker'
largo,shin
vete ya,paker'
lárguese,paku'
vaya despacio,paker' uti'la
hasta luego,pante'chek
chau,pante'chek
un segundo,ipia'lasha
agarra fuertemente,pilli'ter' ikersu'
dolor,iker
el ají pica,nuka' ikerlli
él vino,nana uk'lli
él renunció,nana yunsu'lli
ayúdame,katu'pa'u
ayúdanos,katu'pa'udek
espera,wa'tenker'
resista,yan'katek'ter'
resiste,yan'katek'ter'
de acuerdo,muetchun
me incliné,yen'ner'lek'
dormí,wichi'lek
durmiendo,wicha'palek
me voy a dormir,wichin'dek'chek
