CODIGO,TEXTO_SPA,TEXTO_SHI,AUDIO?
EL-0001,Pido perdón a los niños por haber dedicado este libro a una persona mayor.,"TA'ITULI'NER'KU ASU' WILALUSA' NU'TAKASU'MALEK ALA'SA' KERKA', ALA'SA TASERPIKIN.",FALSE
EL-0002,Tengo una muy seria disculpa,AÑAPALEK ALA'SA TEKINCHIWALEK TA'ITULI'NER'KUK,FALSE
EL-0003,Esta persona mayor es el mejor amigo que tengo en el mundo.,ASU' YALLY' SUSUNEN A'PINTA MUKANKAN A'ÑA'KASU' LUPAK,FALSE
EL-0004,Tengo otra disculpa,AÑAPALEK ALI'LA TA'ITULI'NER'KUK,FALSE
EL-0005,"Esta persona mayor es capaz de comprender todo, hasta los libros para niños.",ASU' YALLY' SUSUNEN LACHEK'SU IÑER' KERKA LUSA' WILALUSAKINTA',FALSE
EL-0006,Y tengo aún una tercera disculpa,A'ÑAPALEKILA ALA'SA KALALU TA'ITULI'NER'KUK,FALSE
EL-0007,"Esta persona mayor vive en Francia donde siente hambre, frío y tiene gran necesidad de ser consolada.","ASU' YALLI' SUSUNEN NANPIPALLI FRANCIAK NANEK UKI'LALEK, SANEK'WANTULEK, PAWANTULLI DENLER KA'TANA'SU'",FALSE
EL-0008,Más si todas estas disculpas no fueran suficientes,APINTA IÑER ASU' TAITULUSA PAWANPACHINA,FALSE
EL-0009,"Quiero entonces dedicar este libro al niño que fue, en otro tiempo, esta persona mayor.","NUPACHI YA ENKA'LEK ASU'KERK'A ASU WILA NAPI'NUSU, ASU YALLI SUSUNEN",FALSE
EL-0010,Todas las personas mayores han comenzado por ser niños,IÑER YALLI SUSUNENLUSA' TENMIANSU'LLINA WILA ÑANNA,FALSE
EL-0011,Aunque pocas lo recuerden,NU'UNTA'SA' LLI INUTAPALLINA',FALSE
EL-0012,"Cuando tenía apenas seis años, habiendo sólo aprendido a dibujar las boas cerradas y las boas abiertas.",SUCTA EKILALASA AÑAMU KUPIVANLUSA KERPILUSA UNKUPILUSA,FALSE
EL-0013,"Los adultos me desanimaron de ser pintor, cuando yo quería serlo, a la edad en que decidí dedicarme a ello.","TASERPILUSA' A'TAITULALLINERKU LINSERCHAK KUA YA LLISENCHURVINEK, WILAPI'LA ÑAMU",FALSE
,,,
EL-0014,Mi dibujo no era un sombrero.,,FALSE
EL-0015,Representaba una serpiente boa que digiere un elefante.,,FALSE
EL-0016,Los mayores siempre tienen necesidad de explicaciones.,,FALSE
EL-0017,Había quedado desilusionado por el fracaso de mis dibujos.,,FALSE
EL-0018,"Viví así, solo, sin alguien con quien poder hablar.",,FALSE
EL-0019,Me puse en pie de un brinco.,,FALSE
EL-0020,Descubrí a un extraordinario muchachito.,,FALSE
EL-0021,El muchachito me observaba gravemente.,,FALSE
EL-0022,¡Píntame un cordero!,,FALSE
EL-0023,"No importa, ¡Píntame un cordero!",,FALSE
EL-0024,En mi tierra todo es muy pequeñito.,,FALSE
EL-0025,Éste está muy enfermo.,,FALSE
EL-0026,"Esto no es un cordero, es un carnero.",,FALSE
EL-0027,Es demasiado viejo.,,FALSE
EL-0028,Quiero un cordero que viva mucho tiempo.,,FALSE
EL-0029,El cordero que quieres está adentro.,,FALSE
EL-0030,El corderito que te he dado también es pequeño.,,FALSE
EL-0031,Y así fue como conocí al principito.,,FALSE
EL-0032,¿Dónde quieres llevarte mi cordero?,,FALSE
EL-0033,"Le llama, por ejemplo, Asteroide 3251.",,FALSE
EL-0034,Las personas mayores son así.,,FALSE
EL-0035,Luego aceptaron su descubrimiento.,,FALSE
EL-0036,Los mayores creen conocer con cifras.,,FALSE
EL-0037,Me habría gustado decir: érase una vez…,,FALSE
EL-0038,Siento tristeza al acordarme de mi amigo.,,FALSE
EL-0039,Tener un amigo es un verdadero privilegio.,,FALSE
EL-0040,He comprado una caja de lápices de colores.,,FALSE
EL-0041,Uno saldrá bien y otro quizá no tanto.,,FALSE
EL-0042,Dudo sobre los colores de su traje.,,FALSE
EL-0043,Quizá me creía semejante a él.,,FALSE
EL-0044,Debo haber envejecido.,,FALSE
EL-0045,Cada día aprendía algo nuevo.,,FALSE
EL-0046,¿Es verdad que los corderos se comen los arbustos?,,FALSE
EL-0047,Entonces se comen también los baobabs.,,FALSE
EL-0048,Los baobabs no son arbustos.,,FALSE
EL-0049,Son árboles tan grandes como iglesias.,,FALSE
EL-0050,Los baobabs comienzan por ser muy pequeñitos.,,FALSE
EL-0051,Hay que arrancarlos inmediatamente.,,FALSE
EL-0052,El suelo estaba infestado de semillas.,,FALSE
EL-0053,El planeta es muy pequeño.,,FALSE
EL-0054,El retraso es siempre fatal.,,FALSE
EL-0055,Atención a los baobabs.,,FALSE
EL-0056,Estaba animado por un sentimiento de urgencia.,,FALSE
EL-0057,"¡Ah, mi pequeño amigo!",,FALSE
EL-0058,Me dijiste: me gustan mucho las puestas de sol.,,FALSE
EL-0059,Vamos a ver una.,,FALSE
EL-0060,Hay que esperar.,,FALSE
EL-0061,Siempre creo que estoy en mi tierra.,,FALSE
EL-0062,¡Un día vi ponerse el sol cuarenta y tres veces!,,FALSE
EL-0063,Cuando uno está triste es bueno ver las puestas de sol.,,FALSE
EL-0064,"Ese día estabas muy triste, ¿verdad?",,FALSE
EL-0065,¿Para qué sirven las espinas?,,FALSE
EL-0066,Las espinas no sirven para nada.,,FALSE
EL-0067,Son pura maldad de las flores.,,FALSE
EL-0068,¡Las flores son débiles!,,FALSE
EL-0069,¡Se defienden como pueden!,,FALSE
EL-0070,"Todo lo confundes, todo lo mezclas.",,FALSE
EL-0071,"¡Eso no es un hombre, es un hongo!",,FALSE
EL-0072,Estalló en sollozos.,,FALSE
EL-0073,¡Es tan misterioso el país de las lágrimas!,,FALSE
EL-0074,¡Qué hermosa eres!,,FALSE
EL-0075,He nacido al mismo tiempo que el sol.,,FALSE
EL-0076,Si tuvieras la bondad…,,FALSE
EL-0077,"Ya pueden venir los tigres, con sus garras.",,FALSE
EL-0078,Yo no soy una hierba.,,FALSE
EL-0079,Tengo horror a las corrientes de aire.,,FALSE
EL-0080,¿No tienes un biombo?,,FALSE
EL-0081,Hace mucho frío en tu tierra.,,FALSE
EL-0082,Tosió dos o tres veces.,,FALSE
EL-0083,¿Y el biombo?,,FALSE
EL-0084,"Iba a traerlo, pero no dejas de hablarme.",,FALSE
EL-0085,Esta flor me hacía sentir desdichado.,,FALSE
EL-0086,No debí haber hecho caso a sus palabras.,,FALSE
EL-0087,Mi flor perfumaba mi planeta.,,FALSE
EL-0088,¡No supe comprender nada entonces!,,FALSE
EL-0089,Son tan contradictorias las flores.,,FALSE
EL-0090,Yo era demasiado joven para saber amarla.,,FALSE
EL-0091,Adiós –le dijo a la flor.,,FALSE
EL-0092,La flor tosió aunque no estaba resfriada.,,FALSE
EL-0093,Soy una flor.,,FALSE
EL-0094,Tengo mis garras.,,FALSE
EL-0095,No te vayas.,,FALSE
EL-0096,Te nombro ministro.,,FALSE
EL-0097,¿Ministro de qué?,,FALSE
EL-0098,¡De justicia!,,FALSE
EL-0099,"Eso, uno podría hacerlo en cualquier lugar.",,FALSE
EL-0100,No es necesario permanecer aquí.,,FALSE
EL-0101,Es mejor que me retire.,,FALSE
EL-0102,Te nombro mi embajador.,,FALSE
EL-0103,Las personas mayores son muy extrañas.,,FALSE
EL-0104,¡Buenos días!,,FALSE
EL-0105,¡Qué sombrero tan raro tiene!,,FALSE
EL-0106,¡Es para corresponder a la aclamación de los demás!,,FALSE
EL-0107,Golpea tus manos una contra otra.,,FALSE
EL-0108,Esto parece más divertido.,,FALSE
EL-0109,¿Qué significa admirar?,,FALSE
EL-0110,"Te admiro, pero ¿qué importancia tiene?",,FALSE
EL-0111,No sirve para nada.,,FALSE
EL-0112,¿Qué haces ahí?,,FALSE
EL-0113,¡Bebo!,,FALSE
