pair_id,group_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,source,source_pair_id,has_audit_flags
U00996,G00853,Sé confiado.,LU'UKTUTEK'KEN ÑIKER,sé confiado.,lu'uktutek'ken ñiker,flashcards2,P00996,False
U02413,G02182,Hablando más en castellano ya no hablan shiwilu.,"A’pinta’ Kaschilleklansa’ lunna’, ñi a’pinta’ Shiwilu la’la’ lunpi’ñina’.",hablando más en castellano ya no hablan shiwilu.,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",pdf_textos,P00162,True
U04424,G04159,Pero a la lengua shiwilu desde antes no le curaron;,Shiwilu la’la’ napiklanek lulen’i’ñina’;,pero a la lengua shiwilu desde antes no le curaron;,shiwilu la'la' napiklanek lulen'i'ñina';,fidel_lomas,P00548,True
U00261,G00204,Tom lloró.,TOM WELLIEK'LLI,tom lloró.,tom welliek'lli,flashcards2,P00261,False
U01390,G01507,Te creo.,LATEKLLIEN,te creo.,latekllien,flashcards2,P01390,True
U01710,G01507,Te creí.,LATEKLLIEN,te creí.,latekllien,flashcards2,P01710,True
U02427,G02196,"Sentada me la paso, tarde llegan.","Du’anpamu erwatulek, erwa uncha’llina’.","sentada me la paso, tarde llegan.","du'anpamu erwatulek, erwa uncha'llina'.",pdf_textos,P00176,True
U04394,G04129,Hace veinte años que salí de mi pueblo.,Katu’-shunka’ ekkilala ñilli yunsu’a’kasu’ ñinanlu’wekekla.,hace veinte años que salí de mi pueblo.,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,fidel_lomas,P00518,True
U02119,G01893,Alguien llamó.,DENIPA' PEKLU'TULLI,alguien llamó.,denipa' peklu'tulli,flashcards2,P02119,False
U02186,G01960,Los perdimos.,A'WER'LLIDEK,los perdimos.,a'wer'llidek,flashcards2,P02186,False
U01891,G01679,Te salvaremos.,A'CHIYEK'ECHIDEN,te salvaremos.,a'chiyek'echiden,flashcards2,P01891,False
U04068,G03805,"Y, así, se fueron a la fiesta las dos.",Pistak pa’llina’ ipa’linchi katu’daper.,"y, así, se fueron a la fiesta las dos.",pistak pa'llina' ipa'linchi katu'daper.,fidel_lomas,P00192,True
U02470,G02239,"Hasta hoy, hasta ahora no se levanta.","Ipa’lalek, ipa’la walek yunsi’ñi.","hasta hoy, hasta ahora no se levanta.","ipa'lalek, ipa'la walek yunsi'ñi.",pdf_textos,P00219,True
U02277,G02046,Así yo también vivo bien.,Nu’amui’na kuanta’ musu’ nanpiapalek.,así yo también vivo bien.,nu'amui'na kuanta' musu' nanpiapalek.,pdf_textos,P00026,True
U00131,G00089,¿Quién ganó?,¿DEN'INA' KANA'TULLI?,¿quién ganó?,¿den'ina' kana'tulli?,flashcards2,P00131,False
U03281,G03049,Quiero escuchar cuando hablas.,YALAULEK' LUN'A'SIN,quiero escuchar cuando hablas.,yalaulek' lun'a'sin,flashcards_oraciones,P00074,False
U03976,G03720,El majaz tiene solo una cría anualmente.,Ala’shasa’ wawinwanpalli ekkilalak.,el majaz tiene solo una cría anualmente.,ala'shasa' wawinwanpalli ekkilalak.,fidel_lomas,P00100,True
U00123,G00084,Lo sabemos.,ÑINCHITAPALLIDEK,lo sabemos.,ñinchitapallidek,flashcards2,P00123,False
U03029,G02798,"Sin embargo, ellos viendo a los astros (decían) ""Miren por qué reverbean las estrellas, después se vuelan (las estrellas fugaces).","Da'ilek i'na, pi'tandulalusa' lli'anna', ""Lli'ker, ma’pu’n ipa’ asu’ tandula ulu’ ulu’tulli, nu’an pennu’lli.","sin embargo, ellos viendo a los astros (decían) miren por qué reverbean las estrellas, después se vuelan (las estrellas fugaces).","da'ilek i'na, pi'tandulalusa' lli'anna', lli'ker, ma'pu'n ipa' asu' tandula ulu' ulu'tulli, nu'an pennu'lli.",pdf_textos,P00778,True
U00493,G00402,No esperes.,YAWA'TENTUTA,no esperes.,yawa'tentuta,flashcards2,P00493,False
U02150,G01924,Están conmigo.,KUALEK ÑAPALLINA',están conmigo.,kualek ñapallina',flashcards2,P02150,False
U02746,G02515,se secaron las cochas.,enpinantekllina’ sennanlusa’.,se secaron las cochas.,enpinantekllina' sennanlusa'.,pdf_textos,P00495,True
U04450,G04185,Por eso todos la ambicionaban.,NU’ASU MALEK IÑETLLER LUYALLI.,por eso todos la ambicionaban.,nu'asu malek iñetller luyalli.,vs_textos_narrativos,P00012,True
U03037,G02806,Lo que han anunciado los abuelos ya finados “Algún día ustedes con sus madres ya no van a estar caminando.,Ter'kasu'pi'la papinkuku'lusa' “Enpi' uklli kenmama' awapenma'lek pa'api'nchuma'.,lo que han anunciado los abuelos ya finados algún día ustedes con sus madres ya no van a estar caminando.,ter'kasu'pi'la papinkuku'lusa' enpi' uklli kenmama' awapenma'lek pa'api'nchuma'.,pdf_textos,P00786,True
U01242,G01074,Lo necesitamos.,LUWANTULLIDEK,lo necesitamos.,luwantullidek,flashcards2,P01242,False
U04253,G03989,", después a los jóvenes, ","nanekla nadi’neklusa’,",", después a los jóvenes,","nanekla nadi'neklusa',",fidel_lomas,P00377,True
U02803,G02572,Pero a nadie queremos contarle porque no creen.,Ñi’na ñiden kudaler yawinchi’ñidek latekchiñina’.,pero a nadie queremos contarle porque no creen.,ñi'na ñiden kudaler yawinchi'ñidek latekchiñina'.,pdf_textos,P00552,True
U00674,G00560,Tom llorará.,TOM WELLEK'ECHU,tom llorará.,tom wellek'echu,flashcards2,P00674,False
U02241,G02010,No fuma.,KU'LA U'WA'TA'PI'ÑI,no fuma.,ku'la u'wa'ta'pi'ñi,flashcards2,P02241,False
U01505,G01315,Vayamos abajo.,NUWANTA'WA',vayamos abajo.,nuwanta'wa',flashcards2,P01505,False
U00840,G00710,Estuvo chevere.,UCHA'PAYA ÑAPAWIÑI,estuvo chevere.,ucha'paya ñapawiñi,flashcards2,P00840,False
U03609,G03363,los niños limpian la mesa.,NANA WILALUSA PEKKUI'LLINA MISA',los niños limpian la mesa.,nana wilalusa pekkui'llina misa',flashcards_oraciones,P00402,False
U01380,G01199,¿Cuántos murieron?,¿ENPU'DUN CHIMIÑINA'?,¿cuántos murieron?,¿enpu'dun chimiñina'?,flashcards2,P01380,False
U01025,G00881,¿Fumas?,¿U'WA'TAPALA?,¿fumas?,¿u'wa'tapala?,flashcards2,P01025,False
U02729,G02498,quémalos.,"“Tanpen, enpulula’ yapur’anna’ uncha’a’ser di’setchudekker. “Hombre Candela, cuando alguna vez queriendo pescar vengan,",quémalos.,"tanpen, enpulula' yapur'anna' uncha'a'ser di'setchudekker. hombre candela, cuando alguna vez queriendo pescar vengan,",pdf_textos,P00478,True
U00594,G00490,¡Guarden silencio!,¡TA'TU'LA'KU!,¡guarden silencio!,¡ta'tu'la'ku!,flashcards2,P00594,False
U01853,G01641,Es ese.,NUKA'A NANA,es ese.,nuka'a nana,flashcards2,P01853,False
U01110,G00961,Estoy pintando.,LLINSERCHAPALEK,estoy pintando.,llinserchapalek,flashcards2,P01110,False
