pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U00996,G00853,sé confiado.,lu'uktutek'ken ñiker,mukankan ñiker',sé agradable.,U00054,G00042,hard,0.7003882527351379,0.6238977909088135,0.07649046182632446,6
U00996,G00853,sé confiado.,lu'uktutek'ken ñiker,lutanteninpu'ker',sé despiadado.,U00998,G00855,medium,0.7003882527351379,0.5479084253311157,0.15247982740402222,17
U02413,G02182,hablando más en castellano ya no hablan shiwilu.,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",ipa'la shiwiluwekkek ñi a'pinta' lunpi'ñina' asu' shiwilu la'la'mapu'wa'.,ahora en mi jeberos ya no hablan más esta nuestra lengua shiwilu.,U02412,G02181,hard,0.7990686297416687,0.6909130811691284,0.10815554857254028,2
U02413,G02182,hablando más en castellano ya no hablan shiwilu.,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",napiklanek lulenñina' shiwilu la'la'wek tekkiker'inpui'nsu'.,"si desde hace tiempo le hubiesen curado a mi lengua shiwilu, no se hubiese agravado.",U04402,G04137,medium,0.7990686297416687,0.6358697414398193,0.16319888830184937,3
U04424,G04159,pero a la lengua shiwilu desde antes no le curaron;,shiwilu la'la' napiklanek lulen'i'ñina';,shiwiluk ñi enpi' ektui'ñina'.,a jeberos nunca han llegado.,U04293,G04029,medium,0.870376467704773,0.647723376750946,0.2226530909538269,2
U00261,G00204,tom lloró.,tom welliek'lli,tom lamapu'lli,tom gritó.,U00673,G00559,hard,0.8646867871284485,0.7869678735733032,0.07771891355514526,2
U00261,G00204,tom lloró.,tom welliek'lli,welliek'apawiñi,estaba llorando.,U01843,G01632,medium,0.8646867871284485,0.654678463935852,0.21000832319259644,3
U01390,G01507,te creo.,latekllien,latek'iñen,lo dudo.,U00521,G00428,hard,0.8125906586647034,0.7358434796333313,0.07674717903137207,3
U01390,G01507,te creo.,latekllien,latek',diente,U04657,G04337,medium,0.8125906586647034,0.6354007720947266,0.1771898865699768,4
U01710,G01507,te creí.,latekllien,intek'lli'wina,lo intentaste.,U00457,G00369,hard,0.8319134712219238,0.7232002019882202,0.10871326923370361,3
U01710,G01507,te creí.,latekllien,tumu'tullien,te mentí.,U01410,G01225,medium,0.8319134712219238,0.6488751769065857,0.18303829431533813,4
U02427,G02196,"sentada me la paso, tarde llegan.","du'anpamu erwatulek, erwa uncha'llina'.",pa'llina'. pa'anna' erwa uncha'llina'.,se van. luego de ir vienen tarde.,U02447,G02216,medium,0.812821626663208,0.5845643877983093,0.22825723886489868,2
U04394,G04129,hace veinte años que salí de mi pueblo.,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,shunka' ekkilala a'ñamu shiwiluklan yunsu'lek.,cuando tenía diez años he salido de jeberos.,U02484,G02253,hard,0.6636192202568054,0.5347847938537598,0.12883442640304565,2
U04394,G04129,hace veinte años que salí de mi pueblo.,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,a'pinta' luwektapa'nkusui'na ku'aperwawa suda'su'.,la que más me cuida es mi hija que es casada.,U02272,G02041,medium,0.6636192202568054,0.5111636519432068,0.15245556831359863,3
U02119,G01893,alguien llamó.,denipa' peklu'tulli,tom peklu'tulli,tom llamó.,U00649,G00537,medium,0.8367853760719299,0.6005581617355347,0.23622721433639526,2
U02186,G01960,los perdimos.,a'wer'llidek,wer'su' ñapallidek,estamos perdidos.,U00699,G00581,hard,0.8022370338439941,0.6538640260696411,0.14837300777435303,4
U02186,G01960,los perdimos.,a'wer'llidek,a'ta'wantullidek,terminamos.,U00697,G00580,medium,0.8022370338439941,0.6144764423370361,0.187760591506958,5
U01891,G01679,te salvaremos.,a'chiyek'echiden,panuerken,te recompensaré.,U02045,G01822,hard,0.7224022746086121,0.5729738473892212,0.14942842721939087,2
U01891,G01679,te salvaremos.,a'chiyek'echiden,katu'pa'udek,ayúdanos.,U00079,G01147,medium,0.7224022746086121,0.5527447462081909,0.16965752840042114,4
U04068,G03805,"y, así, se fueron a la fiesta las dos.",pistak pa'llina' ipa'linchi katu'daper.,ipa'linchi itudeklli asi'na anaka'llina'.,entonces dijeron estos fueron atrapados por las fieras.,U02922,G02691,medium,0.7402722239494324,0.580210268497467,0.16006195545196533,2
U02470,G02239,"hasta hoy, hasta ahora no se levanta.","ipa'lalek, ipa'la walek yunsi'ñi.",ma'sha asek i'la ta'wanchinpu'kek.,para que aquí nomás no se termine.,U02292,G02061,medium,0.815759539604187,0.6167958378791809,0.1989637017250061,2
U02277,G02046,así yo también vivo bien.,nu'amui'na kuanta' musu' nanpiapalek.,nu'la'su' nanpipalek ipa'la asek kua.,así nomás vivo ahora yo aquí. 24 de julio del 2005,U02457,G02226,medium,0.8483824133872986,0.6161272525787354,0.23225516080856323,2
U00131,G00089,¿quién ganó?,¿den'ina' kana'tulli?,¿den wer'lli?,¿quién desapareció?,U01261,G01091,hard,0.7602880001068115,0.6723030805587769,0.08798491954803467,2
U00131,G00089,¿quién ganó?,¿den'ina' kana'tulli?,¿den tenmian'su'lli?,¿quién empieza?,U01262,G01092,medium,0.7602880001068115,0.5886412858963013,0.17164671421051025,3
U03281,G03049,quiero escuchar cuando hablas.,yalaulek' lun'a'sin,lunku' lawer' la'la'kla.,hablen en castellano.,U04417,G04152,medium,0.7772935628890991,0.601670503616333,0.1756230592727661,2
U03976,G03720,el majaz tiene solo una cría anualmente.,ala'shasa' wawinwanpalli ekkilalak.,ala' kilu inyalek chiter inyalalanantekkek.,un kilo de maíz se tuesta en una tostadora.,U02346,G02115,hard,0.5503978729248047,0.4889261722564697,0.06147170066833496,7
U03976,G03720,el majaz tiene solo una cría anualmente.,ala'shasa' wawinwanpalli ekkilalak.,tullima ala'sa' shaya'.,dijo una mujer con pena.,U02898,G02667,medium,0.5503978729248047,0.3971978724002838,0.15320000052452087,30
U00123,G00084,lo sabemos.,ñinchitapallidek,yañinchitullidek,queremos saber.,U02171,G01945,hard,0.7367135882377625,0.6392893195152283,0.09742426872253418,3
U00123,G00084,lo sabemos.,ñinchitapallidek,a'ñapalekdekwa',los tenemos.,U01897,G01685,medium,0.7367135882377625,0.5849495530128479,0.15176403522491455,5
U03029,G02798,"sin embargo, ellos viendo a los astros (decían) miren por qué reverbean las estrellas, después se vuelan (las estrellas fugaces).","da'ilek i'na, pi'tandulalusa' lli'anna', lli'ker, ma'pu'n ipa' asu' tandula ulu' ulu'tulli, nu'an pennu'lli.","nawi'mi'na' panta'nna', ala'lusa', sekllintanni'ma panta'nna', lli'llini'ma mu'katapasik.","dice que ellos (los shawalas) yendo una vez, abriendo trocha yendo, vieron que estaba humeando.",U02583,G02352,hard,0.6605895757675171,0.566841185092926,0.09374839067459106,3
U03029,G02798,"sin embargo, ellos viendo a los astros (decían) miren por qué reverbean las estrellas, después se vuelan (las estrellas fugaces).","da'ilek i'na, pi'tandulalusa' lli'anna', lli'ker, ma'pu'n ipa' asu' tandula ulu' ulu'tulli, nu'an pennu'lli.","wilalunlusa'nta kuten'anna', kekkilu'tek lli'anna', tandulalusa' lli'anna', willekllina'.","las jóvenes también, alzando la vista, mirando al cielo, mirando las estrellas, lloraban.",U02564,G02333,medium,0.6605895757675171,0.49510037899017334,0.16548919677734375,4
U00493,G00402,no esperes.,yawa'tentuta,¡yawa'tentutama!,¡no esperen!,U00492,G00401,medium,0.8228670358657837,0.6656802296638489,0.15718680620193481,2
U02150,G01924,están conmigo.,kualek ñapallina',kuashasa' ñapalek,estoy solo.,U00334,G00265,hard,0.7659810781478882,0.6305665969848633,0.1354144811630249,2
U02150,G01924,están conmigo.,kualek ñapallina',kuashasa' ñapawinek,estaba solo.,U01090,G00943,medium,0.7659810781478882,0.5748142600059509,0.19116681814193726,3
U02746,G02515,se secaron las cochas.,enpinantekllina' sennanlusa'.,ma'i silutulusa' dunkerllina'.,buscaron a los yupaneros.,U03075,G02844,hard,0.7229903936386108,0.5862162113189697,0.1367741823196411,2
U02746,G02515,se secaron las cochas.,enpinantekllina' sennanlusa'.,kuda pamu'llidek sinanlusa',nosotras lavamos los platos.,U03573,G03330,medium,0.7229903936386108,0.5640637278556824,0.15892666578292847,3
U04450,G04185,por eso todos la ambicionaban.,nu'asu malek iñetller luyalli.,nanek dudinpu' uku'latullina'.,ahí venden de todo.,U04210,G03946,hard,0.7108367085456848,0.6362307667732239,0.07460594177246094,2
U04450,G04185,por eso todos la ambicionaban.,nu'asu malek iñetller luyalli.,nana nu'su' aku'llinerkenmu'wa'.,así nos han puesto.,U03192,G02961,medium,0.7108367085456848,0.5482115745544434,0.16262513399124146,12
