pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado
P00000,Ve.,PAKER',ve.,paker'
P00001,Vete.,PAKER',vete.,paker'
P00002,Vaya.,PAKER',vaya.,paker'
P00003,Hola.,MA'PU'SIN,hola.,ma'pu'sin
P00004,¡Corre!,TEKKER',¡corre!,tekker'
P00005,¿Quién?,¿DEN?,¿quién?,¿den?
P00006,¡Fuego!,¡PEN!,¡fuego!,¡pen!
P00007,¡Incendio!,¡UKEÑAN!,¡incendio!,¡ukeñan!
P00008,¡Ayuda!,¡KATU'PA'!,¡ayuda!,¡katu'pa'!
P00009,¡Socorro! ¡Auxilio!,¡KATU'PA'! ¡KATU'PA'!,¡socorro! ¡auxilio!,¡katu'pa'! ¡katu'pa'!
P00010,¡Auxilio!,¡KATU'PA'!,¡auxilio!,¡katu'pa'!
P00011,¡Salta!,¡INDEKKER'!,¡salta!,¡indekker'!
P00012,¡Para!,¡TA'ITULER'!,¡para!,¡ta'ituler'!
P00013,¡Espera!,¡WA'TEN'KER'!,¡espera!,¡wa'ten'ker'!
P00014,Esperen.,¡WA'TEN'KU'!,esperen.,¡wa'ten'ku'!
P00015,¡He ganado!,¡KANA'TULEK!,¡he ganado!,¡kana'tulek!
P00016,"¡Oh, no! (masculino)",¡SHAW!,"¡oh, no! (masculino)",¡shaw!
P00017,"¡Oh, no! (femenino)",¡ASHA!,"¡oh, no! (femenino)",¡asha!
P00018,Sonríe.,YAMER,sonríe.,yamer
P00019,Sonrían.,YAMERKU',sonrían.,yamerku'
P00020,¡Al ataque!,¡PAKU' LLIPU'TUDEK'KUNKU'!,¡al ataque!,¡paku' llipu'tudek'kunku'!
P00021,Levanta. (un objeto),USANKER',levanta. (un objeto),usanker'
P00022,Levanta. (pararse),YUNSANKER',levanta. (pararse),yunsanker'
P00023,¡Tengo!,¡A'ÑAPALEK!,¡tengo!,¡a'ñapalek!
P00024,¿Entendiste?,¿LACHEK'LA?,¿entendiste?,¿lachek'la?
P00025,Él corrió.,NANA TEKAKLLI,él corrió.,nana tekaklli
P00026,Métete adentro.,DA'KER' KINEKLA,métete adentro.,da'ker' kinekla
P00027,Abrázame.,WIPERI'U,abrázame.,wiperi'u
P00028,Me caí.,ANU'LEK,me caí.,anu'lek
P00029,Salí.,YUNSU'LEK,salí.,yunsu'lek
P00030,Mentí.,TUMU'LEK,mentí.,tumu'lek
P00031,Perdí. (opuesto de ganar),WER'LLIEK,perdí. (opuesto de ganar),wer'lliek
P00032,Perdí. (extraviar),A'WER'LLIEK,perdí. (extraviar),a'wer'lliek
P00033,Renuncié.,TA'ITULA'LEK,renuncié.,ta'itula'lek
P00034,Estoy trabajando.,SAKA'TAPALEK,estoy trabajando.,saka'tapalek
P00035,Tengo diecinueve.,A'ÑAPALEK SHUNKA'ISKUN,tengo diecinueve.,a'ñapalek shunka'iskun
P00036,Estoy levantado.,YUNSANSU' ÑAPALEK,estoy levantado.,yunsansu' ñapalek
P00037,Escucha.,LAU'TER,escucha.,lau'ter
P00038,Escuché.,LAU'TULEK,escuché.,lau'tulek
P00039,Escuchen.,LAU'TUKU',escuchen.,lau'tuku'
P00040,Escucharon.,LAU'TULLINA',escucharon.,lau'tullina'
P00041,Estoy escuchando.,LAU'TAPALEK,estoy escuchando.,lau'tapalek
P00042,Estoy abriendo mi boca.,LAUK'APALEK,estoy abriendo mi boca.,lauk'apalek
P00043,¡Imposible!,¡SAKA'DEK!,¡imposible!,¡saka'dek!
P00044,¿En serio?,¿TEKINCHI?,¿en serio?,¿tekinchi?
P00045,¿La verdad?,¿TEKINCHI?,¿la verdad?,¿tekinchi?
P00046,¡Gracias!,¡YUSPEINET'ECHUN!,¡gracias!,¡yuspeinet'echun!
P00047,Gracias.,YUSPEINET'ECHUN,gracias.,yuspeinet'echun
P00048,Pruébalo. (saborear),LATA'KER,pruébalo. (saborear),lata'ker
P00049,Pruébalo. (intentar),TEKLE'RIER',pruébalo. (intentar),tekle'rier'
P00050,Lo procuramos.,TEKLE'RIER'CHIDEK,lo procuramos.,tekle'rier'chidek
P00051,Ganamos.,KANA'LLIDEK,ganamos.,kana'llidek
P00052,Estate tranquilo.,MUSU' ÑAPAKER',estate tranquilo.,musu' ñapaker'
P00053,Sean gentiles.,MUKANKAN ÑIKER',sean gentiles.,mukankan ñiker'
P00054,Sé agradable.,MUKANKAN ÑIKER',sé agradable.,mukankan ñiker'
P00055,Llámame.,PEKLU'U,llámame.,peklu'u
P00056,Llámanos.,PEKLU'UDEK,llámanos.,peklu'udek
P00057,Entre.,DA'KERKER',entre.,da'kerker'
P00058,Pase.,DA'KERKER',pase.,da'kerker'
P00059,¡Entren!,¡DAKER'KU'!,¡entren!,¡daker'ku'!
P00060,Suéltalo.,APU'KER',suéltalo.,apu'ker'
P00061,Bájate.,NU'WANKER',bájate.,nu'wanker'
P00062,Sal. ,YUNSUER',sal.,yunsuer'
P00063,Sal. ,DAMULA,sal.,damula
P00064,Salgan.,YUNSU'KU',salgan.,yunsu'ku'
P00065,¡Largo!,¡PAKER'!,¡largo!,¡paker'!
P00066,Largo ,SHIN,largo,shin
P00067,¡Vete ya!,¡PAKER'!,¡vete ya!,¡paker'!
P00068,Lárguese.,¡PAKU'!,lárguese.,¡paku'!
P00069,Vaya despacio.,PAKER' UTI'LA,vaya despacio.,paker' uti'la
P00070,¡Hasta luego!,¡PANTE'CHEK!,¡hasta luego!,¡pante'chek!
P00071,¡Chau!,¡PANTE'CHEK!,¡chau!,¡pante'chek!
P00072,¡Un segundo!,¡IPIA'LASHA!,¡un segundo!,¡ipia'lasha!
P00073,Agarra fuertemente.,PILLI'TER' IKERSU',agarra fuertemente.,pilli'ter' ikersu'
P00074,Dolor,IKER,dolor,iker
P00075,El ají pica,NUKA' IKERLLI,el ají pica,nuka' ikerlli
P00076,Él vino.,NANA UK'LLI,él vino.,nana uk'lli
P00077,Él renunció.,NANA YUNSU'LLI,él renunció.,nana yunsu'lli
P00078,Ayúdame.,KATU'PA'U,ayúdame.,katu'pa'u
P00079,Ayúdanos.,KATU'PA'UDEK,ayúdanos.,katu'pa'udek
P00080,Espera.,WA'TENKER',espera.,wa'tenker'
P00081,Resista.,YAN'KATEK'TER',resista.,yan'katek'ter'
P00082,Resiste.,YAN'KATEK'TER',resiste.,yan'katek'ter'
P00083,De acuerdo.,MUETCHUN,de acuerdo.,muetchun
P00084,Me incliné.,YEN'NER'LEK',me incliné.,yen'ner'lek'
P00085,Dormí.,WICHI'LEK,dormí.,wichi'lek
P00086,Durmiendo,WICHA'PALEK,durmiendo,wicha'palek
P00087,Me voy a dormir,WICHIN'DEK'CHEK,me voy a dormir,wichin'dek'chek
P00088,Voy a dormir,WICHI'ECHEK,voy a dormir,wichi'echek
P00089,Lo intenté.,TEKLE'RILEK',lo intenté.,tekle'rilek'
P00090,Iré.,PA'ECHEK,iré.,pa'echek
P00091,Soy Tom.,NUKA'KU TOM,soy tom.,nuka'ku tom
P00092,Estoy gordo.,WEIPENSU' ÑAPALEK,estoy gordo.,weipensu' ñapalek
P00093,Soy gorda.,WEILUNSU' NUKA'KA,soy gorda.,weilunsu' nuka'ka
P00094,Estoy afectado.,MUIN'SU' ÑAPALEK,estoy afectado.,muin'su' ñapalek
P00095,Soy viejo.,TASERPIKU,soy viejo.,taserpiku
P00096,Soy tímido.,TEKUA'DANDE'KU,soy tímido.,tekua'dande'ku
P00097,Estoy mojada.,WIWERAPALEK,estoy mojada.,wiwerapalek
P00098,Está bien.,MUPALLI,está bien.,mupalli
P00099,Soy yo.,KUA NUKA'KA,soy yo.,kua nuka'ka
P00100,Guárdalo.,SEKDIPERKER',guárdalo.,sekdiperker'
P00101,"Yo, también.",KUANTA',"yo, también.",kuanta'
P00102,Abre.,EK'KE'CHER',abre.,ek'ke'cher'
P00103,¡Perfecto!,¡MUPALLI!,¡perfecto!,¡mupalli!
P00104,Nos vemos.,INLLI'TER,nos vemos.,inlli'ter
P00105,Enséñamelo. (pasar conocimiento),ALEK'U,enséñamelo. (pasar conocimiento),alek'u
P00106,Enséñamelo. (muestramelo),ALLI'U,enséñamelo. (muestramelo),alli'u
P00107,Muestrame.,ALLI'U,muestrame.,alli'u
P00108,Hasta luego.,PANTE'CHEK,hasta luego.,pante'chek
P00109,Páralo. (poner vertical),A'WANERKER',páralo. (poner vertical),a'wanerker'
P00110,Páralo. (detener),TU'NEKER',páralo. (detener),tu'neker'
P00111,Deténlo.,TU'NEKER',deténlo.,tu'neker'
P00112,Cógelo.,MAKER',cógelo.,maker'
P00113,Macambo (fruta),MAKER,macambo (fruta),maker
P00114,Dimelo.,ITU'U,dimelo.,itu'u
P00115,Tom comió.,TOM WERANPALLI,tom comió.,tom weranpalli
P00116,Tom corrió.,TOM TEKA'LLI,tom corrió.,tom teka'lli
P00117,Tom ganó.,TOM KANA'TULLI,tom ganó.,tom kana'tulli
P00118,Espérame despierto.,WA'TEN'U NANPISU',espérame despierto.,wa'ten'u nanpisu'
P00119,¡Despierta!,¡NANPIKER'!,¡despierta!,¡nanpiker'!
P00120,Despierta.,NANPIKER',despierta.,nanpiker'
P00121,Crudo,NANPI,crudo,nanpi
P00122,Vivo,NANPI,vivo,nanpi
P00123,Lo sabemos.,ÑINCHITAPALLIDEK,lo sabemos.,ñinchitapallidek
P00124,Perdimos.,WER'LLIDEK,perdimos.,wer'llidek
P00125,Bienvenidos.,MUWENCHA'KU',bienvenidos.,muwencha'ku'
P00126,Bienvenidas.,MUWENCHA'KU',bienvenidas.,muwencha'ku'
P00127,Bienvenido.,MUWENCHA'KER',bienvenido.,muwencha'ker'
P00128,¿Quién comió?,¿DEN'INA' KA'LLI?,¿quién comió?,¿den'ina' ka'lli?
P00129,¿Quién corría?,¿DEN'INA' TEKA'LLI?,¿quién corría?,¿den'ina' teka'lli?
P00130,¿Quién corrió?,¿DEN'INA' TEKA'LLI?,¿quién corrió?,¿den'ina' teka'lli?
P00131,¿Quién ganó?,¿DEN'INA' KANA'TULLI?,¿quién ganó?,¿den'ina' kana'tulli?
P00132,Corre.,TEK'KER',corre.,tek'ker'
P00133,Has ganado.,KANA'TULA,has ganado.,kana'tula
P00134,¿Estoy gordo?,¿WEIPENSU' ÑAPALEK?,¿estoy gordo?,¿weipensu' ñapalek?
P00135,Pregúntale.,LEK'KER',pregúntale.,lek'ker'
P00136,Pregúntales.,LEK'KER',pregúntales.,lek'ker'
P00137,Apártate.,PAKER' ÑILUPA',apártate.,paker' ñilupa'
P00138,Sé fuerte.,NANTAPITEK' ÑIKER',sé fuerte.,nantapitek' ñiker'
P00139,Sea breve.,EMPU'NI YALUNTA',sea breve.,empu'ni yalunta'
P00140,Sean breves.,EMPU'NI YALUNTAMA',sean breves.,empu'ni yaluntama'
P00141,Estate quieto.,YALENMEKTA',estate quieto.,yalenmekta'
P00142,Anímate.,NANTA'PIKER,anímate.,nanta'piker
P00143,Venga.,WENCHER',venga.,wencher'
P00144,Ven a beber,UENCHER',ven a beber,uencher'
P00145,¡Cálmate!,¡TUNA'KER'!,¡cálmate!,¡tuna'ker'!
P00146,Espósale.,TENPU'KER',espósale.,tenpu'ker'
P00147,Arregla esto.,ASU' TEKDI'PER'KER',arregla esto.,asu' tekdi'per'ker'
P00148,Abajo.,DAWIK',abajo.,dawik'
P00149,Túmbate.,ANU'KER',túmbate.,anu'ker'
P00150,¡Piérdete!,¡WER'KER'!,¡piérdete!,¡wer'ker'!
P00151,¡Piénsalo bien!,¡MUSU' LLI'INUTER'!,¡piénsalo bien!,¡musu' lli'inuter'!
P00152,Adelante. (ingresa),DA'ENCHER',adelante. (ingresa),da'encher'
P00153,Adelante. (parte superior),EKTER,adelante. (parte superior),ekter
P00154,Adelántante,EKTE'CHER',adelántante,ekte'cher'
P00155,Se adelantará.,EKTE'CHECHU,se adelantará.,ekte'chechu
P00156,Se adelantarán.,EKTE'CHECHUNA',se adelantarán.,ekte'chechuna'
P00157,Entra.,DA'ENCHER',entra.,da'encher'
P00158,Entren.,DA'ENCHA'KU',entren.,da'encha'ku'
P00159,¡Buen trabajo!,¡MUSA'KA'TUNA!,¡buen trabajo!,¡musa'ka'tuna!
P00160,Agárralo.,PILLI'TER',agárralo.,pilli'ter'
P00161,Diviértanse.,SAKEK'KU',diviértanse.,sakek'ku'
P00162,Pásala bien.,MUSU'NAKUKER',pásala bien.,musu'nakuker'
P00163,Pásenla bien.,MUSU'NAKUKU',pásenla bien.,musu'nakuku'
P00164,Él habló.,NANA LUNÑI,él habló.,nana lunñi
P00165,Él prueba.,NANA LATA'LLI,él prueba.,nana lata'lli
P00166,Ayúdalo.,KATU'PER',ayúdalo.,katu'per'
P00167,Buenas.,MULUSA',buenas.,mulusa'
P00168,¡Qué encanto!,¡EMPU'NI MUSHIPA'!,¡qué encanto!,¡empu'ni mushipa'!
P00169,Compláceme.,A'SAKEK'U,compláceme.,a'sakek'u
P00170,¡Date prisa!,¡WIUKER'!,¡date prisa!,¡wiuker'!
P00171,Apresúrate.,WIUKER',apresúrate.,wiuker'
P00172,Estoy viejo.,TASERPIKU',estoy viejo.,taserpiku'
P00173,Puedo ir.,YENNITULEK PA'AK,puedo ir.,yennitulek pa'ak
P00174,Lo hice.,NU'TULEK,lo hice.,nu'tulek
P00175,Fracasé.,A'APER'LEK',fracasé.,a'aper'lek'
P00176,Lo olvidé.,PINANER'LEK',lo olvidé.,pinaner'lek'
P00177,Lo entiendo.,LACHEK'APALEK,lo entiendo.,lachek'apalek
P00178,Lo tengo.,A'ÑAPALEK,lo tengo.,a'ñapalek
P00179,Me niego.,LUWANCHI'NEK,me niego.,luwanchi'nek
P00180,Renuncio.,YUNSU'LEK',renuncio.,yunsu'lek'
P00181,Lo vi.,LLI'LEK,lo vi.,lli'lek
P00182,Sonreí.,YAMERLADALEK',sonreí.,yamerladalek'
P00183,Reí.,YAMERLEK',reí.,yamerlek'
P00184,Me quedé.,LLIYA'LEK',me quedé.,lliya'lek'
P00185,Esperé.,WA'TEN'NEK',esperé.,wa'ten'nek'
P00186,Yo pagaré.,KUA PANWILEK'TE'CHEK',yo pagaré.,kua panwilek'te'chek'
P00187,He vuelto.,ADENCHA'LEK,he vuelto.,adencha'lek
P00188,Soy calvo.,NUWEK'MUTU'KU,soy calvo.,nuwek'mutu'ku
P00189,Estoy calvo.,NUWEK'MUTU' ÑAPALEK,estoy calvo.,nuwek'mutu' ñapalek
P00190,Estoy calmado.,TUNA'SU' ÑAPALEK,estoy calmado.,tuna'su' ñapalek
P00191,Está calmando. (dolor),LATADA'PILALLI,está calmando. (dolor),latada'pilalli
P00192,Estoy tranquilo. (estoy bien),U'CHIMUÑAPALEK,estoy tranquilo. (estoy bien),u'chimuñapalek
P00193,He terminado.,A'TA'WANTULEK,he terminado.,a'ta'wantulek
P00194,Soy justo. (soy bueno),MUKANKANKU',soy justo. (soy bueno),mukankanku'
P00195,Soy bueno. (hacer bien algo),U'CHIMUKU,soy bueno. (hacer bien algo),u'chimuku
P00196,Estoy perfectamente.,U'CHIMUINCHI ÑAPALEK,estoy perfectamente.,u'chimuinchi ñapalek
P00197,¡Soy libre!,¡INAPIKU!,¡soy libre!,¡inapiku!
P00198,Estoy lleno.,MER'SU' ÑAPALEK,estoy lleno.,mer'su' ñapalek
P00199,Estoy llena.,MER'SU' ÑAPALEK,estoy llena.,mer'su' ñapalek
P00200,Estoy aquí.,ASEK' ÑAPALEK,estoy aquí.,asek' ñapalek
P00201,Estoy herido.,CHACHA'LEK ÑAPALEK,estoy herido.,chacha'lek ñapalek
P00202,Llego tarde.,ERWA' EKTU'LEK,llego tarde.,erwa' ektu'lek
P00203,Soy vago.,PERCHEK' NUKA'KA,soy vago.,perchek' nuka'ka
P00204,Estoy perdida.,WER'SU' ÑAPALEK,estoy perdida.,wer'su' ñapalek
P00205,Soy malo. (maldad),MUKANKAINPU' NUKA'KA,soy malo. (maldad),mukankainpu' nuka'ka
P00206,Soy malo. (hacer mal las cosas),MUI'NEK,soy malo. (hacer mal las cosas),mui'nek
P00207,Soy pobre.,KULLIKER'WI'NEK,soy pobre.,kulliker'wi'nek
P00208,Soy rica.,WAPU' KULLIKER'WANEK,soy rica.,wapu' kulliker'wanek
P00209,Soy rico.,WAPU' KULLIKER'WANEK,soy rico.,wapu' kulliker'wanek
P00210,Estoy enferma.,KALUWI'SU' ÑAPALEK,estoy enferma.,kaluwi'su' ñapalek
P00211,Soy delgado. (masculino),SHAMU'PENSU' NUKA'KA,soy delgado. (masculino),shamu'pensu' nuka'ka
P00212,Soy delgada. (femenino),SHAMU'LUNSU' NUKA'KA,soy delgada. (femenino),shamu'lunsu' nuka'ka
P00213,Estoy limpio.,PEKUIPI ÑAPALEK,estoy limpio.,pekuipi ñapalek
P00214,Estoy calientito.,UKAPISHA ÑAPALEK,estoy calientito.,ukapisha ñapalek
P00215,Estoy caliente.,UKAPISU' ÑAPALEK,estoy caliente.,ukapisu' ñapalek
P00216,Estoy débil.,MUDINUI'SU' ÑAPALEK,estoy débil.,mudinui'su' ñapalek
P00217,Soy listo.,IÑER' ÑINCHITAPALEK,soy listo.,iñer' ñinchitapalek
P00218,Estoy listo. (preparado),INSEK'DIPERPIKU' NUKA'KA,estoy listo. (preparado),insek'diperpiku' nuka'ka
P00219,Gané.,KANA'TULEK,gané.,kana'tulek
P00220,Eso ayuda.,NANA KATU'PATULLI,eso ayuda.,nana katu'patulli
P00221,Duele.,IKERLLI,duele.,ikerlli
