order,candidate,family,direction,recall_at_1,recall_at_5,recall_at_10,mrr,mean_rank,rank_1,rank_2_5,rank_6_10,rank_11_50,rank_51_plus,hypothesis,change,result,decision,source_report
1,E5-small baseline,E5-small,principal,0.09657320872274143,0.20249221183800623,0.32087227414330216,0.16330402922152704,60.25233644859813,31,34,38,95,123,Medir el punto de partida sin adaptar el modelo.,E5-small preentrenado sin fine-tuning.,R@1 bajo: el espacio multilingue no alinea bien el par por si solo.,Usar fine-tuning contrastivo.,reports\04_embeddings\baseline\baseline_retrieval.json
2,v1 E5-small,E5-small,principal,0.5109034267912772,0.778816199376947,0.8691588785046729,0.632462097901643,5.934579439252336,164,86,29,36,6,Comprobar si los pares positivos del corpus adaptan el espacio semantico.,Fine-tuning con MultipleNegativesRankingLoss.,Mejora fuerte frente al baseline.,Explorar negativos dificiles.,reports\04_embeddings\v1\v1_retrieval.json
3,v2 hard-only,E5-small,principal,0.5420560747663551,0.8068535825545171,0.8878504672897196,0.6559308949263292,5.638629283489097,174,85,26,31,5,Ver si solo los negativos duros aportan senal suficiente.,Entrenamiento con hard negatives controlados.,"Mejora moderada, menor que hard/medium.",Combinar negativos duros y medios.,reports\04_embeddings\v2_hn_controlled_hard\v2_hn_controlled_hard_retrieval.json
4,v2 hard/medium,E5-small,principal,0.5669781931464174,0.8193146417445483,0.9096573208722741,0.6754885765825586,5.498442367601246,182,81,29,22,7,Probar si los negativos medios estabilizan la discriminacion.,Entrenamiento con hard y medium negatives.,Mejora mayor que hard-only.,Migrar a una base de mayor capacidad.,reports\04_embeddings\v2_hn_controlled\v2_hn_controlled_retrieval.json
5,E5-base baseline,E5-base,principal,0.1059190031152648,0.205607476635514,0.32087227414330216,0.1751042780889364,57.532710280373834,34,32,37,95,123,Evaluar si una base mas grande mejora sin ajuste.,E5-base preentrenado sin fine-tuning.,"Sigue bajo sin adaptacion, pero ofrece mayor capacidad.",Aplicar fine-tuning a E5-base.,reports\04_embeddings\experiments\baseline_e5_base\baseline_e5_base_retrieval.json
6,v1 E5-base,E5-base,principal,0.6479750778816199,0.9127725856697819,0.9688473520249221,0.7592252979719816,2.4922118380062304,208,85,18,10,0,Repetir fine-tuning contrastivo con base mas fuerte.,E5-base + MultipleNegativesRankingLoss.,Supera claramente a la linea E5-small.,Usar E5-base como linea principal.,reports\04_embeddings\experiments\v1_e5_base\v1_e5_base_retrieval.json
7,v1 E5-base bidir.,E5-base,esp_to_shi,0.6573208722741433,0.9190031152647975,0.9750778816199377,0.7703837018475377,2.4922118380062304,211,84,18,7,1,Evitar favorecer una sola direccion.,Fine-tuning bidireccional.,Mejora leve en espanol -> shiwilu.,Evaluar tambien shiwilu -> espanol.,reports\04_embeddings\experiments\v1_e5_base_bidirectional\v1_e5_base_bidirectional_esp_to_shi_retrieval.json
7,v1 E5-base bidir.,E5-base,shi_to_esp,0.67601246105919,0.9439252336448598,0.9781931464174455,0.7910567384575297,2.0809968847352023,217,86,11,7,0,Evitar favorecer una sola direccion.,Fine-tuning bidireccional.,Mejora en shiwilu -> espanol frente a la variante principal.,Mantener evaluacion bidireccional.,reports\04_embeddings\experiments\v1_e5_base_bidirectional\v1_e5_base_bidirectional_shi_to_esp_retrieval.json
8,v2 E5-base,E5-base,esp_to_shi,0.7133956386292835,0.9158878504672897,0.9719626168224299,0.8037414007740968,2.4174454828660434,229,65,18,8,1,Combinar E5-base con mineria controlada de negativos.,Hard/medium negatives sobre v1 E5-base.,Mejora relevante frente a v1 E5-base.,Probar configuracion bidireccional.,reports\04_embeddings\experiments\v2_hn_controlled_e5_base\v2_hn_controlled_e5_base_esp_to_shi_retrieval.json
8,v2 E5-base,E5-base,shi_to_esp,0.7165109034267912,0.9252336448598131,0.9781931464174455,0.8057164864465598,2.3271028037383177,230,67,17,7,0,Verificar desempeno inverso con negativos controlados.,Evaluacion shiwilu -> espanol.,Comportamiento similar en direccion inversa.,Probar entrenamiento bidireccional.,reports\04_embeddings\experiments\v2_hn_controlled_e5_base\v2_hn_controlled_e5_base_shi_to_esp_retrieval.json
9,v2 E5-base bidir.,E5-base,esp_to_shi,0.7507788161993769,0.9283489096573209,0.9688473520249221,0.8276222876925469,2.884735202492212,241,57,13,8,2,Unir negativos controlados y entrenamiento bidireccional.,Hard/medium negatives bidireccionales.,Candidato anterior fuerte en espanol -> shiwilu.,Usarlo como base para mineria iterativa.,reports\04_embeddings\experiments\v2_hn_controlled_e5_base_bidirectional\v2_hn_controlled_e5_base_bidirectional_esp_to_shi_retrieval.json
9,v2 E5-base bidir.,E5-base,shi_to_esp,0.778816199376947,0.9501557632398754,0.9719626168224299,0.8554933203249137,2.3457943925233646,250,55,7,7,2,Unir negativos controlados y entrenamiento bidireccional.,Hard/medium negatives bidireccionales.,Candidato anterior fuerte en shiwilu -> espanol.,Usarlo como base para mineria iterativa.,reports\04_embeddings\experiments\v2_hn_controlled_e5_base_bidirectional\v2_hn_controlled_e5_base_bidirectional_shi_to_esp_retrieval.json
10,v3 iterativo bidir.,E5-base,esp_to_shi,0.7881619937694704,0.9283489096573209,0.9781931464174455,0.8480121566324221,2.1713395638629285,253,45,16,5,2,Minar nuevos negativos desde el mejor candidato previo.,Nueva iteracion de hard/medium negatives.,Mejor R@1 y MRR en espanol -> shiwilu.,Seleccionado como candidato final provisional.,reports\04_embeddings\experiments\v3_iterative_hn_e5_base_bidirectional\v3_iterative_hn_e5_base_bidirectional_esp_to_shi_retrieval.json
10,v3 iterativo bidir.,E5-base,shi_to_esp,0.7912772585669782,0.956386292834891,0.9688473520249221,0.8617404853349272,1.9532710280373833,254,53,4,10,0,Minar nuevos negativos desde el mejor candidato previo.,Nueva iteracion de hard/medium negatives.,Mejor R@1 y MRR en shiwilu -> espanol.,Seleccionado como candidato final provisional.,reports\04_embeddings\experiments\v3_iterative_hn_e5_base_bidirectional\v3_iterative_hn_e5_base_bidirectional_shi_to_esp_retrieval.json
