pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02734,G02503,1,0.5616562962532043,0.5616562962532043,True,1,esp_to_shi,sólo el pueblo de ellos se reproducirá le dijo al hombre candela.,nawa' ñinanlu'nenna' a'llupitununtekchuna' itullima tanpen muda'.,(grupo correcto),sólo el pueblo de ellos se reproducirá le dijo al hombre candela.,nawa' ñinanlu'nenna' a'llupitununtekchuna' itullima tanpen muda'.,(grupo correcto),best
U04167,G03903,1,0.5295437574386597,0.5295437574386597,True,1,esp_to_shi,"vete, regrésate, ahorita te voy palear, le ha dicho al joven.","paker' adanter', ipia'la nalaktetchen itullima' nadi'nek.",(grupo correcto),"vete, regrésate, ahorita te voy palear, le ha dicho al joven.","paker' adanter', ipia'la nalaktetchen itullima' nadi'nek.",(grupo correcto),best
U03422,G03185,1,0.8230582475662231,0.8230582475662231,True,1,esp_to_shi,ellas no construen una casa.,nawa' ku'la nu'tapi'ñina' ala'sa' pidek,(grupo correcto),ellas no construen una casa.,nawa' ku'la nu'tapi'ñina' ala'sa' pidek,(grupo correcto),best
U04039,G03776,1,0.5997740030288696,0.5997740030288696,True,1,esp_to_shi,"con arcilla le ha aumentado, han dicho las antiguas.","di'teklu'lek a'nadalli, tullina' amiku'lusa'.",(grupo correcto),"con arcilla le ha aumentado, han dicho las antiguas.","di'teklu'lek a'nadalli, tullina' amiku'lusa'.",(grupo correcto),best
U02401,G02170,1,0.5723603367805481,0.5723603367805481,True,1,esp_to_shi,"pero no la desvío, todavía la sé bien.","ma'shi'na teknerinek, ñinchitapalek i'la.",(grupo correcto),"pero no la desvío, todavía la sé bien.","ma'shi'na teknerinek, ñinchitapalek i'la.",(grupo correcto),best
U04023,G03760,1,0.6803691387176514,0.6803691387176514,True,1,esp_to_shi,"a ella también, cosquilleándole, le quitó su carne.",nananta' shikillek'an siwerchulli lu'lunnen.,(grupo correcto),"a ella también, cosquilleándole, le quitó su carne.",nananta' shikillek'an siwerchulli lu'lunnen.,(grupo correcto),best
U02682,G02451,1,0.5701773166656494,0.5701773166656494,True,1,esp_to_shi,"para que salgan para nosotros nomás, para que sean para nosotros nomás estos peces,","nanapa yunsu'i kenmu'wa'kinsa' ñii asu' samer,",(grupo correcto),"para que salgan para nosotros nomás, para que sean para nosotros nomás estos peces,","nanapa yunsu'i kenmu'wa'kinsa' ñii asu' samer,",(grupo correcto),best
U01498,G01308,1,0.7422351837158203,0.7422351837158203,True,2,esp_to_shi,déjame probarlo.,ta'itula'u tekle'richek,(grupo correcto),déjame probarlo.,ta'itula'u tekle'richek,(grupo correcto),best
U01497,G01308,1,0.7266480922698975,0.7266480922698975,True,2,esp_to_shi,déjame intentarlo.,ta'itula'u tekle'richek,(grupo correcto),déjame intentarlo.,ta'itula'u tekle'richek,(grupo correcto),best
U02229,G01998,1,0.9222655296325684,0.9222655296325684,True,1,esp_to_shi,¿tienes cerveza?,¿a'ñapala cerveza?,(grupo correcto),¿tienes cerveza?,¿a'ñapala cerveza?,(grupo correcto),best
U04399,G04134,1,0.6899958848953247,0.6899958848953247,True,1,esp_to_shi,"cuando ellos llegaron, empezó a enfermarse.",nawa' ektu'ker'a'ser' tenmiansu'lli kaluwi'a'su'.,(grupo correcto),"cuando ellos llegaron, empezó a enfermarse.",nawa' ektu'ker'a'ser' tenmiansu'lli kaluwi'a'su'.,(grupo correcto),best
U04066,G03803,1,0.5278682708740234,0.5278682708740234,True,1,esp_to_shi,después de pintar (a la motelo) la iguana le dijo ya te diseñé. ¡vamos a la fiesta!,ipa'linchi llinseran pekkualaler itulli ipa' llinserllen. enchu pistak pa'a.,(grupo correcto),después de pintar (a la motelo) la iguana le dijo ya te diseñé. ¡vamos a la fiesta!,ipa'linchi llinseran pekkualaler itulli ipa' llinserllen. enchu pistak pa'a.,(grupo correcto),best
U01669,G01470,1,0.785317063331604,0.785317063331604,True,1,esp_to_shi,hágalo mañana.,eklli nu'ter',(grupo correcto),hágalo mañana.,eklli nu'ter',(grupo correcto),best
