pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02734,G02503,1,0.6572200059890747,0.6572200059890747,True,1,esp_to_shi,sólo el pueblo de ellos se reproducirá le dijo al hombre candela.,nawa' ñinanlu'nenna' a'llupitununtekchuna' itullima tanpen muda'.,(grupo correcto),sólo el pueblo de ellos se reproducirá le dijo al hombre candela.,nawa' ñinanlu'nenna' a'llupitununtekchuna' itullima tanpen muda'.,(grupo correcto),best
U01669,G01470,1,0.7637841701507568,0.7637841701507568,True,1,esp_to_shi,hágalo mañana.,eklli nu'ter',(grupo correcto),hágalo mañana.,eklli nu'ter',(grupo correcto),best
U03852,G03597,1,0.7729607820510864,0.7729607820510864,True,1,esp_to_shi,nosotros viajamos a la ciudad.,kuda pa'llidek ñinanluk,(grupo correcto),nosotros viajamos a la ciudad.,kuda pa'llidek ñinanluk,(grupo correcto),best
U04298,G04034,1,0.8215438723564148,0.8215438723564148,True,1,esp_to_shi,en mi pueblo nadie ha muerto con la enfermedad del covid-19.,ñinanlu'wekkek ñi den chimi'ñi kuvi-19 kaluwi'lek.,(grupo correcto),en mi pueblo nadie ha muerto con la enfermedad del covid-19.,ñinanlu'wekkek ñi den chimi'ñi kuvi-19 kaluwi'lek.,(grupo correcto),best
U03650,G03402,1,0.8432884216308594,0.8432884216308594,True,1,esp_to_shi,tú odias el ruido.,kenma' luyula illian'su',(grupo correcto),tú odias el ruido.,kenma' luyula illian'su',(grupo correcto),best
U03544,G03301,1,0.848902702331543,0.848902702331543,True,1,esp_to_shi,ellas no hablan con su familia.,nawa' ku'la lunpi'ñina patun'nen'na'lek,(grupo correcto),ellas no hablan con su familia.,nawa' ku'la lunpi'ñina patun'nen'na'lek,(grupo correcto),best
U01424,G01238,1,0.7356164455413818,0.7356164455413818,True,1,esp_to_shi,quiero ganar.,yakana'lek,(grupo correcto),quiero ganar.,yakana'lek,(grupo correcto),best
U01094,G00947,1,0.7134174704551697,0.7134174704551697,True,1,esp_to_shi,seré libre.,inapi ñechek,(grupo correcto),seré libre.,inapi ñechek,(grupo correcto),best
U00263,G00206,1,0.8072810769081116,0.8072810769081116,True,1,esp_to_shi,prueben esto. (saborear),lata'ku' asu',(grupo correcto),prueben esto. (saborear),lata'ku' asu',(grupo correcto),best
U01100,G00953,1,0.7524083256721497,0.7524083256721497,True,1,esp_to_shi,soy adulta.,taserlunku nuka'ka,(grupo correcto),soy adulta.,taserlunku nuka'ka,(grupo correcto),best
U04066,G03803,1,0.5888898968696594,0.5888898968696594,True,1,esp_to_shi,después de pintar (a la motelo) la iguana le dijo ya te diseñé. ¡vamos a la fiesta!,ipa'linchi llinseran pekkualaler itulli ipa' llinserllen. enchu pistak pa'a.,(grupo correcto),después de pintar (a la motelo) la iguana le dijo ya te diseñé. ¡vamos a la fiesta!,ipa'linchi llinseran pekkualaler itulli ipa' llinserllen. enchu pistak pa'a.,(grupo correcto),best
U03849,G03594,1,0.8368875980377197,0.8368875980377197,True,1,esp_to_shi,nosotras no viajamos al campo.,kuda ku'la pa'apiñidek menmik,(grupo correcto),nosotras no viajamos al campo.,kuda ku'la pa'apiñidek menmik,(grupo correcto),best
U04139,G03876,1,0.8314993381500244,0.8314993381500244,True,1,esp_to_shi,¿quién es este señor? les fue a decir (a las mujeres).,den i'na asu' yalli'? itukundekllima.,(grupo correcto),¿quién es este señor? les fue a decir (a las mujeres).,den i'na asu' yalli'? itukundekllima.,(grupo correcto),best
U03226,G02995,1,0.8009378910064697,0.8009378910064697,True,1,esp_to_shi,hay muchos árboles grandes.,ñapali wapu' nalalus'a a'llupilusa,(grupo correcto),hay muchos árboles grandes.,ñapali wapu' nalalus'a a'llupilusa,(grupo correcto),best
U02216,G01987,1,0.8385612964630127,0.8385612964630127,True,1,esp_to_shi,estás atascado.,da'sek'su' ñapala,(grupo correcto),estás atascado.,da'sek'su' ñapala,(grupo correcto),best
U03584,G03339,1,0.8699098229408264,0.8699098229408264,True,1,esp_to_shi,ellas leen una revista.,nawa' luntullina' ala'sa' kerka',(grupo correcto),ellas leen una revista.,nawa' luntullina' ala'sa' kerka',(grupo correcto),best
U00319,G00251,1,0.7336868643760681,0.7336868643760681,True,1,esp_to_shi,sé correr.,ñinchitapalek teka'ak',(grupo correcto),sé correr.,ñinchitapalek teka'ak',(grupo correcto),best
U04267,G04003,1,0.6983134746551514,0.6983134746551514,True,1,esp_to_shi,"jengibre cocinado con cebolla, matico cocinado,","latekmu'sana' akusupi siullalek, patella akusupi,",(grupo correcto),"jengibre cocinado con cebolla, matico cocinado,","latekmu'sana' akusupi siullalek, patella akusupi,",(grupo correcto),best
U03344,G03111,1,0.8310520052909851,0.8310520052909851,True,1,esp_to_shi,ellas bailan con alegría.,nawa' lansa'llina' sakek'su',(grupo correcto),ellas bailan con alegría.,nawa' lansa'llina' sakek'su',(grupo correcto),best
U02410,G02179,1,0.7241344451904297,0.7241344451904297,True,1,esp_to_shi,"si no tuviera hijos ya me habría muerto, el hambre me hubiera matado, la enfermedad y el hambre me hubieran matado.","wilawi'nek'ipa' chiminpinek, uki'la di'tunansinku, kaluwi' uki'la di'tunansinku.",(grupo correcto),"si no tuviera hijos ya me habría muerto, el hambre me hubiera matado, la enfermedad y el hambre me hubieran matado.","wilawi'nek'ipa' chiminpinek, uki'la di'tunansinku, kaluwi' uki'la di'tunansinku.",(grupo correcto),best
U02086,G01862,10,0.4509532153606415,0.6079272627830505,False,1,esp_to_shi,sigue practicando.,tupiter' inpalerian,lun'aper'pi'la,sigue practicando.,tupiter' inpalerian,lun'aper'pi'la,worst
U00873,G00740,10,0.4608750343322754,0.5743224620819092,False,5,esp_to_shi,libérale.,apu'ker',ta'tula'shasu' lunker',libérale.,apu'ker',ta'tula'shasu' lunker',worst
U01701,G01498,11,0.4183434545993805,0.6074500679969788,False,1,esp_to_shi,debería venir.,wencha'winsu',kanan'a'kasu' ñapalli,debería venir.,wencha'winsu',kanan'a'kasu' ñapalli,worst
U01417,G01231,12,0.45760518312454224,0.6053413152694702,False,1,esp_to_shi,lo abofeteé.,patenchulek,si'lentapalek,lo abofeteé.,patenchulek,si'lentapalek,worst
U01029,G00884,12,0.44074419140815735,0.68234783411026,False,2,esp_to_shi,no divagues.,cheksu' ñiker',yalek'tuta,no divagues.,cheksu' ñiker',yalek'tuta,worst
U00724,G00884,13,0.4336571991443634,0.6827096343040466,False,2,esp_to_shi,sé específico.,cheksu' ñiker',ñaper' lu'uk'tan,sé específico.,cheksu' ñiker',ñaper' lu'uk'tan,worst
U00016,G00013,15,0.3266095519065857,0.5394517779350281,False,1,esp_to_shi,"¡oh, no! (masculino)",¡shaw!,¡tante'ñek!,"¡oh, no! (masculino)",¡shaw!,¡tante'ñek!,worst
U00997,G00854,15,0.41932201385498047,0.722129762172699,False,1,esp_to_shi,ten seguridad.,latek'u,ñapaker' musu'kankantusu',ten seguridad.,latek'u,ñapaker' musu'kankantusu',worst
U04315,G04050,19,0.30088335275650024,0.46113935112953186,False,1,esp_to_shi,"nació el día 22,","wadekllina' katu'-shunka' katu'ta'pi'pu',",tekkikeran chimiñi.,"nació el día 22,","wadekllina' katu'-shunka' katu'ta'pi'pu',",tekkikeran chimiñi.,worst
U01833,G01623,21,0.3832356333732605,0.5376833081245422,False,1,esp_to_shi,muévase ya.,lenme'ker' ipa,eklli nu'ter',muévase ya.,lenme'ker' ipa,eklli nu'ter',worst
U02638,G02407,26,0.2868373990058899,0.5310232639312744,False,1,esp_to_shi,"no corran,","- ¡anetlla yatek kuatama',","ñinchilli'anna' kerka'ña,","no corran,","- ¡anetlla yatek kuatama',","ñinchilli'anna' kerka'ña,",worst
U01849,G01638,29,0.2804366946220398,0.628746509552002,False,1,esp_to_shi,es correcto.,mullincha',¡tekkinchi nuka'a!,es correcto.,mullincha',¡tekkinchi nuka'a!,worst
U02440,G02209,30,0.30400627851486206,0.4627534747123718,False,1,esp_to_shi,ahí están doscitas mis hijas.,ma'ata'na katu'ta'shadaper ku'tinweklusa'.,ala'shasa' wawinwanpalli.,ahí están doscitas mis hijas.,ma'ata'na katu'ta'shadaper ku'tinweklusa'.,ala'shasa' wawinwanpalli.,worst
U02301,G02070,32,0.293485552072525,0.5554474592208862,False,1,esp_to_shi,ninguno sabe de esta lengua porque no les he hablado.,ñienkasu' ñinchichillina' namasu' la'lekla lunchinpu'dek'a'kasu' malek.,kui'na kaluwi'mu innichi'nek ñi enñupa' pa'a'kasu'.,ninguno sabe de esta lengua porque no les he hablado.,ñienkasu' ñinchichillina' namasu' la'lekla lunchinpu'dek'a'kasu' malek.,kui'na kaluwi'mu innichi'nek ñi enñupa' pa'a'kasu'.,worst
U02900,G02669,40,0.2838752567768097,0.5305635929107666,False,1,esp_to_shi,quizás aparecieron estas nubes para pronosticarnos mal agüero,nu'an asu' kekkilu'tek yunsu'lli ya'lli'minmu'wa' yapekkiwantanminmu'wa',lli'kuñina' chipetcheklusa'sa' pektentapa'ser nanek.,quizás aparecieron estas nubes para pronosticarnos mal agüero,nu'an asu' kekkilu'tek yunsu'lli ya'lli'minmu'wa' yapekkiwantanminmu'wa',lli'kuñina' chipetcheklusa'sa' pektentapa'ser nanek.,worst
U01056,G00910,56,0.2383238673210144,0.452312171459198,False,1,esp_to_shi,te admiro.,kenmapu'su' ñiina'ka,latek'u,te admiro.,kenmapu'su' ñiina'ka,latek'u,worst
U02115,G01890,86,0.18815144896507263,0.5412917137145996,False,1,esp_to_shi,lo abofeteó.,lliaka'uk enka'lina,muisu' kankatulli,lo abofeteó.,lliaka'uk enka'lina,muisu' kankatulli,worst
U00563,G00463,96,0.141123965382576,0.6327571868896484,False,1,esp_to_shi,susto.,imanan,yamerlek',susto.,imanan,yamerlek',worst
U00309,G00296,103,0.18247899413108826,0.6108511090278625,False,2,esp_to_shi,es rico. (sabor),iyalli,tanluwatapalli,es rico. (sabor),iyalli,tanluwatapalli,worst
U00369,G00296,105,0.1533799022436142,0.6835351586341858,False,2,esp_to_shi,es agradable. (sabor),iyalli,mukankanku,es agradable. (sabor),iyalli,mukankanku,worst
