id,pair_id,group_id,source,target,source_lang,target_lang,split,has_audit_flags,origin_source,score,label
RTBT000000__spa2shw,RTBT000000,GRTBT000000,Hola Dean.,Hola Dean,spa,shw,train,False,backtranslation_roundtrip_v0,0.9119168519973755,accepted
RTBT000000__shw2spa,RTBT000000,GRTBT000000,Hola Dean,Hola Dean.,shw,spa,train,False,backtranslation_roundtrip_v0,0.9119168519973755,accepted
RTBT000002__spa2shw,RTBT000002,GRTBT000002,¡Dios mío! ¡Bertie!,¡lupa'u! Bertie!,spa,shw,train,False,backtranslation_roundtrip_v0,0.70378577709198,accepted
RTBT000002__shw2spa,RTBT000002,GRTBT000002,¡lupa'u! Bertie!,¡Dios mío! ¡Bertie!,shw,spa,train,False,backtranslation_roundtrip_v0,0.70378577709198,accepted
RTBT000034__spa2shw,RTBT000034,GRTBT000034,Tómalo.,wer'ker',spa,shw,train,False,backtranslation_roundtrip_v0,0.7536224126815796,accepted
RTBT000034__shw2spa,RTBT000034,GRTBT000034,wer'ker',Tómalo.,shw,spa,train,False,backtranslation_roundtrip_v0,0.7536224126815796,accepted
RTBT000051__spa2shw,RTBT000051,GRTBT000051,"Sat, 05/18/2013 - 10:00","sat, 05/18/2013 - 10:00",spa,shw,train,False,backtranslation_roundtrip_v0,0.9617973566055298,accepted
RTBT000051__shw2spa,RTBT000051,GRTBT000051,"sat, 05/18/2013 - 10:00","Sat, 05/18/2013 - 10:00",shw,spa,train,False,backtranslation_roundtrip_v0,0.9617973566055298,accepted
RTBT000065__spa2shw,RTBT000065,GRTBT000065,- ¿Eh?,- ¿eh?,spa,shw,train,False,backtranslation_roundtrip_v0,0.936714231967926,accepted
RTBT000065__shw2spa,RTBT000065,GRTBT000065,- ¿eh?,- ¿Eh?,shw,spa,train,False,backtranslation_roundtrip_v0,0.936714231967926,accepted
RTBT000072__spa2shw,RTBT000072,GRTBT000072,"¡No, no!","¡a'cha, a'cha!",spa,shw,train,False,backtranslation_roundtrip_v0,0.8064627647399902,accepted
RTBT000072__shw2spa,RTBT000072,GRTBT000072,"¡a'cha, a'cha!","¡No, no!",shw,spa,train,False,backtranslation_roundtrip_v0,0.8064627647399902,accepted
RTBT000094__spa2shw,RTBT000094,GRTBT000094,¿Qué es esto?,¿ma'su' asu'?,spa,shw,train,False,backtranslation_roundtrip_v0,0.994415819644928,accepted
RTBT000094__shw2spa,RTBT000094,GRTBT000094,¿ma'su' asu'?,¿Qué es esto?,shw,spa,train,False,backtranslation_roundtrip_v0,0.994415819644928,accepted
RTBT000112__spa2shw,RTBT000112,GRTBT000112,¿Max?,¿Max?,spa,shw,train,False,backtranslation_roundtrip_v0,1.0,accepted
RTBT000112__shw2spa,RTBT000112,GRTBT000112,¿Max?,¿Max?,shw,spa,train,False,backtranslation_roundtrip_v0,1.0,accepted
RTBT000124__spa2shw,RTBT000124,GRTBT000124,¡Leo!,Leo!,spa,shw,train,False,backtranslation_roundtrip_v0,1.0,accepted
RTBT000124__shw2spa,RTBT000124,GRTBT000124,Leo!,¡Leo!,shw,spa,train,False,backtranslation_roundtrip_v0,1.0,accepted
RTBT000128__spa2shw,RTBT000128,GRTBT000128,- ¡Sí!,- ¡yes!,spa,shw,train,False,backtranslation_roundtrip_v0,0.8681895732879639,accepted
RTBT000128__shw2spa,RTBT000128,GRTBT000128,- ¡yes!,- ¡Sí!,shw,spa,train,False,backtranslation_roundtrip_v0,0.8681895732879639,accepted
RTBT000144__spa2shw,RTBT000144,GRTBT000144,Eritrea,Eritrea,spa,shw,train,False,backtranslation_roundtrip_v0,1.000000238418579,accepted
RTBT000144__shw2spa,RTBT000144,GRTBT000144,Eritrea,Eritrea,shw,spa,train,False,backtranslation_roundtrip_v0,1.000000238418579,accepted
RTBT000146__spa2shw,RTBT000146,GRTBT000146,Oh.,oh,spa,shw,train,False,backtranslation_roundtrip_v0,0.8205899000167847,accepted
RTBT000146__shw2spa,RTBT000146,GRTBT000146,oh,Oh.,shw,spa,train,False,backtranslation_roundtrip_v0,0.8205899000167847,accepted
