pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,source,source_pair_id,has_audit_flags
U00000,Ve.,PAKER',ve.,paker',flashcards,P00000,True
U00001,Vete.,PAKER',vete.,paker',flashcards,P00001,True
U00002,Vaya.,PAKER',vaya.,paker',flashcards,P00002,True
U00003,Hola.,MA'PU'SIN,hola.,ma'pu'sin,flashcards,P00003,False
U00004,¡Corre!,TEKKER',¡corre!,tekker',flashcards,P00004,False
U00005,¿Quién?,¿DEN?,¿quién?,¿den?,flashcards,P00005,False
U00006,¡Fuego!,¡PEN!,¡fuego!,¡pen!,flashcards,P00006,False
U00007,¡Incendio!,¡UKEÑAN!,¡incendio!,¡ukeñan!,flashcards,P00007,False
U00008,¡Ayuda!,¡KATU'PA'!,¡ayuda!,¡katu'pa'!,flashcards,P00008,True
U00009,¡Socorro! ¡Auxilio!,¡KATU'PA'! ¡KATU'PA'!,¡socorro! ¡auxilio!,¡katu'pa'! ¡katu'pa'!,flashcards,P00009,False
U00010,¡Auxilio!,¡KATU'PA'!,¡auxilio!,¡katu'pa'!,flashcards,P00010,True
U00011,¡Salta!,¡INDEKKER'!,¡salta!,¡indekker'!,flashcards,P00011,False
U00012,¡Para!,¡TA'ITULER'!,¡para!,¡ta'ituler'!,flashcards,P00012,False
U00013,¡Espera!,¡WA'TEN'KER'!,¡espera!,¡wa'ten'ker'!,flashcards,P00013,False
U00014,Esperen.,¡WA'TEN'KU'!,esperen.,¡wa'ten'ku'!,flashcards,P00014,False
U00015,¡He ganado!,¡KANA'TULEK!,¡he ganado!,¡kana'tulek!,flashcards,P00015,False
U00016,"¡Oh, no! (masculino)",¡SHAW!,"¡oh, no! (masculino)",¡shaw!,flashcards,P00016,True
U00017,"¡Oh, no! (femenino)",¡ASHA!,"¡oh, no! (femenino)",¡asha!,flashcards,P00017,True
U00018,Sonríe.,YAMER,sonríe.,yamer,flashcards,P00018,False
U00019,Sonrían.,YAMERKU',sonrían.,yamerku',flashcards,P00019,False
U00020,¡Al ataque!,¡PAKU' LLIPU'TUDEK'KUNKU'!,¡al ataque!,¡paku' llipu'tudek'kunku'!,flashcards,P00020,False
U00021,Levanta. (un objeto),USANKER',levanta. (un objeto),usanker',flashcards,P00021,True
U00022,Levanta. (pararse),YUNSANKER',levanta. (pararse),yunsanker',flashcards,P00022,True
U00023,¡Tengo!,¡A'ÑAPALEK!,¡tengo!,¡a'ñapalek!,flashcards,P00023,False
U00024,¿Entendiste?,¿LACHEK'LA?,¿entendiste?,¿lachek'la?,flashcards,P00024,True
U00025,Él corrió.,NANA TEKAKLLI,él corrió.,nana tekaklli,flashcards,P00025,False
U00026,Métete adentro.,DA'KER' KINEKLA,métete adentro.,da'ker' kinekla,flashcards,P00026,False
U00027,Abrázame.,WIPERI'U,abrázame.,wiperi'u,flashcards,P00027,False
U00028,Me caí.,ANU'LEK,me caí.,anu'lek,flashcards,P00028,False
U00029,Salí.,YUNSU'LEK,salí.,yunsu'lek,flashcards,P00029,False
U00030,Mentí.,TUMU'LEK,mentí.,tumu'lek,flashcards,P00030,False
