source_pair_id,shiwilu_original,shiwilu_variant,detected_suffix,swapped_with,spanish_kept,status,warning
U02101,inlulen'awa',inlulen'awek,a',ek,curémonos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02101,inlulen'awa',inlulen'awu',a',u',curémonos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U02101,inlulen'awa',inlulen'awna',a',na',curémonos.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01102,lachek'ki'nek,lachek'ki'na',ek,a',estoy confuso.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01102,lachek'ki'nek,lachek'ki'nu',ek,u',estoy confuso.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01102,lachek'ki'nek,lachek'ki'nna',ek,na',estoy confuso.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01103,lachek'ki'nek,lachek'ki'na',ek,a',estoy confundido.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01103,lachek'ki'nek,lachek'ki'nu',ek,u',estoy confundido.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01103,lachek'ki'nek,lachek'ki'nna',ek,na',estoy confundido.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01068,ñinchichi'nek,ñinchichi'na',ek,a',no sé.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01068,ñinchichi'nek,ñinchichi'nu',ek,u',no sé.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01068,ñinchichi'nek,ñinchichi'nna',ek,na',no sé.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01267,kulliker'wanpala,kulliker'wanpaa',la,a',eres rico.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01267,kulliker'wanpala,kulliker'wanpaek,la,ek,eres rico.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01267,kulliker'wanpala,kulliker'wanpau',la,u',eres rico.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01065,indei'tulek,indei'tua',lek,a',me corté.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01065,indei'tulek,indei'tuek,lek,ek,me corté.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
U01065,indei'tulek,indei'tuu',lek,u',me corté.,manual_review_required,morphological mapping not linguist-validated; do NOT add to training data without supervision
