pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.7624303698539734,0.7624303698539734,True,1,shi_to_esp,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,(grupo correcto),¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U01659,G01466,1,0.77129727602005,0.77129727602005,True,1,shi_to_esp,¿yennitula lli'a'mak?,¿puedes verlo?,(grupo correcto),¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),best
U01830,G01626,1,0.6350516676902771,0.6350516676902771,True,1,shi_to_esp,¿yennitulek ka'tan'an'su'?,¿puedo acompañarle?,(grupo correcto),¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,(grupo correcto),best
U02615,G02390,1,0.6263574957847595,0.6263574957847595,True,1,shi_to_esp,"aper'etchuma', wer'etchuma'.","se van a confundir, se van a extraviar.",(grupo correcto),"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U02619,G02394,1,0.6767026782035828,0.6767026782035828,True,1,shi_to_esp,"nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.","con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.",(grupo correcto),"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U02432,G02207,1,0.6066837310791016,0.6066837310791016,True,1,shi_to_esp,"- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.","nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.",(grupo correcto),"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U01128,G00981,1,0.49971359968185425,0.49971359968185425,True,1,shi_to_esp,pulunker'wanpalli,está nevando.,(grupo correcto),está nevando.,pulunker'wanpalli,(grupo correcto),best
U01218,G01058,1,0.87131667137146,0.87131667137146,True,1,shi_to_esp,tom lauk'tulli,tom escuchó.,(grupo correcto),tom escuchó.,tom lauk'tulli,(grupo correcto),best
U02095,G01877,1,0.7219619750976562,0.7219619750976562,True,1,shi_to_esp,a'penu'wa' barriletes,remontemos barriletes.,(grupo correcto),remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),best
U02858,G02633,1,0.6416735053062439,0.6416735053062439,True,1,shi_to_esp,"naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',","después, dice otro viejo dijo: eso lo que están hablando no es falso,",(grupo correcto),"después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",(grupo correcto),best
