CODIGO,ESP,SHIWILU,Grabado?,Defectuosos?,
FL2_0001,Ve.,PAKER',TRUE,FALSE,
FL2_0002,Vete.,PAKER',TRUE,FALSE,
FL2_0003,Vaya.,PAKER',TRUE,FALSE,
FL2_0004,Hola.,MA'PU'SIN,TRUE,FALSE,
FL2_0005,¡Corre!,TEKKER',TRUE,FALSE,
FL2_0006,¿Quién?,¿DEN?,TRUE,FALSE,
FL2_0007,¡Fuego!,¡PEN!,TRUE,FALSE,
FL2_0008,¡Incendio!,¡UKEÑAN!,TRUE,FALSE,
FL2_0009,¡Ayuda!,¡KATU'PA'!,TRUE,FALSE,
FL2_0010,¡Socorro! ¡Auxilio!,¡KATU'PA'! ¡KATU'PA'!,TRUE,FALSE,
FL2_0011,¡Auxilio!,¡KATU'PA'!,TRUE,FALSE,
FL2_0012,¡Salta!,¡INDEKKER'!,TRUE,FALSE,
,¡Parad!,--,,,
FL2_0013,¡Para!,¡TA'ITULER'!,TRUE,FALSE,
,¡Pare!,--,,,
FL2_0014,¡Espera!,¡WA'TEN'KER'!,TRUE,FALSE,
FL2_0015,Esperen.,¡WA'TEN'KU'!,TRUE,FALSE,
,Continúa.,--,,,"Se puede expresar en oraciones, pero no existe una palabra como tal."
,Lo intento.,--,,,"Se puede expresar en oraciones, pero no existe una palabra como tal."
FL2_0016,¡He ganado!,¡KANA'TULEK!,TRUE,FALSE,
FL2_0017,"¡Oh, no! (masculino)",¡SHAW!,TRUE,FALSE,
FL2_0018,"¡Oh, no! (femenino)",¡ASHA!,TRUE,FALSE,
FL2_0019,Sonríe.,YAMER,TRUE,FALSE,
FL2_0020,Sonrían.,YAMERKU',TRUE,FALSE,
FL2_0021,¡Al ataque!,¡PAKU' LLIPU'TUDEK'KUNKU'!,TRUE,FALSE,"No se puede expresar especificamente ""atacar"" pero esta traduccion significa ""vamos a golpearlos"" "
FL2_0022,Levanta. (un objeto),USANKER',TRUE,FALSE,
FL2_0023,Levanta. (pararse),YUNSANKER',TRUE,FALSE,
FL2_0024,¡Tengo!,¡A'ÑAPALEK!,TRUE,FALSE,
,¿Lo pillas?,--,,,
FL2_0025,¿Entendiste?,¿LACHEK'LA?,TRUE,FALSE,
FL2_0026,Él corrió.,NANA TEKAKLLI,TRUE,FALSE,
FL2_0027,Métete adentro.,DA'KER' KINEKLA,TRUE,FALSE,
FL2_0028,Abrázame.,WIPERI'U,TRUE,FALSE,
FL2_0029,Me caí.,ANU'LEK,TRUE,FALSE,
FL2_0030,Salí.,YUNSU'LEK,TRUE,FALSE,
FL2_0031,Mentí.,TUMU'LEK,TRUE,FALSE,
FL2_0032,Perdí. (opuesto de ganar),WER'LLIEK,TRUE,FALSE,
FL2_0033,Perdí. (extraviar),A'WER'LLIEK,TRUE,FALSE,
FL2_0034,Renuncié.,TA'ITULA'LEK,TRUE,FALSE,Dejar de hacer algo
FL2_0035,Estoy trabajando.,SAKA'TAPALEK,TRUE,FALSE,
FL2_0036,Tengo diecinueve.,A'ÑAPALEK SHUNKA'ISKUN,TRUE,FALSE,
FL2_0037,Estoy levantado.,YUNSANSU' ÑAPALEK,TRUE,FALSE,
FL2_0038,Escucha.,LAU'TER,TRUE,FALSE,
FL2_0039,Escuché.,LAU'TULEK,TRUE,FALSE,
FL2_0040,Escuchen.,LAU'TUKU',TRUE,FALSE,
FL2_0041,Escucharon.,LAU'TULLINA',TRUE,FALSE,
FL2_0042,Estoy escuchando.,LAU'TAPALEK,TRUE,FALSE,
FL2_0043,Estoy abriendo mi boca.,LAUK'APALEK,TRUE,FALSE,
FL2_0044,¡Imposible!,¡SAKA'DEK!,TRUE,FALSE,
,¡Mangos!,--,,,
,¡Minga!,--,,,
FL2_0045,¿En serio?,¿TEKINCHI?,TRUE,FALSE,
FL2_0046,¿La verdad?,¿TEKINCHI?,TRUE,FALSE,
FL2_0047,¡Gracias!,¡YUSPEINET'ECHUN!,TRUE,FALSE,
FL2_0048,Gracias.,YUSPEINET'ECHUN,TRUE,FALSE,
FL2_0049,Pruébalo. (saborear),LATA'KER,TRUE,FALSE,
FL2_0050,Pruébalo. (intentar),TEKLE'RIER',TRUE,FALSE,
FL2_0051,Lo procuramos.,TEKLE'RIER'CHIDEK,TRUE,FALSE,
FL2_0052,Ganamos.,KANA'LLIDEK,TRUE,FALSE,
FL2_0053,Estate tranquilo.,MUSU' ÑAPAKER',TRUE,FALSE,
,Sé justo.,--,,,
FL2_0054,Sean gentiles.,MUKANKAN ÑIKER',TRUE,FALSE,t.e: Sean buenos
FL2_0055,Sé agradable.,MUKANKAN ÑIKER',TRUE,FALSE,t.e: Sean buenos
,Llamame.,--,,,
FL2_0056,Llámame.,PEKLU'U,TRUE,FALSE,
FL2_0057,Llámanos.,PEKLU'UDEK,TRUE,FALSE,
