original_index,ESP,SHIWILU,removal_reason
2466,¿Tú estudias?,,SHIWILU es NaN
2467,¿Están estudiando?,,SHIWILU es NaN
2468,¿Estás estudiando?,,SHIWILU es NaN
2474,¿Puedes llamarlo?,,SHIWILU es NaN
2475,¿Puedes encontrarla?,,SHIWILU es NaN
2476,¿Puedes descubrirlo?,,SHIWILU es NaN
2477,¿Puedes demostrarlo?,,SHIWILU es NaN
2478,¿Puedes verlos?,,SHIWILU es NaN
2479,¿Puedes enseñarme?,,SHIWILU es NaN
2480,Elije sabiamente.,,SHIWILU es NaN
2481,"Vamos, despierta.",,SHIWILU es NaN
2482,"Concéntrate, Tom.",,SHIWILU es NaN
2485,¡Modérese usted!,,SHIWILU es NaN
2486,¿Vino alguien?,,SHIWILU es NaN
2487,¿Dijeron cómo?,,SHIWILU es NaN
2488,¿Te divertiste?,,SHIWILU es NaN
2489,¿Le conocíais?,,SHIWILU es NaN
2490,¿Viste eso?,,SHIWILU es NaN
2491,¡No interfieras!,,SHIWILU es NaN
2492,¿Seguido lloras?,,SHIWILU es NaN
2493,¿Niegas eso?,,SHIWILU es NaN
2500,¿Te gustan?,,SHIWILU es NaN
2503,¿Juegas golf?,,SHIWILU es NaN
2504,¿Juegan golf?,,SHIWILU es NaN
2505,¿Quieres más?,,SHIWILU es NaN
2506,Todos saltaron.,,SHIWILU es NaN
2507,Todos esperaron.,,SHIWILU es NaN
2510,Acláramelo.,,SHIWILU es NaN
2511,Explíquese.,,SHIWILU es NaN
2512,Dáselos.,,SHIWILU es NaN
2518,Va bien.,,SHIWILU es NaN
2519,Tiene sobrepeso.,,SHIWILU es NaN
2529,Podría matarte.,,SHIWILU es NaN
2530,Podría matarlo.,,SHIWILU es NaN
2531,Podría matarla.,,SHIWILU es NaN
2532,Podría matarlos.,,SHIWILU es NaN
2533,Podría matarlas.,,SHIWILU es NaN
2534,Siento algo.,,SHIWILU es NaN
2535,Odio viajar.,,SHIWILU es NaN
2536,Escucho algo.,,SHIWILU es NaN
2537,Amo Australia.,,SHIWILU es NaN
2538,Necesito leche.,,SHIWILU es NaN
2539,Necesito verlo.,,SHIWILU es NaN
2540,Prefiero caminar.,,SHIWILU es NaN
2541,Vendo paraguas.,,SHIWILU es NaN
2542,Te entiendo.,,SHIWILU es NaN
2543,Visité Boston.,,SHIWILU es NaN
2544,Te esperé.,,SHIWILU es NaN
2545,Quiero divorciarme.,,SHIWILU es NaN
2546,Quiero comérmelo.,,SHIWILU es NaN
2547,Quiero verlo.,,SHIWILU es NaN
2548,Quiero probarlo.,,SHIWILU es NaN
2549,Seré discreto.,,SHIWILU es NaN
2550,Me castigarán.,,SHIWILU es NaN
2551,Soy traductor.,,SHIWILU es NaN
2552,Estoy extenuado.,,SHIWILU es NaN
2553,Estoy decepcionado.,,SHIWILU es NaN
2554,Estoy almorzando.,,SHIWILU es NaN
2555,Estoy enloqueciendo.,,SHIWILU es NaN
2556,Voy tarde.,,SHIWILU es NaN
2557,Sigo soltero.,,SHIWILU es NaN
2558,Encontré trabajo.,,SHIWILU es NaN
2559,Tengo galletas.,,SHIWILU es NaN
2560,Me lastimé.,,SHIWILU es NaN
2561,"Irónico, ¿verdad?",,SHIWILU es NaN
2562,¿Está satisfecha?,,SHIWILU es NaN
2563,No existe.,,SHIWILU es NaN
2564,Me asusta.,,SHIWILU es NaN
2565,Duele tanto...,,SHIWILU es NaN
2566,Parece doloroso.,,SHIWILU es NaN
2567,Parecía probable.,,SHIWILU es NaN
2568,Parece extraño.,,SHIWILU es NaN
2569,Estaba delicioso.,,SHIWILU es NaN
2570,Lloviznaba.,,SHIWILU es NaN
2571,Fue excesivo.,,SHIWILU es NaN
2572,Fue fantástico.,,SHIWILU es NaN
2573,Estaba fantástico.,,SHIWILU es NaN
2574,Era así.,,SHIWILU es NaN
2575,Fue maravilloso.,,SHIWILU es NaN
2576,Era maravilloso.,,SHIWILU es NaN
2577,Fue ayer.,,SHIWILU es NaN
2578,Será aterrador.,,SHIWILU es NaN
2579,Llevará horas.,,SHIWILU es NaN
2580,Es complicado.,,SHIWILU es NaN
2581,Ha oscurecido.,,SHIWILU es NaN
2582,Es interesante.,,SHIWILU es NaN
2583,Un momento...,,SHIWILU es NaN
2584,Solo vístete.,,SHIWILU es NaN
2585,Manténgame informado.,,SHIWILU es NaN
2586,Déjalo conmigo.,,SHIWILU es NaN
2587,Permíteme repararlo.,,SHIWILU es NaN
2588,Déjalos entrar.,,SHIWILU es NaN
2589,Seamos amigos.,,SHIWILU es NaN
2590,Probemos eso.,,SHIWILU es NaN
2591,Almorcemos.,,SHIWILU es NaN
2592,Juguemos ajedrez.,,SHIWILU es NaN
2593,Elige.,,SHIWILU es NaN
2594,Escoge.,,SHIWILU es NaN
2595,Quizá nieve.,,SHIWILU es NaN
2596,Mucho gusto.,,SHIWILU es NaN
2597,Nadie apareció.,,SHIWILU es NaN
2598,Nadie sabrá.,,SHIWILU es NaN
2599,Estamos ilesos.,,SHIWILU es NaN
2600,Nadie recuerda.,,SHIWILU es NaN
2601,Siéntate recto.,,SHIWILU es NaN
2602,"Bájalo, Tom.",,SHIWILU es NaN
2603,Hasta mañana.,,SHIWILU es NaN
2604,Compártelo conmigo.,,SHIWILU es NaN
2605,Siguió trabajando.,,SHIWILU es NaN
2606,Siéntate conmigo.,,SHIWILU es NaN
2607,Alguien gritó.,,SHIWILU es NaN
