pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U01344,G01166,serás bienvenido.,musu' sek'kaperechuner'ken,muwencha'ker',bienvenido.,U00127,G00086,hard,0.7172389030456543,0.6320212483406067,0.08521765470504761,9
U02613,G02382,con mi candela no van a cocinar.,- ñi asu' penweklek akusuchi'nchuma'.,nana malek asu' penweklek penwei'nchuma'.,por eso con mi candela no van a cocinar.,U02616,G02385,hard,0.7142448425292969,0.5748866200447083,0.13935822248458862,2
U01800,G01591,estará listo.,insek'diperpi ñape'chu,insekdiperpi nuka'ma,eres listo.,U01301,G01126,medium,0.8397976160049438,0.6851956844329834,0.15460193157196045,4
U03208,G02977,el niño está corriendo en la chacra.,wila tekka'palli menmik,nana iduñi u'lan wilenkek,él nada bajo la lluvia.,U03638,G03391,medium,0.8111522197723389,0.6317325830459595,0.1794196367263794,12
U01686,G01485,todos pagaron.,iñer' panwilek'tullina',iñer'daper yamerladallina',todos sonrieron.,U01984,G01765,medium,0.8276710510253906,0.6650620698928833,0.16260898113250732,7
U02795,G02564,nosotros silenciosamente nos acercábamos queriendo escuchar.,kudi'na ta'tushala'mudek kawidekllidek yalaukdek'amudek.,tamutuk adencha'llidek pu'yekkekla.,a las once hemos vuelto de la pesca.,U04371,G04106,medium,0.6775780916213989,0.519681453704834,0.15789663791656494,12
U01070,G00923,tomé leche.,mudidek ulek,pizza lektulek,pedí pizza.,U02018,G01797,medium,0.758104681968689,0.6062385439872742,0.1518661379814148,9
U02547,G02316,aquí está el árbol inclinado. ¡detengámonos!,ma'atasu' nala inner'apalli. ¡wanera!,enta' winterkenma'. ¡lawekku'!,entonces les voy a contar. ¡escuchen!,U03055,G02824,medium,0.676677405834198,0.515825629234314,0.16085177659988403,4
U02471,G02240,el canasto habló ¿por qué ustedes se burlaron de mí?,nana lantekpi luñi ¿ma'ki'na kenmama' lumellama'u'ku?,"nana wa'anler peklu'deklli, peklu'dek'an itulli: -¿ma'i'na luwantanma' uklama'?.",el gobernante los llamó y tras llamarles les preguntó: -¿qué cosa queriendo han venido?,U02977,G02746,medium,0.8264631032943726,0.6113621592521667,0.2151009440422058,3
U03164,G02933,"en base a eso, entonces, el cura le puso (el nombre) ustedes son maka, maka15 les pusieron.","naneklima ipa'linchi pacherler aku'lli kenmami'na makanma', maka aku'deklli.","nanek ima ala'sa' taserpi yunsa'n tulli, iteklanen ima usañin musenkek aku'n tulli.","ahí dice un viejo se levantó y dijo, levantó su mano en alto y dijo:",U02845,G02614,medium,0.7729750275611877,0.6017557978630066,0.17121922969818115,3
U02644,G02413,"vino el tucunaré,","tukuner uklli,","panwalalan uklli,","vino la vacamarina,",U02643,G02412,hard,0.8575901985168457,0.8065022230148315,0.05108797550201416,4
U02869,G02638,"que eso que has soñado así así va a suceder, por eso estén alertas muchachos dijo un viejo.","nana wa'lata'masui'na tusu' tusu' nu'aterwa', nana malek i'na nasu'ku' wilalusa' nasu' tullima ala'sa' taserpi.","ma'pu'si'pa' lli'etchuma' kenmama', ñienpi' lli'npu'a'mama'su' itudekllima wilalusa'.","a ver qué cosa van a ver ustedes, algo que nunca antes han visto les dijo a los niños.",U02545,G02314,hard,0.7062350511550903,0.6076736450195312,0.09856140613555908,2
U00552,G00453,lo haré.,nu'techek,alli'echek,le mostraré.,U01443,G01255,medium,0.8561779856681824,0.7057939171791077,0.1503840684890747,5
U02121,G01895,cógelo todo.,maker' iñer',llinse'cher' manen'unta',escribe algo.,U02195,G01968,hard,0.6925882697105408,0.6070041060447693,0.08558416366577148,5
U03800,G03547,el niño no trabaja con alegría.,nana wila ku'la saka'tapi'ñi sakeksu',nana ku'la' saka'tapi'ñi sakeksu',él no trabaja con alegría.,U03821,G03567,medium,0.8557046055793762,0.6782313585281372,0.177473247051239,3
U00388,G00312,veamos.,lli'awa',inlli'inuer',piénsalo.,U01871,G01659,medium,0.8050893545150757,0.6469137668609619,0.15817558765411377,8
U04114,G03851,"haciendo eso, dice, el carachupa se metió más adentro y cavó una vuelta.","nu'apan ima chi'lek da'kun a'pinta', iwa'tulli kuner'su'.",nu'an chi'lek pilenñanen man tekka'lli ala'lupa'pi'la.,"entonces, el carachupa agarró su pifuano y corrió en otra dirección.",U04123,G03860,hard,0.7919812202453613,0.6873781681060791,0.10460305213928223,2
U00925,G00788,¿estaba equivocada?,¿ñapawinek pektunsu'?,¿chimiñi?,¿está muerto?,U00569,G00469,medium,0.7320960164070129,0.5756709575653076,0.15642505884170532,12
U03388,G03152,la niña camina muy rápido.,nana wila ku'aper dekkuntulli nakusu' wiu'ksu',nana dekkuntulli enpu'ni wiu'ksu'ipa,él camina muy rápido.,U03403,G03167,medium,0.8630787134170532,0.6773895025253296,0.18568921089172363,4
U02394,G02163,"a ver, pues, vamos a conversar.",enta'ten i'na lunterkenma'.,nu'ak kua' insekluten'apalekwa'.,por eso estamos sufriendo.,U02779,G02548,medium,0.7674738764762878,0.5890251994132996,0.17844867706298828,3
U03144,G02913,"he hecho mi pampanilla, he hecho mi camisa, de mi tío finado su camisa he hecho.","kalantekwek nu'tulek, kutunwek nu'tulek, apetchawekku'kin kutunen nu'itulek.","chinku'kaluwi', saranpion, sa'la'pi, sa'punpi.","tos ferina, sarampión, viruela, quitamuro.",U04233,G03969,medium,0.8286736607551575,0.5984014272689819,0.23027223348617554,2
U00778,G00651,traigo noticias.,kera'pilellek la'la'lusa',ñinchitapalek ma'tapallinpa',leo labios.,U00793,G00666,medium,0.7397320866584778,0.5889184474945068,0.15081363916397095,12
U04822,G04461,vieja,tasellun,mek'shi,cuñado del hombre,U04715,G04374,medium,0.7008786201477051,0.5373048186302185,0.16357380151748657,5
U00020,G00017,¡al ataque!,¡paku' llipu'tudek'kunku'!,¡intek'klieriwa'!,¡intentémoslo!,U00389,G00313,hard,0.6547510027885437,0.5878404974937439,0.0669105052947998,7
U03159,G02928,"de ahí, cuando regresaron les preguntaron ¿dónde se han ido a vivir ustedes, yéndose al cerro?","naneklima adencha'a'ser lekdekllina' ¿enñupa' i'na kenmama' nanpikunama', pa'anma' mutupik?","pacher' pipek'anna' kerapencha'llina' ¿ipa'li'na denler pacher' pipek'apetchu?, tullina'.","al cura cargándolo en la espalda lo traían ¿ahora quién va a estar cargando al cura?, dijeron.",U03021,G02790,medium,0.8468191623687744,0.6455594897270203,0.20125967264175415,2
U00233,G00179,déjalo.,tai'tuler',¡ta'ituler'!,¡para!,U00012,G00009,medium,0.793068528175354,0.641207218170166,0.151861310005188,15
U03074,G02843,"así vamos a hacer entonces, dijeron haciendo mazo.",nu'awa' nu'pachi tanni'ma llisanala nu'tanna'.,menmi a'nu'tudek'awa' tannima u'anna'.,"vamos a mandarles a hacer chacra, diciendo vinieron (a jeberos).",U03129,G02898,medium,0.7541466951370239,0.6000211834907532,0.15412551164627075,4
U02835,G02604,"vamos a conocer a otro tipo de gente nosotros también,","enchuku' nermuda' luwetchawa' kenmu'wa'nta',","yañinchitulama' kenmama'nta' ma'pu'si'pa' nu'tulek,","ustedes también quieren aprender de qué manera se hace,",U02337,G02106,medium,0.769172728061676,0.5914050936698914,0.17776763439178467,7
U01473,G01285,había nevado.,pulunker' ñapawiñi,ucha'paya ñapawiñi,estuvo chevere.,U00840,G00710,hard,0.759587824344635,0.6904799342155457,0.06910789012908936,5
U00544,G00446,yo grité.,kua lamapu'lek,nerpi'pu' pinanetllek.,a veces me olvido.,U02286,G02055,hard,0.7154484987258911,0.5967271327972412,0.1187213659286499,2
U02933,G02702,esta candela no es buena.,asui'na mui'ñi asu' pen.,nana da'wanser mulu'sha'su'.,esa doncella era de carne impecable.,U04441,G04176,medium,0.7592977285385132,0.6061091423034668,0.1531885862350464,6
U01994,G01774,¡qué humillante!,¡empu'ni dakuta!,¡dakuta'lek!,¡qué vergüenza!,U01169,G01013,medium,0.8268810510635376,0.6649610996246338,0.1619199514389038,18
U00162,G00116,pásala bien.,musu'nakuker',mukankan ñiker',sé agradable.,U00054,G00042,medium,0.8445772528648376,0.6935991048812866,0.15097814798355103,8
U00331,G00262,te vi.,lli'llien,lli'linu,me vio,U04698,G04364,hard,0.7858288288116455,0.6527917981147766,0.1330370306968689,2
U03448,G03211,ustedes no corren muy rápido.,kenmama' ku'la teka'pi'nama' enpu'ni wiu'ksu',kenma dekkuntula nakusu' wiu'ksu',tú caminas muy rápido.,U03396,G03160,hard,0.841192364692688,0.6953505873680115,0.1458417773246765,2
U03050,G02819,así hablaron los antiguos….,nu'sui'ma luñi taserpiku'lusa'.....,tullina' nana yalli'lusa' pa'lusa':,(entonces) preguntaron esos hermanos (shawala) que habían ido:,U02652,G02421,medium,0.7678883075714111,0.5848384499549866,0.18304985761642456,2
U03041,G02810,cuando nosotros perezcamos qué cosas quizá aparecerán dijeron antes.,kenmu'wa' chimiansikwa' ma'ilipa' lli'tetchu tullini'ma napi'.,"lli'inutapaku' nu'sukla'nka kenmu'wa' ipa'la itullinerkenmu'wa', gente civilizada tullima.","vayan acordándose de esa clase (de nombres) nos dicen ahora, gente civilizada dicen.",U03190,G02959,medium,0.7803230881690979,0.6104511618614197,0.16987192630767822,2
U03929,G03673,"entonces juntaban, llenaban sus canastos.","nanek si'yektullina', lantekpinenna' pi'muer'llina'.","naneklima ipa'linchi ukllinantanna', apu'pa'ser puñañin,","ahí dice, en ese momento, amaneciendo cuando echaban el barbasco,",U02523,G02292,medium,0.7604504227638245,0.6047431230545044,0.15570729970932007,7
U03206,G02975,así era antes.,nu'su' ñiwiñi napi'.,a'ñiwinek nanasa',tuve suficiente.,U02060,G01837,hard,0.7717869877815247,0.6319769620895386,0.13981002569198608,3
U04205,G03941,al costado de su plaza están las tiendas.,plazanen lallinteklusak ñapallina' chinta'lusa'.,tananluk ikiñik ñapalli.,está ubicado en medio del monte.,U03877,G03621,hard,0.7547925710678101,0.6610593795776367,0.09373319149017334,2
U04849,G04485,padre,tata,papinku,abuelo,U04503,G04214,hard,0.7676756978034973,0.7123739123344421,0.055301785469055176,5
U04224,G03960,eso nomás no me gusta.,nanasa' musu' a'kankanchi'ñu.,nu'amu kua wa'inutulek.,por eso tengo pena.,U02330,G02099,hard,0.7556087374687195,0.6740691065788269,0.08153963088989258,2
U00928,G00791,estamos aquí.,asek ñapallidek,inapi ñapallidek,estamos disponibles.,U02178,G01952,medium,0.9140669703483582,0.7404701113700867,0.17359685897827148,5
U00056,G00044,llámanos.,peklu'udek,inlulen'awa',curémonos.,U02101,G01876,hard,0.7332337498664856,0.5950707197189331,0.1381630301475525,2
U02801,G02570,diciendo eso pescaban los antiguos.,tanna' purllina' napi'ku'lusa'.,nu'sik nu'eklima nana muyunpak ektu'llina' tullina' papinkuku'lusa'.,"así, de esa manera, llegaron a moyobamba decían los abuelos ya finados.",U03004,G02773,hard,0.8030911684036255,0.7296506762504578,0.07344049215316772,2
U00051,G00040,ganamos.,kana'llidek,nu'tulek'wa',lo hicimos.,U00687,G00571,hard,0.7935940027236938,0.6732664704322815,0.12032753229141235,2
U01416,G01230,lo rescaté.,kananek,kanandeklek,los encontré.,U01071,G00924,hard,0.8021262884140015,0.7321452498435974,0.06998103857040405,4
U01736,G01532,necesitaba dinero.,luwantuwinek kulliker',luwantullidek kana'tak,necesitamos ganar.,U01883,G01671,medium,0.7663372755050659,0.615294337272644,0.15104293823242188,12
U03000,G02769,las abuelas ya finadas dijeron: nosotros somos los culpables de que ahora los señores vengan y nos hagan la vida imposible sin motivo.,tullina' amiku'lusa' kuda usha'wañidek asu' ipa'la wa'danlusa' uk'anna' llikanerchi'ñinerkenmu'wa'.,"nu'siklimaka ipa'la asu' ñinanlu'mapu'wa' susulli, nerpi'la muda'lusa' nanpillina', nerpi'la ku'aper uk'apalli, kaluwi' ker'apallina'.","de esa manera ahora nuestro pueblo ha crecido, gentes de otros lugares viven, otras mujeres vienen, traen enfermedades.",U03011,G02780,medium,0.803383469581604,0.6143566370010376,0.1890268325805664,4
U03360,G03127,ella baja al río.,nana nu'wañi kupin'dek'shadik,nana dekkunchiñi ta'tula',él no camina en silencio.,U03401,G03165,medium,0.840172290802002,0.6829923391342163,0.15717995166778564,10
U04704,G04368,qué es?,ma'nen,¿mapu'la?,¿qué pasa?,U00703,G00585,hard,0.7650309205055237,0.7035544514656067,0.06147646903991699,6
U00449,G00361,nosotros esperamos.,kuda wa'tentulidek,kuda wa'ten'tulli'dek ta'tula'mudek,nosotras esperamos en silencio.,U03506,G03263,medium,0.8498060703277588,0.6989964246749878,0.150809645652771,4
U03927,G03671,ahí estaban los cuidadores del cerco.,nanek ñapallina' pidan luwekter'kasu'.,nu'su'sa' ñillina' napi'.,así nomas han sido antes.,U03145,G02914,medium,0.7271862030029297,0.5728489756584167,0.15433722734451294,7
U03764,G03515,ellas no recuerdan su nombre.,nawa'ku'la lli'inutapi'ñina llillinen,nawa' ku'la llinserchi'ñina' llillinnenna',ellas no escriben sus nombres.,U03468,G03231,hard,0.8442931175231934,0.7794056534767151,0.06488746404647827,3
U04387,G04122,un poco más guardó para su comida.,nu'dunpi'la sekdiperlli weranenki.,piteknenkeksakla meitulli.,de su espalda nomás se la cogió.,U04030,G03767,hard,0.681499719619751,0.5661087036132812,0.11539101600646973,3
U00950,G00812,¡qué burro!,¡ma'nen ñinchichi'na!,¡inapiku!,¡soy libre!,U00197,G00148,medium,0.7164961099624634,0.563720703125,0.15277540683746338,30
U00053,G00042,sean gentiles.,mukankan ñiker',muwencha'ker',bienvenido.,U00127,G00086,hard,0.6971957683563232,0.6470597386360168,0.050136029720306396,9
U01165,G01010,ponlo ahí.,aku'ker' nanek,kencher' asek,tráelo aquí.,U01325,G01148,hard,0.8566297888755798,0.7211442589759827,0.13548552989959717,4
U01917,G01702,puedes negarte.,ku'la tunansin,yennitula' llia'a'mak,puedes quedarte.,U01269,G01098,hard,0.7523987889289856,0.6967338919639587,0.055664896965026855,3
U01470,G01282,¿hay más?,¿ñapalli a'pinda'?,¿ñimanen nalu?,¿nada nuevo?,U00983,G00841,medium,0.7817544341087341,0.627380907535553,0.15437352657318115,4
U01652,G01454,¿puedo ayudarte?,¿yennitulek katu'pa'a'kik?,¿yennitulek ka'tan'an'su'?,¿puedo acompañarle?,U01830,G01620,medium,0.8823331594467163,0.7203678488731384,0.16196531057357788,7
U03303,G03071,"¿puedes repetir eso, por favor?",tununda' nansin asu' yusmalek,¿matuleki'na' asu' la'la'kek?,¿qué significa esta palabra?,U03296,G03064,hard,0.6751412153244019,0.5897595286369324,0.08538168668746948,2
U03338,G03105,tú no amas a sus amigos.,kenma tanteni'na' ekkuanenlusa',kenma ku'la pa'apina dekpilli'lusa',tú no viajas por las noches.,U03853,G03598,hard,0.7705866098403931,0.667271614074707,0.10331499576568604,2
U03463,G03226,yo enseño a escribir.,kua a'lektulek llinserchak',ñinchitapalek idun'ak,sé nadar.,U00520,G00427,medium,0.8492552638053894,0.6623967289924622,0.18685853481292725,2
U01472,G01284,empeora.,nu'la'lli,ikerlli,duele.,U00221,G00169,medium,0.8177658319473267,0.6661985516548157,0.151567280292511,11
U02542,G02311,ahí toda esta enfermedad sa'la' va a desaparecer les dijo.,nanek iñer asu' sa'la' apu'tetchun itudekllima.,nanadaper iñer asu' senñula' yañinchitulli.,todo eso quiere saber esta señora.,U02481,G02250,medium,0.7878449559211731,0.6030235886573792,0.18482136726379395,2
U02767,G02536,la ribera se mantendría muy bonita.,ukuchin enpu'ni mushipa' ñapa'su'.,illisianen a'pinta' u'chimusha nuka'a.,su iglesia es todavía más bonita.,U04204,G03940,medium,0.7224699258804321,0.5567529201507568,0.1657170057296753,5
U03977,G03721,allá el perro olfateando lo halla en el hueco.,nanek ñiñi'ler laneran kanañi lallik.,ipa'linchi chi'lek chi'yeklli tekka'nta'n.,entonces el carachupa se escapó corriendo.,U04132,G03869,hard,0.6896880865097046,0.6085590124130249,0.08112907409667969,2
