pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,esp,shiwilu_correct,shiwilu_top1,category
U01521,G01336,1,0.9231606721878052,0.9231606721878052,True,1,es francesa.,nuka'a francesa,(grupo correcto),best
U01740,G01542,1,0.8976487517356873,0.8976487517356873,True,1,hablo francés.,lumpalek frances,(grupo correcto),best
U02397,G02172,1,0.9013912081718445,0.9013912081718445,True,1,"los que la entienden, la entienden, pero los que no la entienden no pueden entender.","lachek'erkasu' lachekllina', lachek'inpu'erkasui'na innichi'ñina' lachek'erkasu'.",(grupo correcto),best
U03184,G02959,1,0.8840522170066833,0.8840522170066833,True,1,"este agarró a san pedro. ah, pedro.","pilli'tulli asi'na san pedro. ah, pideru.",(grupo correcto),best
U01232,G01071,1,0.9022312760353088,0.9022312760353088,True,1,"despiértate, tom.","nanpiladaker', tom",(grupo correcto),best
U00301,G00240,1,0.8877384066581726,0.8877384066581726,True,1,¡es estupendo!,¡u'chimuinchi nuka'a!,(grupo correcto),best
U02095,G01877,1,0.9187410473823547,0.9187410473823547,True,1,remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),best
U00016,G00013,1,0.880723237991333,0.880723237991333,True,1,"¡oh, no! (masculino)",¡shaw!,(grupo correcto),best
U02432,G02207,1,0.8986175656318665,0.8986175656318665,True,1,"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U01047,G00907,1,0.9123005867004395,0.9123005867004395,True,1,es francés.,francés nuka'a,(grupo correcto),best
U02615,G02390,1,0.8565614223480225,0.8565614223480225,True,1,"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U01987,G01773,1,0.8861735463142395,0.8861735463142395,True,2,¡dámelos!,¡enka'u!,(grupo correcto),best
U03205,G02980,1,0.8579407930374146,0.8579407930374146,True,1,"ahora ¿estás yendo compadre? diciendo pasan, sin mirarle la cara.","ipa'li'na ¿pa'apilala, kunpá? tan nakutulli, lli'ladeinpu'la'pi'.",(grupo correcto),best
U02665,G02440,1,0.8591317534446716,0.8591317534446716,True,1,le fueron a decir los policías:,wintunta'llima wala'wanlusa'ler:,(grupo correcto),best
