original_index,ESP,SHIWILU,removal_reason
13,,,ESP es NaN
14,Mi dibujo no era un sombrero.,,SHIWILU es NaN
15,Representaba una serpiente boa que digiere un elefante.,,SHIWILU es NaN
16,Los mayores siempre tienen necesidad de explicaciones.,,SHIWILU es NaN
17,Había quedado desilusionado por el fracaso de mis dibujos.,,SHIWILU es NaN
18,"Viví así, solo, sin alguien con quien poder hablar.",,SHIWILU es NaN
19,Me puse en pie de un brinco.,,SHIWILU es NaN
20,Descubrí a un extraordinario muchachito.,,SHIWILU es NaN
21,El muchachito me observaba gravemente.,,SHIWILU es NaN
22,¡Píntame un cordero!,,SHIWILU es NaN
23,"No importa, ¡Píntame un cordero!",,SHIWILU es NaN
24,En mi tierra todo es muy pequeñito.,,SHIWILU es NaN
25,Éste está muy enfermo.,,SHIWILU es NaN
26,"Esto no es un cordero, es un carnero.",,SHIWILU es NaN
27,Es demasiado viejo.,,SHIWILU es NaN
28,Quiero un cordero que viva mucho tiempo.,,SHIWILU es NaN
29,El cordero que quieres está adentro.,,SHIWILU es NaN
30,El corderito que te he dado también es pequeño.,,SHIWILU es NaN
31,Y así fue como conocí al principito.,,SHIWILU es NaN
32,¿Dónde quieres llevarte mi cordero?,,SHIWILU es NaN
33,"Le llama, por ejemplo, Asteroide 3251.",,SHIWILU es NaN
34,Las personas mayores son así.,,SHIWILU es NaN
35,Luego aceptaron su descubrimiento.,,SHIWILU es NaN
36,Los mayores creen conocer con cifras.,,SHIWILU es NaN
37,Me habría gustado decir: érase una vez…,,SHIWILU es NaN
38,Siento tristeza al acordarme de mi amigo.,,SHIWILU es NaN
39,Tener un amigo es un verdadero privilegio.,,SHIWILU es NaN
40,He comprado una caja de lápices de colores.,,SHIWILU es NaN
41,Uno saldrá bien y otro quizá no tanto.,,SHIWILU es NaN
42,Dudo sobre los colores de su traje.,,SHIWILU es NaN
43,Quizá me creía semejante a él.,,SHIWILU es NaN
44,Debo haber envejecido.,,SHIWILU es NaN
45,Cada día aprendía algo nuevo.,,SHIWILU es NaN
46,¿Es verdad que los corderos se comen los arbustos?,,SHIWILU es NaN
47,Entonces se comen también los baobabs.,,SHIWILU es NaN
48,Los baobabs no son arbustos.,,SHIWILU es NaN
49,Son árboles tan grandes como iglesias.,,SHIWILU es NaN
50,Los baobabs comienzan por ser muy pequeñitos.,,SHIWILU es NaN
51,Hay que arrancarlos inmediatamente.,,SHIWILU es NaN
52,El suelo estaba infestado de semillas.,,SHIWILU es NaN
53,El planeta es muy pequeño.,,SHIWILU es NaN
54,El retraso es siempre fatal.,,SHIWILU es NaN
55,Atención a los baobabs.,,SHIWILU es NaN
56,Estaba animado por un sentimiento de urgencia.,,SHIWILU es NaN
57,"¡Ah, mi pequeño amigo!",,SHIWILU es NaN
58,Me dijiste: me gustan mucho las puestas de sol.,,SHIWILU es NaN
59,Vamos a ver una.,,SHIWILU es NaN
60,Hay que esperar.,,SHIWILU es NaN
61,Siempre creo que estoy en mi tierra.,,SHIWILU es NaN
62,¡Un día vi ponerse el sol cuarenta y tres veces!,,SHIWILU es NaN
63,Cuando uno está triste es bueno ver las puestas de sol.,,SHIWILU es NaN
64,"Ese día estabas muy triste, ¿verdad?",,SHIWILU es NaN
65,¿Para qué sirven las espinas?,,SHIWILU es NaN
66,Las espinas no sirven para nada.,,SHIWILU es NaN
67,Son pura maldad de las flores.,,SHIWILU es NaN
68,¡Las flores son débiles!,,SHIWILU es NaN
69,¡Se defienden como pueden!,,SHIWILU es NaN
70,"Todo lo confundes, todo lo mezclas.",,SHIWILU es NaN
71,"¡Eso no es un hombre, es un hongo!",,SHIWILU es NaN
72,Estalló en sollozos.,,SHIWILU es NaN
73,¡Es tan misterioso el país de las lágrimas!,,SHIWILU es NaN
74,¡Qué hermosa eres!,,SHIWILU es NaN
75,He nacido al mismo tiempo que el sol.,,SHIWILU es NaN
76,Si tuvieras la bondad…,,SHIWILU es NaN
77,"Ya pueden venir los tigres, con sus garras.",,SHIWILU es NaN
78,Yo no soy una hierba.,,SHIWILU es NaN
79,Tengo horror a las corrientes de aire.,,SHIWILU es NaN
80,¿No tienes un biombo?,,SHIWILU es NaN
81,Hace mucho frío en tu tierra.,,SHIWILU es NaN
82,Tosió dos o tres veces.,,SHIWILU es NaN
83,¿Y el biombo?,,SHIWILU es NaN
