CODIGO,TEXTO_SPA,TEXTO_SHI,AUDIO?,,,,
F-0001,El niño va corriendo a la chacra.,WILA TEKKA'PILALLI MENMIK,TRUE,,,,
F-0002,El niño está corriendo en la chacra.,WILA TEKKA'PALLI MENMIK,TRUE,,,,
F-0003,La mujer canta una canción.,KU' APER TULU'NER'LLI ALA'SA' TULU'NER',TRUE,,,,
F-0004,El perro duerme bajo la mesa.,ÑIÑI'WA WICHI'LLI MISA'' WILENKEK,TRUE,,,,
F-0005,Hoy hace mucho calor.,IPA'LA NAKUSU' UKAWAÑI',TRUE,,,,
F-0006,Vamos al río por la tarde.,PA'A KUPINDE'SHADEK'KEK ER'WA,TRUE,,,,
F-0007,Mamá cocina pescado.,AWA KALU'PALLI SAMER,TRUE,,,,
F-0008,El abuelo cuenta historias.,PAPINKU LUMBALLI NAPI'KU'LU'SAKI,TRUE,,,,
F-0009,Me gusta la fruta madura.,IYATULEK' WAYUPI MER'CHA'SU',TRUE,,,,
F-0010,El sol sale temprano.,KEKKI YUNSU'LII DASU'LA,FALSE,,,,
F-0011,La lluvia moja las hojas.,U'LANLER A'WIWERLLI LALUME'LUSA',TRUE,,,,
F-0012,Ellos caminan por la selva.,NAWA' PA'APALLINA' TANANLUPA',TRUE,,,,
F-0013,El pájaro canta al amanecer.,SHUMBULA PEKLAPALLI DASU'LA,TRUE,,,,
F-0013,Tengo hambre.,UKI'LALEK,TRUE,,,,
F-0014,¿Dónde está tu casa?,¿EÑUPI'NA PIDEK'PEN?,FALSE,X : Como pregunta,,,
F-0015,El bebé llora por la leche.,WAWASER' WELLIEKLLI MUDIDE'NENMALEK ,FALSE,,,,
F-0016,Comemos todos nosotros cada noche.,WERANEK'WA IÑER'KENMUWA IÑER'DEKPILLILUSA,TRUE,,,,
F-0017,niño ríe con su hermano.,WILA YAMER'APALLI DUDENNENLEK',FALSE,"X : Agregar ""nana wila""",,,
F-0018,Voy a pescar con papá.,PUR'KUNCHEK  TATALEK,TRUE,,,,
F-0019,Hay muchos árboles grandes.,ÑAPALI WAPU' NALALUS'A A'LLUPILUSA,TRUE,,,,
F-0020,El tigre es un animal fuerzuedo.,AMANA' NUKA'A ALASA AÑIMAR NANTAPITEK,TRUE,,,,
F-0021,El fuego calienta la casa.,PENLER A'UKALLI PIDEK',FALSE,X,KALA KATUTA ALA'SA,,"TRES, DOS, UNO"
F-0021.2,El fuego está calentando la casa.,PENLER A'UKAPALLI PIDEK',TRUE,,,,
F-0022,El cielo está nublado.,KEKILU'TEK' UKU'TULLI DINPANLUTEK'LER,TRUE,,,,
F-0023,Necesito agua para beber.,DEK' LUWANTULEK IYULEK',TRUE,,,,
F-0024,Ella trae leña del bosque.,NANA KENCHA'LLI DIUK TANAKLA,TRUE,,,,
F-0025,Escucho el canto del gallo.,LAUK'APALEK WA'DANTEK PEKLA'SU',TRUE,,,,
F-0026,¿Qué comiste hoy?,¿MA'NEN'ACHA KA'LA IPA'LA?,TRUE,,,,
F-0027,Ellos bailan en la fiesta.,NAWA' LANSA'LLINA' PISTAK',TRUE,,,,
F-0028,La casa está al lado del río.,PIDE'MAPU'WA'  ÑAPALII  DEKSHADE'TAK ,TRUE,,,,
F-0029,El pez nada en el agua.,SAMER IDUNPALLI  DEKKEK,FALSE,,,,
F-0030,Ayer fuimos al pueblo.,YA' PANTA'LLIDEK ÑINALUK,TRUE,,,,
F-0031,Los niños juegan con barro.,WILALUSA' INTEKLITULLINA' MUMULU'LEK,TRUE,,,,
F-0031.2,Los niños están jugando con barro.,WILALUSA' INTEKLITAPALLINA' MUMULU'LEK,TRUE,,,,
F-0032,El viento mueve las ramas de los árboles.,TANLUA U'LENMEK'LLI NALA TAMPA'LUSA',TRUE,,,,
F-0033,"Estoy cansado, quiero dormir.",SAKA'TUSU' ÑAPALEK YA WICHI'LEK,TRUE,,,,
F-0034,"Trae el machete, por favor.",KENCHER' SAWELLI YUSMALEK,TRUE,,,,
F-0035,Esa fruta está dulce.,NANA WAYUPI KASERLLI,FALSE,,,,
F-0036,¿Cuántos años tienes?,ENPU'DUN EKKILALI'NA A'ÑAPALA,FALSE,,,,
F-0037,Voy a buscar plátanos maduros.,PA'ECHEK DUNKER'KUNCHEK TANKU MER'PI,TRUE,,,,
F-0038,El murciélago pasó por aquí.,ISHEK NAKULLI ASU'LUPA',TRUE,,,,
F-0039,Mañana iremos al mercado.,EKLLI PA'ATER MERKADUK,TRUE,,,,
F-0040,El bebé ya puede caminar.,WAWASER' IPA' YEN'NITULLI DEKKUNTASU',TRUE,,,,
F-0041,¿Quién rompió el cántaro?,¿DEN'I'NA PADEKLLI YUNPI?,FALSE,,,,
F-0042,Mi hermana teje muy bien.,SHA'WAUK ANANTAPALLI  MUSHASU',TRUE,,,,
F-0043,Papá rema la canoa.,TATA NERKU'LLI NUNKEK,TRUE,,,,
F-0044,Hay PEKes en la canasta.,ÑAPALLI SAMERLUSA' LANTEKPIK,TRUE,,,,
F-0045,Los niños tienen frío.,WILALUSA' SANEKWANTULLINA',TRUE,,,,
F-0046,El espíritu cuida el bosque.,TANAMUDA' LUUKTAPALLI TANAN,FALSE,,,,
F-0047,Esa flor huele bien.,NANA DANKU MUSU' PIMUTULLI,TRUE,,,,
F-0048,"Mira, una mariposa azul.",LLI'KER' ALA'SA' SHUMITEK' KAÑIERCHUSU',FALSE,X : Muy parado,,,
F-0048.2,"Mira, una mariposa que es azul.",LLI'KER' ALA'SA' SHUMITEK' KAÑIERCHASU',TRUE,,,,
F-0049,Estoy aprendiendo tu lengua.,ÑINCHITAPILALEK LA'LA' PEN,TRUE,,,,
F-0050,El anciano conoce muchas palabras.,PAPINKU LUWER'CHAPALLI WAPU' LA'LA'LUSA',TRUE,,,,
F-0051,Cosechamos yuca por la mañana.,UKA'LLIDEK KER' DASU'LA,TRUE,,,,
F-0051.2,Coseché yuca por la mañana,UKA'LLEK KER' DASU'LA,TRUE,,,,
F-0052,Mi tía hace chicha punta.,ASHATU'SHAUK NU'TULLI UKLUPIDEK,TRUE,,,,
F-0053,La luna está nueva esta noche.,DUKER WAWALADATULLI,TRUE,,,,
F-0054,No me gusta escuchar mucho ruido.,YA LAU'I'NEK ILLINASU' EMPU'NINCHI,TRUE,,,,
F-0055,Trajeron sal del pueblo.,KERLLI'NA DAMULA ÑINALUKLAN,TRUE,,,,
F-0056,Mi abuelo se fue a pescar.,PAPINKU'UK PA'LLI YA PUR'AN,TRUE,,,,
F-0057,Aquí viven tres familias.,ASEK NANPIPAPILLINA' KALA PATUNLUSA',TRUE,,katukta,alaksa,
F-0058,¿Has visto a mi hermano?,¿LLI'LAN'CHA YALLI'SHAUK?,TRUE, ,,,
F-0059,Cantan para llamar la lluvia.,TULUNER'LLINA U'LAN YAPEKLUN'NA',TRUE,,,,
F-0060,Los monos negros están en la cima del arbol.,ETCHU'LUSA ÑAPALLINA' NALAMULUK,TRUE,,,,
F-0061,Hoy no hay escuela.,IPA'LA ÑI'ÑI ESCUELA,TRUE,,,,
F-0062,La tierra está mojada.,LUPA' WIWERAPALLI,TRUE,,,,
F-0063,Ellos están construyendo una casa.,NAWA' NU'TAPALLINA ALA'SA' PIDEK,TRUE,,,,
F-0064,Me inqué con una espina.,DA'TU'TULEK ALA'SA' LAWANLEK,FALSE,X : El tono es muy bajo,,,
F-0065,Esta palabra es difícil.,ASU' LA'LA' SAKA'DEK' NUKA'A,TRUE,,,,
F-0066,El curandero conoce los remedios.,LULENTUTEK LUWERCHAPALLI ILULENNALUSA',TRUE,,,,
F-0067,Ella pinta con achiote.,NANA LLINSERCHAPALLI LUNKWAPILEK,TRUE,,,,
F-0068,Todos trajeron comida.,IÑER' KERLINA' WUERAN ,TRUE,,,,
F-0069,El espíritu del agua es fuerte.,DEKMUDA' NANTAPITEK NUKA'A,FALSE,X : El tono es muy bajo,,,
F-0070,Quiero escuchar cuando hablas.,YALAULEK' LUN'A'SIN,TRUE,,,,
F-0071,El niño está enfermo.,WILA KALUWI'PALLI ,TRUE,,,,
F-0072,¿Cómo se dice eso en tu lengua?,"MA'PU'SI'NA PEKLUKEK ""NANA"" LA'LA'PENKEK?",TRUE,,,,
F-0073,La comunidad se reúne hoy.,ÑINALU' INDIUNTUNCHU IPA'LA,TRUE,,,,
F-0074,El tambor suena lejos.,TUNTUN ILLANPALLI WEY,TRUE,,,,
F-0075,Vamos a sembrar maíz.,ENLLU TRA'A CHITER',TRUE,,,,
F-0076,La canoa está rota.,NUN NUCHINKATUSU' ÑAPALLI,FALSE,X : El tono es muy bajo,,,
F-0077,Trae la medicina natural.,KENCHER' ILULENNA ÑICHINTA',TRUE,,,,
F-0078,Los pájaros vuelan juntos.,SHUNPULALUSA' PENU'LLINA' MUMU'SU',TRUE,,,,
F-0079,¿Tienes hermano?,¿IINWANPALA? | ¿I INWANPALA? ,TRUE,,,,
F-0080,Este camino es largo.,ASU DE'KUN SHIN NUKA'A,TRUE,,,,
F-0081,Bebí agua del manantial.,ULEK DEK' LUPAKINEKLALA,FALSE,X : El tono es muy bajo,,,
F-0082,Hoy buen día.,IPA'LA MULALALLI,TRUE,,,,
F-0082.2,Hoy es un buen día.,IPA'LA NUKA'A ALASA MULALALLI,FALSE,,,,
F-0083,El abuelo nos enseñó a leer libro.,PAPINKU A'ALEK'LLIENMU' KER'KA' LUNTAK,TRUE,,,,
