codigo,español,shiwilu,Grabado?
VS_0008_0001,La mujer de Arákayu era baja de estatura.,ARAKAYU SADIN UWENLUNCHA.,TRUE
VS_0008_0002,"No sabía enojarse, solamente hacía gestos con la boca.","ÑINCHIYUI’NSU’, MERMINLA’SU’.",TRUE
VS_0008_0003,Se sentaba sobre el lomo de un súngaro doncella.,DU’APALLI DA’WANSER PITEKKEK.,TRUE
VS_0008_0004,Esa doncella era de carne impecable.,NANA DA’WANSER MULU’SHA’SU’.,TRUE
VS_0008_0005,"Sentada desde allí, empuñando el pez macana arreaba a los peces.","DU’AN NANEKLAN, SERWIN PILLI’TAN SAMELLUSA’ DIMUDEKLLI.",TRUE
VS_0008_0006,La mujer de Arákayu también era bella.,ARAKAYU SADINTA’ U’CHA’PAYALUNSHA.,TRUE
VS_0008_0007,"Todos la apreciaban, la ambicionaban,","IÑETLLER TANTENA’SU’, LUYA’SU’,",TRUE
VS_0008_0008,“¡Qué bonita mujer!” decían.,“¡U’CHA’PAYALUNSHA!” TULLINA’.,TRUE
VS_0008_0009,"Después (era) de pelo largo y negro,","NU’SIK SHINENCHEK, KER’ENCHEK,",TRUE
VS_0008_0010,"carita redonda,","MUNKULADALUNSHA,",TRUE
VS_0008_0011,"cara llena,","MUR’LADATUSU’,",TRUE
VS_0008_0012,mejillas templadas.,KIKITEKNEN PEKCHITEKTUSU’.,TRUE
VS_0008_0013,Por eso todos la ambicionaban.,NU’ASU MALEK IÑETLLER LUYALLI.,TRUE
VS_0008_0014,Antes decían las señoritas cuando se insultaban,TULLINA’ NAPI’ WILALUNLUSA’ ÑIPERCHANNA’,TRUE
VS_0008_0015,“Te jactas como si te parecieras a la mujer de Arákayu” decían las jovencitas.,“U’AN ARAKAYU SADINLUNSHAPU’N IPA’ INTUMU’TULAMA’” TULLINA’ WILALUNLUSA’.,TRUE
VS_0008_0016,Los que vieron a la mujer de Arákayu decían,LLI’LUSA’LER ARAKAYU SADIN LUÑINA’,TRUE
VS_0008_0017,"“La mujer de Arákayu es como la luna llena (que quiere amanecer),","“ARAKAYU SADI’NA’ DUKER YANUKLLI,",TRUE
VS_0008_0018,"como la carita de la luna llena,","LADASHAPU’LLI,",TRUE
VS_0008_0019,es la mujer de Arákayu.”,ARAKAYU SADIN.,TRUE
VS_0009_0001,Los finados shiwilu a la que llamamos ahora “Campana Poza” antes la llamaban “Ballena Poza”.,SHIWILUKU’LUSA’ IPA’LA ITA’KAWA’SU’ “KANPANA’ PITUN” NAPI’ I’NA ITULLINA’ “LANLA’ PITUN”.,TRUE
VS_0009_0002,Allí dice vivía una ballena.,NANEK IMA LANLA’ ÑILLI.,TRUE
VS_0009_0003,Dicen que Arákayu puso una ballena y salió (de la región).,ARAKAYU IMA LANLA’ AKUN YUNSU’LLI.,TRUE
VS_0009_0004,“Esto les va a devorar a todos los malos”,“ASU’LER PEKDADEK’ETCHU MUKANKINPU’LUSA’”,TRUE
VS_0009_0005,dijo Arákayu y puso la ballena.,TAN IMA ARAKAYU NANA LANLA’ AKU’LLI.,TRUE
VS_0009_0006,Ahora a la que antes llamaban “Ballena Poza” la llaman “Campana Poza”.,IPA’LA “LANLA’ PITUN” ITULLINA’ NAPI’ IPA’LI’NA “KANPANA’ PITUN” ITULLINA’.,TRUE
VS_0009_0007,Dicen que todas estas cosas Arákayu enojándose nos ha dejado al irse.,NANADAPER IMA’KA ARAKAYU YUN PA’LAPINANTULLINERKUDEK.,TRUE
VS_0009_0008,"A la ballena la mató Marcel,","LANLA’ I’NA DI’TULLI MARCELLER,",TRUE
VS_0009_0009,él mató a la ballena.,DI’TULLI LANLA’.,TRUE
VS_0009_0010,Dicen que cuando Marcel bajaba el río en un patecito la ballena se lo tragó.,MARCEL IMA PACHISHAK NU’WANTAN LANLA’LER LANPI’TULLI.,TRUE
VS_0009_0011,"Ahí entrando (dentro de la ballena, Marcel) le vio su corazón.",NANEK DA’AN LLI’ITULLI DINLUPINEN.,TRUE
VS_0009_0012,“La mataré” dijo y le trozó el corazón.,“DI’TETCHEK” TAN DINLUPINEN DEKTUINTULLI.,TRUE
VS_0009_0013,Ahí dice (la ballena) salió a la playa y saliendo murió.,"NANEKLIMA YUNSU’LLI DELLUTEKKEK, YUNSU’N CHIMIÑI.",TRUE
VS_0009_0014,Ahí se pudrió.,NANEK TAWETCHULLI.,TRUE
VS_0009_0015,"De ahí, esta la “Ballena Poza” se redujo.",NANEKLIMAKA ASU’ NANA LANLA’ PITUNTA’ UWENTUNTA’LLI.,TRUE
VS_0009_0016,Dicen que antes era grande Ballena Poza.,A’LLUPIMA ÑIWIÑI NAPI’ LANLA’ PITUN.,TRUE
