pair_id,group_id,rank,top1_is_positive,positive_count,direction,query_text,target_correct,top1_pair_id,top1_group_id,target_top1,esp,shiwilu_correct,shiwilu_top1,correct_score,top1_score,score_gap,heuristic_error_type
U00997,G00860,50,False,1,shi_to_esp,latek'u,ten seguridad.,U01147,G01000,déjame pensar.,ten seguridad.,latek'u,ta'itula'u inlli'inutechek,0.11577700823545456,0.45555543899536133,0.33977843075990677,semantic_confusion
U01644,G01454,46,False,1,shi_to_esp,¿te'kuawina?,¿tenías miedo?,U01838,G01634,¿empezamos?,¿tenías miedo?,¿te'kuawina?,¿tenmiansu'ter?,0.12888242304325104,0.3817653954029083,0.2528829723596573,semantic_confusion
U02927,G02702,38,False,1,shi_to_esp,- ¿uklama' a'cha nanapu'si'la?.,¿vinieron otra vez?,U02933,G02708,esta candela no es buena.,¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,asui'na mui'ñi asu' pen.,0.17230236530303955,0.4309925138950348,0.25869014859199524,gold_has_audit_flag
U00976,G00842,21,False,1,shi_to_esp,luantapalundek,nos necesitas.,U00531,G00440,me agradas.,nos necesitas.,luantapalundek,tanteñek,0.14091630280017853,0.34807854890823364,0.20716224610805511,semantic_confusion
U00398,G00323,16,False,1,shi_to_esp,ta'itulau,¿perdona?,U01354,G01181,dámelo.,¿perdona?,ta'itulau,enka'u,0.27154964208602905,0.4912971556186676,0.21974751353263855,semantic_confusion
U02758,G02533,11,False,1,shi_to_esp,matutada ñapalli.,los lagartos negros ahí están.,U02073,G01856,está botado.,los lagartos negros ahí están.,matutada ñapalli.,dekpi ñapalli,0.288985013961792,0.5740438103675842,0.28505879640579224,semantic_confusion
U02344,G02119,11,False,1,shi_to_esp,dintuntulek wa'naukta ukluka'lli.,se junta la leña (para el fuego) debajo de la olla de aluminio y se hierve.,U02312,G02087,desde una ciudad grande ha venido.,se junta la leña (para el fuego) debajo de la olla de aluminio y se hierve.,dintuntulek wa'naukta ukluka'lli.,kupin ñinanlukla weklli.,0.2889532744884491,0.4655068814754486,0.1765536069869995,gold_has_audit_flag
U01837,G01633,10,False,1,shi_to_esp,tuker' tekinchiwalek,dilo claramente.,U01762,G01564,seré directo.,dilo claramente.,tuker' tekinchiwalek,cheksu' ñechek,0.29185885190963745,0.4436139464378357,0.15175509452819824,semantic_confusion
U00461,G00377,10,False,1,shi_to_esp,¿mupalan'cha?,¿estás bien?,U00582,G00484,¿es este?,¿estás bien?,¿mupalan'cha?,¿asu' a'cha?,0.3213743269443512,0.45706063508987427,0.13568630814552307,semantic_confusion
U00148,G00108,10,False,1,shi_to_esp,dawik',abajo.,U00121,G00087,crudo,abajo.,dawik',nanpi,0.28542792797088623,0.366626501083374,0.08119857311248779,semantic_confusion
