pair_id,texto_id,item_number,SHIWILU,ESP,quality_flag
T001_N001,1,1,Kui’na Shiwilulunku.,Yo soy Jeberina.,fallback_last_line_as_spanish
T001_N002,1,2,kua asek wilawañun awawek.,Aquí me engendró mi madre.,ok
T001_N003,1,3,"Nanpipakun tatawek ima wilawañinerku, wadekllinerku, asek i’la susulek.","Conviviendo con mi padre me engendraron, me parieron y aquí mismo crecí.",ok
T001_N004,1,4,"Iskun duker a’ña’seku awawek chiminlapillun, amishawek teksusullun.",Cuando tenía nueve meses murió mi madre y me crió mi abuelita.,ok
T001_N005,1,5,Tatawek ekdusipen ñilli.,Mi padre quedó viudo.,ok
T001_N006,1,6,Nanekla nanapu’si’la nanpipan tatawek ali’la ku’aper kanañi.,Después vivendo (solo) nuevamente mi padre encontró otra mujer.,ok
T001_N007,1,7,Ali’la ku’apellek nanpillina’ musu’.,Con otra mujer vivían bien.,ok
T001_N008,1,8,Kui’na a’pinta’ musu’ eknanpi’ñu tatawek.,Pero a mí ya no me quería bien mi padre.,ok
T001_N009,1,9,Nu’amu amishawekkek pipetchulek.,Por eso me arrimé donde mi abuelita.,ok
T001_N010,1,10,Ku’apenñenleksa’ musu’ nanpillina’ tatawek.,Mi padre con su mujer nomás vivían bien.,ok
T001_N011,1,11,Kudei’na ma’sha musu’ kankanwapei’ñundek a’pinta’ tatawek.,A nosotras mi padre ya no nos ha querido.,ok
T001_N012,1,12,Nu’amui’na i’pa amishawek teksusullun wilaluntulek.,Por eso me crió mi abuelita y me hice señorita.,ok
T001_N013,1,13,Wilaluntamu sudawek kananek.,Siendo señorita encontré marido.,ok
T001_N014,1,14,Nanpiapamu wilawanek.,Al convivir salí embarazada.,ok
T001_N015,1,15,Nu’amui’na wadeklek wilaweklusa’.,Después tuve mis hijos.,ok
T001_N016,1,16,"Wadeklek, susullina’.",Los parí y crecieron.,ok
T001_N017,1,17,Teksusupa’nku tatanenna’ chiminlapillun.,Ayudándome a criarlos su padre murió y quedé sola.,ok
T001_N018,1,18,"Ipa’li’na wilaweklusa’ nanapu’si’la luwektapallinerku,","Ahora mis hijos a su vez me están sirviendo,",ok
T001_N019,1,19,enmu’pinenwawalusa’ nu’an ku’aperwawalusa’ luwektapallinerku.,mis hijos varones y también mis hijas mujeres me están sirviendo.,ok
T001_N020,1,20,"Ñinchillintulusa’ ñanna’ nu’unta’ nawa’ enka’pallinerku ka’a’kasu’,","Como varios de ellos han estudiado ellos me dan mi comida,",ok
T001_N021,1,21,"kutunshawek a’ña’kasu’, dudinpu’ enka’pallinerku.","la ropita que tengo, me dan de todo.",ok
T001_N022,1,22,A’pinta’ luwektapa’nkusui’na ku’aperwawa suda’su’.,La que más me cuida es mi hija que es casada.,ok
T001_N023,1,23,Ala’sa’ ku’aperwawa luwektapallun.,Una hija mujer me está sirviendo.,ok
T001_N024,1,24,Mikekweklek i’la we’chimu1 mukankanlusa’.,Con mi yerno ambos son de buen corazón.,ok
T001_N025,1,25,Nu’anna’ nawa’ eknanpipallinerku.,Así ellos me acompañan.,ok
T001_N026,1,26,A’pinta’ ku’aperwawalusa’ musu’ eknanpipallun.,Más son las mujeres las que me acompañan.,ok
T001_N027,1,27,Nu’amui’na kuanta’ musu’ nanpiapalek.,Así yo también vivo bien.,ok
T001_N028,1,28,"Ipa’la asu’ kai kua wei ñinanlukla weklli, senñula’.","Ahora esta hermana ha venido desde un pueblo lejano, la señora.",ok
T001_N029,1,29,"Llimaklan wek’an asek nananta’ yañinchitulli,","Viniendo de Lima aquí ella también quiere aprender,",ok
T001_N030,1,30,Shiwilu la’la’ yañinchitulli.,quiere aprender el idioma shiwilu.,fallback_last_line_as_spanish
T001_N031,1,31,Namasu’ la’leklan luntetchek.,De esta lengua le voy a hablar.,ok
T001_N032,1,32,"“A’lek’erken, ekpanta’n kenmanta’ ñinchiter.","“Te voy a enseñar, llévala tú también y aprende.",ok
T001_N033,1,33,"Nanalupa’ wei ñinanluk ekpanter, awá”, itamu a’lek’apalek.","Llévala por ahí a un pueblo lejano, madre”, diciendo así le estoy enseñando.",ok
T001_N034,1,34,"Ipa’la nanalek nana a’lachik’apilalek, nananta’ a’lachik’apilallun kua.",Ahora con el idioma le estoy enseñando y ella también está enseñándome a mí.,ok
T001_N035,1,35,Nerpi’pu’ innichi’nek lli’inuta’kasu’ lunpa’kasu’.,A veces no puedo recordar lo que estoy hablando.,ok
T001_N036,1,36,Nerpi’pu’ pinanetllek.,A veces me olvido.,ok
T001_N037,1,37,Nananta’ a’lek’apilallun.,Ella también me está enseñando.,ok
T001_N038,1,38,We’chimu luntulek senñula’ enpi’pu’ lunchinpu’a’kasu’.,Bonito le hablo a esta señora con quien nunca antes había conversado.,ok
T001_N039,1,39,Ipa’la mula’si’la weklli.,Ahora felizmente ha venido.,ok
