pair_id,ESP,SHIWILU
P00000,El niño va corriendo a la chacra.,WILA TEKKA'PILALLI MENMIK
P00001,El niño está corriendo en la chacra.,WILA TEKKA'PALLI MENMIK
P00002,La mujer canta una canción.,KU' APER TULU'NER'LLI ALA'SA' TULU'NER'
P00003,El perro duerme bajo la mesa.,ÑIÑI'WA WICHI'LLI MISA'' WILENKEK
P00004,Hoy hace mucho calor.,IPA'LA NAKUSU' UKAWAÑI'
P00005,Vamos al río por la tarde.,PA'A KUPINDE'SHADEK'KEK ER'WA
P00006,Mamá cocina pescado.,AWA KALU'PALLI SAMER
P00007,El abuelo cuenta historias.,PAPINKU LUMBALLI NAPI'KU'LU'SAKI
P00008,Me gusta la fruta madura.,IYATULEK' WAYUPI MER'CHA'SU'
P00009,El sol sale temprano.,KEKKI YUNSU'LII DASU'LA
P00010,La lluvia moja las hojas.,U'LANLER A'WIWERLLI LALUME'LUSA'
P00011,Ellos caminan por la selva.,NAWA' PA'APALLINA' TANANLUPA'
P00012,El pájaro canta al amanecer.,SHUMBULA PEKLAPALLI DASU'LA
P00013,Tengo hambre.,UKI'LALEK
P00014,¿Dónde está tu casa?,¿EÑUPI'NA PIDEK'PEN?
P00015,El bebé llora por la leche.,WAWASER' WELLIEKLLI MUDIDE'NENMALEK 
P00016,Comemos todos nosotros cada noche.,WERANEK'WA IÑER'KENMUWA IÑER'DEKPILLILUSA
P00017,niño ríe con su hermano.,WILA YAMER'APALLI DUDENNENLEK'
P00018,Voy a pescar con papá.,PUR'KUNCHEK  TATALEK
P00019,Hay muchos árboles grandes.,ÑAPALI WAPU' NALALUS'A A'LLUPILUSA
P00020,El tigre es un animal fuerzuedo.,AMANA' NUKA'A ALASA AÑIMAR NANTAPITEK
P00021,El fuego calienta la casa.,PENLER A'UKALLI PIDEK'
P00022,El fuego está calentando la casa.,PENLER A'UKAPALLI PIDEK'
P00023,El cielo está nublado.,KEKILU'TEK' UKU'TULLI DINPANLUTEK'LER
P00024,Necesito agua para beber.,DEK' LUWANTULEK IYULEK'
P00025,Ella trae leña del bosque.,NANA KENCHA'LLI DIUK TANAKLA
P00026,Escucho el canto del gallo.,LAUK'APALEK WA'DANTEK PEKLA'SU'
P00027,¿Qué comiste hoy?,¿MA'NEN'ACHA KA'LA IPA'LA?
P00028,Ellos bailan en la fiesta.,NAWA' LANSA'LLINA' PISTAK'
P00029,La casa está al lado del río.,PIDE'MAPU'WA'  ÑAPALII  DEKSHADE'TAK 
P00030,El pez nada en el agua.,SAMER IDUNPALLI  DEKKEK
P00031,Ayer fuimos al pueblo.,YA' PANTA'LLIDEK ÑINALUK
P00032,Los niños juegan con barro.,WILALUSA' INTEKLITULLINA' MUMULU'LEK
P00033,Los niños están jugando con barro.,WILALUSA' INTEKLITAPALLINA' MUMULU'LEK
P00034,El viento mueve las ramas de los árboles.,TANLUA U'LENMEK'LLI NALA TAMPA'LUSA'
P00035,"Estoy cansado, quiero dormir.",SAKA'TUSU' ÑAPALEK YA WICHI'LEK
P00036,"Trae el machete, por favor.",KENCHER' SAWELLI YUSMALEK
P00037,Esa fruta está dulce.,NANA WAYUPI KASERLLI
P00038,¿Cuántos años tienes?,ENPU'DUN EKKILALI'NA A'ÑAPALA
P00039,Voy a buscar plátanos maduros.,PA'ECHEK DUNKER'KUNCHEK TANKU MER'PI
P00040,El murciélago pasó por aquí.,ISHEK NAKULLI ASU'LUPA'
P00041,Mañana iremos al mercado.,EKLLI PA'ATER MERKADUK
P00042,El bebé ya puede caminar.,WAWASER' IPA' YEN'NITULLI DEKKUNTASU'
P00043,¿Quién rompió el cántaro?,¿DEN'I'NA PADEKLLI YUNPI?
P00044,Mi hermana teje muy bien.,SHA'WAUK ANANTAPALLI  MUSHASU'
P00045,Papá rema la canoa.,TATA NERKU'LLI NUNKEK
P00046,Hay PEKes en la canasta.,ÑAPALLI SAMERLUSA' LANTEKPIK
P00047,Los niños tienen frío.,WILALUSA' SANEKWANTULLINA'
P00048,El espíritu cuida el bosque.,TANAMUDA' LUUKTAPALLI TANAN
P00049,Esa flor huele bien.,NANA DANKU MUSU' PIMUTULLI
P00050,"Mira, una mariposa azul.",LLI'KER' ALA'SA' SHUMITEK' KAÑIERCHUSU'
P00051,"Mira, una mariposa que es azul.",LLI'KER' ALA'SA' SHUMITEK' KAÑIERCHASU'
P00052,Estoy aprendiendo tu lengua.,ÑINCHITAPILALEK LA'LA' PEN
P00053,El anciano conoce muchas palabras.,PAPINKU LUWER'CHAPALLI WAPU' LA'LA'LUSA'
