pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U00996,G00853,sé confiado.,lu'uktutek'ken ñiker,yatek'da'ta,sé puntual.,U00722,G00602,hard,0.7520339488983154,0.6992564797401428,0.05277746915817261,2
U00996,G00853,sé confiado.,lu'uktutek'ken ñiker,mukankan ñiker',sé agradable.,U00054,G00042,medium,0.7520339488983154,0.5963991284370422,0.1556348204612732,10
U02413,G02182,hablando más en castellano ya no hablan shiwilu.,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",napiklanek lulenñina' shiwilu la'la'wek tekkiker'inpui'nsu'.,"si desde hace tiempo le hubiesen curado a mi lengua shiwilu, no se hubiese agravado.",U04402,G04137,hard,0.7670502662658691,0.70196133852005,0.06508892774581909,2
U02413,G02182,hablando más en castellano ya no hablan shiwilu.,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",lamanlusi'na tekda'pi'ñina' shiwiluk.,las huanganas no demoraban en jeberos.,U03958,G03702,medium,0.7670502662658691,0.6128734350204468,0.15417683124542236,5
U04424,G04159,pero a la lengua shiwilu desde antes no le curaron;,shiwilu la'la' napiklanek lulen'i'ñina';,shiwiluk ñi enpi' ektui'ñina'.,a jeberos nunca han llegado.,U04293,G04029,medium,0.8822123408317566,0.6926491260528564,0.18956321477890015,2
U00261,G00204,tom lloró.,tom welliek'lli,tom susu'lli,tom creció.,U01221,G01055,hard,0.8896401524543762,0.7926070690155029,0.09703308343887329,3
U00261,G00204,tom lloró.,tom welliek'lli,tom wellek'echu,tom llorará.,U00674,G00560,medium,0.8896401524543762,0.7385423183441162,0.15109783411026,6
U01390,G01507,te creo.,latekllien,luwer'chapala,le conoces.,U01273,G01102,medium,0.8009381294250488,0.6279085278511047,0.1730296015739441,4
U01710,G01507,te creí.,latekllien,tumu'tulun,me mentiste.,U01913,G01699,hard,0.7889427542686462,0.7282156944274902,0.060727059841156006,4
U01710,G01507,te creí.,latekllien,kaper'llien,te encontré.,U00776,G00649,medium,0.7889427542686462,0.6131718158721924,0.17577093839645386,7
U02427,G02196,"sentada me la paso, tarde llegan.","du'anpamu erwatulek, erwa uncha'llina'.","wadeklek, susullina'.",los parí y crecieron.,U02266,G02035,hard,0.8062298893928528,0.6602093577384949,0.1460205316543579,2
U02427,G02196,"sentada me la paso, tarde llegan.","du'anpamu erwatulek, erwa uncha'llina'.",pa'llina'. pa'anna' erwa uncha'llina'.,se van. luego de ir vienen tarde.,U02447,G02216,medium,0.8062298893928528,0.6252831816673279,0.1809467077255249,3
U04394,G04129,hace veinte años que salí de mi pueblo.,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,shunka' ekkilala a'ñamu shiwiluklan yunsu'lek.,cuando tenía diez años he salido de jeberos.,U02484,G02253,hard,0.6763221621513367,0.6041228175163269,0.07219934463500977,2
U04394,G04129,hace veinte años que salí de mi pueblo.,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,"kutunshawek a'ña'kasu', dudinpu' enka'pallinerku.","la ropita que tengo, me dan de todo.",U02271,G02040,medium,0.6763221621513367,0.5209094882011414,0.1554126739501953,7
U02119,G01893,alguien llamó.,denipa' peklu'tulli,ala'sa' yalli' ektukerlli,alguien llegó.,U01175,G01017,hard,0.8135849833488464,0.6694061756134033,0.14417880773544312,2
U02119,G01893,alguien llamó.,denipa' peklu'tulli,ñiden pek'klu'chi'ñi,nadie llamó.,U01515,G01324,medium,0.8135849833488464,0.5487334728240967,0.26485151052474976,4
U02186,G01960,los perdimos.,a'wer'llidek,perlli'llidek,estamos hartos.,U00701,G00583,hard,0.7980341911315918,0.7072831392288208,0.090751051902771,4
U02186,G01960,los perdimos.,a'wer'llidek,wer'su' ñapallidek,estamos perdidos.,U00699,G00581,medium,0.7980341911315918,0.6343705058097839,0.16366368532180786,9
U01891,G01679,te salvaremos.,a'chiyek'echiden,panuerken,te recompensaré.,U02045,G01822,hard,0.6839951872825623,0.6288121938705444,0.05518299341201782,3
U01891,G01679,te salvaremos.,a'chiyek'echiden,yuspainek'etchu.,gracias.,U04437,G04172,medium,0.6839951872825623,0.5311354994773865,0.15285968780517578,13
U04068,G03805,"y, así, se fueron a la fiesta las dos.",pistak pa'llina' ipa'linchi katu'daper.,"nanek, ipa'linchi, nalak ñinta'llina'.","ahí, entonces, se convirtieron en árbol.",U04010,G03747,hard,0.7376666069030762,0.6665126085281372,0.07115399837493896,2
U04068,G03805,"y, así, se fueron a la fiesta las dos.",pistak pa'llina' ipa'linchi katu'daper.,tekkinchima pa'llina'.,de veras se fueron.,U02920,G02689,medium,0.7376666069030762,0.5293338298797607,0.20833277702331543,8
