pair_id,ESP,SHIWILU
P00000,Pido perdón a los niños por haber dedicado este libro a una persona mayor.,"TA'ITULI'NER'KU ASU' WILALUSA' NU'TAKASU'MALEK ALA'SA' KERKA', ALA'SA TASERPIKIN."
P00001,Tengo una muy seria disculpa,AÑAPALEK ALA'SA TEKINCHIWALEK TA'ITULI'NER'KUK
P00002,Esta persona mayor es el mejor amigo que tengo en el mundo.,ASU' YALLY' SUSUNEN A'PINTA MUKANKAN A'ÑA'KASU' LUPAK
P00003,Tengo otra disculpa,AÑAPALEK ALI'LA TA'ITULI'NER'KUK
P00004,"Esta persona mayor es capaz de comprender todo, hasta los libros para niños.",ASU' YALLY' SUSUNEN LACHEK'SU IÑER' KERKA LUSA' WILALUSAKINTA'
P00005,Y tengo aún una tercera disculpa,A'ÑAPALEKILA ALA'SA KALALU TA'ITULI'NER'KUK
P00006,"Esta persona mayor vive en Francia donde siente hambre, frío y tiene gran necesidad de ser consolada.","ASU' YALLI' SUSUNEN NANPIPALLI FRANCIAK NANEK UKI'LALEK, SANEK'WANTULEK, PAWANTULLI DENLER KA'TANA'SU'"
P00007,Más si todas estas disculpas no fueran suficientes,APINTA IÑER ASU' TAITULUSA PAWANPACHINA
P00008,"Quiero entonces dedicar este libro al niño que fue, en otro tiempo, esta persona mayor.","NUPACHI YA ENKA'LEK ASU'KERK'A ASU WILA NAPI'NUSU, ASU YALLI SUSUNEN"
P00009,Todas las personas mayores han comenzado por ser niños,IÑER YALLI SUSUNENLUSA' TENMIANSU'LLINA WILA ÑANNA
P00010,Aunque pocas lo recuerden,NU'UNTA'SA' LLI INUTAPALLINA'
P00011,"Cuando tenía apenas seis años, habiendo sólo aprendido a dibujar las boas cerradas y las boas abiertas.",SUCTA EKILALASA AÑAMU KUPIVANLUSA KERPILUSA UNKUPILUSA
P00012,"Los adultos me desanimaron de ser pintor, cuando yo quería serlo, a la edad en que decidí dedicarme a ello.","TASERPILUSA' A'TAITULALLINERKU LINSERCHAK KUA YA LLISENCHURVINEK, WILAPI'LA ÑAMU"
