pair_id,group_id,anchor,positive,negative,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank,risk_flags
U01104,G00962,estoy divorciada.,apu'pi nuka'ka,nanpi'palek'i'la,U02056,G01839,hard,0.5428851842880249,0.4911322593688965,0.0517529249191284,51,very_close_margin
U01034,G00895,deme tiempo.,wa'ten'u,wa'tenker',U02247,G02022,hard,0.6470953822135925,0.5929872393608093,0.0541081428527832,4,very_close_margin
U00920,G00790,apágalo.,a'tashunker',tupiter',U00497,G00409,hard,0.6587293148040771,0.6036261916160583,0.0551031231880188,21,very_close_margin
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,¿inapi ñapala?,U00987,G00851,hard,0.7793315649032593,0.727306604385376,0.0520249605178833,3,very_close_margin|shared_shiwilu_tokens
U01102,G00961,estoy confuso.,lachek'ki'nek,ñinchichi'nek,U01068,G00927,hard,0.6946486830711365,0.6397868990898132,0.0548617839813232,3,very_close_margin
U02116,G01897,es brasileña.,brashika nuka'a,pipersu' nuka'a,U00229,G00179,medium,0.7434180378913879,0.5690388083457947,0.1743792295455932,2,shared_shiwilu_tokens
U00833,G00709,¿está ventoso?,¿nakusu' tanluwatulli?,¿nu'su' nuka'a?,U00581,G00483,hard,0.6084986329078674,0.5497308969497681,0.0587677359580993,22,very_close_margin
U00669,G00559,tomás esperó.,chuma wa'tentulli,chuma wer'lli,U01226,G01065,medium,0.8283082246780396,0.5371212959289551,0.2911869287490845,2,shared_shiwilu_tokens
U01295,G01126,están despedidos.,saka'tunakla usu'dekllina',saka'tusu' ñapallina',U01548,G01360,hard,0.8040074706077576,0.7481240034103394,0.0558834671974182,2,very_close_margin
U01295,G01126,están despedidos.,saka'tunakla usu'dekllina',saka'tunakla usu'llina,U01294,G01125,medium,0.8040074706077576,0.6456364393234253,0.1583710312843322,6,shared_shiwilu_tokens
U02483,G02258,hace mucho yo viví en varadero.,kua napi' simirkek nanpilek.,napi' sudawek sudatulek.,U02405,G02180,hard,0.6004121899604797,0.5040964484214783,0.0963157415390014,3,shared_shiwilu_tokens
U01267,G01102,eres rico.,kulliker'wanpala,a'lliupiken nuka'ma,U00966,G00832,hard,0.6876975297927856,0.628969669342041,0.0587278604507446,2,very_close_margin
U01053,G00913,¡qué pesado!,¡enpu'ni saka'dek'ipa'!,¡embu'ni mushipa'!,U00511,G00422,hard,0.7555055022239685,0.702572226524353,0.0529332756996154,5,very_close_margin
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,wiuksu'lusa' nuker'ka,U01207,G01048,hard,0.6482712626457214,0.5856319069862366,0.0626393556594848,5,shared_shiwilu_tokens
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,sha'pi'su'sa' nuker'ka,U02127,G01907,medium,0.6482712626457214,0.496667742729187,0.1516035199165344,12,shared_shiwilu_tokens
U02624,G02399,"él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","ñi ma'wi'ñi, wilawi'ñi, ñi ñiñi'wi'ñi, wa'dantekwi'ñi, ñi ma'wi'ñi.",U02622,G02397,hard,0.7242029309272766,0.6415504217147827,0.0826525092124939,2,shared_shiwilu_tokens
U02624,G02399,"él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","apu'tek i'mi'na ñinpu' ninchiluyuchi'ñi, ñi aperku'tekinpu'.",U03134,G02909,medium,0.7242029309272766,0.5605230927467346,0.163679838180542,4,shared_shiwilu_tokens
U00201,G00154,estoy herido.,chacha'lek ñapalek,ñapalek sadasu',U00820,G00696,hard,0.7239418625831604,0.6668903231620789,0.0570515394210815,30,very_close_margin|shared_shiwilu_tokens
U02793,G02568,cuando un viejo hablaba los niños no debían asomarse.,"taserpi lunpasik, wilalusa' kawichi'ñina'.",wilalusa' enmu'pinenwawalusa' ima peklu'deklli.,U03175,G02950,hard,0.6283596754074097,0.5215878486633301,0.1067718267440795,4,shared_shiwilu_tokens
U01772,G01572,me desnudo.,inanpilechek,indei'techek,U01064,G00923,hard,0.613722026348114,0.5577839612960815,0.0559380650520324,14,very_close_margin
U00561,G00466,me mudaré.,yunsue'chek,adencha'lek,U00187,G01794,hard,0.7823723554611206,0.7308019399642944,0.0515704154968261,2,very_close_margin
U00359,G00290,llovió.,u'lanñi,a'aper'lli,U00358,G00289,hard,0.7303059101104736,0.6712442636489868,0.0590616464614868,8,very_close_margin
U01059,G00918,estoy lesionado.,ñapalek da'peksu',ñapalek sakek'su',U00816,G00692,hard,0.826396644115448,0.7745530605316162,0.0518435835838317,12,very_close_margin|shared_shiwilu_tokens
U01059,G00918,estoy lesionado.,ñapalek da'peksu',amercha tekuasu' ñapalek,U00823,G00699,medium,0.826396644115448,0.6718435287475586,0.1545531153678894,36,shared_shiwilu_tokens
U00660,G00550,tom miró.,tom lli'tulli,tom lauki'lli,U00672,G00562,hard,0.8487493395805359,0.7502312064170837,0.0985181331634521,3,shared_shiwilu_tokens
U00660,G00550,tom miró.,tom lli'tulli,tom lanteñi,U00433,G00350,medium,0.8487493395805359,0.6739802956581116,0.1747690439224243,5,shared_shiwilu_tokens
U01633,G01444,lo verás.,lli'echu,ipa' lli'echu,U00711,G00597,hard,0.8036909699440002,0.7041121125221252,0.099578857421875,3,shared_shiwilu_tokens
U01634,G01444,la verás.,lli'echu,ipa' lli'echu,U00711,G00597,hard,0.794478178024292,0.7017321586608887,0.0927460193634033,3,shared_shiwilu_tokens
U02797,G02572,las viejas finadas y los viejos finados se sentaban y hablaban de ese arákayu.,"tasellunku'lusa' papinkuku'lusa' du'anna', nana arakayukin luñina'.",nana mukankinpu'lalusa'ler arakayu pideknen di'setchullina'.,U02788,G02563,hard,0.6874039769172668,0.6234979033470154,0.0639060735702514,2,shared_shiwilu_tokens
U02693,G02468,gritó arákayu.,lukatullima arakayu.,lawinñini'ma arakayu.,U02656,G02431,hard,0.7412595152854919,0.6473199725151062,0.0939395427703857,2,shared_shiwilu_tokens
U02220,G01997,¿son estudiantes?,¿ñinchitulusa' nuka'mama'?,¿suntadulusa'cha?,U01307,G01138,hard,0.6692538857460022,0.616269588470459,0.0529842972755432,4,very_close_margin
U00780,G00657,tengo vino.,vinu' a'ñapalek,kerlliek vinu',U01712,G01515,medium,0.7676348090171814,0.6001228094100952,0.1675119996070861,2,shared_shiwilu_tokens
U02688,G02463,"cuando pasó el carnaval regresó,","mitan nakusik ima adanta'n,","iñer ka'latak saneksik,",U02373,G02148,hard,0.7018241882324219,0.6473889350891113,0.0544352531433105,12,very_close_margin
U03134,G02909,"en cambio apu'tek no sabía aborrecer mucho, no era miserable.","apu'tek i'mi'na ñinpu' ninchiluyuchi'ñi, ñi aperku'tekinpu'.","iñer ima dullinen adipi, ukunpala'lli, ñi chipitekwi'ñi.",U02875,G02650,hard,0.6756849884986877,0.5598911643028259,0.1157938241958618,2,shared_shiwilu_tokens
U03134,G02909,"en cambio apu'tek no sabía aborrecer mucho, no era miserable.","apu'tek i'mi'na ñinpu' ninchiluyuchi'ñi, ñi aperku'tekinpu'.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.",U02624,G02399,medium,0.6756849884986877,0.5222914218902588,0.1533935666084289,4,shared_shiwilu_tokens
U00626,G00521,mantente despierto.,ñapaker' nanpiladasu',ñapaker' kawik,U00627,G00522,hard,0.7242874503135681,0.654219925403595,0.0700675249099731,6,shared_shiwilu_tokens
U00626,G00521,mantente despierto.,ñapaker' nanpiladasu',insek'dipersu' ñapaker',U00721,G00605,medium,0.7242874503135681,0.5518133640289307,0.1724740862846374,10,shared_shiwilu_tokens
U02659,G02434,dice que fueron a mirar.,lli'kuñini'ma.,nu'anna' insekkitullina'.,U02940,G02715,hard,0.5901635885238647,0.5319004654884338,0.0582631230354309,3,very_close_margin
U02423,G02198,postrada me la paso.,ñapamu erwatapalek.,alantapalek kulliker',U01711,G01514,hard,0.5813578963279724,0.5237109065055847,0.0576469898223876,4,very_close_margin
U03120,G02895,de esta manera ahora están olvidando la lengua shiwilu.,ipa'la nu'anna' ipa' shiwilu la'la' pinaner'apilallina'.,ipa'la asu' senñula' itullun ¡lunker shiwilu la'la'!,U02504,G02279,hard,0.7537415623664856,0.677863359451294,0.0758782029151916,3,shared_shiwilu_tokens
U03120,G02895,de esta manera ahora están olvidando la lengua shiwilu.,ipa'la nu'anna' ipa' shiwilu la'la' pinaner'apilallina'.,ipa'la asu' shaya'lusa' inllinsellina' asu' ladanenna'.,U03013,G02788,medium,0.7537415623664856,0.5801828503608704,0.1735587120056152,5,shared_shiwilu_tokens
U03064,G02839,"nosotros somos bastantes, ellos son doscitos nomas.","kenmu'wa' wapu'mu'wa', ma'ki'na asu' katu'shadapersa'.","kenmu'wa' mutupi muda', kenmu'wa' ñi asu'lupa'dei'npu'.",U03150,G02925,medium,0.7204995155334473,0.5696640014648438,0.1508355140686035,2,shared_shiwilu_tokens
U02347,G02122,una vez tostado se lo muele.,inyek ipa'linchi peksanek.,sekkankatan indi'dektulli sadinlek.,U02700,G02475,hard,0.5204604864120483,0.4671231508255005,0.0533373355865478,7,very_close_margin
U00646,G00539,esto funciona.,asu' saka'tapalli,asu' saka'techu',U01872,G01666,hard,0.77822345495224,0.6850011348724365,0.0932223200798034,3,shared_shiwilu_tokens
U00646,G00539,esto funciona.,asu' saka'tapalli,asu' analli,U00905,G00776,medium,0.77822345495224,0.6245120763778687,0.1537113785743713,6,shared_shiwilu_tokens
U00647,G00539,esto trabaja.,asu' saka'tapalli,nana saka'tapalli,U00636,G00531,hard,0.8210509419441223,0.700088381767273,0.1209625601768493,3,shared_shiwilu_tokens
U00647,G00539,esto trabaja.,asu' saka'tapalli,asu' analli,U00905,G00776,medium,0.8210509419441223,0.6080560684204102,0.2129948735237121,5,shared_shiwilu_tokens
U00675,G00565,tom morirá.,tom chiminchu,tom idenmechu,U01877,G01671,hard,0.8385903239250183,0.7312968969345093,0.107293426990509,2,shared_shiwilu_tokens
U00675,G00565,tom morirá.,tom chiminchu,tom pa'echu,U00441,G00358,medium,0.8385903239250183,0.6516115665435791,0.1869787573814392,5,shared_shiwilu_tokens
U00897,G00768,se besaron.,inmusha'llina',tumu'llina',U00637,G00835,hard,0.6727754473686218,0.6178468465805054,0.0549286007881164,2,very_close_margin
U01037,G00898,"espera, tom.",wa'tenker' tom,"tupiter', tom",U01154,G01006,hard,0.8591234683990479,0.7094976902008057,0.1496257781982422,2,shared_shiwilu_tokens
U01037,G00898,"espera, tom.",wa'tenker' tom,wiuk'er' tom,U01382,G01207,medium,0.8591234683990479,0.5665407776832581,0.2925826907157898,4,shared_shiwilu_tokens
U02127,G01907,son amarillas.,sha'pi'su'sa' nuker'ka,u'chimuinchilusa' nuker'ka,U02149,G01929,hard,0.6601039171218872,0.6090219616889954,0.0510819554328918,10,very_close_margin|shared_shiwilu_tokens
U02127,G01907,son amarillas.,sha'pi'su'sa' nuker'ka,iñer' ñinchitulusa' nuker'ka,U01300,G01131,medium,0.6601039171218872,0.4750059843063354,0.1850979328155517,13,shared_shiwilu_tokens
U01615,G01426,pareces ocupado.,ma'nen'nu'tapa'masu'pu'su' lli'tula,kaluwinanpu'su' lli'tula,U01616,G01427,hard,0.669399082660675,0.588861882686615,0.08053719997406,3,shared_shiwilu_tokens
U00690,G00577,fracasaremos.,teka'per'aterwa',uki'lallidek,U01564,G01375,hard,0.5826118588447571,0.5316767692565918,0.0509350895881652,20,very_close_margin
U01008,G00871,¡míralo!,¡lli'ker'!,¡latada'ker'!,U01182,G01029,hard,0.7519072890281677,0.6979206800460815,0.0539866089820861,9,very_close_margin
U00961,G00827,¿quiénes sois?,¿denlusa'acha?,¿kenma?,U01903,G01697,hard,0.6976333856582642,0.6385389566421509,0.0590944290161132,6,very_close_margin
U02037,G01821,lo arreglaré.,tekdiper'echek,nu'techek,U00552,G00457,hard,0.6810275912284851,0.6306459307670593,0.0503816604614257,13,very_close_margin
U02451,G02226,"ah, a ver pues, desde la mañana no he bebido nada.","- ah, enta'n'i'na dasu'laklanek uwi'nek.",- nanekla yunsanma' tekka'nta'ku' ala'sa' nala inner'apek walek.,U02543,G02318,medium,0.6536732912063599,0.4907331168651581,0.1629401743412017,5,shared_shiwilu_tokens
U02332,G02107,nos estamos muriendo.,chimianpilallidek.,perlli'llidek,U00701,G00587,hard,0.6976211667060852,0.6389529705047607,0.0586681962013244,4,very_close_margin
U02228,G02003,¡contrólate!,¡inlu'uk'ter!,¡luntuu!,U00632,G00527,hard,0.7106506824493408,0.6582643985748291,0.0523862838745117,17,very_close_margin
U00641,G00534,lo intentaron.,indek'llina',peklu'tullina',U00892,G00764,hard,0.5466975569725037,0.4935245215892792,0.0531730353832244,15,very_close_margin
U02364,G02139,cuando hierve se lo echa en otra olla de barro grande que está enterrada (hasta la mitad).,"ukluka'sik, ali'lak kupin uktak pekdu'a'kasu' upellek.",nu'sik ker' su'watek nananta' a'ukluka'lek ali'la uktak.,U02379,G02154,hard,0.6537251472473145,0.5978918671607971,0.0558332800865173,2,very_close_margin
U00074,G00055,dolor,iker,ikerlli,U00221,G00173,hard,0.6180634498596191,0.5662831664085388,0.0517802834510803,2,very_close_margin
U02876,G02651,de ahí le dijo:,naneklima itulli:,tekkinchima itulli:,U02627,G02402,hard,0.767047643661499,0.6939348578453064,0.0731127858161926,3,shared_shiwilu_tokens
U01795,G01594,fue ameno.,u'chimu ñiwiñi,ñiwiñi tekinchi,U00842,G00718,hard,0.7616102695465088,0.694963812828064,0.0666464567184448,7,shared_shiwilu_tokens
U01796,G01594,era perfecto.,u'chimu ñiwiñi,ñiwiñi tekinchi,U00842,G00718,hard,0.7470324635505676,0.6781491041183472,0.0688833594322204,3,shared_shiwilu_tokens
U01796,G01594,era perfecto.,u'chimu ñiwiñi,si'len ñiwiñi,U01476,G01294,medium,0.7470324635505676,0.5397969484329224,0.2072355151176452,10,shared_shiwilu_tokens
U01968,G01757,¿comés carne?,¿chuchu ka'a'pala?,¿ipa werana?,U01693,G01496,hard,0.5672200918197632,0.5155847072601318,0.0516353845596313,5,very_close_margin
U02713,G02488,"el lago junto al pelejo se secó,","kundetchek enñi,","patak ipa'linchi u'deklek,",U02359,G02134,hard,0.5950357913970947,0.5389965772628784,0.0560392141342163,21,very_close_margin
U00610,G00506,caminemos.,dek'kuntawa',weranwa',U00387,G00315,hard,0.6979224681854248,0.6467228531837463,0.0511996150016784,13,very_close_margin
U01248,G01085,estábamos heridos.,llipu'pi ñapawiñidek,insek'diperpi ñapawiñidek,U01236,G01075,hard,0.725715696811676,0.6701458692550659,0.0555698275566101,13,very_close_margin|shared_shiwilu_tokens
U01249,G01085,estábamos lastimados.,llipu'pi ñapawiñidek,ekuanñiwiñidek,U02174,G01954,hard,0.7793158292770386,0.7261638641357422,0.0531519651412963,8,very_close_margin
U00012,G00009,¡para!,¡ta'ituler'!,¡daker'ku'!,U00059,G00047,hard,0.7012814879417419,0.6476302742958069,0.053651213645935,17,very_close_margin
U02052,G01835,voy saliendo.,yunsu'pilalek,adenche'chek,U01092,G00951,hard,0.7033184766769409,0.6474427580833435,0.0558757185935974,7,very_close_margin
U00988,G00852,¿estás lleno?,¿mer'su' ñapala?,¿saka'tusu' ñapala?,U01321,G01150,hard,0.7071903347969055,0.6487771272659302,0.0584132075309753,14,very_close_margin|shared_shiwilu_tokens
U01172,G01021,le disparó.,ilanñi,chimidek'tulli,U01703,G01506,hard,0.7165821194648743,0.6634609699249268,0.0531211495399475,3,very_close_margin
