pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.7870692610740662,0.7870692610740662,True,1,shi_to_esp,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,(grupo correcto),¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U01659,G01466,1,0.9100654721260071,0.9100654721260071,True,1,shi_to_esp,¿yennitula lli'a'mak?,¿puedes verlo?,(grupo correcto),¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),best
U01830,G01626,1,0.6358247995376587,0.6358247995376587,True,1,shi_to_esp,¿yennitulek ka'tan'an'su'?,¿puedo acompañarle?,(grupo correcto),¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,(grupo correcto),best
U02615,G02390,1,0.7262296676635742,0.7262296676635742,True,1,shi_to_esp,"aper'etchuma', wer'etchuma'.","se van a confundir, se van a extraviar.",(grupo correcto),"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U02619,G02394,1,0.7912546396255493,0.7912546396255493,True,1,shi_to_esp,"nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.","con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.",(grupo correcto),"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U01209,G01050,1,0.7054196000099182,0.7054196000099182,True,1,shi_to_esp,u'chimulusa' nuker'ka,son buenos.,(grupo correcto),son buenos.,u'chimulusa' nuker'ka,(grupo correcto),best
U02432,G02207,1,0.6455925107002258,0.6455925107002258,True,1,shi_to_esp,"- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.","nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.",(grupo correcto),"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U01128,G00981,1,0.7898001670837402,0.7898001670837402,True,1,shi_to_esp,pulunker'wanpalli,está nevando.,(grupo correcto),está nevando.,pulunker'wanpalli,(grupo correcto),best
U03200,G02975,1,0.47821712493896484,0.47821712493896484,True,1,shi_to_esp,"sapana', dudinpu' aku'llina'.","bufeo, todo tipo (de nombres) le ponen.",(grupo correcto),"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),best
U01218,G01058,1,0.9309447407722473,0.9309447407722473,True,1,shi_to_esp,tom lauk'tulli,tom escuchó.,(grupo correcto),tom escuchó.,tom lauk'tulli,(grupo correcto),best
