pair_id,group_id,anchor,positive,negative,negative_anchor,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U00014,G00011,esperen.,¡wa'ten'ku'!,¡wa'ten'ker'!,¡espera!,U00013,G00010,hard,0.7584409713745117,0.6949917674064636,0.0634492039680481,6
U01392,G01210,los llamé.,peklu'deklek,peklue'chenma',los llamaré.,U01763,G01559,medium,0.8233439922332764,0.6648277044296265,0.1585162878036499,3
U04733,G04388,malo,mukanganibu',mukangan,bueno,U04730,G04385,medium,0.6636305451393127,0.5072061419487,0.1564244031906128,7
U00473,G00384,escoge uno.,wadunker' ala'sa',unu'lli,animal sin cola,U04757,G04409,medium,0.7010125517845154,0.4983821213245392,0.2026304304599762,4
U03879,G03623,"no tiene cerros, su terreno es (plano) como el lomo de una mesa.","mutupiwi'ñi, misa' chi'tekpu'lli lupa'nen.","kupin dekshadekwi'ñi, dekshadeklusa'sa'a'ñapalli.","no tiene ríos, solo quebradas tiene.",U03878,G03622,medium,0.698211133480072,0.47537487745285034,0.22283625602722168,2
U02231,G02000,¿tienes hijos?,¿wilawanpala'?,¿kai'kualusa' nuka'mama'?,¿son hermanas?,U01942,G01726,medium,0.8421599864959717,0.5905038714408875,0.25165611505508423,3
U01266,G01095,estás bien.,mu'su' ñapala,¿mudinu'pala?,¿estás saludable?,U01936,G01721,medium,0.8564742803573608,0.6965000629425049,0.15997421741485596,2
U03288,G03056,trae la medicina natural.,kencher' ilulenna ñichinta',alektawa' luuk'ter'kek tra'lusa',enseñemos a cuidar las plantas.,U03311,G03078,medium,0.6805199384689331,0.4877612590789795,0.1927586793899536,2
U00330,G00261,le vi.,lli'lek,lli'linu,me vio,U04698,G04364,hard,0.8557637929916382,0.775519847869873,0.08024394512176514,3
U04717,G04376,estoy lleno,merllek,mer'pi,maduro,U04813,G04454,medium,0.7116343379020691,0.515932559967041,0.19570177793502808,4
U00157,G00112,entra.,da'encher',uencher',ven a beber,U00144,G00100,medium,0.7786836624145508,0.6149317622184753,0.16375190019607544,16
U01925,G01710,estás enamorado.,yaku'aper'wana,denlekpin'ta' ñapala,eres parcial.,U01635,G01439,medium,0.7214688658714294,0.5508581399917603,0.1706107258796692,6
