pair_id,ESP,SHIWILU,ESP_n,SHI_n,shi_word,esp_word,shi_in_corpus,esp_in_corpus,pair_exact_dup
P00000,mamá,awa,mamá,awa,awa,mamá,True,True,True
P00001,fracaso,ananan,fracaso,ananan,ananan,fracaso,False,False,False
P00002,opaco,dawan',opaco,dawan',dawan',opaco,False,False,False
P00003,dueño espiritual; madre,ashin,dueño espiritual; madre,ashin,ashin,dueño,False,True,False
P00004,zorro,anaser',zorro,anaser',anaser',zorro,False,False,False
P00005,tigre,amana',tigre,amana',amana',tigre,True,True,False
P00006,(a) tiene; (b) ha tenido,anhili,(a) tiene; (b) ha tenido,anhili,anhili,a,False,True,False
P00007,yo,ku,yo,ku,ku,yo,False,True,False
P00008,cuatro,inkatu',cuatro,inkatu',inkatu',cuatro,False,True,False
P00009,manteca,iyadek',manteca,iyadek',iyadek',manteca,False,False,False
P00010,vamos,enyu,vamos,enyu,enyu,vamos,False,True,False
P00011,caimito,ek'pa,caimito,ek'pa,ek'pa,caimito,False,False,False
P00012,pelo,enchek,pelo,enchek,enchek,pelo,False,True,False
P00013,donde,enupa',donde,enupa',enupa',donde,False,True,False
P00014,añañinga,ellek,añañinga,ellek,ellek,añañinga,False,False,False
P00015,fuego,pen,fuego,pen,pen,fuego,True,True,False
P00016,agua,dek,agua,dek,dek,agua,True,True,False
P00017,oreja; cuerno,wi'wek,oreja; cuerno,wi'wek,wi'wek,oreja,False,False,False
P00018,boquichico,wankechek,boquichico,wankechek,wankechek,boquichico,False,False,False
P00019,fluyo el agua,teka'linidek,fluyo el agua,teka'linidek,teka'linidek,agua,False,True,False
P00020,murciélago,liishek',murciélago,liishek',liishek',murciélago,False,True,False
P00021,parijí,isha,parijí,isha,isha,parijí,True,False,False
P00022,murciélago,ishek',murciélago,ishek',ishek',murciélago,False,True,False
P00023,sonidos,illin,sonidos,illin,illin,sonidos,False,False,False
P00025,despertó,mampilin,despertó,mampilin,mampilin,despertó,False,False,False
P00026,garganta,kulupi,garganta,kulupi,kulupi,garganta,False,True,False
P00027,cangrejo,chinyi,cangrejo,chinyi,chinyi,cangrejo,False,False,False
P00028,dolor,iker',dolor,iker',iker',dolor,False,True,False
P00029,Manteca,iyadek',manteca,iyadek',iyadek',manteca,False,False,False
P00030,Cuatro,inkatu,cuatro,inkatu,inkatu,cuatro,False,True,False
P00031,Raíz,itek',raíz,itek',itek',raíz,False,True,False
P00032,Achuni,itek',achuni,itek',itek',achuni,False,False,False
P00033,bebe toma,u'ker',bebe toma,u'ker',u'ker',toma,False,True,False
P00034,así,unsu',así,unsu',unsu',así,False,True,False
P00035,día,ukli,día,ukli,ukli,día,True,True,False
