pair_id,group_id,rank,top1_is_positive,positive_count,direction,query_text,target_correct,top1_pair_id,top1_group_id,target_top1,esp,shiwilu_correct,shiwilu_top1,correct_score,top1_score,score_gap,heuristic_error_type
U01644,G01454,121,False,1,shi_to_esp,¿te'kuawina?,¿tenías miedo?,U01838,G01634,¿empezamos?,¿tenías miedo?,¿te'kuawina?,¿tenmiansu'ter?,0.08506540209054947,0.5771735310554504,0.49210812896490097,severe_retrieval_failure
U02927,G02702,52,False,1,shi_to_esp,- ¿uklama' a'cha nanapu'si'la?.,¿vinieron otra vez?,U02933,G02708,esta candela no es buena.,¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,asui'na mui'ñi asu' pen.,0.16782285273075104,0.4626697301864624,0.29484687745571136,gold_has_audit_flag
U02002,G01788,31,False,1,shi_to_esp,sapulek,me acobardé.,U00029,G00024,salí.,me acobardé.,sapulek,yunsu'lek,0.22618885338306427,0.5013882517814636,0.27519939839839935,semantic_confusion
U00750,G00629,29,False,1,shi_to_esp,ishinwer',vístete.,U00712,G00598,eres mala.,vístete.,ishinwer',mukankaninpu' nuka'ma,0.29508867859840393,0.5053456425666809,0.21025696396827698,semantic_confusion
U00638,G00532,21,False,1,shi_to_esp,allisek nu'tapallina',hicieron trampas.,U01929,G01720,están ganando.,hicieron trampas.,allisek nu'tapallina',kana'tapallina',0.30658841133117676,0.5395057201385498,0.23291730880737305,semantic_confusion
U02638,G02413,20,False,1,shi_to_esp,"- ¡anetlla yatek kuatama',","no corran,",U02392,G02167,"así se hace hermanas, señoras,","no corran,","- ¡anetlla yatek kuatama',","nu'tulek kai kualusa', senñula'lusa',",0.2604849636554718,0.5683717131614685,0.3078867495059967,gold_has_audit_flag
U01025,G00887,12,False,1,shi_to_esp,¿u'wa'tapala?,¿fumas?,U01928,G01719,estás ganando.,¿fumas?,¿u'wa'tapala?,kana'tapala,0.32336553931236267,0.48290306329727173,0.15953752398490906,semantic_confusion
U02211,G01988,11,False,1,shi_to_esp,a'pimuechu paker',mejor vete.,U02072,G01855,pronto lloverá.,mejor vete.,a'pimuechu paker',ipia'la u'lenchu,0.3930295705795288,0.6286491751670837,0.23561960458755493,semantic_confusion
U00439,G00356,11,False,1,shi_to_esp,tom tulli ma'pu'sin,tom saludó.,U01555,G01367,tom mentía.,tom saludó.,tom tulli ma'pu'sin,tom tumu'pawiñi,0.32852470874786377,0.5083795785903931,0.1798548698425293,shared_shiwilu_tokens
U02758,G02533,10,False,1,shi_to_esp,matutada ñapalli.,los lagartos negros ahí están.,U02073,G01856,está botado.,los lagartos negros ahí están.,matutada ñapalli.,dekpi ñapalli,0.3809952437877655,0.7189957499504089,0.33800050616264343,semantic_confusion
