pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.8198558688163757,0.8198558688163757,True,1,esp_to_shi,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U01659,G01466,1,0.8771645426750183,0.8771645426750183,True,1,esp_to_shi,¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),best
U01830,G01626,1,0.688456118106842,0.688456118106842,True,1,esp_to_shi,¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,(grupo correcto),¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,(grupo correcto),best
U02615,G02390,1,0.732509434223175,0.732509434223175,True,1,esp_to_shi,"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U01957,G01747,1,0.7689793705940247,0.7689793705940247,True,1,esp_to_shi,¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),best
U02619,G02394,1,0.7452864646911621,0.7452864646911621,True,1,esp_to_shi,"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U01209,G01050,1,0.7993167638778687,0.7993167638778687,True,1,esp_to_shi,son buenos.,u'chimulusa' nuker'ka,(grupo correcto),son buenos.,u'chimulusa' nuker'ka,(grupo correcto),best
U02432,G02207,1,0.7124630212783813,0.7124630212783813,True,1,esp_to_shi,"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U01128,G00981,1,0.7503302097320557,0.7503302097320557,True,1,esp_to_shi,está nevando.,pulunker'wanpalli,(grupo correcto),está nevando.,pulunker'wanpalli,(grupo correcto),best
U03200,G02975,1,0.4110364615917206,0.4110364615917206,True,1,esp_to_shi,"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),best
