pair_id,ESP,SHIWILU
P00000,El pueblo de Jeberos es un pueblo antiguo.,Shiwilu ñinanlu’ nuka’a ala’sa’ ñinanlu’ taserpi.
P00001,Está ubicado en medio del monte.,Tananluk ikiñik ñapalli.
P00002,"No tiene ríos, solo quebradas tiene.","Kupin dekshadekwi’ñi, dekshadeklusa’sa’a’ñapalli."
P00003,"No tiene cerros, su terreno es (plano) como el lomo de una mesa.","Mutupiwi’ñi, misa’ chi’tekpu’lli lupa’nen."
P00004,Su suelo es arenoso. Cuando llueve no se forma barro.,Lupa’nen dellu’teklu’ nuka’a. U’lansik mumulu’chi’ñi.
P00005,"Sus calles son rectas, se puede divisar desde el Barrio Bajo hasta el Barrio Alto.","Kallinenlusa’ chekshasu’ nuker’ka, Chilenkeklanek, Winenñupa’walek lli’tulek."
P00006,"Tiene tres calles largas, también tiene calles transversales.","Kala kalli shin a’ñapalli, nu’sik’unta’ kallilusa’ chimanchineksu’sa’ a’ñapalli."
P00007,Una quebrada rodea al pueblo.,Ala’sa’ dekshadekler ñinanlu’ kunerchapalli.
P00008,Ahí se bañan y lavan su ropa todo el pueblo.,"Nanek ama’llina’, peksa’duñina’ iñer’ ñinanlu’."
P00009,Esta quebradita se llama Armanayacu.,Asu’ dekshadekshaki llillinen nuka’a Ama’wina.
P00010,El pueblo no bebe el agua del Armanayacu porque es puro (agua con) jabón.,"Ama’winadek ñinanlu’ uapi’ñi, shapundeksa’ ña’su’malek."
P00011,"El agua de manantial, que brota de la tierra, eso
bebe el pueblo.","Dek yunsu’a’su’ lupa’ kineklalan, nana ñinanlu’ uapalli."
P00012,En Jeberos tenemos manantiales.,Dek yunsu’a’su’ lupa’ kineklalan a’ñapallidek Shiwiluk.
P00013,"Los principales son: por el Barrio Alto, uno; por el
Barrio Bajo, dos.","A’pinta’ a’llupilusa’: Winenñupa’ ala’sa’, Chilenñupa’ katu’ta’."
P00014,Se baja el Aipena y se sale al Huallaga.,"Erpina’ nu’wantunta’lek, pekpinta’lek Wella’dik."
P00015,"Del puerto de Jeberos hasta el Huallaga se tarda
doce horas.","Shiwilu llishanakla Wella’dikwalek tekda’lek
shunka’-katu’ta’ ura."
P00016,También por avión se llega a Yurimaguas.,Nu’sik’unta’ wa’na pennua’su’ ektu’lek Yurimawak.
P00017,"Eso no demora mucho, se llega rápido.","Nanek enpu’ni tekdi’nek, wiuksu’ ektu’lek."
P00018,El monte de Jeberos es tierra de altura.,Shiwilu tanan erpilu’ nuka’a.
P00019,En el monte tenemos una variedad de árboles.,Tanak aʹñaʹpallidek dudinpu’ nalalusaʹ.
P00020,En el monte de Jeberos tenemos toda clase de hojas.,Shiwilu tanak a’ñapallidek dudinpu’ lalumeklusa’.
P00021,Entonces se convierte en crisneja.,Ipa’linchi panpektekkek ñinta’lli.
P00022,La hoja de muenilla es buena para la fiebre.,Dakalamek mulli ukaki.
P00023,"La hoja de sanango también es buena para la
hinchazón.",Piunalamek’unta’ mulli waka’ki.
P00024,Con estos bijaos envuelven las patarashcas.,Asu’ iyunameklusa’lek pu’tullina’ akipilusa’.
P00025,Por eso cuidémoslos para que no desaparezcan.,Nanamalek enchuku’ luwektawa’ wer’inpu’er’kek.
P00026,Pero la quinilla no echa fruto todos los años.,Intunelli’na ñita’piñi iñer’ ekkilalalusa’.
P00027,"Cuando su fruto madura, trepando lo cogen.",Ñipinen mer’chusik chintektanna’ mallina’.
P00028,"Si les cae en el cuerpo, se enferman.",Anu’sik pinennak kaluwi’llina’.
P00029,A esta enfermedad la llaman “induner”.,Asu’ kaluwi’ peklu’llina’ intuner.
P00030,"También el árbol de cotohuayo se halla en el
chamisal.",Kumunpi nalanta’ kananek deklaluk.
P00031,"Al fruto del aguaje de chamisal se le llama
“ma’api”.",Ma’a ñipinen peklu’lek ma’api.
P00032,Ya cuando madura se parte su cáscara.,Ipa’ mer’chusik chipiteknen nuchinkatulli.
P00033,Nunwanlusa’ pa’apallina’ Erpina’lupa’.,Nunwanlusa’ pa’apallina’ Erpina’lupa’.
P00034,Ahí está esa piedra hasta el día de hoy.,Nanek ñapalli ipa’lalek nana la’pi.
P00035,Antes las mujeres shiwilu mudaban pampanilla.,Shiwilunlusa’ napi’ i’shillina’ kalantek.
P00036,"Por eso, no hacían faltar algodón en sus chacras.",Nanamalek pitellu a’pawi’ñina’ menminennak.
P00037,En todas las chacras sembraban algodón.,Iñer’ menminlusak’ tera’llina’ pitellu.
P00038,De ahí armaban el telar para confeccionar sus pampanillas.,Nanekla anantullina’ yanu’tanna’ kalanteknenna’.
P00039,"Ese azul no duraba mucho, se zafaba.","Nana kañercha’su’ enpu’ni tekda’pi’ñi, apu’tulli."
P00040,De eso se jactaban.,Nanalek intumu’tullina’.
P00041,Los antiguos no pescaban a cada rato.,Papinkuku’lusa’ pu’ri’ñina’ utalinpu’sa’.
P00042,"Entonces, cuando se llenaba lo pescaban.",Ipa’linchi inpi’mur’sik pur’chullina’.
P00043,Otros iban a montear para la comida.,Ali’ladaper pa’llina’ yayunek’anna weranki.
P00044,"Entonces, en la tarde majaban (el barbasco).","Ipa’linchi, er’wa llisañina’."
P00045,"Terminando de majar, comían.",A’ta’wantanna’ llisan’er’kasu’ werañina’.
P00046,Mientras tanto ya anochecía.,Nanekwalek ipa’ kasiserlli.
P00047,Agunos salían a cazar animales en la noche.,Nu’unta’lusa’ yunsu’llina’ yapa’willitanna’.
P00048,Este hermano menor conoce dónde dejar el barbasco majado.,"Asu’ yalli’wa luwer’apalli akui’la’mamak puñañi
llisanpi."
P00049,También los pejes que no habían muerto bajaban.,Samerlusa’nta’ chiminpu’er’kasu’ nu’wañina’.
P00050,Iban a amontonarse en el cerco.,"Pidankek indiuntunta’llina’,"
P00051,Ahí estaban los cuidadores del cerco.,Nanek ñapallina’ pidan luwekter’kasu’.
P00052,Ahí el jefe de la pesca cuidaba.,Nanek pur’wan luwek’tulli.
P00053,"Entonces juntaban, llenaban sus canastos.","Nanek si’yektullina’, lantekpinenna’ pi’muer’llina’."
P00054,Así pescaban los antiguos.,Nu’su’ pur’llina’ papinkuku’ Shiwilulusa’.
P00055,Yo he escuchado cuando habló mi abuelo finado.,Kua lawektulek lunsik papinkuwekku’.
P00056,Los pejes que se jalan se juntan en jicra.,Samerlusa’ dek’a’kasu’ si’yektulek sha’yak.
P00057,"Cuando no se les ve, nos muerden.",Lli’inpu’a’sik kitekllenmu’.
P00058,Al anzuelo se lo empata con peje.,Utekkunan dektu’tulek samerlek.
P00059,Nerpi’pu’ dunanler latuñi utekkunanmapu’.,Nerpi’pu’ dunanler latuñi utekkunanmapu’.
P00060,Las uchpa-garzas no comen cualquier cosa.,Yan’uklu’lusa’ ka’api’ñina’ ma’nenpi’nta’.
P00061,Se alimentan de puro peje.,Nawa’ weranenna’ nuka’a samersa’.
P00062,Otras esperan al mijano paradas en el agua.,Ali’ladaper wanerdektusu’ wa’tenñina’ wadi’.
P00063,"Así, sin dificultad, pican sus pejes.",Nu’su’ saka’dek’inpu’ ekkuañina’ samernenna’.
P00064,Allí digieren los pejes que comieron.,Nanek dalliñina’ samernenna’ ka’er’kasu’.
P00065,Mientras tanto el mijano ya va surcando.,"Nanekwalek wadi’ ipa’ penwiner’apilalli,"
P00066,Entonces los pejes se comen entre ellos.,Nanek samerlusa’ nawa’tuchin inka’llina’.
P00067,Los súngaros cacean en el agua.,Da’wanserlusa’ werandektullina’.
P00068,Cuando termina el mijano ya no tienen mucha comida.,Wadi’ ta’wantusik a’pinta’ enpu’ni weranwi’ñina’.
P00069,Tras hallarla se van al catahual (cerca de la cocha).,Kananna’ pa’llina’ siseknalaluk.
P00070,Para secarse y calentar sus cuerpos mashaquean en el sol.,Yaenpinna’ yaukapinna’ kekkik pilatullina’.
P00071,Lo que sobra lo dejan ahí.,Dansu’a’su’ nanek ta’itula’llina’.
P00072,"Cuando mayaquea, el gallinazo comiendo loacaba.",Analu’tusik supu’ler ka’an pekdalli.
P00073,"Donde les cae la tarde, duermen.",Nawa’ er’water’kek wichi’llina’.
P00074,Comen todo lo que encuentran en el monte.,Nawa’ ka’llina’ iñer’ kananer’kasu’ tanak.
P00075,La huangana hembra tiene solo unita cría.,Laman ku’apenñen ala’shasa’ wawinwanpalli.
P00076,"Cuando matan a su madre, la cría permanece ahí.",Ashinen dei’ta’ser’ wawin nanek llia’lli.
P00077,"La huangana es de color negro, su carne es comestible, es sabrosa.","Laman ker’pi nuka’a, lu’lunen ka’lek, iyalli."
P00078,También se vende su carne ahumada.,Nu’sik’unta’ lu’lunen chinpi uku’latulek.
P00079,"Antes su cuero costaba, pero ahora no.","Napi’ chipiteknen pa’tuwiñi, ipa’lina’ ku’la."
P00080,Antes el cuero de la huangana costaba.,Napi’ laman chipitek pa’tuwiñi.
P00081,A veces las huanganas llegaban a Jeberos.,Nerpi’pu’lusa’ lamanlusa’ ektu’wiñina’ Shiwiluk.
P00082,Las huanganas no demoraban en Jeberos.,Lamanlusi’na tekda’pi’ñina’ Shiwiluk.
P00083,"Los hermanos que se adelantaban, ellos mataban.","Yalli’walusa’ ektercher’kasu’, nawa’ dei’tullina’."
P00084,Sin haber disparado ya tenía su huangana.,Ilanchinpu’la’pin ipa’ lamanwañi.
P00085,Después se prepara el ahumadero con palos delgados.,Nanekla chinalatulek a’mernalalek.
P00086,Tiene solo una cría.,Ala’shasa’ wawinwanpalli.
P00087,No duerme en un hueco.,Lallik wicha’pi’ñi.
P00088,Así descansa la sachavaca.,Nu’su’ neriapalli panwala.
P00089,A veces se mete a las chacras.,Nerpi’pu’lusa’ yunsu’palli menminlusak.
P00090,"Ahí se come los sembríos, hojas de plátano, hojas de yuca, piña.","Nanek ka’lli ter’a’lusa’, tankumek, ker’mek, senpa."
P00091,No hace su camino por cualquier lugar.,"Nana enkasu’lupa’pi’nta’ dekkunen nu’tapi’ñi,"
P00092,Conoce por dónde quizás abrir.,Nana luwer’apalli enkasu’lupi’pa’ ekker’chechu.
P00093,"Prefiriendo la altura, por ahí abre su camino.",Wadun erpilu’ nanalupa’ ekker’chulli dekkunen.
P00094,"De esta manera, la sachavaca ayuda al hombre.",Nu’su’ panwala katu’pa’palli enmu’pinen.
P00095,"Por otro lado, a la sachavaca le gusta la sal.",Nu’sik’unta’ panwala iyatulli damula.
P00096,Con eso se le hace su colpa.,Nanalek nu’itulek ka’lu’tunan.
P00097,"En la noche, este animal come la colpa.",Asu’ añimar dekpilli’ ka’lu’tapalli.
P00098,Ahí acuden muchas sachavacas.,Nanek wapu’ panwalalusa’ pa’apallina’.
P00099,Esto he aprendido de mi abuelo finado.,Asu’ ñinchitulek papinkuwekkukla.
P00100,El majaz tiene solo una cría anualmente.,Ala’shasa’ wawinwanpalli ekkilalak.
P00101,Allá el perro olfateando lo halla en el hueco.,Nanek ñiñi’ler laneran kanañi lallik.
P00102,"Entonces, picándole con palo puntalado, se le mata.",Nanek nala ekdenpilek ekkuan’ak dei’tulek.
P00103,Por eso dice que el majaz se convierte en shushupe.,Nanamalek tulli dekkanan naterkek ñinta’lli.
P00104,La rana es un anfibio.,Uwan i’na ala’sa’ anfibio nuka’a.
P00105,"Vive en el monte, se esconde en los huequitos.",Nanpipalli tanak insekkitapalli lallinshalusak.
P00106,Luego se convierten en renacuajos.,Nanekla sukellu’ ñinta’llina’.
P00107,Una vez juntadas las ranas se llevan a casa.,"Si’yektak uwanlusa’, pidik ekpanta’lek."
P00108,De ahí se les saca las tripas.,Nanekli’na usui’tulek dullinen.
P00109,"La rana es sabrosa en patarashca, envuelta en hoja de bijao.","Uwan iyalli akipik, iyunamekkek pu’pi."
P00110,La mijanada de la rana dura uno o dos días.,"Uwan wadi’nen tekda’lli ala’ uklli, katu’ uklli."
P00111,Se quedan sin sembríos una vez que merma el río.,Tera’wi’nsu’ llia’llina ishansik kupin dekshadek.
P00112,Viven en la restinga.,Chitekpiluk nanpillina’.
P00113,Con lo que sobra el añuje le ayuda.,A’dansu’a’su’ ekchekler katu’pa’palli.
P00114,Nunca se ve que se ahogue.,Ñi enpi’ lli’i’nek chimidekta’su’.
P00115,Aumentan para desovar en la época de vaciante.,Nadallina’ ishan ukllik wadeker’kek.
P00116,Les voy a contar de la Mujer Renaco.,Wintekchenma’ Ellalunki.
P00117,"Antiguamente, el renaco era una mujer.",Napi’ ella alasa’ ku’aper ñiwiñi.
P00118,"Le tenían miedo, extraño le veían,","Tekkwatullina’, nerpi’la lli’llina’."
P00119,"Por eso, triste la Mujer Renaco iba en la calle.",Nanamalek we’inutusu’ Ellalun pa’lli kallik.
P00120,Con lo que sobra el añuje le ayuda.,A’dansu’a’su’ ekchekler katu’pa’palli.
P00121,Nunca se ve que se ahogue.,Ñi enpi’ lli’i’nek chimidekta’su’.
P00122,Aumentan para desovar en la época de vaciante.,Nadallina’ ishan ukllik wadeker’kek.
P00123,Les voy a contar de la Mujer Renaco.,Wintekchenma’ Ellalunki.
P00124,"Antiguamente, el renaco era una mujer.",Napi’ ella alasa’ ku’aper ñiwiñi.
P00125,"Le tenían miedo, extraño le veían,","Tekkwatullina’, nerpi’la lli’llina’."
P00126,"Por eso, triste la Mujer Renaco iba en la calle.",Nanamalek we’inutusu’ Ellalun pa’lli kallik.
P00127,"Le llamó, “Ven, quiero hablarte”, le dijo.","Peklu’lli. “Wekker’, yaluntullen”, itulli."
P00128,"Luego, a otro joven le encontró, él tampoco quiso
acercársele.","Nanekla ali’la nadi’nek kanañi, nanalerunta’ yakawi’i’ñi."
P00129,"Así, triste, andaba la Mujer Renaco.","Nu’su’, we’inutusu’, pa’apawiñi Ellalun."
P00130,"Estando andando, entonces, encontró a otro joven.","Pa’apan, ipa’linchi, ali’la nadi’nek kanañi."
P00131,"El joven se acercó; acercándose, le dijo: “¿Qué
quieres?”","Nadi’nekler kawilli; kawin “¿Ma’nen luwantula?”,
itulli."
P00132,"Ahora sí, acercándose quiere hablarle.","Ipa’lina’, kawin yaluntulli."
P00133,Pero él no sabía que ella era la Mujer Renaco.,Nani’na ñinchichi’ñi Ellalun ipa’chi’ñi nana.
P00134,"Ahí, entonces, se convirtieron en árbol.","Nanek, ipa’linchi, nalak ñinta’llina’."
P00135,"Por eso, hoy en día, el renaco no crece solito.","Nanamalek, ipa’la, ella nanashasa’ susupi’ñi."
P00136,"Crece apegado a otro árbol, abrazado abrazado.","Susupalli ali’la nalak pasun, wiperi’n wiperi’n."
P00137,"Vean ahora, abrazado al tronco de un árbol crece.","Enta’ lli’ku’, ipa’la wiper’in nalanan susupalli."
P00138,"Así vive, por eso nunca se despega.","Nu’su’ nanpipalli, ñinpi’ apu’tapi’ñi."
P00139,Antiguamente la sachavaca era persona y quería engordarse.,Napi’ panwala muda’ñan yaweiwiñi.
