pair_id,ESP,SHIWILU
P00000,mamá,awa
P00001,fracaso,ananan
P00002,opaco,dawan'
P00003,dueño espiritual; madre,ashin
P00004,zorro,anaser'
P00005,tigre,amana'
P00006,(a) tiene; (b) ha tenido,anhili
P00007,yo,ku
P00008,cuatro,inkatu'
P00009,manteca,iyadek'
P00010,vamos,enyu
P00011,caimito,ek'pa
P00012,pelo,enchek
P00013,donde,enupa'
P00014,añañinga,ellek
P00015,fuego,pen
P00016,agua,dek
P00017,oreja; cuerno,wi'wek
P00018,boquichico,wankechek
P00019,fluyo el agua,teka'linidek
P00020,murciélago,liishek'
P00021,parijí,isha
P00022,murciélago,ishek'
P00023,sonidos,illin
P00024,oreja; cuerno,wi'wek
P00025,despertó,mampilin
P00026,garganta,kulupi
P00027,cangrejo,chinyi
P00028,dolor,iker'
P00029,Manteca,iyadek'
P00030,Cuatro,inkatu
P00031,Raíz,itek'
P00032,Achuni,itek'
P00033,bebe toma,u'ker'
P00034,así,unsu'
P00035,día,ukli
P00036,cenicidor,u'klin
P00037,páiche,unma'
P00038,jalar,uala
P00039,mono choro,sulu'
P00040,cotomono,lu'lu'
P00041,carne,chuchu
P00042,pihuicho,shu'pi
P00043,corazón,dinlupi
P00044,Nuevo,nalu
P00045,Chiricles,kupinshupi
P00046,Negro,kellulu
P00047,Mujer,ku'aper
P00048,diviesos; chupos,cha'cha'
P00049,tipo de pajarito malagüero,wa'cha'cha'
P00050,derecho,chek'
P00051,panza,mechek
P00052,voy a coger,mechek
P00053,boquichico,wankechek
P00054,cabello,enchek
P00055,voy a llevar,ekpekchek
P00056,ven a llevar,mencher
P00057,tímpano; caracolito,mincher
P00058,pecho,chi'tek'
P00059,cangrejo,chinchi
P00060,carachupa,chi'lek
P00061,carne,chuchu
P00062,pucacunga,chunser'
P00063,sucio,u'chu'
P00064,caracolito de tahuampa,chumpi
P00065,vamos,enchu
P00066,cortar,enchun
P00067,dolor de ojo,dapi
P00068,flor,danku
P00069,sal,damula
P00070,chonta,dawer
P00071,lagarto,tada
P00072,esposo,suda
P00073,quien,den
P00074,agua,dek
P00075,pelear,idenma
P00076,afilar,suden
P00077,corazón,dinlupi
P00078,leña,diwek
P00079,espuma,dampu
P00080,cobija,idimunan
P00081,su esposo,sadin
P00082,ha matado,dili
P00083,tripas,dulin
P00084,luna,duker
P00085,siéntate,dunker'
P00086,paña; cintura (?),dunan
P00087,ancho,du'wan
P00088,huevo,kadu'
P00089,buyurqui,adula
P00090,estrella,tandula
P00091,huevo,kadu'
P00092,dos,katu'a'
P00093,tres,kala
P00094,hígado,kankai
P00095,está viniendo,ukapinla'li
P00096,maíz,dek'kanan
P00097,tú,kenmu
