pair_id,ESP,SHIWILU
P00000,Yo soy Jeberina.,Kui’na Shiwilulunku.
P00001,Aquí me engendró mi madre.,kua asek wilawañun awawek.
P00002,"Conviviendo con mi padre me engendraron, me parieron y aquí mismo crecí.","Nanpipakun tatawek ima wilawañinerku, wadekllinerku, asek i’la susulek."
P00003,Cuando tenía nueve meses murió mi madre y me crió mi abuelita.,"Iskun duker a’ña’seku awawek chiminlapillun, amishawek teksusullun."
P00004,Mi padre quedó viudo.,Tatawek ekdusipen ñilli.
P00005,Después vivendo (solo) nuevamente mi padre encontró otra mujer.,Nanekla nanapu’si’la nanpipan tatawek ali’la ku’aper kanañi.
P00006,Con otra mujer vivían bien.,Ali’la ku’apellek nanpillina’ musu’.
P00007,Pero a mí ya no me quería bien mi padre.,Kui’na a’pinta’ musu’ eknanpi’ñu tatawek.
P00008,Por eso me arrimé donde mi abuelita.,Nu’amu amishawekkek pipetchulek.
P00009,Mi padre con su mujer nomás vivían bien.,Ku’apenñenleksa’ musu’ nanpillina’ tatawek.
P00010,A nosotras mi padre ya no nos ha querido.,Kudei’na ma’sha musu’ kankanwapei’ñundek a’pinta’ tatawek.
P00011,Por eso me crió mi abuelita y me hice señorita.,Nu’amui’na i’pa amishawek teksusullun wilaluntulek.
P00012,Siendo señorita encontré marido.,Wilaluntamu sudawek kananek.
P00013,Al convivir salí embarazada.,Nanpiapamu wilawanek.
P00014,Después tuve mis hijos.,Nu’amui’na wadeklek wilaweklusa’.
P00015,Los parí y crecieron.,"Wadeklek, susullina’."
P00016,Ayudándome a criarlos su padre murió y quedé sola.,Teksusupa’nku tatanenna’ chiminlapillun.
P00017,"Ahora mis hijos a su vez me están sirviendo,","Ipa’li’na wilaweklusa’ nanapu’si’la luwektapallinerku,"
P00018,mis hijos varones y también mis hijas mujeres me están sirviendo.,enmu’pinenwawalusa’ nu’an ku’aperwawalusa’ luwektapallinerku.
P00019,"Como varios de ellos han estudiado ellos me dan mi comida,","Ñinchillintulusa’ ñanna’ nu’unta’ nawa’ enka’pallinerku ka’a’kasu’,"
P00020,"la ropita que tengo, me dan de todo.","kutunshawek a’ña’kasu’, dudinpu’ enka’pallinerku."
P00021,La que más me cuida es mi hija que es casada.,A’pinta’ luwektapa’nkusui’na ku’aperwawa suda’su’.
P00022,Una hija mujer me está sirviendo.,Ala’sa’ ku’aperwawa luwektapallun.
P00023,Con mi yerno ambos son de buen corazón.,Mikekweklek i’la we’chimu1 mukankanlusa’.
P00024,Así ellos me acompañan.,Nu’anna’ nawa’ eknanpipallinerku.
P00025,Más son las mujeres las que me acompañan.,A’pinta’ ku’aperwawalusa’ musu’ eknanpipallun.
P00026,Así yo también vivo bien.,Nu’amui’na kuanta’ musu’ nanpiapalek.
P00027,"Ahora esta hermana ha venido desde un pueblo lejano, la señora.","Ipa’la asu’ kai kua wei ñinanlukla weklli, senñula’."
P00028,"Viniendo de Lima aquí ella también quiere aprender,","Llimaklan wek’an asek nananta’ yañinchitulli,"
P00029,quiere aprender el idioma shiwilu.,Shiwilu la’la’ yañinchitulli.
P00030,De esta lengua le voy a hablar.,Namasu’ la’leklan luntetchek.
P00031,"“Te voy a enseñar, llévala tú también y aprende.","“A’lek’erken, ekpanta’n kenmanta’ ñinchiter."
P00032,"Llévala por ahí a un pueblo lejano, madre”, diciendo así le estoy enseñando.","Nanalupa’ wei ñinanluk ekpanter, awá”, itamu a’lek’apalek."
P00033,Ahora con el idioma le estoy enseñando y ella también está enseñándome a mí.,"Ipa’la nanalek nana a’lachik’apilalek, nananta’ a’lachik’apilallun kua."
P00034,A veces no puedo recordar lo que estoy hablando.,Nerpi’pu’ innichi’nek lli’inuta’kasu’ lunpa’kasu’.
P00035,A veces me olvido.,Nerpi’pu’ pinanetllek.
P00036,Ella también me está enseñando.,Nananta’ a’lek’apilallun.
P00037,Bonito le hablo a esta señora con quien nunca antes había conversado.,We’chimu luntulek senñula’ enpi’pu’ lunchinpu’a’kasu’.
P00038,Ahora felizmente ha venido.,Ipa’la mula’si’la weklli.
P00039,"Ella que lleve (mi palabra) a otro pueblo,","Nana ekpanta’i, ekpanta’i nerñinanluk,"
P00040,"ella también que enseñe para que (otros) la aprendan,","nananta’ a’lekchii, ñinchichii,"
P00041,para que aquí nomás no se termine.,ma’sha asek i’la ta’wanchinpu’kek.
P00042,Más que sigan ellos (difundiéndola).,A’pinta’ tupichina’ nawa’.
P00043,"En otros pueblos que conozcan también el shiwilu,","Nerñinanluk ñinchichinna’ nawa’nta’ Shiwilu,"
P00044,"el shiwilu de antes,","napi’ Shiwilu,"
