id,pair_id,group_id,source,target,source_lang,target_lang,split,has_audit_flags,origin_source,score,label
U04394__shw2spa,U04394,G04129,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,hace veinte años que salí de mi pueblo.,shw,spa,train,True,fidel_lomas,0.5950871,flagged_for_review
U04394__spa2shw,U04394,G04129,hace veinte años que salí de mi pueblo.,katu'-shunka' ekkilala ñilli yunsu'a'kasu' ñinanlu'wekekla.,spa,shw,train,True,fidel_lomas,0.5950871,flagged_for_review
U03976__shw2spa,U03976,G03720,ala'shasa' wawinwanpalli ekkilalak.,el majaz tiene solo una cría anualmente.,shw,spa,train,True,fidel_lomas,0.5238471,flagged_for_review
U03976__spa2shw,U03976,G03720,el majaz tiene solo una cría anualmente.,ala'shasa' wawinwanpalli ekkilalak.,spa,shw,train,True,fidel_lomas,0.5238471,flagged_for_review
U02729__shw2spa,U02729,G02498,"tanpen, enpulula' yapur'anna' uncha'a'ser di'setchudekker. hombre candela, cuando alguna vez queriendo pescar vengan,",quémalos.,shw,spa,train,True,pdf_textos,0.5783349,flagged_for_review
U02729__spa2shw,U02729,G02498,quémalos.,"tanpen, enpulula' yapur'anna' uncha'a'ser di'setchudekker. hombre candela, cuando alguna vez queriendo pescar vengan,",spa,shw,train,True,pdf_textos,0.5783349,flagged_for_review
U03205__shw2spa,U03205,G02974,"ipa'li'na ¿pa'apilala, kunpá? tan nakutulli, lli'ladeinpu'la'pi'.","ahora ¿estás yendo compadre? diciendo pasan, sin mirarle la cara.",shw,spa,train,True,pdf_textos,0.5814379,flagged_for_review
U03205__spa2shw,U03205,G02974,"ahora ¿estás yendo compadre? diciendo pasan, sin mirarle la cara.","ipa'li'na ¿pa'apilala, kunpá? tan nakutulli, lli'ladeinpu'la'pi'.",spa,shw,train,True,pdf_textos,0.5814379,flagged_for_review
U01801__shw2spa,U01801,G01592,ñiñuduker' nuka'a,es mes de navidad.,shw,spa,train,False,flashcards2,0.5686722,flagged_for_review
U01801__spa2shw,U01801,G01592,es mes de navidad.,ñiñuduker' nuka'a,spa,shw,train,False,flashcards2,0.5686722,flagged_for_review
U00787__shw2spa,U00787,G00660,insek'kita'kasu'ñapalli,debo esconderme.,shw,spa,train,False,flashcards2,0.5493358,flagged_for_review
U00787__spa2shw,U00787,G00660,debo esconderme.,insek'kita'kasu'ñapalli,spa,shw,train,False,flashcards2,0.5493358,flagged_for_review
U04276__shw2spa,U04276,G04012,¡kupin ñinanlu'mapu'wa' enpu'dun kulliker' ipa' dekker'apalli ilulenna mapa'tan!,¡cuánto dinero quizás estará gastando nuestro país comprando la vacuna!,shw,spa,train,True,fidel_lomas,0.5729525,flagged_for_review
U04276__spa2shw,U04276,G04012,¡cuánto dinero quizás estará gastando nuestro país comprando la vacuna!,¡kupin ñinanlu'mapu'wa' enpu'dun kulliker' ipa' dekker'apalli ilulenna mapa'tan!,spa,shw,train,True,fidel_lomas,0.5729525,flagged_for_review
U03087__shw2spa,U03087,G02856,"adencha'n ima wa'an lekllina' -adanpilencha'llidek kuda, ¿luwandetchuma' a'cha? regresando le pidieron al gobernante -nosotros estamos volviendo,",¿nos van a querer?,shw,spa,train,True,pdf_textos,0.56577474,flagged_for_review
U03087__spa2shw,U03087,G02856,¿nos van a querer?,"adencha'n ima wa'an lekllina' -adanpilencha'llidek kuda, ¿luwandetchuma' a'cha? regresando le pidieron al gobernante -nosotros estamos volviendo,",spa,shw,train,True,pdf_textos,0.56577474,flagged_for_review
U00262__shw2spa,U00262,G00205,nakusuin'chi erwa',demasiado tarde.,shw,spa,train,False,flashcards2,0.5918509,flagged_for_review
U00262__spa2shw,U00262,G00205,demasiado tarde.,nakusuin'chi erwa',spa,shw,train,False,flashcards2,0.5918509,flagged_for_review
U00439__shw2spa,U00439,G00352,tom tulli ma'pu'sin,tom saludó.,shw,spa,train,False,flashcards2,0.55872196,flagged_for_review
U00439__spa2shw,U00439,G00352,tom saludó.,tom tulli ma'pu'sin,spa,shw,train,False,flashcards2,0.55872196,flagged_for_review
U04317__shw2spa,U04317,G04052,ala'waranka iskun-pasak inkatu'- shunka' ekkilalak.,en el año 1940.,shw,spa,train,True,fidel_lomas,0.47842497,flagged_for_review
U04317__spa2shw,U04317,G04052,en el año 1940.,ala'waranka iskun-pasak inkatu'- shunka' ekkilalak.,spa,shw,train,True,fidel_lomas,0.47842497,flagged_for_review
U03067__shw2spa,U03067,G02836,¡wanerku' enmu'pinenpu'su'!,!pónganse de pie como varones! 10 se refiere a las autoridades españolas conocidos como apu'tek y sekputchek. léase el texto siguiente.,shw,spa,train,True,pdf_textos,0.56064856,flagged_for_review
U03067__spa2shw,U03067,G02836,!pónganse de pie como varones! 10 se refiere a las autoridades españolas conocidos como apu'tek y sekputchek. léase el texto siguiente.,¡wanerku' enmu'pinenpu'su'!,spa,shw,train,True,pdf_textos,0.56064856,flagged_for_review
U01622__shw2spa,U01622,G01427,anapila,hueles mal.,shw,spa,train,False,flashcards2,0.47655833,flagged_for_review
U01622__spa2shw,U01622,G01427,hueles mal.,anapila,spa,shw,train,False,flashcards2,0.47655833,flagged_for_review
U02576__shw2spa,U02576,G02345,"wilaku ñamu kawitulek, du'pa'tamu laweklek lunpa'ser.","cuando era niño me acercaba, sentándome cerca les escuchaba contar. 6 se expresa en shiwilu como late nuestro hígado.",shw,spa,train,True,pdf_textos,0.5707427,flagged_for_review
U02576__spa2shw,U02576,G02345,"cuando era niño me acercaba, sentándome cerca les escuchaba contar. 6 se expresa en shiwilu como late nuestro hígado.","wilaku ñamu kawitulek, du'pa'tamu laweklek lunpa'ser.",spa,shw,train,True,pdf_textos,0.5707427,flagged_for_review
U03982__shw2spa,U03982,G03726,nanekla sukellu' ñinta'llina'.,luego se convierten en renacuajos.,shw,spa,train,True,fidel_lomas,0.58450663,flagged_for_review
U03982__spa2shw,U03982,G03726,luego se convierten en renacuajos.,nanekla sukellu' ñinta'llina'.,spa,shw,train,True,fidel_lomas,0.58450663,flagged_for_review
U03170__shw2spa,U03170,G02939,"adipida' llillinmapu'wei'na, dai'lek pacher' ima weklli ¿ma'llin a'cha?","en cuanto a nuestro nombre de fuera, luego el cura, dice, ha llegado ¿cómo te llamas? (les preguntó) 14 éste sería el origen del apellido mozombite. 15 no se ofrece una posible etimología para el apellido maca.",shw,spa,train,True,pdf_textos,0.5208847,flagged_for_review
U03170__spa2shw,U03170,G02939,"en cuanto a nuestro nombre de fuera, luego el cura, dice, ha llegado ¿cómo te llamas? (les preguntó) 14 éste sería el origen del apellido mozombite. 15 no se ofrece una posible etimología para el apellido maca.","adipida' llillinmapu'wei'na, dai'lek pacher' ima weklli ¿ma'llin a'cha?",spa,shw,train,True,pdf_textos,0.5208847,flagged_for_review
U02851__shw2spa,U02851,G02620,"amana' ñichu di'tawa', ali'la erpilu' kupiwan ñipachi nananta' di'tawa'.","si hay tigre se lo mata, si hay anaconda de altura a esa también se la mata.",shw,spa,train,True,pdf_textos,0.59623545,flagged_for_review
U02851__spa2shw,U02851,G02620,"si hay tigre se lo mata, si hay anaconda de altura a esa también se la mata.","amana' ñichu di'tawa', ali'la erpilu' kupiwan ñipachi nananta' di'tawa'.",spa,shw,train,True,pdf_textos,0.59623545,flagged_for_review
U00217__shw2spa,U00217,G00165,iñer' ñinchitapalek,soy listo.,shw,spa,train,False,flashcards2,0.46052068,flagged_for_review
U00217__spa2shw,U00217,G00165,soy listo.,iñer' ñinchitapalek,spa,shw,train,False,flashcards2,0.46052068,flagged_for_review
U01644__shw2spa,U01644,G01448,¿te'kuawina?,¿tenías miedo?,shw,spa,train,False,flashcards2,0.54693735,flagged_for_review
U01644__spa2shw,U01644,G01448,¿tenías miedo?,¿te'kuawina?,spa,shw,train,False,flashcards2,0.54693735,flagged_for_review
U03991__shw2spa,U03991,G03735,nadallina' ishan ukllik wadeker'kek.,aumentan para desovar en la época de vaciante.,shw,spa,train,True,fidel_lomas,0.53016174,flagged_for_review
U03991__spa2shw,U03991,G03735,aumentan para desovar en la época de vaciante.,nadallina' ishan ukllik wadeker'kek.,spa,shw,train,True,fidel_lomas,0.53016174,flagged_for_review
U02531__shw2spa,U02531,G02300,"ipi'ma nana ukalu' yata'wanta'su'lupa' ima, uk'apilincha', nanek kapeklli ala'sa' enmu'pinen nadi'nek piperunkallu'la'su', pipelladasu'. cuando iban terminando ese bajial, cuando venían, allí encontraron a",un hombre joven de cuello colorado y cara colorada.,shw,spa,train,True,pdf_textos,0.5348323,flagged_for_review
U02531__spa2shw,U02531,G02300,un hombre joven de cuello colorado y cara colorada.,"ipi'ma nana ukalu' yata'wanta'su'lupa' ima, uk'apilincha', nanek kapeklli ala'sa' enmu'pinen nadi'nek piperunkallu'la'su', pipelladasu'. cuando iban terminando ese bajial, cuando venían, allí encontraron a",spa,shw,train,True,pdf_textos,0.5348323,flagged_for_review
U00368__shw2spa,U00368,G00295,mukankan,es agradable. (persona),shw,spa,train,True,flashcards2,0.5680627,flagged_for_review
U00368__spa2shw,U00368,G00295,es agradable. (persona),mukankan,spa,shw,train,True,flashcards2,0.5680627,flagged_for_review
U02525__shw2spa,U02525,G02294,sa'la'wenkasu' malek ima itudekllina':,dice que como estaban cubiertos de chupos les dijeron:,shw,spa,train,True,pdf_textos,0.5930084,flagged_for_review
U02525__spa2shw,U02525,G02294,dice que como estaban cubiertos de chupos les dijeron:,sa'la'wenkasu' malek ima itudekllina':,spa,shw,train,True,pdf_textos,0.5930084,flagged_for_review
U00573__shw2spa,U00573,G00473,¿pa'chi'ñin'cha?,¿es gratis?,shw,spa,train,False,flashcards2,0.50900817,flagged_for_review
U00573__spa2shw,U00573,G00473,¿es gratis?,¿pa'chi'ñin'cha?,spa,shw,train,False,flashcards2,0.50900817,flagged_for_review
U00007__shw2spa,U00007,G00005,¡ukeñan!,¡incendio!,shw,spa,train,False,flashcards2,0.5553518,flagged_for_review
U00007__spa2shw,U00007,G00005,¡incendio!,¡ukeñan!,spa,shw,train,False,flashcards2,0.5553518,flagged_for_review
U01168__shw2spa,U01168,G01012,¡pante'chek!,hasta entonces.,shw,spa,train,True,flashcards2,0.59978366,flagged_for_review
U01168__spa2shw,U01168,G01012,hasta entonces.,¡pante'chek!,spa,shw,train,True,flashcards2,0.59978366,flagged_for_review
U02386__shw2spa,U02386,G02155,a'pi'dekta'kasu' supinak a'du'dektulek kupin uktak.,"después de cutipar, se deposita (la bebida) en una olla grande (que está enterrada hasta la mitad).",shw,spa,train,True,pdf_textos,0.5461962,flagged_for_review
U02386__spa2shw,U02386,G02155,"después de cutipar, se deposita (la bebida) en una olla grande (que está enterrada hasta la mitad).",a'pi'dekta'kasu' supinak a'du'dektulek kupin uktak.,spa,shw,train,True,pdf_textos,0.5461962,flagged_for_review
U02573__shw2spa,U02573,G02342,nanadaper tekkinchinen luñina' taserpilusa' pantanna' lauk'erkasu'.,todas esas cosas verdad es lo que contaron los viejos que escuchaban cuando iban (a pampayacu).,shw,spa,train,True,pdf_textos,0.566328,flagged_for_review
U02573__spa2shw,U02573,G02342,todas esas cosas verdad es lo que contaron los viejos que escuchaban cuando iban (a pampayacu).,nanadaper tekkinchinen luñina' taserpilusa' pantanna' lauk'erkasu'.,spa,shw,train,True,pdf_textos,0.566328,flagged_for_review
U02593__shw2spa,U02593,G02362,tulli ma'pu'mi'na' peklu'chi'nama' weilan lauk'a'killek tullima arakayu.,entonces dijo arákayu¿por qué no llamaron de lejos para oírlos?,shw,spa,train,True,pdf_textos,0.5778626,flagged_for_review
U02593__spa2shw,U02593,G02362,entonces dijo arákayu¿por qué no llamaron de lejos para oírlos?,tulli ma'pu'mi'na' peklu'chi'nama' weilan lauk'a'killek tullima arakayu.,spa,shw,train,True,pdf_textos,0.5778626,flagged_for_review
U00033__shw2spa,U00033,G00028,ta'itula'lek,renuncié.,shw,spa,train,False,flashcards2,0.5875499,flagged_for_review
U00033__spa2shw,U00033,G00028,renuncié.,ta'itula'lek,spa,shw,train,False,flashcards2,0.5875499,flagged_for_review
U00102__shw2spa,U00102,G00067,ek'ke'cher',abre.,shw,spa,train,False,flashcards2,0.5524734,flagged_for_review
U00102__spa2shw,U00102,G00067,abre.,ek'ke'cher',spa,shw,train,False,flashcards2,0.5524734,flagged_for_review
U02584__shw2spa,U02584,G02353,penwanpasik pidekñik.,alguien estaba haciendo fuego en su casa.,shw,spa,train,True,pdf_textos,0.5670922,flagged_for_review
U02584__spa2shw,U02584,G02353,alguien estaba haciendo fuego en su casa.,penwanpasik pidekñik.,spa,shw,train,True,pdf_textos,0.5670922,flagged_for_review
U03121__shw2spa,U03121,G02890,"nu'amudek i'na kua taserpiku' nuka'ka, kui'na kanchis shunka' ekkilalawantulek ipa'.","yo soy viejo, tengo setenta años ya.",shw,spa,train,True,pdf_textos,0.5692409,flagged_for_review
U03121__spa2shw,U03121,G02890,"yo soy viejo, tengo setenta años ya.","nu'amudek i'na kua taserpiku' nuka'ka, kui'na kanchis shunka' ekkilalawantulek ipa'.",spa,shw,train,True,pdf_textos,0.5692409,flagged_for_review
U04034__shw2spa,U04034,G03771,tan ima panwalalun pa'lli tanak diteklu' yadunker'an.,"diciendo esto, la mujer sachavaca se fue al monte a buscar arcilla.",shw,spa,train,True,fidel_lomas,0.5857211,flagged_for_review
U04034__spa2shw,U04034,G03771,"diciendo esto, la mujer sachavaca se fue al monte a buscar arcilla.",tan ima panwalalun pa'lli tanak diteklu' yadunker'an.,spa,shw,train,True,fidel_lomas,0.5857211,flagged_for_review
U00923__shw2spa,U00923,G00786,a'nambiker',despertalo.,shw,spa,train,False,flashcards2,0.53733826,flagged_for_review
U00923__spa2shw,U00923,G00786,despertalo.,a'nambiker',spa,shw,train,False,flashcards2,0.53733826,flagged_for_review
U01879__shw2spa,U01879,G01667,inlu'uk'tuker',ten cuidado.,shw,spa,train,False,flashcards2,0.59030896,flagged_for_review
U01879__spa2shw,U01879,G01667,ten cuidado.,inlu'uk'tuker',spa,shw,train,False,flashcards2,0.59030896,flagged_for_review
U03018__shw2spa,U03018,G02787,"da'ilek, ali'ladaper tullina' saka'tunan dunkerpatekkudek nanalupa' pa'achidek, tullima. sin embargo, otros opinaban a buscar trabajo tenemos que ir por","allá, decían.",shw,spa,train,True,pdf_textos,0.5845039,flagged_for_review
U03018__spa2shw,U03018,G02787,"allá, decían.","da'ilek, ali'ladaper tullina' saka'tunan dunkerpatekkudek nanalupa' pa'achidek, tullima. sin embargo, otros opinaban a buscar trabajo tenemos que ir por",spa,shw,train,True,pdf_textos,0.5845039,flagged_for_review
U01623__shw2spa,U01623,G01428,wa'danpintek'pu'su' lli'tula,pareces loco.,shw,spa,train,False,flashcards2,0.59037197,flagged_for_review
U01623__spa2shw,U01623,G01428,pareces loco.,wa'danpintek'pu'su' lli'tula,spa,shw,train,False,flashcards2,0.59037197,flagged_for_review
U03252__shw2spa,U03252,G03021,tata nerku'lli nunkek,papá rema la canoa.,shw,spa,train,False,flashcards_oraciones,0.55072206,flagged_for_review
U03252__spa2shw,U03252,G03021,papá rema la canoa.,tata nerku'lli nunkek,spa,shw,train,False,flashcards_oraciones,0.55072206,flagged_for_review
U02394__shw2spa,U02394,G02163,enta'ten i'na lunterkenma'.,"a ver, pues, vamos a conversar.",shw,spa,train,True,pdf_textos,0.5845077,flagged_for_review
U02394__spa2shw,U02394,G02163,"a ver, pues, vamos a conversar.",enta'ten i'na lunterkenma'.,spa,shw,train,True,pdf_textos,0.5845077,flagged_for_review
U04169__shw2spa,U04169,G03905,lachek'inpu'n wilalunler lek'a'su' ekkuanen kani'ñi.,"por no entender el pedido de la señorita, no consiguió enamorada.",shw,spa,train,True,fidel_lomas,0.5740125,flagged_for_review
U04169__spa2shw,U04169,G03905,"por no entender el pedido de la señorita, no consiguió enamorada.",lachek'inpu'n wilalunler lek'a'su' ekkuanen kani'ñi.,spa,shw,train,True,fidel_lomas,0.5740125,flagged_for_review
U02361__shw2spa,U02361,G02130,pitawilek ma'ilek nerku'teklek pitawilek.,se lo va batiendo con este.... con un remo se lo bate.,shw,spa,train,True,pdf_textos,0.59318936,flagged_for_review
U02361__spa2shw,U02361,G02130,se lo va batiendo con este.... con un remo se lo bate.,pitawilek ma'ilek nerku'teklek pitawilek.,spa,shw,train,True,pdf_textos,0.59318936,flagged_for_review
U03885__shw2spa,U03885,G03629,asu' dekshadekshaki llillinen nuka'a ama'wina.,esta quebradita se llama armanayacu.,shw,spa,train,True,fidel_lomas,0.5537298,flagged_for_review
U03885__spa2shw,U03885,G03629,esta quebradita se llama armanayacu.,asu' dekshadekshaki llillinen nuka'a ama'wina.,spa,shw,train,True,fidel_lomas,0.5537298,flagged_for_review
U02533__shw2spa,U02533,G02302,"- pu'yek aperku'tullinerkudek,",(los hombres de jeberos) nos mezquinaron la pesca.,shw,spa,train,True,pdf_textos,0.5954933,flagged_for_review
U02533__spa2shw,U02533,G02302,(los hombres de jeberos) nos mezquinaron la pesca.,"- pu'yek aperku'tullinerkudek,",spa,shw,train,True,pdf_textos,0.5954933,flagged_for_review
U04176__shw2spa,U04176,G03912,yaami'nek'unta' mumulu'dek lli'amu.,"tampoco quería bañarme, al ver su agua lodosa.",shw,spa,train,True,fidel_lomas,0.5984396,flagged_for_review
U04176__spa2shw,U04176,G03912,"tampoco quería bañarme, al ver su agua lodosa.",yaami'nek'unta' mumulu'dek lli'amu.,spa,shw,train,True,fidel_lomas,0.5984396,flagged_for_review
U04257__shw2spa,U04257,G03993,"yayanlulenta'mapi'pu' wa'tentetchu wanersu',","el día que te vas a mandar vacunar,.",shw,spa,train,True,fidel_lomas,0.5006192,flagged_for_review
U04257__spa2shw,U04257,G03993,"el día que te vas a mandar vacunar,.","yayanlulenta'mapi'pu' wa'tentetchu wanersu',",spa,shw,train,True,fidel_lomas,0.5006192,flagged_for_review
U02419__shw2spa,U02419,G02188,- uk'apincha'lek yalli'amun. pa'amu menmik u'dun uklli lli'ker'i'ñen.,estoy viniendo queriendo verte. como fui a la chacra tantos días no te he visitado.,shw,spa,train,True,pdf_textos,0.557462,flagged_for_review
U02419__spa2shw,U02419,G02188,estoy viniendo queriendo verte. como fui a la chacra tantos días no te he visitado.,- uk'apincha'lek yalli'amun. pa'amu menmik u'dun uklli lli'ker'i'ñen.,spa,shw,train,True,pdf_textos,0.557462,flagged_for_review
U02811__shw2spa,U02811,G02580,enpu'dun waranka ekkilaleipa' ñilli nana nu'su' ña'su'!,hace cuántos miles de años habrá pasado eso lo que ha sido así!,shw,spa,train,True,pdf_textos,0.57447755,flagged_for_review
U02811__spa2shw,U02811,G02580,hace cuántos miles de años habrá pasado eso lo que ha sido así!,enpu'dun waranka ekkilaleipa' ñilli nana nu'su' ña'su'!,spa,shw,train,True,pdf_textos,0.57447755,flagged_for_review
U03280__shw2spa,U03280,G03048,dekmuda' nantapitek nuka'a,el espíritu del agua es fuerte.,shw,spa,train,False,flashcards_oraciones,0.5725012,flagged_for_review
U03280__spa2shw,U03280,G03048,el espíritu del agua es fuerte.,dekmuda' nantapitek nuka'a,spa,shw,train,False,flashcards_oraciones,0.5725012,flagged_for_review
U03899__shw2spa,U03899,G03643,piunalamek'unta' mulli waka'ki.,la hoja de sanango también es buena para la hinchazón.,shw,spa,train,True,fidel_lomas,0.56217694,flagged_for_review
U03899__spa2shw,U03899,G03643,la hoja de sanango también es buena para la hinchazón.,piunalamek'unta' mulli waka'ki.,spa,shw,train,True,fidel_lomas,0.56217694,flagged_for_review
U04145__shw2spa,U04145,G03882,chi'lek pilenñantununta'lli.,el carachupa volvió a pifuanear y las mujeres nuevamente volvieron a bailar felices.,shw,spa,train,True,fidel_lomas,0.5834155,flagged_for_review
U04145__spa2shw,U04145,G03882,el carachupa volvió a pifuanear y las mujeres nuevamente volvieron a bailar felices.,chi'lek pilenñantununta'lli.,spa,shw,train,True,fidel_lomas,0.5834155,flagged_for_review
U04325__shw2spa,U04325,G04060,susunentan sadalli ala'sa' wilalunlek llillinen chirisa achu chuta.,"siendo mayor, se casó con una señorita de nombre teresa acho chota.",shw,spa,train,True,fidel_lomas,0.59154105,flagged_for_review
U04325__spa2shw,U04325,G04060,"siendo mayor, se casó con una señorita de nombre teresa acho chota.",susunentan sadalli ala'sa' wilalunlek llillinen chirisa achu chuta.,spa,shw,train,True,fidel_lomas,0.59154105,flagged_for_review
U02391__shw2spa,U02391,G02160,uklu'pidekdinpunen ma'lusa' wa'danlusa' uwerkasu'pu'lli.,la espuma de la chicha punta se parece a la bebida que toman los wiracochas (cerveza).,shw,spa,train,True,pdf_textos,0.48896798,flagged_for_review
U02391__spa2shw,U02391,G02160,la espuma de la chicha punta se parece a la bebida que toman los wiracochas (cerveza).,uklu'pidekdinpunen ma'lusa' wa'danlusa' uwerkasu'pu'lli.,spa,shw,train,True,pdf_textos,0.48896798,flagged_for_review
U03058__shw2spa,U03058,G02827,"malallineima ñañashasa', ukllilek dekpilli'lek, uklulu' nu'ta'n, iñer pideknen a'muetchan,","malallina solita, en el día y en la noche, elaboró su masato llenando toda su casa (con la bebida), 9 malallina es la adaptación del nombre español magdalena. en esta traducción hemos optado por mantener la forma shiwilu malallina.",shw,spa,train,True,pdf_textos,0.5781737,flagged_for_review
U03058__spa2shw,U03058,G02827,"malallina solita, en el día y en la noche, elaboró su masato llenando toda su casa (con la bebida), 9 malallina es la adaptación del nombre español magdalena. en esta traducción hemos optado por mantener la forma shiwilu malallina.","malallineima ñañashasa', ukllilek dekpilli'lek, uklulu' nu'ta'n, iñer pideknen a'muetchan,",spa,shw,train,True,pdf_textos,0.5781737,flagged_for_review
U02456__shw2spa,U02456,G02225,ñi napi'pu'su' kupin uwapawinek.,no como antes que bebía bastante.,shw,spa,train,True,pdf_textos,0.5872596,flagged_for_review
U02456__spa2shw,U02456,G02225,no como antes que bebía bastante.,ñi napi'pu'su' kupin uwapawinek.,spa,shw,train,True,pdf_textos,0.5872596,flagged_for_review
U00403__shw2spa,U00403,G00323,ma'pu'sin tuker',decí hola.,shw,spa,train,False,flashcards2,0.54379636,flagged_for_review
U00403__spa2shw,U00403,G00323,decí hola.,ma'pu'sin tuker',spa,shw,train,False,flashcards2,0.54379636,flagged_for_review
U02685__shw2spa,U02685,G02454,musenkek kekkilu'tek ima kunekchapallina'.,arriba en el cielo dice estaban dando vueltas.,shw,spa,train,True,pdf_textos,0.57720697,flagged_for_review
U02685__spa2shw,U02685,G02454,arriba en el cielo dice estaban dando vueltas.,musenkek kekkilu'tek ima kunekchapallina'.,spa,shw,train,True,pdf_textos,0.57720697,flagged_for_review
U03008__shw2spa,U03008,G02777,"uku'latudek'anna', insekkilapidek'anna', uk'lapincha'dekllina' nana.","una vez que las vendían, (los hermanos) se escondían y las abandonaban, se venían (a jeberos) dejándolas.",shw,spa,train,True,pdf_textos,0.5906905,flagged_for_review
U03008__spa2shw,U03008,G02777,"una vez que las vendían, (los hermanos) se escondían y las abandonaban, se venían (a jeberos) dejándolas.","uku'latudek'anna', insekkilapidek'anna', uk'lapincha'dekllina' nana.",spa,shw,train,True,pdf_textos,0.5906905,flagged_for_review
