pair_id,group_id,rank,top1_is_positive,positive_count,direction,query_text,target_correct,top1_pair_id,top1_group_id,target_top1,esp,shiwilu_correct,shiwilu_top1,correct_score,top1_score,score_gap,heuristic_error_type
U01644,G01454,141,False,1,esp_to_shi,¿tenías miedo?,¿te'kuawina?,U01118,G00973,¿nusha'tusu' ñapalli?,¿tenías miedo?,¿te'kuawina?,¿nusha'tusu' ñapalli?,0.05865713953971863,0.4135247766971588,0.3548676371574402,severe_retrieval_failure
U00531,G00440,113,False,2,esp_to_shi,me agradas.,tanteñek,U00971,G00837,muisu' kankantula,me agradas.,tanteñek,muisu' kankantula,0.06696458160877228,0.5236409306526184,0.45667634904384613,gold_has_audit_flag
U02927,G02702,30,False,1,esp_to_shi,¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,U00478,G00392,enka'ku',¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,enka'ku',0.2236691266298294,0.3415062427520752,0.11783711612224579,gold_has_audit_flag
U02638,G02413,24,False,1,esp_to_shi,"no corran,","- ¡anetlla yatek kuatama',",U02634,G02409,"ñi dunan,","no corran,","- ¡anetlla yatek kuatama',","ñi dunan,",0.25762802362442017,0.5815151333808899,0.3238871097564697,gold_has_audit_flag
U02002,G01788,24,False,1,esp_to_shi,me acobardé.,sapulek,U00734,G00614,akusuitu'u,me acobardé.,sapulek,akusuitu'u,0.2660851776599884,0.5687708854675293,0.3026857078075409,semantic_confusion
U00661,G00551,23,False,1,esp_to_shi,tom asintió.,tom tulli ajá,U00260,G00207,tom iduñi,tom asintió.,tom tulli ajá,tom iduñi,0.2891756296157837,0.6869174838066101,0.3977418541908264,shared_shiwilu_tokens
U00148,G00108,22,False,1,esp_to_shi,abajo.,dawik',U00122,G00087,nanpi,abajo.,dawik',nanpi,0.3141331374645233,0.5972608327865601,0.28312769532203674,semantic_confusion
U00750,G00629,20,False,1,esp_to_shi,vístete.,ishinwer',U00004,G00002,tekker',vístete.,ishinwer',tekker',0.27781590819358826,0.6481890082359314,0.37037310004234314,semantic_confusion
U01351,G01178,13,False,1,esp_to_shi,no engordes.,yaweyta,U00595,G00495,yalenmek'ta,no engordes.,yaweyta,yalenmek'ta,0.36736100912094116,0.5885505080223083,0.2211894989013672,semantic_confusion
U02211,G01988,11,False,1,esp_to_shi,mejor vete.,a'pimuechu paker',U00069,G00053,paker' uti'la,mejor vete.,a'pimuechu paker',paker' uti'la,0.3501391112804413,0.5829870104789734,0.2328478991985321,shared_shiwilu_tokens
U00638,G00532,10,False,1,esp_to_shi,hicieron trampas.,allisek nu'tapallina',U01280,G01116,tuwiñina' nu'techuna,hicieron trampas.,allisek nu'tapallina',tuwiñina' nu'techuna,0.33955761790275574,0.5479955673217773,0.2084379494190216,semantic_confusion
U00439,G00356,10,False,1,esp_to_shi,tom saludó.,tom tulli ma'pu'sin,U00260,G00207,tom iduñi,tom saludó.,tom tulli ma'pu'sin,tom iduñi,0.34308531880378723,0.5437785387039185,0.20069321990013123,shared_shiwilu_tokens
U00560,G00465,10,False,1,esp_to_shi,soy codicioso.,iñer' luantulek wapu',U00212,G00164,shamu'lunsu' nuka'ka,soy codicioso.,iñer' luantulek wapu',shamu'lunsu' nuka'ka,0.41784605383872986,0.6054015159606934,0.1875554621219635,semantic_confusion
U01118,G00973,10,False,1,esp_to_shi,¿está roto?,¿nusha'tusu' ñapalli?,U02073,G01856,dekpi ñapalli,¿está roto?,¿nusha'tusu' ñapalli?,dekpi ñapalli,0.43380284309387207,0.5334817171096802,0.0996788740158081,semantic_confusion
U01025,G00887,10,False,1,esp_to_shi,¿fumas?,¿u'wa'tapala?,U01644,G01454,¿te'kuawina?,¿fumas?,¿u'wa'tapala?,¿te'kuawina?,0.27741706371307373,0.366579532623291,0.08916246891021729,semantic_confusion
U00052,G00042,8,False,1,esp_to_shi,estate tranquilo.,musu' ñapaker',U02224,G02000,neriker' u'chimu,estate tranquilo.,musu' ñapaker',neriker' u'chimu,0.4791397750377655,0.562759518623352,0.08361974358558655,semantic_confusion
U02970,G02745,7,False,1,esp_to_shi,"calladitos pasaron (el viento se levanta, dice, cuando se pasa haciendo bulla).",ta'tushalai'ni'ma nakutullina' (tanluwa ima yunsanpalli lamapu'nna' nakuerkasu').,U02690,G02465,dudinpu'nen uketlli.,"calladitos pasaron (el viento se levanta, dice, cuando se pasa haciendo bulla).",ta'tushalai'ni'ma nakutullina' (tanluwa ima yunsanpalli lamapu'nna' nakuerkasu').,dudinpu'nen uketlli.,0.35228121280670166,0.5137701034545898,0.16148889064788818,gold_has_audit_flag
U01689,G01493,7,False,3,esp_to_shi,pásaselo.,enka'ker',U00750,G00629,ishinwer',pásaselo.,enka'ker',ishinwer',0.29789218306541443,0.4190314710140228,0.1211392879486084,gold_has_audit_flag
U00478,G00392,6,False,1,esp_to_shi,¡pásenle!,enka'ku',U00592,G00492,¡tupiter'!,¡pásenle!,enka'ku',¡tupiter'!,0.4288024306297302,0.6560406684875488,0.2272382378578186,semantic_confusion
U01838,G01634,6,False,2,esp_to_shi,¿empezamos?,¿tenmiansu'ter?,U01644,G01454,¿te'kuawina?,¿empezamos?,¿tenmiansu'ter?,¿te'kuawina?,0.3960611820220947,0.595649778842926,0.1995885968208313,gold_has_audit_flag
U01117,G00972,6,False,2,esp_to_shi,estoy reventado.,ñapalek saka'tusu',U01455,G01273,tekua'dansu' ñapalek,estoy reventado.,ñapalek saka'tusu',tekua'dansu' ñapalek,0.4188278317451477,0.5894789099693298,0.17065107822418213,gold_has_audit_flag
U00997,G00860,6,False,1,esp_to_shi,ten seguridad.,latek'u,U00052,G00042,musu' ñapaker',ten seguridad.,latek'u,musu' ñapaker',0.41996413469314575,0.5747049450874329,0.1547408103942871,semantic_confusion
U01716,G01519,6,False,1,esp_to_shi,no pico.,ku'la ek'kuanpinek,U00595,G00495,yalenmek'ta,no pico.,ku'la ek'kuanpinek,yalenmek'ta,0.39430686831474304,0.4859243929386139,0.09161752462387085,semantic_confusion
U00206,G00159,5,False,1,esp_to_shi,soy malo. (hacer mal las cosas),mui'nek,U00316,G00252,mukankanku,soy malo. (hacer mal las cosas),mui'nek,mukankanku,0.4579853415489197,0.6623895168304443,0.20440417528152466,gold_has_audit_flag
U00764,G00642,5,False,1,esp_to_shi,qué raro.,empu'ni lli'inek,U00958,G00824,embu'ni we'inuipa',qué raro.,empu'ni lli'inek,embu'ni we'inuipa',0.4049890339374542,0.5892461538314819,0.1842571198940277,semantic_confusion
U02846,G02621,5,False,1,esp_to_shi,nosotros por ahí vamos a ser atrapados por las fieras.,kenmu'wi'na nanalupa' anaka'terwa'.,U02786,G02561,nanekla kenmu'wa'pi'la usha'wanekwa'.,nosotros por ahí vamos a ser atrapados por las fieras.,kenmu'wi'na nanalupa' anaka'terwa'.,nanekla kenmu'wa'pi'la usha'wanekwa'.,0.4580392837524414,0.5938783288002014,0.13583904504776,gold_has_audit_flag
U01217,G01057,5,False,1,esp_to_shi,tom insistió.,tom a'perchulli,U01555,G01367,tom tumu'pawiñi,tom insistió.,tom a'perchulli,tom tumu'pawiñi,0.44466549158096313,0.5797619223594666,0.13509643077850342,shared_shiwilu_tokens
U02758,G02533,5,False,1,esp_to_shi,los lagartos negros ahí están.,matutada ñapalli.,U02697,G02472,uki'lasa' nanpichuma'.,los lagartos negros ahí están.,matutada ñapalli.,uki'lasa' nanpichuma'.,0.3691990077495575,0.4883615970611572,0.11916258931159973,semantic_confusion
U02073,G01856,5,False,1,esp_to_shi,está botado.,dekpi ñapalli,U01814,G01611,dunker'aper'i'la,está botado.,dekpi ñapalli,dunker'aper'i'la,0.6041050553321838,0.7196943163871765,0.11558926105499268,semantic_confusion
