pair_id,group_id,rank,top1_is_positive,positive_count,direction,query_text,target_correct,top1_pair_id,top1_group_id,target_top1,esp,shiwilu_correct,shiwilu_top1,correct_score,top1_score,score_gap,heuristic_error_type
U01644,G01454,60,False,1,esp_to_shi,¿tenías miedo?,¿te'kuawina?,U00746,G00626,yau'wa'tuta,¿tenías miedo?,¿te'kuawina?,yau'wa'tuta,0.1431760936975479,0.4066028594970703,0.2634267657995224,severe_retrieval_failure
U00531,G00440,57,False,2,esp_to_shi,me agradas.,tanteñek,U00783,G00660,iyatudeklek,me agradas.,tanteñek,iyatudeklek,0.14696694910526276,0.5738275647163391,0.42686061561107635,gold_has_audit_flag
U00148,G00108,21,False,1,esp_to_shi,abajo.,dawik',U00121,G00087,nanpi,abajo.,dawik',nanpi,0.24524140357971191,0.552715539932251,0.30747413635253906,semantic_confusion
U00661,G00551,13,False,1,esp_to_shi,tom asintió.,tom tulli ajá,U00260,G00207,tom iduñi,tom asintió.,tom tulli ajá,tom iduñi,0.3069525361061096,0.5985209941864014,0.29156845808029175,shared_shiwilu_tokens
U02002,G01788,13,False,1,esp_to_shi,me acobardé.,sapulek,U00783,G00660,iyatudeklek,me acobardé.,sapulek,iyatudeklek,0.3051525950431824,0.5670475959777832,0.26189500093460083,semantic_confusion
U00439,G00356,12,False,1,esp_to_shi,tom saludó.,tom tulli ma'pu'sin,U00260,G00207,tom iduñi,tom saludó.,tom tulli ma'pu'sin,tom iduñi,0.274225115776062,0.6003197431564331,0.3260946273803711,shared_shiwilu_tokens
U00560,G00465,11,False,1,esp_to_shi,soy codicioso.,iñer' luantulek wapu',U00815,G00691,ñapalek ala'sa' enmu'pinenlek,soy codicioso.,iñer' luantulek wapu',ñapalek ala'sa' enmu'pinenlek,0.35671311616897583,0.4342814087867737,0.07756829261779785,semantic_confusion
U00750,G00629,10,False,1,esp_to_shi,vístete.,ishinwer',U00004,G00002,tekker',vístete.,ishinwer',tekker',0.31716954708099365,0.5908913016319275,0.27372175455093384,semantic_confusion
U02638,G02413,9,False,1,esp_to_shi,"no corran,","- ¡anetlla yatek kuatama',",U02634,G02409,"ñi dunan,","no corran,","- ¡anetlla yatek kuatama',","ñi dunan,",0.28530895709991455,0.5721504092216492,0.2868414521217346,gold_has_audit_flag
U01716,G01519,9,False,1,esp_to_shi,no pico.,ku'la ek'kuanpinek,U00596,G00495,yalenmek'ta,no pico.,ku'la ek'kuanpinek,yalenmek'ta,0.36138713359832764,0.5131331086158752,0.1517459750175476,semantic_confusion
