pair_id,group_id,rank,top1_is_positive,positive_count,esp,shiwilu_correct,top1_pair_id,top1_group_id,shiwilu_top1,correct_score,top1_score,score_gap,heuristic_error_type
U00997,G00860,162,False,1,ten seguridad.,latek'u,U00052,G00042,musu' ñapaker',0.016849473118782043,0.45560482144355774,0.4387553483247757,severe_retrieval_failure
U02051,G01834,110,False,1,solo bromeo.,si'lentapaleksa',U00139,G00100,empu'ni yalunta',0.09501570463180542,0.43235424160957336,0.33733853697776794,severe_retrieval_failure
U00398,G00323,82,False,1,¿perdona?,ta'itulau,U01936,G01727,¿mudinu'pala?,0.13020041584968567,0.5504083633422852,0.4202079474925995,severe_retrieval_failure
U00967,G00833,66,False,1,estás loca.,wa'danpindek ñapala,U01266,G01101,mu'su' ñapala,0.19454272091388702,0.5662816762924194,0.3717389553785324,shared_shiwilu_tokens
U00121,G00087,59,False,2,crudo,nanpi,U00348,G00279,we'inu,0.09182559698820114,0.366915762424469,0.27509016543626785,gold_has_audit_flag
U01837,G01633,53,False,1,dilo claramente.,tuker' tekinchiwalek,U01147,G01000,ta'itula'u inlli'inutechek,0.13746775686740875,0.37664785981178284,0.23918010294437408,severe_retrieval_failure
U00560,G00465,50,False,1,soy codicioso.,iñer' luantulek wapu',U00212,G00164,shamu'lunsu' nuka'ka,0.20955584943294525,0.6167786121368408,0.40722276270389557,semantic_confusion
U00531,G00440,31,False,2,me agradas.,tanteñek,U00734,G00614,akusuitu'u,0.26523926854133606,0.6206895112991333,0.35545024275779724,gold_has_audit_flag
U00723,G00607,29,False,1,sé razonable.,inlli'inuter' musu',U01266,G01101,mu'su' ñapala,0.29029539227485657,0.5082656145095825,0.21797022223472595,semantic_confusion
U00348,G00279,26,False,1,lo siento.,we'inu,U00029,G00024,yunsu'lek,0.313256174325943,0.6460394859313965,0.3327833116054535,semantic_confusion
U01932,G01723,25,False,1,quien sea.,denpinta' ñi'i,U00122,G00087,nanpi,0.2770194709300995,0.4267149269580841,0.14969545602798462,semantic_confusion
U03182,G02957,24,False,1,"este, entonces, el que entendía (de santos), dijo, pablo.","asui'ina, nu'pachi, a'la'chikta'sui'ma, tulli, pulu.",U03181,G02956,asui'na pablo.,0.27198323607444763,0.5940092206001282,0.32202598452568054,gold_has_audit_flag
U02927,G02702,22,False,1,¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,U01644,G01454,¿te'kuawina?,0.25460460782051086,0.4430001676082611,0.18839555978775024,gold_has_audit_flag
U01351,G01178,21,False,1,no engordes.,yaweyta,U00740,G00620,yainyututama',0.32350394129753113,0.6332827210426331,0.30977877974510193,semantic_confusion
U00362,G00293,21,False,1,hace frío.,sanek'wañi,U01048,G00908,weranpalli,0.3067071735858917,0.5452881455421448,0.23858097195625305,semantic_confusion
U01716,G01519,20,False,1,no pico.,ku'la ek'kuanpinek,U00595,G00495,yalenmek'ta,0.3764290511608124,0.6010016798973083,0.22457262873649597,semantic_confusion
U00976,G00842,17,False,1,nos necesitas.,luantapalundek,U01078,G00937,luwantuwiñen,0.22767026722431183,0.5157006978988647,0.2880304306745529,semantic_confusion
