pair_id,group_id,rank,top1_is_positive,positive_count,direction,query_text,target_correct,top1_pair_id,top1_group_id,target_top1,esp,shiwilu_correct,shiwilu_top1,correct_score,top1_score,score_gap,heuristic_error_type
U01644,G01454,48,False,1,shi_to_esp,¿te'kuawina?,¿tenías miedo?,U01838,G01634,¿empezamos?,¿tenías miedo?,¿te'kuawina?,¿tenmiansu'ter?,0.1659136414527893,0.5921205878257751,0.42620694637298584,semantic_confusion
U02002,G01788,28,False,1,shi_to_esp,sapulek,me acobardé.,U00029,G00024,salí.,me acobardé.,sapulek,yunsu'lek,0.2521796226501465,0.4988713264465332,0.24669170379638672,semantic_confusion
U00439,G00356,25,False,1,shi_to_esp,tom tulli ma'pu'sin,tom saludó.,U01555,G01367,tom mentía.,tom saludó.,tom tulli ma'pu'sin,tom tumu'pawiñi,0.2691464126110077,0.5192738771438599,0.2501274645328522,shared_shiwilu_tokens
U02927,G02702,19,False,1,shi_to_esp,- ¿uklama' a'cha nanapu'si'la?.,¿vinieron otra vez?,U02933,G02708,esta candela no es buena.,¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,asui'na mui'ñi asu' pen.,0.2809647023677826,0.47978055477142334,0.19881585240364075,gold_has_audit_flag
U00638,G00532,18,False,1,shi_to_esp,allisek nu'tapallina',hicieron trampas.,U01929,G01720,están ganando.,hicieron trampas.,allisek nu'tapallina',kana'tapallina',0.31747058033943176,0.5136368274688721,0.1961662471294403,semantic_confusion
U00148,G00108,14,False,1,shi_to_esp,dawik',abajo.,U00115,G00082,tom comió.,abajo.,dawik',tom weranpalli,0.2810223698616028,0.4250205159187317,0.1439981460571289,semantic_confusion
U00478,G00392,12,False,1,shi_to_esp,enka'ku',¡pásenle!,U00287,G00229,captúrenlo.,¡pásenle!,enka'ku',pilli'tuku',0.36012229323387146,0.5749065279960632,0.21478423476219177,semantic_confusion
U02638,G02413,12,False,1,shi_to_esp,"- ¡anetlla yatek kuatama',","no corran,",U02635,G02410,"no conocían el paiche,","no corran,","- ¡anetlla yatek kuatama',","ñi luwetchi'ñina' asu' unma',",0.2961793839931488,0.44252651929855347,0.14634713530540466,gold_has_audit_flag
U02758,G02533,11,False,1,shi_to_esp,matutada ñapalli.,los lagartos negros ahí están.,U02073,G01856,está botado.,los lagartos negros ahí están.,matutada ñapalli.,dekpi ñapalli,0.32123857736587524,0.7548329830169678,0.43359440565109253,semantic_confusion
U00750,G00629,11,False,1,shi_to_esp,ishinwer',vístete.,U01689,G01493,pásaselo.,vístete.,ishinwer',enka'ker',0.3168659806251526,0.43226975202560425,0.11540377140045166,semantic_confusion
U01217,G01057,8,False,1,shi_to_esp,tom a'perchulli,tom insistió.,U00661,G00551,tom asintió.,tom insistió.,tom a'perchulli,tom tulli ajá,0.3709667921066284,0.5295441150665283,0.1585773229598999,shared_shiwilu_tokens
U00398,G00323,7,False,1,shi_to_esp,ta'itulau,¿perdona?,U00348,G00279,lo siento.,¿perdona?,ta'itulau,we'inu,0.38613346219062805,0.6703295707702637,0.2841961085796356,semantic_confusion
U02053,G01836,7,False,1,shi_to_esp,amennan nuka'ka,soy zurdo.,U01451,G01269,soy guapa.,soy zurdo.,amennan nuka'ka,mulun nuka'ka,0.4571900963783264,0.6025166511535645,0.14532655477523804,shared_shiwilu_tokens
U00011,G00008,6,False,1,shi_to_esp,¡indekker'!,¡salta!,U00592,G00492,¡continúa!,¡salta!,¡indekker'!,¡tupiter'!,0.560001790523529,0.7031322717666626,0.14313048124313354,semantic_confusion
U02524,G02299,5,False,1,shi_to_esp,ektu'lli katu'ta' wila suwilalusa' iñer ima sa'la'ta'ser.,5 se trata de un ave de malagüero. llegaron dos niños huérfanos todo cubiertos de chupos (viruela).,U02424,G02199,mis hijos se van todos a la chacra y me dejan sola.,5 se trata de un ave de malagüero. llegaron dos niños huérfanos todo cubiertos de chupos (viruela).,ektu'lli katu'ta' wila suwilalusa' iñer ima sa'la'ta'ser.,wilaweklusa' menmik chiketllapipallinerku.,0.3272525370121002,0.5500332713127136,0.2227807343006134,gold_has_audit_flag
U00227,G01601,5,False,3,shi_to_esp,nerpi'la nuka'a,es extraño.,U01128,G00981,está nevando.,es extraño.,nerpi'la nuka'a,pulunker'wanpalli,0.45690253376960754,0.515451192855835,0.05854865908622742,gold_has_audit_flag
