pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.8268416523933411,0.8268416523933411,True,1,esp_to_shi,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U00429,G00346,1,0.8215115666389465,0.8215115666389465,True,1,esp_to_shi,¿entonces qué?,¿nu'pachin ma'nen?,(grupo correcto),¿entonces qué?,¿nu'pachin ma'nen?,(grupo correcto),best
U01000,G00863,1,0.8222751617431641,0.8222751617431641,True,1,esp_to_shi,¿puedo intentar?,¿yennitulek inpaleriak?,(grupo correcto),¿puedo intentar?,¿yennitulek inpaleriak?,(grupo correcto),best
U01659,G01466,1,0.8888090252876282,0.8888090252876282,True,1,esp_to_shi,¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),best
U02615,G02390,1,0.8046831488609314,0.8046831488609314,True,1,esp_to_shi,"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U01957,G01747,1,0.8352067470550537,0.8352067470550537,True,1,esp_to_shi,¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),¿puedes mostrarme?,¿yennitula a'lli'a'muk?,(grupo correcto),best
U02619,G02394,1,0.8388116955757141,0.8388116955757141,True,1,esp_to_shi,"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U01209,G01050,1,0.7785501480102539,0.7785501480102539,True,1,esp_to_shi,son buenos.,u'chimulusa' nuker'ka,(grupo correcto),son buenos.,u'chimulusa' nuker'ka,(grupo correcto),best
U02432,G02207,1,0.7582059502601624,0.7582059502601624,True,1,esp_to_shi,"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U01128,G00981,1,0.8071025013923645,0.8071025013923645,True,1,esp_to_shi,está nevando.,pulunker'wanpalli,(grupo correcto),está nevando.,pulunker'wanpalli,(grupo correcto),best
U03200,G02975,1,0.5242332220077515,0.5242332220077515,True,1,esp_to_shi,"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),"bufeo, todo tipo (de nombres) le ponen.","sapana', dudinpu' aku'llina'.",(grupo correcto),best
U01218,G01058,1,0.9241291880607605,0.9241291880607605,True,1,esp_to_shi,tom escuchó.,tom lauk'tulli,(grupo correcto),tom escuchó.,tom lauk'tulli,(grupo correcto),best
U02095,G01877,1,0.8699275255203247,0.8699275255203247,True,1,esp_to_shi,remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),best
U02858,G02633,1,0.7527495622634888,0.7527495622634888,True,1,esp_to_shi,"después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",(grupo correcto),"después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",(grupo correcto),best
U02909,G02684,1,0.6217795014381409,0.6217795014381409,True,1,esp_to_shi,yo dijeron los otros.,kua tullima ali'ladaper.,(grupo correcto),yo dijeron los otros.,kua tullima ali'ladaper.,(grupo correcto),best
U00971,G00837,1,0.6083993315696716,0.6083993315696716,True,1,esp_to_shi,te desmayaste.,muisu' kankantula,(grupo correcto),te desmayaste.,muisu' kankantula,(grupo correcto),best
U01451,G01269,1,0.8603158593177795,0.8603158593177795,True,1,esp_to_shi,soy guapa.,mulun nuka'ka,(grupo correcto),soy guapa.,mulun nuka'ka,(grupo correcto),best
U02548,G02323,1,0.6897560954093933,0.6897560954093933,True,1,esp_to_shi,se detuvieron y miraron atrás.,waneranni'ma pi'shekllina'.,(grupo correcto),se detuvieron y miraron atrás.,waneranni'ma pi'shekllina'.,(grupo correcto),best
U00964,G00830,1,0.856078565120697,0.856078565120697,True,1,esp_to_shi,¿quién escapó?,¿den chi'yeklli?,(grupo correcto),¿quién escapó?,¿den chi'yeklli?,(grupo correcto),best
U00301,G00240,1,0.7457497119903564,0.7457497119903564,True,1,esp_to_shi,¡es estupendo!,¡u'chimuinchi nuka'a!,(grupo correcto),¡es estupendo!,¡u'chimuinchi nuka'a!,(grupo correcto),best
U02758,G02533,7,0.35415366291999817,0.5269718766212463,False,1,esp_to_shi,los lagartos negros ahí están.,matutada ñapalli.,uki'lasa' nanpichuma'.,los lagartos negros ahí están.,matutada ñapalli.,uki'lasa' nanpichuma'.,worst
U00533,G00440,7,0.4775506258010864,0.7342246770858765,False,2,esp_to_shi,lo amo.,tanteñek,iyatulek,lo amo.,tanteñek,iyatulek,worst
U00517,G00428,7,0.5524788498878479,0.7724952697753906,False,1,esp_to_shi,puedo saltar.,innitulek indek'ak,yen'nitulek pen'nu'ak',puedo saltar.,innitulek indek'ak,yen'nitulek pen'nu'ak',worst
U01217,G01057,7,0.5449170470237732,0.7343980669975281,False,1,esp_to_shi,tom insistió.,tom a'perchulli,tom tumu'pawiñi,tom insistió.,tom a'perchulli,tom tumu'pawiñi,worst
U00436,G00353,7,0.5764068365097046,0.7664644718170166,False,1,esp_to_shi,tom juró.,tom tulli,tom lauk'tulli,tom juró.,tom tulli,tom lauk'tulli,worst
U01351,G01178,8,0.47755223512649536,0.7913263440132141,False,1,esp_to_shi,no engordes.,yaweyta,yalenmek'ta,no engordes.,yaweyta,yalenmek'ta,worst
U00750,G00629,8,0.502048134803772,0.7492547035217285,False,1,esp_to_shi,vístete.,ishinwer',tekker',vístete.,ishinwer',tekker',worst
U02638,G02413,8,0.3559906780719757,0.6787785887718201,False,1,esp_to_shi,"no corran,","- ¡anetlla yatek kuatama',","ñi dunan,","no corran,","- ¡anetlla yatek kuatama',","ñi dunan,",worst
U01689,G01493,8,0.4210054278373718,0.5869392156600952,False,3,esp_to_shi,pásaselo.,enka'ker',ishinwer',pásaselo.,enka'ker',ishinwer',worst
U00362,G00293,9,0.5389842391014099,0.73843914270401,False,1,esp_to_shi,hace frío.,sanek'wañi,pulunker'wanpalli,hace frío.,sanek'wañi,pulunker'wanpalli,worst
U01716,G01519,10,0.39130112528800964,0.6645098924636841,False,1,esp_to_shi,no pico.,ku'la ek'kuanpinek,yalenmek'ta,no pico.,ku'la ek'kuanpinek,yalenmek'ta,worst
U00439,G00356,10,0.4942258894443512,0.6387476325035095,False,1,esp_to_shi,tom saludó.,tom tulli ma'pu'sin,tom iduñi,tom saludó.,tom tulli ma'pu'sin,tom iduñi,worst
U00148,G00108,13,0.416930615901947,0.6892271041870117,False,1,esp_to_shi,abajo.,dawik',nanpi,abajo.,dawik',nanpi,worst
U00661,G00551,14,0.43257954716682434,0.8142574429512024,False,1,esp_to_shi,tom asintió.,tom tulli ajá,tom iduñi,tom asintió.,tom tulli ajá,tom iduñi,worst
U00997,G00860,15,0.3176135718822479,0.6624605059623718,False,1,esp_to_shi,ten seguridad.,latek'u,musu' ñapaker',ten seguridad.,latek'u,musu' ñapaker',worst
U02927,G02702,16,0.3200761079788208,0.452586829662323,False,1,esp_to_shi,¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,¿den a'ta' chi? tanna' imanankankantullina'.,¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,¿den a'ta' chi? tanna' imanankankantullina'.,worst
