pair_id,column,rule_name,before,after
P00000,ESP,lowercase,Ve.,ve.
P00000,SHIWILU,lowercase,PAKER',paker'
P00001,ESP,lowercase,Vete.,vete.
P00001,SHIWILU,lowercase,PAKER',paker'
P00002,ESP,lowercase,Vaya.,vaya.
P00002,SHIWILU,lowercase,PAKER',paker'
P00003,ESP,lowercase,Hola.,hola.
P00003,SHIWILU,lowercase,MA'PU'SIN,ma'pu'sin
P00004,ESP,lowercase,¡Corre!,¡corre!
P00004,SHIWILU,lowercase,TEKKER',tekker'
P00005,ESP,lowercase,¿Quién?,¿quién?
P00005,SHIWILU,lowercase,¿DEN?,¿den?
P00006,ESP,lowercase,¡Fuego!,¡fuego!
P00006,SHIWILU,lowercase,¡PEN!,¡pen!
P00007,ESP,lowercase,¡Incendio!,¡incendio!
P00007,SHIWILU,lowercase,¡UKEÑAN!,¡ukeñan!
P00008,ESP,lowercase,¡Ayuda!,¡ayuda!
P00008,SHIWILU,lowercase,¡KATU'PA'!,¡katu'pa'!
P00009,ESP,lowercase,¡Socorro! ¡Auxilio!,¡socorro! ¡auxilio!
P00009,SHIWILU,lowercase,¡KATU'PA'! ¡KATU'PA'!,¡katu'pa'! ¡katu'pa'!
P00010,ESP,lowercase,¡Auxilio!,¡auxilio!
P00010,SHIWILU,lowercase,¡KATU'PA'!,¡katu'pa'!
P00011,ESP,lowercase,¡Salta!,¡salta!
P00011,SHIWILU,lowercase,¡INDEKKER'!,¡indekker'!
P00012,ESP,lowercase,¡Para!,¡para!
P00012,SHIWILU,lowercase,¡TA'ITULER'!,¡ta'ituler'!
P00013,ESP,lowercase,¡Espera!,¡espera!
P00013,SHIWILU,lowercase,¡WA'TEN'KER'!,¡wa'ten'ker'!
P00014,ESP,lowercase,Esperen.,esperen.
P00014,SHIWILU,lowercase,¡WA'TEN'KU'!,¡wa'ten'ku'!
P00015,ESP,lowercase,¡He ganado!,¡he ganado!
P00015,SHIWILU,lowercase,¡KANA'TULEK!,¡kana'tulek!
P00016,ESP,lowercase,"¡Oh, no! (masculino)","¡oh, no! (masculino)"
P00016,SHIWILU,lowercase,¡SHAW!,¡shaw!
P00017,ESP,lowercase,"¡Oh, no! (femenino)","¡oh, no! (femenino)"
P00017,SHIWILU,lowercase,¡ASHA!,¡asha!
P00018,ESP,lowercase,Sonríe.,sonríe.
P00018,SHIWILU,lowercase,YAMER,yamer
P00019,ESP,lowercase,Sonrían.,sonrían.
P00019,SHIWILU,lowercase,YAMERKU',yamerku'
P00020,ESP,lowercase,¡Al ataque!,¡al ataque!
P00020,SHIWILU,lowercase,¡PAKU' LLIPU'TUDEK'KUNKU'!,¡paku' llipu'tudek'kunku'!
P00021,ESP,lowercase,Levanta. (un objeto),levanta. (un objeto)
P00021,SHIWILU,lowercase,USANKER',usanker'
P00022,ESP,lowercase,Levanta. (pararse),levanta. (pararse)
P00022,SHIWILU,lowercase,YUNSANKER',yunsanker'
P00023,ESP,lowercase,¡Tengo!,¡tengo!
P00023,SHIWILU,lowercase,¡A'ÑAPALEK!,¡a'ñapalek!
P00024,ESP,lowercase,¿Entendiste?,¿entendiste?
P00024,SHIWILU,lowercase,¿LACHEK'LA?,¿lachek'la?
P00025,ESP,lowercase,Él corrió.,él corrió.
P00025,SHIWILU,lowercase,NANA TEKAKLLI,nana tekaklli
P00026,ESP,lowercase,Métete adentro.,métete adentro.
P00026,SHIWILU,lowercase,DA'KER' KINEKLA,da'ker' kinekla
P00027,ESP,lowercase,Abrázame.,abrázame.
P00027,SHIWILU,lowercase,WIPERI'U,wiperi'u
P00028,ESP,lowercase,Me caí.,me caí.
P00028,SHIWILU,lowercase,ANU'LEK,anu'lek
P00029,ESP,lowercase,Salí.,salí.
P00029,SHIWILU,lowercase,YUNSU'LEK,yunsu'lek
P00030,ESP,lowercase,Mentí.,mentí.
P00030,SHIWILU,lowercase,TUMU'LEK,tumu'lek
P00031,ESP,lowercase,Perdí. (opuesto de ganar),perdí. (opuesto de ganar)
P00031,SHIWILU,lowercase,WER'LLIEK,wer'lliek
P00032,ESP,lowercase,Perdí. (extraviar),perdí. (extraviar)
P00032,SHIWILU,lowercase,A'WER'LLIEK,a'wer'lliek
P00033,ESP,lowercase,Renuncié.,renuncié.
P00033,SHIWILU,lowercase,TA'ITULA'LEK,ta'itula'lek
P00034,ESP,lowercase,Estoy trabajando.,estoy trabajando.
P00034,SHIWILU,lowercase,SAKA'TAPALEK,saka'tapalek
P00035,ESP,lowercase,Tengo diecinueve.,tengo diecinueve.
P00035,SHIWILU,lowercase,A'ÑAPALEK SHUNKA'ISKUN,a'ñapalek shunka'iskun
P00036,ESP,lowercase,Estoy levantado.,estoy levantado.
P00036,SHIWILU,lowercase,YUNSANSU' ÑAPALEK,yunsansu' ñapalek
P00037,ESP,lowercase,Escucha.,escucha.
P00037,SHIWILU,lowercase,LAU'TER,lau'ter
P00038,ESP,lowercase,Escuché.,escuché.
P00038,SHIWILU,lowercase,LAU'TULEK,lau'tulek
P00039,ESP,lowercase,Escuchen.,escuchen.
P00039,SHIWILU,lowercase,LAU'TUKU',lau'tuku'
P00040,ESP,lowercase,Escucharon.,escucharon.
P00040,SHIWILU,lowercase,LAU'TULLINA',lau'tullina'
P00041,ESP,lowercase,Estoy escuchando.,estoy escuchando.
P00041,SHIWILU,lowercase,LAU'TAPALEK,lau'tapalek
P00042,ESP,lowercase,Estoy abriendo mi boca.,estoy abriendo mi boca.
P00042,SHIWILU,lowercase,LAUK'APALEK,lauk'apalek
P00043,ESP,lowercase,¡Imposible!,¡imposible!
