pair_id,problem_types,all_details,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado
P01171,exact_duplicate,Duplicado de P00758 (grupo de 2),Le gustó.,IYATULLI,le gustó.,iyatulli
P01980,exact_duplicate,Duplicado de P00299 (grupo de 2),No mientas.,YATUMU'TA,no mientas.,yatumu'ta
P02227,exact_duplicate,Duplicado de P01132 (grupo de 2),Sigue cavando.,IWA'TAPER'I'LA,sigue cavando.,iwa'taper'i'la
P01041,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Come algo.,KAKER' MA'PINTA',come algo.,kaker' ma'pinta'
P01352,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Come algo.,MA'SHAPIN'TA KA'KER',come algo.,ma'shapin'ta ka'ker'
P00037,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Escucha.,LAU'TER,escucha.,lau'ter
P00390,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Escucha.,LAUK'TER',escucha.,lauk'ter'
P00041,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Estoy escuchando.,LAU'TAPALEK,estoy escuchando.,lau'tapalek
P01459,bidirectional_conflict,ESP tiene 2 traducciones SHIWILU diferentes; SHIWILU tiene 2 traducciones ESP,Estoy escuchando.,LAUK'APALEK,estoy escuchando.,lauk'apalek
P00509,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Mantente quieto.,YALENMEKTA,mantente quieto.,yalenmekta
P00595,bidirectional_conflict,ESP tiene 2 traducciones SHIWILU diferentes; SHIWILU tiene 2 traducciones ESP,Mantente quieto.,YALENMEK'TA,mantente quieto.,yalenmek'ta
P00062,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Sal. ,YUNSUER',sal.,yunsuer'
P00063,one_to_many_esp,ESP tiene 2 traducciones SHIWILU diferentes,Sal. ,DAMULA,sal.,damula
P02096,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Remontemos cometas.,A'PENU'WA' COMETAS,remontemos cometas.,a'penu'wa' cometas
P02097,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Volemos cometas.,A'PENU'WA' COMETAS,volemos cometas.,a'penu'wa' cometas
P00747,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Termine esto.,A'TA'WANTER ASU',termine esto.,a'ta'wanter asu'
P00748,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Termina esto.,A'TA'WANTER ASU',termina esto.,a'ta'wanter asu'
P00187,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,He vuelto.,ADENCHA'LEK,he vuelto.,adencha'lek
P02009,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Volví.,ADENCHA'LEK,volví.,adencha'lek
P00875,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Mándalo dentro.,AKU'KER' KINEKLA,mándalo dentro.,aku'ker' kinekla
P00876,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Mándalo adentro.,AKU'KER' KINEKLA,mándalo adentro.,aku'ker' kinekla
P01163,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ponlo allí.,AKU'KER' NANEK ,ponlo allí.,aku'ker' nanek
P01165,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Ponlo ahí.,AKU'KER' NANEK ,ponlo ahí.,aku'ker' nanek
P00549,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,¡Quiero uno!,ALA'SA' LUANTULEK,¡quiero uno!,ala'sa' luantulek
P00550,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,¡Quiero una!,ALA'SA' LUANTULEK,¡quiero una!,ala'sa' luantulek
P01441,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Lo demostraré.,ALLI'ECHEK,lo demostraré.,alli'echek
P01443,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Le mostraré.,ALLI'ECHEK,le mostraré.,alli'echek
P00106,suspicious_content|many_to_one_shiwilu,"SHIWILU tiene 2 traducciones ESP diferentes || ESP contiene paréntesis (posible glosa); ESP contiene caracteres sospechosos: ['(', ')']",Enséñamelo. (muestramelo),ALLI'U,enséñamelo. (muestramelo),alli'u
P00107,many_to_one_shiwilu,SHIWILU tiene 2 traducciones ESP diferentes,Muestrame.,ALLI'U,muestrame.,alli'u
P00060,many_to_one_shiwilu,SHIWILU tiene 5 traducciones ESP diferentes,Suéltalo.,APU'KER',suéltalo.,apu'ker'
