pair_id,group_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,source,source_pair_id,has_audit_flags
U01828,G01624,Escucha atentamente.,LAU'KER' MUSU',escucha atentamente.,lau'ker' musu',flashcards,P01828,False
U01104,G00962,Estoy divorciada.,APU'PI NUKA'KA,estoy divorciada.,apu'pi nuka'ka,flashcards,P01104,False
U02591,G02366,divisando lo que levanta humo tu candela”.,lli’amudek mu’katapa’su’ penpen”.,divisando lo que levanta humo tu candela.,lli'amudek mu'katapa'su' penpen.,pdf_textos,T007_N011,True
U02521,G02296,"“Dicen que este monte lo van a quemar”, pero no le creyeron.",“Asu’ tanan ima di’setchetchuna’” itudekllima ñima latekchiñina’.,"dicen que este monte lo van a quemar, pero no le creyeron.",asu' tanan ima di'setchetchuna' itudekllima ñima latekchiñina'.,pdf_textos,T006_N011,True
U02101,G01882,Curémonos.,INLULEN'AWA',curémonos.,inlulen'awa',flashcards,P02101,False
U00921,G00895,Esperame.,WA'TEN'U,esperame.,wa'ten'u,flashcards,P00921,True
U01034,G00895,Deme tiempo.,WA'TEN'U,deme tiempo.,wa'ten'u,flashcards,P01034,True
U00920,G00790,Apágalo.,A'TASHUNKER',apágalo.,a'tashunker',flashcards,P00920,False
U02138,G01918,Me matarán.,DEI'TECHUNER'KU,me matarán.,dei'techuner'ku,flashcards,P02138,False
U00990,G00854,¿Estás perdido?,¿WER'SU' ÑAPALA?,¿estás perdido?,¿wer'su' ñapala?,flashcards,P00990,False
U01102,G00961,Estoy confuso.,LACHEK'KI'NEK,estoy confuso.,lachek'ki'nek,flashcards,P01102,True
U01103,G00961,Estoy confundido.,LACHEK'KI'NEK,estoy confundido.,lachek'ki'nek,flashcards,P01103,True
U02351,G02126,"Mientras muelo voy asando también la yuca, cinco yucas enteras.",Peksantapamu nana inkaluner ker’unta’ a’ler’apalek alei’teklundan.,"mientras muelo voy asando también la yuca, cinco yucas enteras.",peksantapamu nana inkaluner ker'unta' a'ler'apalek alei'teklundan.,pdf_textos,T002_N018,True
U00760,G00639,Está fingiendo comer.,INTEK WERANPALLI,está fingiendo comer.,intek weranpalli,flashcards,P00760,False
U01675,G01481,¿Me conocen?,¿LUWER'CHAPALAMA'U?,¿me conocen?,¿luwer'chapalama'u?,flashcards,P01675,False
U02116,G01897,Es brasileña.,BRASHIKA NUKA'A ,es brasileña.,brashika nuka'a,flashcards,P02116,False
U00833,G00709,¿Está ventoso?,¿NAKUSU' TANLUWATULLI?,¿está ventoso?,¿nakusu' tanluwatulli?,flashcards,P00833,False
U00669,G00559,Tomás esperó.,CHUMA WA'TENTULLI,tomás esperó.,chuma wa'tentulli,flashcards,P00669,False
U00887,G00759,Actúa.,NU'TER',actúa.,nu'ter',flashcards,P00887,False
U01068,G00927,No sé.,ÑINCHICHI'NEK,no sé.,ñinchichi'nek,flashcards,P01068,False
U02195,G01974,Escribe algo.,LLINSE'CHER' MANEN'UNTA',escribe algo.,llinse'cher' manen'unta',flashcards,P02195,False
U01295,G01126,Están despedidos.,SAKA'TUNAKLA USU'DEKLLINA',están despedidos.,saka'tunakla usu'dekllina',flashcards,P01295,False
U02483,G02258,Hace mucho yo viví en Varadero.,kua napi’ Simirkek nanpilek.,hace mucho yo viví en varadero.,kua napi' simirkek nanpilek.,pdf_textos,T005_N010,True
U01267,G01102,Eres rico.,KULLIKER'WANPALA,eres rico.,kulliker'wanpala,flashcards,P01267,False
U01065,G00924,Me corté.,INDEI'TULEK,me corté.,indei'tulek,flashcards,P01065,False
U01708,G01511,Ya sé.,IPA' ÑINCHITULEK,ya sé.,ipa' ñinchitulek,flashcards,P01708,False
U01053,G00913,¡Qué pesado!,¡ENPU'NI SAKA'DEK'IPA'!,¡qué pesado!,¡enpu'ni saka'dek'ipa'!,flashcards,P01053,False
U02148,G01928,Son hermanas.,KAIKUALUSA' NUKER'KA,son hermanas.,kaikualusa' nuker'ka,flashcards,P02148,False
U02624,G02399,"“él no cría gallinas, no cría huanganas, nada de esos animales.","“ñi nana wa’dantek pektawapi’ñi, ñi laman pektawapi’ñi, ñi ma’nen nanadaper.","él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.",pdf_textos,T007_N044,True
U00973,G00839,Me lastimas.,A'KALUWI'LUN,me lastimas.,a'kaluwi'lun,flashcards,P00973,False
U00201,G00154,Estoy herido.,CHACHA'LEK ÑAPALEK,estoy herido.,chacha'lek ñapalek,flashcards,P00201,False
U02793,G02568,Cuando un viejo hablaba los niños no debían asomarse.,"Taserpi lunpasik, wilalusa’ kawichi’ñina’.",cuando un viejo hablaba los niños no debían asomarse.,"taserpi lunpasik, wilalusa' kawichi'ñina'.",pdf_textos,T007_N213,True
U01772,G01572,Me desnudo.,INANPILECHEK,me desnudo.,inanpilechek,flashcards,P01772,False
U00561,G00466,Me mudaré.,YUNSUE'CHEK,me mudaré.,yunsue'chek,flashcards,P00561,False
U00295,G00234,No preguntes.,YALEK'TUTA,no preguntes.,yalek'tuta,flashcards,P00295,False
U03009,G02784,(Las mujeres) lloraban bastante y después se acostumbraban.,Wellek'apawi'ni'ma tekkiyallina'.,(las mujeres) lloraban bastante y después se acostumbraban.,wellek'apawi'ni'ma tekkiyallina'.,pdf_textos,T010_N177,True
U01299,G01130,Eres inteligente.,IÑER' ÑINCHITAPALA',eres inteligente.,iñer' ñinchitapala',flashcards,P01299,False
U00359,G00290,Llovió.,U'LANÑI,llovió.,u'lanñi,flashcards,P00359,False
U01059,G00918,Estoy lesionado.,ÑAPALEK DA'PEKSU',estoy lesionado.,ñapalek da'peksu',flashcards,P01059,False
