pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.8088586926460266,0.8088586926460266,True,1,shi_to_esp,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,(grupo correcto),¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U01830,G01626,1,0.7034962773323059,0.7034962773323059,True,1,shi_to_esp,¿yennitulek ka'tan'an'su'?,¿puedo acompañarle?,(grupo correcto),¿puedo acompañarle?,¿yennitulek ka'tan'an'su'?,(grupo correcto),best
U02615,G02390,1,0.7305614352226257,0.7305614352226257,True,1,shi_to_esp,"aper'etchuma', wer'etchuma'.","se van a confundir, se van a extraviar.",(grupo correcto),"se van a confundir, se van a extraviar.","aper'etchuma', wer'etchuma'.",(grupo correcto),best
U02619,G02394,1,0.7630246877670288,0.7630246877670288,True,1,shi_to_esp,"nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.","con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.",(grupo correcto),"con esa candela enciendan, corten leña, junten los palos para hacer fogata, hiervan y coman (su chilcano) dijo arákayu.","nanalek pen a'tentanma', diuk'anma', dintunma', kalu'tanma', uranku' tullima arakayu.",(grupo correcto),best
U01209,G01050,1,0.8114673495292664,0.8114673495292664,True,1,shi_to_esp,u'chimulusa' nuker'ka,son buenos.,(grupo correcto),son buenos.,u'chimulusa' nuker'ka,(grupo correcto),best
U02432,G02207,1,0.6828610897064209,0.6828610897064209,True,1,shi_to_esp,"- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.","nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.",(grupo correcto),"nosotros mismos vamos a servirnos masato y vamos a beber, mamá me dicen. nosotros mismos vamos a servirnos.","- kudinchi madektupatekkudek, uwetchidek, mamá. kudinchi mapatekkudek uklulu' uwetchidek itullinerku.",(grupo correcto),best
U01128,G00981,1,0.7561992406845093,0.7561992406845093,True,1,shi_to_esp,pulunker'wanpalli,está nevando.,(grupo correcto),está nevando.,pulunker'wanpalli,(grupo correcto),best
U01218,G01058,1,0.9387857913970947,0.9387857913970947,True,1,shi_to_esp,tom lauk'tulli,tom escuchó.,(grupo correcto),tom escuchó.,tom lauk'tulli,(grupo correcto),best
U02095,G01877,1,0.8385851979255676,0.8385851979255676,True,1,shi_to_esp,a'penu'wa' barriletes,remontemos barriletes.,(grupo correcto),remontemos barriletes.,a'penu'wa' barriletes,(grupo correcto),best
U02858,G02633,1,0.7296838760375977,0.7296838760375977,True,1,shi_to_esp,"naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',","después, dice otro viejo dijo: eso lo que están hablando no es falso,",(grupo correcto),"después, dice otro viejo dijo: eso lo que están hablando no es falso,","naneklima, ali'la taserpi tulli nana tapa'mamasu' ñi da'pininpu',",(grupo correcto),best
U02269,G02044,1,0.6702467799186707,0.6702467799186707,True,1,shi_to_esp,enmu'pinenwawalusa' nu'an ku'aperwawalusa' luwektapallinerku.,mis hijos varones y también mis hijas mujeres me están sirviendo.,(grupo correcto),mis hijos varones y también mis hijas mujeres me están sirviendo.,enmu'pinenwawalusa' nu'an ku'aperwawalusa' luwektapallinerku.,(grupo correcto),best
U02909,G02684,1,0.6889395117759705,0.6889395117759705,True,1,shi_to_esp,kua tullima ali'ladaper.,yo dijeron los otros.,(grupo correcto),yo dijeron los otros.,kua tullima ali'ladaper.,(grupo correcto),best
U01451,G01269,1,0.8156999945640564,0.8156999945640564,True,1,shi_to_esp,mulun nuka'ka,soy guapa.,(grupo correcto),soy guapa.,mulun nuka'ka,(grupo correcto),best
U02548,G02323,1,0.6672695875167847,0.6672695875167847,True,1,shi_to_esp,waneranni'ma pi'shekllina'.,se detuvieron y miraron atrás.,(grupo correcto),se detuvieron y miraron atrás.,waneranni'ma pi'shekllina'.,(grupo correcto),best
U00964,G00830,1,0.7873110175132751,0.7873110175132751,True,1,shi_to_esp,¿den chi'yeklli?,¿quién escapó?,(grupo correcto),¿quién escapó?,¿den chi'yeklli?,(grupo correcto),best
U01659,G01466,1,0.8985334634780884,0.8985334634780884,True,1,shi_to_esp,¿yennitula lli'a'mak?,¿puedes verlo?,(grupo correcto),¿puedes verlo?,¿yennitula lli'a'mak?,(grupo correcto),best
U00301,G00240,1,0.6656681299209595,0.6656681299209595,True,1,shi_to_esp,¡u'chimuinchi nuka'a!,¡es estupendo!,(grupo correcto),¡es estupendo!,¡u'chimuinchi nuka'a!,(grupo correcto),best
U01838,G01634,1,0.35965219140052795,0.35965219140052795,True,2,shi_to_esp,¿tenmiansu'ter?,¿empezamos?,(grupo correcto),¿empezamos?,¿tenmiansu'ter?,(grupo correcto),best
U01839,G01634,1,0.35965219140052795,0.35965219140052795,True,2,shi_to_esp,¿tenmiansu'ter?,¿comenzamos?,(grupo correcto),¿comenzamos?,¿tenmiansu'ter?,(grupo correcto),best
U01455,G01273,1,0.7832949757575989,0.7832949757575989,True,1,shi_to_esp,tekua'dansu' ñapalek,estoy horrorizado.,(grupo correcto),estoy horrorizado.,tekua'dansu' ñapalek,(grupo correcto),best
U01351,G01178,4,0.4361055791378021,0.5228220224380493,False,1,shi_to_esp,yaweyta,no engordes.,quiero descansar.,no engordes.,yaweyta,yanerilek,worst
U00011,G00008,5,0.576054573059082,0.7409085035324097,False,1,shi_to_esp,¡indekker'!,¡salta!,¡continúa!,¡salta!,¡indekker'!,¡tupiter'!,worst
U01096,G00955,5,0.4042580723762512,0.5156024694442749,False,1,shi_to_esp,winlapichen,te demandaré.,te recuerdo.,te demandaré.,winlapichen,lli'inutapallien,worst
U00459,G00375,5,0.478883296251297,0.6848593354225159,False,1,shi_to_esp,¿aper'lek a'cha?,¿me equivoco?,¿aquí?,¿me equivoco?,¿aper'lek a'cha?,¿asek?,worst
U02846,G02621,6,0.435185968875885,0.584460437297821,False,1,shi_to_esp,kenmu'wi'na nanalupa' anaka'terwa'.,nosotros por ahí vamos a ser atrapados por las fieras.,por eso nosotros mismos somos culpables.,nosotros por ahí vamos a ser atrapados por las fieras.,kenmu'wi'na nanalupa' anaka'terwa'.,nanekla kenmu'wa'pi'la usha'wanekwa'.,worst
U02970,G02745,6,0.317524254322052,0.3637484610080719,False,1,shi_to_esp,ta'tushalai'ni'ma nakutullina' (tanluwa ima yunsanpalli lamapu'nna' nakuerkasu').,"calladitos pasaron (el viento se levanta, dice, cuando se pasa haciendo bulla).",no vayan a dormir mucho.,"calladitos pasaron (el viento se levanta, dice, cuando se pasa haciendo bulla).",ta'tushalai'ni'ma nakutullina' (tanluwa ima yunsanpalli lamapu'nna' nakuerkasu').,aner enpu'ninchi yawichi'tama'.,worst
