pair_id,group_id,rank,top1_is_positive,positive_count,direction,query_text,target_correct,top1_pair_id,top1_group_id,target_top1,esp,shiwilu_correct,shiwilu_top1,correct_score,top1_score,score_gap,heuristic_error_type
U01644,G01454,68,False,1,esp_to_shi,¿tenías miedo?,¿te'kuawina?,U01078,G00937,luwantuwiñen,¿tenías miedo?,¿te'kuawina?,luwantuwiñen,0.11076946556568146,0.33519500494003296,0.2244255393743515,severe_retrieval_failure
U02927,G02702,32,False,1,esp_to_shi,¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,U00252,G00199,nawa' kana'tullina',¿vinieron otra vez?,- ¿uklama' a'cha nanapu'si'la?.,nawa' kana'tullina',0.1996689736843109,0.3370368480682373,0.1373678743839264,gold_has_audit_flag
U00531,G00440,26,False,2,esp_to_shi,me agradas.,tanteñek,U00976,G00842,luantapalundek,me agradas.,tanteñek,luantapalundek,0.21312175691127777,0.5431341528892517,0.33001239597797394,gold_has_audit_flag
U00560,G00465,23,False,1,esp_to_shi,soy codicioso.,iñer' luantulek wapu',U00212,G00164,shamu'lunsu' nuka'ka,soy codicioso.,iñer' luantulek wapu',shamu'lunsu' nuka'ka,0.3177720904350281,0.5467061400413513,0.22893404960632324,semantic_confusion
U00997,G00860,23,False,1,esp_to_shi,ten seguridad.,latek'u,U00052,G00042,musu' ñapaker',ten seguridad.,latek'u,musu' ñapaker',0.22409869730472565,0.43560531735420227,0.21150662004947662,semantic_confusion
U00398,G00323,19,False,1,esp_to_shi,¿perdona?,ta'itulau,U01839,G01634,¿tenmiansu'ter?,¿perdona?,ta'itulau,¿tenmiansu'ter?,0.24573718011379242,0.4150541424751282,0.16931696236133575,semantic_confusion
U02002,G01788,18,False,1,esp_to_shi,me acobardé.,sapulek,U00783,G00660,iyatudeklek,me acobardé.,sapulek,iyatudeklek,0.3068763017654419,0.5180705189704895,0.2111942172050476,semantic_confusion
U01351,G01178,12,False,1,esp_to_shi,no engordes.,yaweyta,U00740,G00620,yainyututama',no engordes.,yaweyta,yainyututama',0.3279922604560852,0.5943178534507751,0.26632559299468994,semantic_confusion
U00148,G00108,12,False,1,esp_to_shi,abajo.,dawik',U00121,G00087,nanpi,abajo.,dawik',nanpi,0.2966870069503784,0.48603731393814087,0.18935030698776245,semantic_confusion
U01838,G01634,10,False,2,esp_to_shi,¿empezamos?,¿tenmiansu'ter?,U03097,G02872,"ma'ki'na asu' chilen nu'lli? ¿kenmu'wa'ta' nanalupa' pa'apalekwa'?, tanna' yullina'.",¿empezamos?,¿tenmiansu'ter?,"ma'ki'na asu' chilen nu'lli? ¿kenmu'wa'ta' nanalupa' pa'apalekwa'?, tanna' yullina'.",0.313060462474823,0.5483379364013672,0.2352774739265442,gold_has_audit_flag
U00477,G01493,9,False,3,esp_to_shi,¡pásale!,enka'ker',U00592,G00492,¡tupiter'!,¡pásale!,enka'ker',¡tupiter'!,0.4063165783882141,0.6900694966316223,0.2837529182434082,gold_has_audit_flag
U01217,G01057,9,False,1,esp_to_shi,tom insistió.,tom a'perchulli,U01219,G01059,tom tekinchi'walek tulli,tom insistió.,tom a'perchulli,tom tekinchi'walek tulli,0.3624234199523926,0.5661025047302246,0.20367908477783203,shared_shiwilu_tokens
U02524,G02299,9,False,1,esp_to_shi,5 se trata de un ave de malagüero. llegaron dos niños huérfanos todo cubiertos de chupos (viruela).,ektu'lli katu'ta' wila suwilalusa' iñer ima sa'la'ta'ser.,U02434,G02209,"u'chimu wilaweklusa', iñerdaper mukankañina' wilaweklusa'.",5 se trata de un ave de malagüero. llegaron dos niños huérfanos todo cubiertos de chupos (viruela).,ektu'lli katu'ta' wila suwilalusa' iñer ima sa'la'ta'ser.,"u'chimu wilaweklusa', iñerdaper mukankañina' wilaweklusa'.",0.23056566715240479,0.3238886594772339,0.0933229923248291,gold_has_audit_flag
U00097,G00067,8,False,1,esp_to_shi,estoy mojada.,wiwerapalek,U01455,G01273,tekua'dansu' ñapalek,estoy mojada.,wiwerapalek,tekua'dansu' ñapalek,0.3305325210094452,0.606036901473999,0.27550438046455383,semantic_confusion
U00478,G00392,8,False,1,esp_to_shi,¡pásenle!,enka'ku',U00592,G00492,¡tupiter'!,¡pásenle!,enka'ku',¡tupiter'!,0.4368312656879425,0.6918938159942627,0.2550625503063202,semantic_confusion
U02758,G02533,8,False,1,esp_to_shi,los lagartos negros ahí están.,matutada ñapalli.,U02697,G02472,uki'lasa' nanpichuma'.,los lagartos negros ahí están.,matutada ñapalli.,uki'lasa' nanpichuma'.,0.319168359041214,0.48979055881500244,0.17062219977378845,semantic_confusion
U00815,G00691,8,False,1,esp_to_shi,estoy comprometida.,ñapalek ala'sa' enmu'pinenlek,U01107,G00964,ku'la latektapi'nek,estoy comprometida.,ñapalek ala'sa' enmu'pinenlek,ku'la latektapi'nek,0.3764728307723999,0.5426135659217834,0.16614073514938354,semantic_confusion
U00638,G00532,8,False,1,esp_to_shi,hicieron trampas.,allisek nu'tapallina',U01284,G01116,tuwiñina' nu'techuna,hicieron trampas.,allisek nu'tapallina',tuwiñina' nu'techuna,0.43069037795066833,0.5540233254432678,0.12333294749259949,semantic_confusion
U00746,G00626,8,False,1,esp_to_shi,no fumes.,yau'wa'tuta,U00509,G00495,yalenmekta,no fumes.,yau'wa'tuta,yalenmekta,0.45657244324684143,0.5555212497711182,0.09894880652427673,semantic_confusion
U02638,G02413,7,False,1,esp_to_shi,"no corran,","- ¡anetlla yatek kuatama',",U02634,G02409,"ñi dunan,","no corran,","- ¡anetlla yatek kuatama',","ñi dunan,",0.32472893595695496,0.6300284266471863,0.3052994906902313,gold_has_audit_flag
U00362,G00293,7,False,1,esp_to_shi,hace frío.,sanek'wañi,U01128,G00981,pulunker'wanpalli,hace frío.,sanek'wañi,pulunker'wanpalli,0.36791858077049255,0.5744859576225281,0.20656737685203552,semantic_confusion
U00764,G00642,7,False,1,esp_to_shi,qué raro.,empu'ni lli'inek,U00957,G00824,embu'ni we'inuipa',qué raro.,empu'ni lli'inek,embu'ni we'inuipa',0.2953195869922638,0.4839845299720764,0.18866494297981262,semantic_confusion
U00976,G00842,7,False,1,esp_to_shi,nos necesitas.,luantapalundek,U01241,G01079,luwantullidek a'pinta',nos necesitas.,luantapalundek,luwantullidek a'pinta',0.3256598114967346,0.47499820590019226,0.14933839440345764,semantic_confusion
U00461,G00377,6,False,1,esp_to_shi,¿estás bien?,¿mupalan'cha?,U02064,G01847,¿musu' ñapalli?,¿estás bien?,¿mupalan'cha?,¿musu' ñapalli?,0.405344158411026,0.5429041981697083,0.13756003975868225,semantic_confusion
U02667,G02442,6,False,1,esp_to_shi,"entonces voy a ir respondió (arákayu), el día central del carnaval.","- nu'pachi pantetchek tan ima, mitan uklliñik'inchima.",U00090,G00695,pa'echek,"entonces voy a ir respondió (arákayu), el día central del carnaval.","- nu'pachi pantetchek tan ima, mitan uklliñik'inchima.",pa'echek,0.2979523241519928,0.4142918884754181,0.11633956432342529,gold_has_audit_flag
U01025,G00887,6,False,1,esp_to_shi,¿fumas?,¿u'wa'tapala?,U01937,G01727,¿mudinu'pala?,¿fumas?,¿u'wa'tapala?,¿mudinu'pala?,0.2907647490501404,0.3582345247268677,0.0674697756767273,semantic_confusion
U01837,G01633,6,False,1,esp_to_shi,dilo claramente.,tuker' tekinchiwalek,U00439,G00356,tom tulli ma'pu'sin,dilo claramente.,tuker' tekinchiwalek,tom tulli ma'pu'sin,0.29399827122688293,0.3604417145252228,0.06644344329833984,semantic_confusion
U00750,G00629,5,False,1,esp_to_shi,vístete.,ishinwer',U00004,G00002,tekker',vístete.,ishinwer',tekker',0.39108940958976746,0.5619654059410095,0.17087599635124207,semantic_confusion
U01716,G01519,5,False,1,esp_to_shi,no pico.,ku'la ek'kuanpinek,U00509,G00495,yalenmekta,no pico.,ku'la ek'kuanpinek,yalenmekta,0.3913019597530365,0.4949682950973511,0.10366633534431458,semantic_confusion
U01804,G01601,5,False,3,esp_to_shi,es diferente.,nerpi'la nuka'a,U01043,G00903,ma'atasu' ali'la',es diferente.,nerpi'la nuka'a,ma'atasu' ali'la',0.3508974611759186,0.43913736939430237,0.08823990821838379,gold_has_audit_flag
U01839,G01634,5,False,2,esp_to_shi,¿comenzamos?,¿tenmiansu'ter?,U03097,G02872,"ma'ki'na asu' chilen nu'lli? ¿kenmu'wa'ta' nanalupa' pa'apalekwa'?, tanna' yullina'.",¿comenzamos?,¿tenmiansu'ter?,"ma'ki'na asu' chilen nu'lli? ¿kenmu'wa'ta' nanalupa' pa'apalekwa'?, tanna' yullina'.",0.3322058916091919,0.414361834526062,0.08215594291687012,gold_has_audit_flag
U01814,G01611,4,False,1,esp_to_shi,sigue buscando.,dunker'aper'i'la,U01136,G00989,teka'per'i'la,sigue buscando.,dunker'aper'i'la,teka'per'i'la,0.46330782771110535,0.5761432647705078,0.11283543705940247,semantic_confusion
U00517,G00428,4,False,1,esp_to_shi,puedo saltar.,innitulek indek'ak,U00317,G00253,yen'nitulek pen'nu'ak',puedo saltar.,innitulek indek'ak,yen'nitulek pen'nu'ak',0.4459178149700165,0.5428144931793213,0.09689667820930481,semantic_confusion
U00052,G00042,4,False,1,esp_to_shi,estate tranquilo.,musu' ñapaker',U02224,G02000,neriker' u'chimu,estate tranquilo.,musu' ñapaker',neriker' u'chimu,0.44369345903396606,0.509699821472168,0.0660063624382019,semantic_confusion
U01936,G01727,4,False,2,esp_to_shi,¿estás saludable?,¿mudinu'pala?,U01935,G01726,¿musu' ñapalama'?,¿estás saludable?,¿mudinu'pala?,¿musu' ñapalama'?,0.4974481165409088,0.5613199472427368,0.063871830701828,gold_has_audit_flag
U00004,G00002,4,False,1,esp_to_shi,¡corre!,tekker',U00592,G00492,¡tupiter'!,¡corre!,tekker',¡tupiter'!,0.6173161864280701,0.6794478893280029,0.06213170289993286,semantic_confusion
U00533,G00440,4,False,2,esp_to_shi,lo amo.,tanteñek,U00327,G00262,iyatulek,lo amo.,tanteñek,iyatulek,0.4572550654411316,0.5170687437057495,0.05981367826461792,gold_has_audit_flag
U02846,G02621,4,False,1,esp_to_shi,nosotros por ahí vamos a ser atrapados por las fieras.,kenmu'wi'na nanalupa' anaka'terwa'.,U02786,G02561,nanekla kenmu'wa'pi'la usha'wanekwa'.,nosotros por ahí vamos a ser atrapados por las fieras.,kenmu'wi'na nanalupa' anaka'terwa'.,nanekla kenmu'wa'pi'la usha'wanekwa'.,0.45123618841171265,0.4934272766113281,0.04219108819961548,gold_has_audit_flag
U00227,G01601,4,False,3,esp_to_shi,es extraño.,nerpi'la nuka'a,U00362,G00293,sanek'wañi,es extraño.,nerpi'la nuka'a,sanek'wañi,0.39189383387565613,0.4283634126186371,0.03646957874298096,gold_has_audit_flag
U01932,G01723,3,False,1,esp_to_shi,quien sea.,denpinta' ñi'i,U00454,G00370,¿den a'cha?,quien sea.,denpinta' ñi'i,¿den a'cha?,0.33958524465560913,0.5835111737251282,0.24392592906951904,semantic_confusion
U02344,G02119,3,False,1,esp_to_shi,se junta la leña (para el fuego) debajo de la olla de aluminio y se hierve.,dintuntulek wa'naukta ukluka'lli.,U02386,G02161,a'pi'dekta'kasu' supinak a'du'dektulek kupin uktak.,se junta la leña (para el fuego) debajo de la olla de aluminio y se hierve.,dintuntulek wa'naukta ukluka'lli.,a'pi'dekta'kasu' supinak a'du'dektulek kupin uktak.,0.3148927390575409,0.5403532385826111,0.2254604995250702,gold_has_audit_flag
U01549,G01361,3,False,1,esp_to_shi,son gemelos.,insilanpi nuker'ka,U01211,G01052,aper'pilusa' nuker'ka,son gemelos.,insilanpi nuker'ka,aper'pilusa' nuker'ka,0.5275694727897644,0.6600655913352966,0.13249611854553223,shared_shiwilu_tokens
U00408,G00330,3,False,2,esp_to_shi,ella anda.,nana dekundulli,U00242,G00192,nana teka'lli,ella anda.,nana dekundulli,nana teka'lli,0.574303925037384,0.700941801071167,0.12663787603378296,gold_has_audit_flag
U02690,G02465,3,False,1,esp_to_shi,todas sus cosas se habían quemado.,dudinpu'nen uketlli.,U02548,G02323,waneranni'ma pi'shekllina'.,todas sus cosas se habían quemado.,dudinpu'nen uketlli.,waneranni'ma pi'shekllina'.,0.4010002911090851,0.519728422164917,0.11872813105583191,gold_has_audit_flag
U03182,G02957,3,False,1,esp_to_shi,"este, entonces, el que entendía (de santos), dijo, pablo.","asui'ina, nu'pachi, a'la'chikta'sui'ma, tulli, pulu.",U03181,G02956,asui'na pablo.,"este, entonces, el que entendía (de santos), dijo, pablo.","asui'ina, nu'pachi, a'la'chikta'sui'ma, tulli, pulu.",asui'na pablo.,0.4354904592037201,0.5364435911178589,0.1009531319141388,gold_has_audit_flag
U00409,G00330,3,False,2,esp_to_shi,ella camina.,nana dekundulli,U00242,G00192,nana teka'lli,ella camina.,nana dekundulli,nana teka'lli,0.47840985655784607,0.5702459812164307,0.0918361246585846,gold_has_audit_flag
U00732,G00613,3,False,1,esp_to_shi,¿puedes ver?,¿yennitulan'cha lli'ta'mak?,U01659,G01466,¿yennitula lli'a'mak?,¿puedes ver?,¿yennitulan'cha lli'ta'mak?,¿yennitula lli'a'mak?,0.7067304849624634,0.7925933003425598,0.08586281538009644,semantic_confusion
U00264,G00211,3,False,1,esp_to_shi,prueba esto. (saborear),lata'ker' asu',U00472,G00387,teklerier' asu',prueba esto. (saborear),lata'ker' asu',teklerier' asu',0.6711639761924744,0.7569010853767395,0.08573710918426514,gold_has_audit_flag
U01845,G01640,3,False,1,esp_to_shi,apareció humo.,lli'tulli kelliu,U02825,G02600,di'tulli lanla'.,apareció humo.,lli'tulli kelliu,di'tulli lanla'.,0.5274691581726074,0.6033844947814941,0.07591533660888672,semantic_confusion
U02850,G02625,3,False,1,esp_to_shi,hartos de nosotros vamos a ir.,wapu'mu'wa' pa'aterwa'.,U02786,G02561,nanekla kenmu'wa'pi'la usha'wanekwa'.,hartos de nosotros vamos a ir.,wapu'mu'wa' pa'aterwa'.,nanekla kenmu'wa'pi'la usha'wanekwa'.,0.5388385653495789,0.6019225716590881,0.06308400630950928,gold_has_audit_flag
U03194,G02969,3,False,1,esp_to_shi,ahora nosotros conocemos los nombres.,kenmu'wei'na ipa' ñinchillintekwa'.,U02304,G02079,ipa'li'na nawa' yañinchituwiñina' saka'dek.,ahora nosotros conocemos los nombres.,kenmu'wei'na ipa' ñinchillintekwa'.,ipa'li'na nawa' yañinchituwiñina' saka'dek.,0.49262818694114685,0.5513651371002197,0.058736950159072876,semantic_confusion
U01749,G01551,3,False,1,esp_to_shi,quiero descansar.,yanerilek,U01420,G01240,yawelleklek,quiero descansar.,yanerilek,yawelleklek,0.5125411152839661,0.5618321895599365,0.04929107427597046,close_score_ambiguity
U00115,G00082,3,False,1,esp_to_shi,tom comió.,tom weranpalli,U00260,G00207,tom iduñi,tom comió.,tom weranpalli,tom iduñi,0.5504915118217468,0.5860493183135986,0.03555780649185181,close_score_ambiguity
U01663,G01470,3,False,1,esp_to_shi,ven entra.,weker' da'encher',U01666,G01473,wencher' asek,ven entra.,weker' da'encher',wencher' asek,0.5316165685653687,0.566620945930481,0.035004377365112305,close_score_ambiguity
U03178,G02953,3,False,1,esp_to_shi,"este, dijo.","asu', tullima.",U00409,G00330,nana dekundulli,"este, dijo.","asu', tullima.",nana dekundulli,0.5097616314888,0.5395420789718628,0.029780447483062744,gold_has_audit_flag
U00121,G00087,3,False,2,esp_to_shi,crudo,nanpi,U00836,G00712,nakulli,crudo,nanpi,nakulli,0.26716142892837524,0.28926458954811096,0.022103160619735718,gold_has_audit_flag
U00011,G00008,3,False,1,esp_to_shi,¡salta!,¡indekker'!,U00592,G00492,¡tupiter'!,¡salta!,¡indekker'!,¡tupiter'!,0.6057788133621216,0.6241442561149597,0.018365442752838135,close_score_ambiguity
U00596,G00495,3,False,3,esp_to_shi,manténgase quieto.,yalenmek'ta,U00069,G00053,paker' uti'la,manténgase quieto.,yalenmek'ta,paker' uti'la,0.4048389196395874,0.41958174109458923,0.014742821455001831,gold_has_audit_flag
