pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,direction,query_text,target_correct,target_top1,esp,shiwilu_correct,shiwilu_top1,category
U02734,G02503,1,0.6022758483886719,0.6022758483886719,True,1,shi_to_esp,nawa' ñinanlu'nenna' a'llupitununtekchuna' itullima tanpen muda'.,sólo el pueblo de ellos se reproducirá le dijo al hombre candela.,(grupo correcto),sólo el pueblo de ellos se reproducirá le dijo al hombre candela.,nawa' ñinanlu'nenna' a'llupitununtekchuna' itullima tanpen muda'.,(grupo correcto),best
U02401,G02170,1,0.5845773220062256,0.5845773220062256,True,1,shi_to_esp,"ma'shi'na teknerinek, ñinchitapalek i'la.","pero no la desvío, todavía la sé bien.",(grupo correcto),"pero no la desvío, todavía la sé bien.","ma'shi'na teknerinek, ñinchitapalek i'la.",(grupo correcto),best
U04023,G03760,1,0.6681789755821228,0.6681789755821228,True,1,shi_to_esp,nananta' shikillek'an siwerchulli lu'lunnen.,"a ella también, cosquilleándole, le quitó su carne.",(grupo correcto),"a ella también, cosquilleándole, le quitó su carne.",nananta' shikillek'an siwerchulli lu'lunnen.,(grupo correcto),best
U00004,G00002,1,0.5406095385551453,0.5406095385551453,True,1,shi_to_esp,tekker',¡corre!,(grupo correcto),¡corre!,tekker',(grupo correcto),best
U02682,G02451,1,0.5556972026824951,0.5556972026824951,True,1,shi_to_esp,"nanapa yunsu'i kenmu'wa'kinsa' ñii asu' samer,","para que salgan para nosotros nomás, para que sean para nosotros nomás estos peces,",(grupo correcto),"para que salgan para nosotros nomás, para que sean para nosotros nomás estos peces,","nanapa yunsu'i kenmu'wa'kinsa' ñii asu' samer,",(grupo correcto),best
U01498,G01308,1,0.7283246517181396,0.7283246517181396,True,2,shi_to_esp,ta'itula'u tekle'richek,déjame probarlo.,(grupo correcto),déjame probarlo.,ta'itula'u tekle'richek,(grupo correcto),best
U01497,G01308,1,0.7283246517181396,0.7283246517181396,True,2,shi_to_esp,ta'itula'u tekle'richek,déjame intentarlo.,(grupo correcto),déjame intentarlo.,ta'itula'u tekle'richek,(grupo correcto),best
U02229,G01998,1,0.9368987679481506,0.9368987679481506,True,1,shi_to_esp,¿a'ñapala cerveza?,¿tienes cerveza?,(grupo correcto),¿tienes cerveza?,¿a'ñapala cerveza?,(grupo correcto),best
U00346,G00273,1,0.564185619354248,0.564185619354248,True,2,shi_to_esp,weilunsu' nuka'ka,soy obesa.,(grupo correcto),soy obesa.,weilunsu' nuka'ka,(grupo correcto),best
U00093,G00273,1,0.564185619354248,0.564185619354248,True,2,shi_to_esp,weilunsu' nuka'ka,soy gorda.,(grupo correcto),soy gorda.,weilunsu' nuka'ka,(grupo correcto),best
U04399,G04134,1,0.682692289352417,0.682692289352417,True,1,shi_to_esp,nawa' ektu'ker'a'ser' tenmiansu'lli kaluwi'a'su'.,"cuando ellos llegaron, empezó a enfermarse.",(grupo correcto),"cuando ellos llegaron, empezó a enfermarse.",nawa' ektu'ker'a'ser' tenmiansu'lli kaluwi'a'su'.,(grupo correcto),best
U04066,G03803,1,0.5464146137237549,0.5464146137237549,True,1,shi_to_esp,ipa'linchi llinseran pekkualaler itulli ipa' llinserllen. enchu pistak pa'a.,después de pintar (a la motelo) la iguana le dijo ya te diseñé. ¡vamos a la fiesta!,(grupo correcto),después de pintar (a la motelo) la iguana le dijo ya te diseñé. ¡vamos a la fiesta!,ipa'linchi llinseran pekkualaler itulli ipa' llinserllen. enchu pistak pa'a.,(grupo correcto),best
U01669,G01470,1,0.7951334714889526,0.7951334714889526,True,1,shi_to_esp,eklli nu'ter',hágalo mañana.,(grupo correcto),hágalo mañana.,eklli nu'ter',(grupo correcto),best
U03852,G03597,1,0.74233478307724,0.74233478307724,True,1,shi_to_esp,kuda pa'llidek ñinanluk,nosotros viajamos a la ciudad.,(grupo correcto),nosotros viajamos a la ciudad.,kuda pa'llidek ñinanluk,(grupo correcto),best
U04298,G04034,1,0.8316155672073364,0.8316155672073364,True,1,shi_to_esp,ñinanlu'wekkek ñi den chimi'ñi kuvi-19 kaluwi'lek.,en mi pueblo nadie ha muerto con la enfermedad del covid-19.,(grupo correcto),en mi pueblo nadie ha muerto con la enfermedad del covid-19.,ñinanlu'wekkek ñi den chimi'ñi kuvi-19 kaluwi'lek.,(grupo correcto),best
U03650,G03402,1,0.774649977684021,0.774649977684021,True,1,shi_to_esp,kenma' luyula illian'su',tú odias el ruido.,(grupo correcto),tú odias el ruido.,kenma' luyula illian'su',(grupo correcto),best
