pair_id,ESP,SHIWILU
P00000,COMO ESTAS?,MA'PUSIN
P00001,HOLA A TODOS,LLI'TAA'
P00002,HOLA COMPADRE,LLI'TAA' KUNPARI
P00003,HOLA TÍO,LLI'TAA' APCHA
P00004,HOLA TÍA,LLI'TAA' ASHATU'CHA
P00005,HOLA TÍA,LLI'TAA INECHA
P00006,ADIOS,PANTEKCHEK
P00007,ADIOS COMPADRE,PANTEKCHEK KUNPARI
P00008,ADIOS TÍO,PANTEKCHEK APCHA
P00009,ADIOS TÍA,PANTEKCHEK ASHATU'CHA
P00010,ADIOS TÍA,PANTEKCHEK INECHA
P00011,GRACIAS,YUSPEINETECHUM
P00012,POR FAVOR,YUSMALEK
P00013,HERMANO,I IN
P00014,HERMANO,DUDEN
P00015,HERMANA MAYOR,SHA'SHA
P00016,HERMANA MAYOR,KAIK'SHA
P00017,HERMANA MENOR,SHA'WA
P00018,HERMANA MENOR,KAIK'WA
P00019,HERMANO MAYOR,YALLI'SHA
P00020,HERMANO MENOR,YALLI'WA
P00021,HERMANO MENOR,YUYU'WA
P00022,HERMANOS,I INUK'LUSA'
P00023,HERMANAS,UTRINUK'LUSA'
P00024,HERMANAS MENORES,SHA'WAUK'LUSA'
P00025,HERMANAS MAYORES,SHA'UK'LUSA'
P00026,HERMANOS MAYORES,YALLI'SHA'UK'LUSA'
P00027,HERMANOS MENORES,YALLI'WAUK'LUSA'
P00028,PAPÁ,TATA
P00029,MAMÁ,AWA
P00030,ABUELO,PAPINKU
P00031,ABUELA,AMI
P00032,ABUELITO,PAPINKUSHA
P00033,ABUELITA,AMISHA
P00034,PAPITO,TATASHA
P00035,MAMITA,AWASHA
P00036,HIJO,WILAUK
P00037,HIJITO,WILAUKSHA
P00038,MI HIJA,TECLAPINUK
P00039,HIJA,TECLAPIN
P00040,HIJO VARON,ERKUN
P00041,MI HIJA,KUTINUK
P00042,MI HIJITA,KUTINSHAUK
P00043,MI HIJITO,WILAUKSHA
