pair_id,group_id,anchor,positive,negative,negative_pair_id,negative_group_id,difficulty,sim_positive,sim_negative,margin,negative_rank
U01828,G01624,escucha atentamente.,lau'ker' musu',cheksu' du'ker',U02118,G01898,hard,0.6741775274276733,0.60578453540802,0.06839299201965332,5
U01828,G01624,escucha atentamente.,lau'ker' musu',musuk'i'la lli'inuper',U01529,G01342,medium,0.6741775274276733,0.5197413563728333,0.1544361710548401,15
U01104,G00962,estoy divorciada.,apu'pi nuka'ka,nanpi'palek'i'la,U02056,G01839,hard,0.5428851842880249,0.4911322593688965,0.05175292491912842,51
U02591,G02366,divisando lo que levanta humo tu candela.,lli'amudek mu'katapa'su' penpen.,kui'na laweklateklupa' tullima.,U03160,G02935,medium,0.6618727445602417,0.49271905422210693,0.16915369033813477,2
U02521,G02296,"dicen que este monte lo van a quemar, pero no le creyeron.",asu' tanan ima di'setchetchuna' itudekllima ñima latekchiñina'.,nerpi'la llillin aku'llina' ñinchiluinpu'la'pi'na'.,U03196,G02971,hard,0.5960810780525208,0.4591659903526306,0.13691508769989014,3
U02521,G02296,"dicen que este monte lo van a quemar, pero no le creyeron.",asu' tanan ima di'setchetchuna' itudekllima ñima latekchiñina'.,pitetchi'ñina' ipa' nana kapiña'su' lli'anna'.,U02988,G02763,medium,0.5960810780525208,0.44553840160369873,0.15054267644882202,6
U02101,G01882,curémonos.,inlulen'awa',saka'taterwa',U00695,G00582,hard,0.7169933915138245,0.6441162824630737,0.07287710905075073,5
U02101,G01882,curémonos.,inlulen'awa',llia'terwa',U01588,G01399,medium,0.7169933915138245,0.5653266906738281,0.15166670083999634,22
U00921,G00895,esperame.,wa'ten'u,wa'ten'nek',U00185,G00141,medium,0.8399015665054321,0.6718530654907227,0.16804850101470947,3
U01034,G00895,deme tiempo.,wa'ten'u,wa'tenker',U02247,G02022,hard,0.6470953822135925,0.5929872393608093,0.0541081428527832,4
U01034,G00895,deme tiempo.,wa'ten'u,tupi'tu'u,U00302,G00241,medium,0.6470953822135925,0.4852484166622162,0.16184696555137634,15
U00920,G00790,apágalo.,a'tashunker',tupiter',U00497,G00409,hard,0.6587293148040771,0.6036261916160583,0.0551031231880188,21
U00920,G00790,apágalo.,a'tashunker',tununter',U01166,G01017,medium,0.6587293148040771,0.5082828402519226,0.15044647455215454,36
U02138,G01918,me matarán.,dei'techuner'ku,ilanñiner'ku,U01778,G01577,medium,0.7352293133735657,0.5779804587364197,0.157248854637146,2
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,¿inapi ñapala?,U00987,G00851,hard,0.7793315649032593,0.727306604385376,0.0520249605178833,3
U00990,G00854,¿estás perdido?,¿wer'su' ñapala?,¿a'pe'chapala?,U01938,G01728,medium,0.7793315649032593,0.5877647399902344,0.1915668249130249,21
U01102,G00961,estoy confuso.,lachek'ki'nek,ñinchichi'nek,U01068,G00927,hard,0.6946486830711365,0.6397868990898132,0.05486178398132324,3
U01102,G00961,estoy confuso.,lachek'ki'nek,yiennichi'nek,U02074,G01857,medium,0.6946486830711365,0.5378599166870117,0.15678876638412476,7
U01103,G00961,estoy confundido.,lachek'ki'nek,ñinchidinupalek,U00813,G00689,hard,0.6970051527023315,0.6067197322845459,0.09028542041778564,4
U01103,G00961,estoy confundido.,lachek'ki'nek,yiennichi'nek,U02074,G01857,medium,0.6970051527023315,0.5450617671012878,0.1519433856010437,7
U02351,G02126,"mientras muelo voy asando también la yuca, cinco yucas enteras.",peksantapamu nana inkaluner ker'unta' a'ler'apalek alei'teklundan.,"- asui'na asu'lupa' da'kellek kua samer yapektawamu, panpadek nuka'a tullima.",U02599,G02374,hard,0.5978823304176331,0.520046591758728,0.07783573865890503,5
U02351,G02126,"mientras muelo voy asando también la yuca, cinco yucas enteras.",peksantapamu nana inkaluner ker'unta' a'ler'apalek alei'teklundan.,"alla'shasa' samer kencha'lek, yalli'washawek'unta' alla'shasa'pi'la itullima.",U02535,G02310,medium,0.5978823304176331,0.4338255524635315,0.16405677795410156,10
U00760,G00639,está fingiendo comer.,intek weranpalli,panutapalli.,U02661,G02436,hard,0.6196503639221191,0.5431180000305176,0.07653236389160156,7
U00760,G00639,está fingiendo comer.,intek weranpalli,¿wicha'palli?,U01783,G01582,medium,0.6196503639221191,0.46662402153015137,0.15302634239196777,15
U01675,G01481,¿me conocen?,¿luwer'chapalama'u?,¿luwer'chapalek?,U01341,G01169,hard,0.7502199411392212,0.6152312755584717,0.1349886655807495,2
U01675,G01481,¿me conocen?,¿luwer'chapalama'u?,¿luwer'chapallien?,U01342,G01170,medium,0.7502199411392212,0.5926901698112488,0.1575297713279724,4
U02116,G01897,es brasileña.,brashika nuka'a,pipersu' nuka'a,U00229,G00179,medium,0.7434180378913879,0.5690388083457947,0.17437922954559326,2
U00833,G00709,¿está ventoso?,¿nakusu' tanluwatulli?,¿nu'su' nuka'a?,U00581,G00483,hard,0.6084986329078674,0.5497308969497681,0.058767735958099365,22
U00833,G00709,¿está ventoso?,¿nakusu' tanluwatulli?,¿ñapalli a'pinda'?,U01470,G01288,medium,0.6084986329078674,0.4573940634727478,0.15110456943511963,45
U00669,G00559,tomás esperó.,chuma wa'tentulli,chuma wer'lli,U01226,G01065,medium,0.8283082246780396,0.5371212959289551,0.2911869287490845,2
U00887,G00759,actúa.,nu'ter',katu'per',U00166,G00124,hard,0.757344663143158,0.6966471076011658,0.06069755554199219,2
U00887,G00759,actúa.,nu'ter',yan'katekter',U01358,G01185,medium,0.757344663143158,0.599674642086029,0.1576700210571289,10
U01068,G00927,no sé.,ñinchichi'nek,yiennichi'nek,U02074,G01857,hard,0.7549072504043579,0.6697589159011841,0.08514833450317383,3
U01068,G00927,no sé.,ñinchichi'nek,ku'la ñinchitapi'nek,U01397,G01221,medium,0.7549072504043579,0.5902783870697021,0.16462886333465576,9
U02195,G01974,escribe algo.,llinse'cher' manen'unta',uker' ma'pinta',U01040,G00901,hard,0.6544544696807861,0.5275617241859436,0.12689274549484253,3
U02195,G01974,escribe algo.,llinse'cher' manen'unta',ninchiter' wapu',U00631,G00526,medium,0.6544544696807861,0.49946534633636475,0.1549891233444214,7
U01295,G01126,están despedidos.,saka'tunakla usu'dekllina',saka'tusu' ñapallina',U01548,G01360,hard,0.8040074706077576,0.7481240034103394,0.05588346719741821,2
U01295,G01126,están despedidos.,saka'tunakla usu'dekllina',saka'tunakla usu'llina,U01294,G01125,medium,0.8040074706077576,0.6456364393234253,0.15837103128433228,6
U02483,G02258,hace mucho yo viví en varadero.,kua napi' simirkek nanpilek.,napi' sudawek sudatulek.,U02405,G02180,hard,0.6004121899604797,0.5040964484214783,0.09631574153900146,3
U02483,G02258,hace mucho yo viví en varadero.,kua napi' simirkek nanpilek.,nanekpi'la a'kasetllek asukallek.,U02353,G02128,medium,0.6004121899604797,0.4396951496601105,0.16071704030036926,10
U01267,G01102,eres rico.,kulliker'wanpala,a'lliupiken nuka'ma,U00966,G00832,hard,0.6876975297927856,0.628969669342041,0.05872786045074463,2
U01267,G01102,eres rico.,kulliker'wanpala,kenma chiminllinkekla nampila,U01287,G01120,medium,0.6876975297927856,0.5346512198448181,0.15304630994796753,13
U01065,G00924,me corté.,indei'tulek,ilulek,U01727,G01529,hard,0.7564594149589539,0.6893724799156189,0.06708693504333496,2
U01065,G00924,me corté.,indei'tulek,kana'lliu,U01802,G01599,medium,0.7564594149589539,0.6041396260261536,0.1523197889328003,14
U01708,G01511,ya sé.,ipa' ñinchitulek,ipa'la lli'inutulek,U01737,G01539,medium,0.6840478777885437,0.4848569929599762,0.1991908848285675,3
U01053,G00913,¡qué pesado!,¡enpu'ni saka'dek'ipa'!,¡embu'ni mushipa'!,U00511,G00422,hard,0.7555055022239685,0.702572226524353,0.05293327569961548,5
U01053,G00913,¡qué pesado!,¡enpu'ni saka'dek'ipa'!,¡empu'ni ñinchidinusu'ta'!,U00763,G00641,medium,0.7555055022239685,0.5751758813858032,0.18032962083816528,14
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,wiuksu'lusa' nuker'ka,U01207,G01048,hard,0.6482712626457214,0.5856319069862366,0.06263935565948486,5
U02148,G01928,son hermanas.,kaikualusa' nuker'ka,sha'pi'su'sa' nuker'ka,U02127,G01907,medium,0.6482712626457214,0.496667742729187,0.15160351991653442,12
U02624,G02399,"él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","ñi ma'wi'ñi, wilawi'ñi, ñi ñiñi'wi'ñi, wa'dantekwi'ñi, ñi ma'wi'ñi.",U02622,G02397,hard,0.7242029309272766,0.6415504217147827,0.0826525092124939,2
U02624,G02399,"él no cría gallinas, no cría huanganas, nada de esos animales.","ñi nana wa'dantek pektawapi'ñi, ñi laman pektawapi'ñi, ñi ma'nen nanadaper.","apu'tek i'mi'na ñinpu' ninchiluyuchi'ñi, ñi aperku'tekinpu'.",U03134,G02909,medium,0.7242029309272766,0.5605230927467346,0.163679838180542,4
U00973,G00839,me lastimas.,a'kaluwi'lun,luyullien,U00525,G00435,hard,0.7615306377410889,0.6734298467636108,0.08810079097747803,3
U00973,G00839,me lastimas.,a'kaluwi'lun,enmu'lek,U00548,G00454,medium,0.7615306377410889,0.5961553454399109,0.16537529230117798,6
U00201,G00154,estoy herido.,chacha'lek ñapalek,ñapalek sadasu',U00820,G00696,hard,0.7239418625831604,0.6668903231620789,0.05705153942108154,30
U00201,G00154,estoy herido.,chacha'lek ñapalek,nakusu' muin'su' ñapallidek,U01563,G01374,medium,0.7239418625831604,0.5621079802513123,0.16183388233184814,41
U02793,G02568,cuando un viejo hablaba los niños no debían asomarse.,"taserpi lunpasik, wilalusa' kawichi'ñina'.",wilalusa' enmu'pinenwawalusa' ima peklu'deklli.,U03175,G02950,hard,0.6283596754074097,0.5215878486633301,0.10677182674407959,4
