pair_id,group_id,rank,correct_score,top1_score,top1_is_positive,positive_count,esp,shiwilu_correct,shiwilu_top1,category
U02491,G02266,1,0.7098118662834167,0.7098118662834167,True,1,¿cómo viviré ahora que ha muerto mi padre? me preguntaba.,¿ma'pu'si'pa' nanpichek tatawek chiminsik? tulek.,(grupo correcto),best
U00090,G00695,1,0.6313408017158508,0.6313408017158508,True,2,iré.,pa'echek,(grupo correcto),best
U03163,G02938,1,0.5106474161148071,0.5106474161148071,True,1,"otro dijo yo soy ave montete14, (y otro) yo soy maka.","ali'lima tulli kui'na musenpitek, kui'na maka.",(grupo correcto),best
U02224,G02000,1,0.5296213030815125,0.5296213030815125,True,2,respira tranquilo.,neriker' u'chimu,(grupo correcto),best
U01492,G01309,1,0.6209284663200378,0.6209284663200378,True,1,déjelo aquí.,ta'ituler' asek,(grupo correcto),best
U02678,G02453,1,0.7119038105010986,0.7119038105010986,True,1,y después de pandillar regresó arákayu.,nu'an ima chu'kenpa'tan adanta'lli arakayu.,(grupo correcto),best
U03169,G02944,1,0.62477046251297,0.62477046251297,True,1,desde ese entonces estamos viviendo así.,ipa'leklanlek nu'su' nanpipalekwa'.,(grupo correcto),best
U02397,G02172,1,0.6430356502532959,0.6430356502532959,True,1,"los que la entienden, la entienden, pero los que no la entienden no pueden entender.","lachek'erkasu' lachekllina', lachek'inpu'erkasui'na innichi'ñina' lachek'erkasu'.",(grupo correcto),best
U02434,G02209,1,0.5904747247695923,0.5904747247695923,True,1,"buenos son mis hijos, todos mis hijos son buenos.","u'chimu wilaweklusa', iñerdaper mukankañina' wilaweklusa'.",(grupo correcto),best
U00740,G00620,1,0.48038172721862793,0.48038172721862793,True,1,no discutan.,yainyututama',(grupo correcto),best
U00519,G00430,1,0.525338888168335,0.525338888168335,True,1,puedo cantar.,ñinchitapalek tuluner'ak,(grupo correcto),best
U02072,G01855,1,0.39708366990089417,0.39708366990089417,True,1,pronto lloverá.,ipia'la u'lenchu,(grupo correcto),best
U03184,G02959,1,0.8381093740463257,0.8381093740463257,True,1,"este agarró a san pedro. ah, pedro.","pilli'tulli asi'na san pedro. ah, pideru.",(grupo correcto),best
U02828,G02603,1,0.6035076975822449,0.6035076975822449,True,1,la mataré dijo y le trozó el corazón.,di'tetchek tan dinlupinen dektuintulli.,(grupo correcto),best
U03039,G02814,1,0.5350727438926697,0.5350727438926697,True,1,"de ahí dijo un viejo estos que están viajando en algún momento van a traer lo que hacen de fierro, volando va a venir dijeron.",nanekla tulli ali'la papinku asu' pa'apalusa' enpulila keretchuna' nana wa'nakla nu'ter'kasu' pennu'pilerpachi uk'etchu tullini'ma.,(grupo correcto),best
U02842,G02617,1,0.512745201587677,0.512745201587677,True,1,diferente lengua hablan ellos.,nerpi'la la'la' lunpallina' nawa'.,(grupo correcto),best
