CODIGO,TEXTO_SPA,TEXTO_SHI,AUDIO?,,,,,,
FL_0001,El pueblo de Jeberos es un pueblo antiguo.,Shiwilu ñinanlu’ nuka’a ala’sa’ ñinanlu’ taserpi.,TRUE,,,,,,
FL_0002,Está ubicado en medio del monte.,Tananluk ikiñik ñapalli.,TRUE,,,,,,
FL_0003,"No tiene ríos, solo quebradas tiene.","Kupin dekshadekwi’ñi, dekshadeklusa’sa’a’ñapalli.",TRUE,,,,,,
FL_0004,"No tiene cerros, su terreno es (plano) como el lomo de una mesa.","Mutupiwi’ñi, misa’ chi’tekpu’lli lupa’nen.",TRUE,,,,,,
FL_0005,Su suelo es arenoso. Cuando llueve no se forma barro.,Lupa’nen dellu’teklu’ nuka’a. U’lansik mumulu’chi’ñi.,TRUE,,,,,,
FL_0006,"Sus calles son rectas, se puede divisar desde el Barrio Bajo hasta el Barrio Alto.","Kallinenlusa’ chekshasu’ nuker’ka, Chilenkeklanek, Winenñupa’walek lli’tulek.",TRUE,,,,,,
FL_0007,"Tiene tres calles largas, también tiene calles transversales.","Kala kalli shin a’ñapalli, nu’sik’unta’ kallilusa’ chimanchineksu’sa’ a’ñapalli.",TRUE,,,,,,
FL_0008,Una quebrada rodea al pueblo.,Ala’sa’ dekshadekler ñinanlu’ kunerchapalli.,TRUE,,,,,,
FL_0009,Ahí se bañan y lavan su ropa todo el pueblo.,"Nanek ama’llina’, peksa’duñina’ iñer’ ñinanlu’.",TRUE,,,,,,
FL_0010,Esta quebradita se llama Armanayacu.,Asu’ dekshadekshaki llillinen nuka’a Ama’wina.,TRUE,,,,,,
FL_0011,El pueblo no bebe el agua del Armanayacu porque es puro (agua con) jabón.,"Ama’winadek ñinanlu’ uapi’ñi, shapundeksa’ ña’su’malek.",TRUE,,,,,,
FL_0012,"El agua de manantial, que brota de la tierra, eso
bebe el pueblo.","Dek yunsu’a’su’ lupa’ kineklalan, nana ñinanlu’ uapalli.",TRUE,,,,,,
FL_0013,En Jeberos tenemos manantiales.,Dek yunsu’a’su’ lupa’ kineklalan a’ñapallidek Shiwiluk.,TRUE,,,,,,
FL_0014,"Los principales son: por el Barrio Alto, uno; por el
Barrio Bajo, dos.","A’pinta’ a’llupilusa’: Winenñupa’ ala’sa’, Chilenñupa’ katu’ta’.",TRUE,,,,,,
FL_0015,Se baja el Aipena y se sale al Huallaga.,"Erpina’ nu’wantunta’lek, pekpinta’lek Wella’dik.",TRUE,,,,,,
FL_0016,"Del puerto de Jeberos hasta el Huallaga se tarda
doce horas.","Shiwilu llishanakla Wella’dikwalek tekda’lek
shunka’-katu’ta’ ura.",TRUE,,,,,,
FL_0017,También por avión se llega a Yurimaguas.,Nu’sik’unta’ wa’na pennua’su’ ektu’lek Yurimawak.,TRUE,,,,,,
