pair_id,rank,correct_score,top1_score,esp,shiwilu_correct,shiwilu_top1,category
U01479,1,0.37525397539138794,0.37525397539138794,funciona bien.,saka'tapalli musu',(correcto),best
U01357,1,0.6041176319122314,0.6041176319122314,deme esos.,enka'u nanalusa',(correcto),best
U01860,1,0.44927096366882324,0.44927096366882324,quieren más.,luwantullina' a'pinta,(correcto),best
U01888,1,0.5001100897789001,0.5001100897789001,estaremos felices.,musu' ñape'chidek,(correcto),best
U01522,1,0.5577949285507202,0.5577949285507202,sientate tomás.,duker' chuma,(correcto),best
U01941,1,0.6825859546661377,0.6825859546661377,¿estás casada?,¿sudasu'cha ñapala?,(correcto),best
U03142,1,0.654867947101593,0.654867947101593,"¿acaso desde antes, pues, ellos han venido a trabajar?",¿napi'lanlek a'ta' na'wa' saka'tukellina'?.,(correcto),best
U01753,1,0.6578454375267029,0.6578454375267029,estaba soñando.,wa'latapawinek,(correcto),best
U01353,1,0.4955359399318695,0.4955359399318695,todos ganan.,iñer' kana'tullina',(correcto),best
U02141,1,0.5353701710700989,0.5353701710700989,están discutiendo.,inyutapallina',(correcto),best
U01037,1,0.7448917031288147,0.7448917031288147,"espera, tom.",wa'tenker' tom,(correcto),best
U00365,1,0.493514746427536,0.493514746427536,está oscuro.,kasiser' ñapalli,(correcto),best
U01928,1,0.49069881439208984,0.49069881439208984,estás ganando.,kana'tapala,(correcto),best
U00469,1,0.8331156969070435,0.8331156969070435,trae vino.,kencher' vinu',(correcto),best
U00557,1,0.675889790058136,0.675889790058136,soy torpe.,ma'kimpu nuka'ka,(correcto),best
U03046,1,0.5579824447631836,0.5579824447631836,"toda cosa había ahí, cuando han dicho he escuchado.","dudinpu' ñiwiñi nanek, ta'ser lauktulek.",(correcto),best
U01923,1,0.6039775013923645,0.6039775013923645,estaban felices.,musu' ñapawiñina',(correcto),best
U01197,1,0.6091154217720032,0.6091154217720032,me conocían.,luwer'chuwiñiner'ku,(correcto),best
U00784,1,0.5897266268730164,0.5897266268730164,vivo aquí.,asek nanpipalek,(correcto),best
U00118,1,0.6402537226676941,0.6402537226676941,espérame despierto.,wa'ten'u nanpisu',(correcto),best
U00219,16,0.49524593353271484,0.674350380897522,gané.,kana'tulek,luntuu,worst
U00317,16,0.35908111929893494,0.47383978962898254,puedo volar.,yen'nitulek pen'nu'ak',yakana'lek,worst
U00020,17,0.3143811523914337,0.6489313244819641,¡al ataque!,¡paku' llipu'tudek'kunku'!,¡ipia'lasha!,worst
U01759,17,0.20129729807376862,0.32773908972740173,sería cuidadoso.,ñi'inaka inlu'uktutek,katu'pa'a'kasu' ñapalli,worst
U01351,19,0.26370689272880554,0.6349164843559265,no engordes.,yaweyta,yatulener'tama,worst
U02008,19,0.4399714767932892,0.6283555626869202,tengo tarea.,añapalek yanu'tak,pi'ser'katulek,worst
U01036,19,0.28303787112236023,0.5146896243095398,buenos días.,muuklli,musu'nakuku',worst
U00725,21,0.2290046066045761,0.4033321142196655,especifica más.,wintu'u a'pinta,llinse'cher' manen'unta',worst
U01388,26,0.4105723798274994,0.6549224257469177,me indigna.,a'yiulliu,insek'diperku',worst
U01270,27,0.21487636864185333,0.3250228464603424,tú primera.,nanentupen,a'lliupiken nuka'ma,worst
U00710,27,0.39038074016571045,0.5667784214019775,fallaste.,aper'la,chinku'lli,worst
U02222,28,0.2877485454082489,0.47579413652420044,pregúntaselo.,lekker',li'inuter',worst
U00163,29,0.28184106945991516,0.4646279215812683,pásenla bien.,musu'nakuku',uker' ma'pinta',worst
U00601,31,0.36365026235580444,0.553882896900177,a ver.,enta'i'na,a'wencher',worst
U00973,38,0.3126160204410553,0.5469711422920227,me lastimas.,a'kaluwi'lun,yamerladaku',worst
U01160,41,0.22594134509563446,0.5011112093925476,sonrian.,yamerladaku',imanan,worst
U00999,45,0.2157081812620163,0.530901312828064,hazle pasar.,a'nakuker',lli'ker' uti'lakla,worst
U01364,45,0.2191498577594757,0.4793756306171417,hazlo venir.,a'wencher',wei ek'tue'chu,worst
U01483,75,0.08908408135175705,0.633281946182251,está desierto.,manen ñi'ñi,kasiser' ñapalli,worst
U01151,119,0.0649598240852356,0.5763152837753296,adivina.,teklerier' ninchita'mak,enta'i'na,worst
