pair_id,ESP,SHIWILU
P00000,Ve.,PAKER'
P00001,Vete.,PAKER'
P00002,Vaya.,PAKER'
P00003,Hola.,MA'PU'SIN
P00004,¡Corre!,TEKKER'
P00005,¿Quién?,¿DEN?
P00006,¡Fuego!,¡PEN!
P00007,¡Incendio!,¡UKEÑAN!
P00008,¡Ayuda!,¡KATU'PA'!
P00009,¡Socorro! ¡Auxilio!,¡KATU'PA'! ¡KATU'PA'!
P00010,¡Auxilio!,¡KATU'PA'!
P00011,¡Salta!,¡INDEKKER'!
P00012,¡Para!,¡TA'ITULER'!
P00013,¡Espera!,¡WA'TEN'KER'!
P00014,Esperen.,¡WA'TEN'KU'!
P00015,¡He ganado!,¡KANA'TULEK!
P00016,"¡Oh, no! (masculino)",¡SHAW!
P00017,"¡Oh, no! (femenino)",¡ASHA!
P00018,Sonríe.,YAMER
P00019,Sonrían.,YAMERKU'
P00020,¡Al ataque!,¡PAKU' LLIPU'TUDEK'KUNKU'!
P00021,Levanta. (un objeto),USANKER'
P00022,Levanta. (pararse),YUNSANKER'
P00023,¡Tengo!,¡A'ÑAPALEK!
P00024,¿Entendiste?,¿LACHEK'LA?
P00025,Él corrió.,NANA TEKAKLLI
P00026,Métete adentro.,DA'KER' KINEKLA
P00027,Abrázame.,WIPERI'U
P00028,Me caí.,ANU'LEK
P00029,Salí.,YUNSU'LEK
P00030,Mentí.,TUMU'LEK
P00031,Perdí. (opuesto de ganar),WER'LLIEK
P00032,Perdí. (extraviar),A'WER'LLIEK
P00033,Renuncié.,TA'ITULA'LEK
P00034,Estoy trabajando.,SAKA'TAPALEK
P00035,Tengo diecinueve.,A'ÑAPALEK SHUNKA'ISKUN
P00036,Estoy levantado.,YUNSANSU' ÑAPALEK
P00037,Escucha.,LAU'TER
P00038,Escuché.,LAU'TULEK
P00039,Escuchen.,LAU'TUKU'
P00040,Escucharon.,LAU'TULLINA'
P00041,Estoy escuchando.,LAU'TAPALEK
P00042,Estoy abriendo mi boca.,LAUK'APALEK
P00043,¡Imposible!,¡SAKA'DEK!
P00044,¿En serio?,¿TEKINCHI?
P00045,¿La verdad?,¿TEKINCHI?
P00046,¡Gracias!,¡YUSPEINET'ECHUN!
P00047,Gracias.,YUSPEINET'ECHUN
P00048,Pruébalo. (saborear),LATA'KER
P00049,Pruébalo. (intentar),TEKLE'RIER'
P00050,Lo procuramos.,TEKLE'RIER'CHIDEK
P00051,Ganamos.,KANA'LLIDEK
P00052,Estate tranquilo.,MUSU' ÑAPAKER'
P00053,Sean gentiles.,MUKANKAN ÑIKER'
P00054,Sé agradable.,MUKANKAN ÑIKER'
P00055,Llámame.,PEKLU'U
P00056,Llámanos.,PEKLU'UDEK
P00057,Entre.,DA'KERKER'
P00058,Pase.,DA'KERKER'
P00059,¡Entren!,¡DAKER'KU'!
P00060,Suéltalo.,APU'KER'
P00061,Bájate.,NU'WANKER'
P00062,Sal. ,YUNSUER'
P00063,Sal. ,DAMULA
P00064,Salgan.,YUNSU'KU'
P00065,¡Largo!,¡PAKER'!
P00066,Largo ,SHIN
P00067,¡Vete ya!,¡PAKER'!
P00068,Lárguese.,¡PAKU'!
P00069,Vaya despacio.,PAKER' UTI'LA
P00070,¡Hasta luego!,¡PANTE'CHEK!
P00071,¡Chau!,¡PANTE'CHEK!
P00072,¡Un segundo!,¡IPIA'LASHA!
P00073,Agarra fuertemente.,PILLI'TER' IKERSU'
P00074,Dolor,IKER
P00075,El ají pica,NUKA' IKERLLI
P00076,Él vino.,NANA UK'LLI
P00077,Él renunció.,NANA YUNSU'LLI
P00078,Ayúdame.,KATU'PA'U
P00079,Ayúdanos.,KATU'PA'UDEK
P00080,Espera.,WA'TENKER'
P00081,Resista.,YAN'KATEK'TER'
P00082,Resiste.,YAN'KATEK'TER'
P00083,De acuerdo.,MUETCHUN
P00084,Me incliné.,YEN'NER'LEK'
P00085,Dormí.,WICHI'LEK
P00086,Durmiendo,WICHA'PALEK
P00087,Me voy a dormir,WICHIN'DEK'CHEK
P00088,Voy a dormir,WICHI'ECHEK
P00089,Lo intenté.,TEKLE'RILEK'
P00090,Iré.,PA'ECHEK
P00091,Soy Tom.,NUKA'KU TOM
P00092,Estoy gordo.,WEIPENSU' ÑAPALEK
P00093,Soy gorda.,WEILUNSU' NUKA'KA
P00094,Estoy afectado.,MUIN'SU' ÑAPALEK
