pair_id,ESP_normalizado,SHIWILU_normalizado,similarity_score
U00000,ve.,paker',0.8436681032180786
U00001,vete.,paker',0.8466237187385559
U00002,vaya.,paker',0.8510775566101074
U00003,hola.,ma'pu'sin,0.8521645069122314
U00004,¡corre!,tekker',0.8382421731948853
U00005,¿quién?,¿den?,0.8731048107147217
U00006,¡fuego!,¡pen!,0.8994871377944946
U00007,¡incendio!,¡ukeñan!,0.8778156042098999
U00008,¡ayuda!,¡katu'pa'!,0.8855007290840149
U00009,¡socorro! ¡auxilio!,¡katu'pa'! ¡katu'pa'!,0.8744577169418335
U00010,¡auxilio!,¡katu'pa'!,0.8877646923065186
U00011,¡salta!,¡indekker'!,0.8634992241859436
U00012,¡para!,¡ta'ituler'!,0.877582311630249
U00013,¡espera!,¡wa'ten'ker'!,0.883610188961029
U00014,esperen.,¡wa'ten'ku'!,0.8721016645431519
U00015,¡he ganado!,¡kana'tulek!,0.8711205124855042
U00016,"¡oh, no! (masculino)",¡shaw!,0.8807229995727539
U00017,"¡oh, no! (femenino)",¡asha!,0.8774514198303223
U00018,sonríe.,yamer,0.8263005614280701
U00019,sonrían.,yamerku',0.8581979870796204
U00020,¡al ataque!,¡paku' llipu'tudek'kunku'!,0.8583943843841553
U00021,levanta. (un objeto),usanker',0.8518256545066833
U00022,levanta. (pararse),yunsanker',0.8441694974899292
U00023,¡tengo!,¡a'ñapalek!,0.8761718273162842
U00024,¿entendiste?,¿lachek'la?,0.8864428997039795
U00025,él corrió.,nana tekaklli,0.853999137878418
U00026,métete adentro.,da'ker' kinekla,0.856468677520752
U00027,abrázame.,wiperi'u,0.8728408813476562
U00028,me caí.,anu'lek,0.8424104452133179
U00029,salí.,yunsu'lek,0.8326551914215088
U00030,mentí.,tumu'lek,0.8518174886703491
U00031,perdí. (opuesto de ganar),wer'lliek,0.8225510120391846
U00032,perdí. (extraviar),a'wer'lliek,0.8507649898529053
U00033,renuncié.,ta'itula'lek,0.8644469976425171
U00034,estoy trabajando.,saka'tapalek,0.8486270904541016
U00035,tengo diecinueve.,a'ñapalek shunka'iskun,0.8342057466506958
U00036,estoy levantado.,yunsansu' ñapalek,0.8682239055633545
U00037,escucha.,lau'ter,0.8377018570899963
U00038,escuché.,lau'tulek,0.8821158409118652
U00039,escuchen.,lau'tuku',0.8736869096755981
U00040,escucharon.,lau'tullina',0.8630809783935547
U00041,estoy escuchando.,lau'tapalek,0.8827677965164185
U00042,estoy abriendo mi boca.,lauk'apalek,0.8595894575119019
U00043,¡imposible!,¡saka'dek!,0.8713477253913879
U00044,¿en serio?,¿tekinchi?,0.8765214085578918
U00045,¿la verdad?,¿tekinchi?,0.8809641599655151
U00046,¡gracias!,¡yuspeinet'echun!,0.8909927606582642
U00047,gracias.,yuspeinet'echun,0.8585035800933838
U00048,pruébalo. (saborear),lata'ker,0.8335874080657959
U00049,pruébalo. (intentar),tekle'rier',0.8627729415893555
U00050,lo procuramos.,tekle'rier'chidek,0.8524601459503174
U00051,ganamos.,kana'llidek,0.8630908131599426
U00052,estate tranquilo.,musu' ñapaker',0.8395190238952637
