pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,source,source_pair_id
U00000,Ve.,PAKER',ve.,paker',flashcards2,P00000
U00001,Vete.,PAKER',vete.,paker',flashcards2,P00001
U00002,Vaya.,PAKER',vaya.,paker',flashcards2,P00002
U00003,Hola.,MA'PU'SIN,hola.,ma'pu'sin,flashcards2,P00003
U00004,¡Corre!,TEKKER',¡corre!,tekker',flashcards2,P00004
U00005,¿Quién?,¿DEN?,¿quién?,¿den?,flashcards2,P00005
U00006,¡Fuego!,¡PEN!,¡fuego!,¡pen!,flashcards2,P00006
U00007,¡Incendio!,¡UKEÑAN!,¡incendio!,¡ukeñan!,flashcards2,P00007
U00008,¡Ayuda!,¡KATU'PA'!,¡ayuda!,¡katu'pa'!,flashcards2,P00008
U00009,¡Socorro! ¡Auxilio!,¡KATU'PA'! ¡KATU'PA'!,¡socorro! ¡auxilio!,¡katu'pa'! ¡katu'pa'!,flashcards2,P00009
U00010,¡Auxilio!,¡KATU'PA'!,¡auxilio!,¡katu'pa'!,flashcards2,P00010
U00011,¡Salta!,¡INDEKKER'!,¡salta!,¡indekker'!,flashcards2,P00011
U00012,¡Para!,¡TA'ITULER'!,¡para!,¡ta'ituler'!,flashcards2,P00012
U00013,¡Espera!,¡WA'TEN'KER'!,¡espera!,¡wa'ten'ker'!,flashcards2,P00013
U00014,Esperen.,¡WA'TEN'KU'!,esperen.,¡wa'ten'ku'!,flashcards2,P00014
U00015,¡He ganado!,¡KANA'TULEK!,¡he ganado!,¡kana'tulek!,flashcards2,P00015
U00016,"¡Oh, no! (masculino)",¡SHAW!,"¡oh, no! (masculino)",¡shaw!,flashcards2,P00016
U00017,"¡Oh, no! (femenino)",¡ASHA!,"¡oh, no! (femenino)",¡asha!,flashcards2,P00017
U00018,Sonríe.,YAMER,sonríe.,yamer,flashcards2,P00018
U00019,Sonrían.,YAMERKU',sonrían.,yamerku',flashcards2,P00019
U00020,¡Al ataque!,¡PAKU' LLIPU'TUDEK'KUNKU'!,¡al ataque!,¡paku' llipu'tudek'kunku'!,flashcards2,P00020
U00021,Levanta. (un objeto),USANKER',levanta. (un objeto),usanker',flashcards2,P00021
U00022,Levanta. (pararse),YUNSANKER',levanta. (pararse),yunsanker',flashcards2,P00022
U00023,¡Tengo!,¡A'ÑAPALEK!,¡tengo!,¡a'ñapalek!,flashcards2,P00023
U00024,¿Entendiste?,¿LACHEK'LA?,¿entendiste?,¿lachek'la?,flashcards2,P00024
U00025,Él corrió.,NANA TEKAKLLI,él corrió.,nana tekaklli,flashcards2,P00025
U00026,Métete adentro.,DA'KER' KINEKLA,métete adentro.,da'ker' kinekla,flashcards2,P00026
