pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,has_audit_flags
P00000,Ve.,PAKER',ve.,paker',True
P00001,Vete.,PAKER',vete.,paker',True
P00002,Vaya.,PAKER',vaya.,paker',True
P00003,Hola.,MA'PU'SIN,hola.,ma'pu'sin,False
P00004,¡Corre!,TEKKER',¡corre!,tekker',False
P00005,¿Quién?,¿DEN?,¿quién?,¿den?,False
P00006,¡Fuego!,¡PEN!,¡fuego!,¡pen!,False
P00007,¡Incendio!,¡UKEÑAN!,¡incendio!,¡ukeñan!,False
P00008,¡Ayuda!,¡KATU'PA'!,¡ayuda!,¡katu'pa'!,True
P00009,¡Socorro! ¡Auxilio!,¡KATU'PA'! ¡KATU'PA'!,¡socorro! ¡auxilio!,¡katu'pa'! ¡katu'pa'!,False
P00010,¡Auxilio!,¡KATU'PA'!,¡auxilio!,¡katu'pa'!,True
P00011,¡Salta!,¡INDEKKER'!,¡salta!,¡indekker'!,False
P00012,¡Para!,¡TA'ITULER'!,¡para!,¡ta'ituler'!,False
P00013,¡Espera!,¡WA'TEN'KER'!,¡espera!,¡wa'ten'ker'!,False
P00014,Esperen.,¡WA'TEN'KU'!,esperen.,¡wa'ten'ku'!,False
P00015,¡He ganado!,¡KANA'TULEK!,¡he ganado!,¡kana'tulek!,False
P00016,"¡Oh, no! (masculino)",¡SHAW!,"¡oh, no! (masculino)",¡shaw!,True
P00017,"¡Oh, no! (femenino)",¡ASHA!,"¡oh, no! (femenino)",¡asha!,True
P00018,Sonríe.,YAMER,sonríe.,yamer,False
P00019,Sonrían.,YAMERKU',sonrían.,yamerku',False
P00020,¡Al ataque!,¡PAKU' LLIPU'TUDEK'KUNKU'!,¡al ataque!,¡paku' llipu'tudek'kunku'!,False
P00021,Levanta. (un objeto),USANKER',levanta. (un objeto),usanker',True
P00022,Levanta. (pararse),YUNSANKER',levanta. (pararse),yunsanker',True
P00023,¡Tengo!,¡A'ÑAPALEK!,¡tengo!,¡a'ñapalek!,False
P00024,¿Entendiste?,¿LACHEK'LA?,¿entendiste?,¿lachek'la?,True
P00025,Él corrió.,NANA TEKAKLLI,él corrió.,nana tekaklli,False
P00026,Métete adentro.,DA'KER' KINEKLA,métete adentro.,da'ker' kinekla,False
P00027,Abrázame.,WIPERI'U,abrázame.,wiperi'u,False
P00028,Me caí.,ANU'LEK,me caí.,anu'lek,False
P00029,Salí.,YUNSU'LEK,salí.,yunsu'lek,False
P00030,Mentí.,TUMU'LEK,mentí.,tumu'lek,False
P00031,Perdí. (opuesto de ganar),WER'LLIEK,perdí. (opuesto de ganar),wer'lliek,True
P00032,Perdí. (extraviar),A'WER'LLIEK,perdí. (extraviar),a'wer'lliek,True
P00033,Renuncié.,TA'ITULA'LEK,renuncié.,ta'itula'lek,False
