id,pair_id,group_id,source,target,source_lang,target_lang,split,has_audit_flags,origin_source,score,label
U00996__shw2spa,U00996,G00853,lu'uktutek'ken ñiker,sé confiado.,shw,spa,train,False,flashcards2,0.64640164,accepted
U00996__spa2shw,U00996,G00853,sé confiado.,lu'uktutek'ken ñiker,spa,shw,train,False,flashcards2,0.64640164,accepted
U02413__shw2spa,U02413,G02182,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",hablando más en castellano ya no hablan shiwilu.,shw,spa,train,True,pdf_textos,0.7699504,accepted
U02413__spa2shw,U02413,G02182,hablando más en castellano ya no hablan shiwilu.,"a'pinta' kaschilleklansa' lunna', ñi a'pinta' shiwilu la'la' lunpi'ñina'.",spa,shw,train,True,pdf_textos,0.7699504,accepted
U04424__shw2spa,U04424,G04159,shiwilu la'la' napiklanek lulen'i'ñina';,pero a la lengua shiwilu desde antes no le curaron;,shw,spa,train,True,fidel_lomas,0.83766204,accepted
U04424__spa2shw,U04424,G04159,pero a la lengua shiwilu desde antes no le curaron;,shiwilu la'la' napiklanek lulen'i'ñina';,spa,shw,train,True,fidel_lomas,0.83766204,accepted
U00261__shw2spa,U00261,G00204,tom welliek'lli,tom lloró.,shw,spa,train,False,flashcards2,0.8642601,accepted
U00261__spa2shw,U00261,G00204,tom lloró.,tom welliek'lli,spa,shw,train,False,flashcards2,0.8642601,accepted
U01390__shw2spa,U01390,G01507,latekllien,te creo.,shw,spa,train,True,flashcards2,0.69545877,accepted
U01390__spa2shw,U01390,G01507,te creo.,latekllien,spa,shw,train,True,flashcards2,0.69545877,accepted
U01710__shw2spa,U01710,G01507,latekllien,te creí.,shw,spa,train,True,flashcards2,0.7232045,accepted
U01710__spa2shw,U01710,G01507,te creí.,latekllien,spa,shw,train,True,flashcards2,0.7232045,accepted
U02427__shw2spa,U02427,G02196,"du'anpamu erwatulek, erwa uncha'llina'.","sentada me la paso, tarde llegan.",shw,spa,train,True,pdf_textos,0.7470908,accepted
U02427__spa2shw,U02427,G02196,"sentada me la paso, tarde llegan.","du'anpamu erwatulek, erwa uncha'llina'.",spa,shw,train,True,pdf_textos,0.7470908,accepted
U02119__shw2spa,U02119,G01893,denipa' peklu'tulli,alguien llamó.,shw,spa,train,False,flashcards2,0.7505997,accepted
