COMO ESTAS?,MA'PUSIN,,SALUDO BIENVENIDA CON BESO EN LA MANO
HOLA A TODOS,LLI'TAA',,
HOLA COMPADRE,LLI'TAA' KUNPARI,,
HOLA TÍO,LLI'TAA' APCHA,,
HOLA TÍA,LLI'TAA' ASHATU'CHA,,
HOLA TÍA,LLI'TAA INECHA,,
,,,
ADIOS,PANTEKCHEK,,
ADIOS COMPADRE,PANTEKCHEK KUNPARI,,
ADIOS TÍO,PANTEKCHEK APCHA,,
ADIOS TÍA,PANTEKCHEK ASHATU'CHA,,
ADIOS TÍA,PANTEKCHEK INECHA,,
,,,
GRACIAS,YUSPEINETECHUM,,
POR FAVOR,YUSMALEK,,
,,,
HERMANO,I IN,VARON,
HERMANO,DUDEN,MUJER,
HERMANA MAYOR,SHA'SHA,VARON,
HERMANA MAYOR,KAIK'SHA,MUJER,
HERMANA MENOR,SHA'WA,VARON,
HERMANA MENOR,KAIK'WA,MUJER,
HERMANO MAYOR,YALLI'SHA,VARON,
HERMANO MENOR,YALLI'WA,VARON,
HERMANO MENOR,YUYU'WA,MUJER,
HERMANOS,I INUK'LUSA',,
HERMANAS,UTRINUK'LUSA',,
HERMANAS MENORES,SHA'WAUK'LUSA',,
HERMANAS MAYORES,SHA'UK'LUSA',,
HERMANOS MAYORES,YALLI'SHA'UK'LUSA',,
HERMANOS MENORES,YALLI'WAUK'LUSA',,
PAPÁ,TATA,,
MAMÁ,AWA,,
ABUELO,PAPINKU,,
ABUELA,AMI,,
ABUELITO,PAPINKUSHA,,
ABUELITA,AMISHA,,
PAPITO,TATASHA,,
MAMITA,AWASHA,,
HIJO,WILAUK,,
HIJITO,WILAUKSHA,,
MI HIJA,TECLAPINUK,VARON,
HIJA,TECLAPIN,VARON,
HIJO VARON,ERKUN,VARON,
MI HIJA,KUTINUK,MUJER,
MI HIJITA,KUTINSHAUK,MUJER,
MI HIJITO,WILAUKSHA,,
